model,start,end,bs,model,start,end,bs,median,mean,var
bert,6,10,1,bert,5,11,1,9651.5,9704.71,242.73690675296987
bert,4,8,1,bert,7,11,1,6693.5,6715.86,173.2555926947237
bert,2,6,1,bert,5,9,1,6623.5,6672.78,388.5753872802548
bert,4,8,1,bert,7,11,1,6648.0,6681.82,180.70176424152586
bert,4,8,1,bert,2,7,1,8187.5,8204.2,180.36224660388328
bert,6,10,1,bert,1,8,1,10991.5,11064.54,372.63951534962047
bert,1,5,1,bert,3,9,1,9499.0,9568.68,266.3170246154008
bert,6,10,1,bert,7,11,1,6614.0,6624.63,127.02154581014987
bert,2,8,1,bert,2,7,1,9629.0,9675.76,256.4519884890737
bert,4,8,1,bert,0,7,1,11093.0,11141.21,231.21389642493375
bert,6,10,1,bert,5,11,1,9626.0,9698.52,206.3956627451265
bert,4,11,1,bert,4,11,1,11144.0,11196.74,249.13609212637175
bert,7,11,1,bert,5,9,1,6669.0,6683.13,161.85886784479865
bert,1,8,1,bert,7,11,1,10924.5,10981.11,226.5793412913013
bert,6,11,1,bert,1,10,1,13959.5,14048.99,441.32134539358043
bert,1,6,1,bert,3,8,1,8157.0,8185.97,171.59740411789448
bert,6,10,1,bert,4,9,1,8171.5,8206.28,162.97086119917265
bert,2,11,1,bert,1,9,1,14540.5,14704.22,914.5063321814671
bert,4,8,1,bert,7,11,1,6645.0,6693.22,201.2791385116699
bert,5,10,1,bert,3,11,1,12551.5,12664.52,408.43762020656226
bert,7,11,1,bert,5,11,1,9619.0,9670.84,245.90456360141025
bert,3,10,1,bert,2,8,1,10901.0,11025.65,643.2146045450149
bert,0,10,1,bert,0,10,1,15764.5,15813.19,405.3155238823206
bert,1,7,1,bert,5,10,1,9384.5,9451.84,507.7019346033656
bert,5,9,1,bert,7,11,1,6532.0,6559.53,172.84782064000692
bert,1,11,1,bert,3,11,1,15264.0,15437.83,588.0813388469319
bert,7,11,1,bert,0,6,1,9485.0,9506.49,238.86140311904725
bert,3,9,1,bert,3,9,1,9574.0,9908.68,1229.9471442301901
bert,0,9,1,bert,2,8,1,13790.5,13875.47,327.82749899909254
bert,5,11,1,bert,1,7,1,9814.5,9817.02,230.70934007967688
