model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
bert,2,11,1,64,bert,3,10,1,16,16107.0,17384.77,2585.166253280435
bert,4,9,1,64,bert,0,11,1,8,15447.0,16243.89,2063.1280032756085
bert,3,9,1,8,bert,1,10,1,8,15310.0,15605.04,859.9664867888749
bert,7,11,1,64,bert,0,7,1,16,12030.5,12183.05,523.9692810652166
bert,0,6,1,8,bert,0,6,1,8,10748.5,11053.48,1184.6285112219778
bert,7,11,1,8,bert,6,11,1,32,9196.0,9571.78,1158.9535157201087
bert,7,11,1,32,bert,1,7,1,16,10259.0,10600.65,1129.8462229436357
bert,6,10,1,8,bert,2,10,1,8,13675.0,13761.33,403.7274341681526
bert,2,11,1,16,bert,0,10,1,8,14269.0,15541.42,2509.320729520242
bert,6,11,1,16,bert,7,11,1,8,7462.5,7826.95,1303.937002887793
bert,4,9,1,32,bert,4,10,1,16,8594.5,8722.24,555.4129476344606
bert,4,11,1,64,bert,7,11,1,64,10852.5,12494.37,3003.083414276067
bert,2,7,1,8,bert,6,11,1,16,7368.0,7531.72,878.3625001102905
bert,7,11,1,8,bert,2,7,1,32,7664.0,7834.85,827.4091536235261
bert,1,11,1,16,bert,2,9,1,64,14297.0,14742.25,1513.652122351764
bert,2,9,1,8,bert,1,9,1,16,11408.0,12330.86,2191.762697100213
bert,5,9,1,64,bert,5,11,1,8,8740.5,9140.52,1385.5787417537845
bert,7,11,1,64,bert,5,10,1,16,8779.0,8873.4,486.1803780491352
bert,6,10,1,16,bert,0,4,1,64,7421.5,7500.9,416.67336127955195
bert,1,5,1,16,bert,4,8,1,32,7813.5,7984.18,1160.5152509122834
bert,6,11,1,64,bert,2,8,1,32,10913.0,11286.67,941.7446050283485
bert,5,10,1,16,bert,5,10,1,32,9154.0,9807.03,1749.631512376249
bert,0,9,1,64,bert,7,11,1,32,13662.0,13967.71,1211.4022477690887
bert,5,10,1,64,bert,1,11,1,8,16976.0,17316.31,1132.7577737098077
bert,5,9,1,64,bert,6,10,1,32,7431.5,7680.41,1010.8704872039741
bert,5,10,1,32,bert,6,11,1,32,9206.5,10164.64,2303.850874166989
bert,3,8,1,16,bert,1,8,1,32,10589.5,10870.63,1230.823567007067
bert,4,10,1,32,bert,2,7,1,8,10921.0,11067.35,777.7761679943658
bert,7,11,1,64,bert,0,9,1,32,13323.5,13392.3,467.0493228771454
bert,5,9,1,32,bert,1,10,1,16,12585.0,12766.29,579.8289626260489
bert,1,10,1,64,bert,4,8,1,64,13612.0,14729.28,2657.107077556341
bert,3,11,1,8,bert,5,11,1,8,11509.0,11915.53,1349.6970508599327
bert,5,10,1,8,bert,7,11,1,16,7417.5,7578.85,539.5642199961001
bert,4,10,1,16,bert,7,11,1,32,8802.5,9352.99,1782.488953654412
bert,6,10,1,32,bert,0,6,1,16,8738.5,9366.73,1703.722470680011
bert,7,11,1,64,bert,5,10,1,16,7283.5,7480.43,833.5116106569841
bert,5,10,1,64,bert,4,10,1,8,8642.0,8837.64,900.8899657560851
bert,7,11,1,16,bert,3,8,1,32,7788.0,8192.51,1306.0676207226027
bert,4,10,1,64,bert,7,11,1,64,9313.5,9344.54,194.87972803757705
