model,bs,seq_len,latency
resnet152,16,0,63561
resnet152,16,0,41807
resnet152,16,0,38700
resnet152,16,0,38334
resnet152,16,0,42290
resnet152,16,0,38729
resnet152,16,0,47535
resnet152,16,0,42091
resnet152,16,0,38723
resnet152,16,0,41203
resnet152,16,0,38798
resnet152,16,0,39033
resnet152,16,0,41800
resnet152,16,0,39023
resnet152,16,0,41715
resnet152,16,0,39618
resnet152,16,0,38883
resnet152,16,0,43198
resnet152,16,0,39314
resnet152,16,0,38965
resnet152,16,0,43245
resnet152,16,0,39110
resnet152,16,0,46915
resnet152,16,0,42560
resnet152,16,0,42446
resnet152,16,0,45780
resnet152,16,0,42208
resnet152,16,0,45839
resnet152,16,0,42867
resnet152,16,0,42088
resnet152,16,0,43044
resnet152,16,0,41874
resnet152,16,0,41878
resnet152,16,0,42728
resnet152,16,0,39257
resnet152,16,0,39606
resnet152,16,0,42697
resnet152,16,0,39279
resnet152,16,0,39340
resnet152,16,0,41512
resnet152,16,0,39311
resnet152,16,0,39324
resnet152,16,0,41259
resnet152,16,0,39126
resnet152,16,0,39453
resnet152,16,0,39003
resnet152,16,0,41562
resnet152,16,0,39131
resnet152,16,0,39256
resnet152,16,0,42330
resnet152,16,0,39503
resnet152,16,0,38991
resnet152,16,0,41317
resnet152,16,0,39281
resnet152,16,0,39203
resnet152,16,0,52479
resnet152,16,0,40063
resnet152,16,0,38958
resnet152,16,0,39067
resnet152,16,0,38606
resnet152,16,0,42474
resnet152,16,0,38716
resnet152,16,0,38705
resnet152,16,0,42707
resnet152,16,0,38954
resnet152,16,0,38888
resnet152,16,0,40850
resnet152,16,0,38833
resnet152,16,0,38696
resnet152,16,0,43305
resnet152,16,0,39258
resnet152,16,0,39014
resnet152,16,0,51970
resnet152,16,0,43499
resnet152,16,0,39116
resnet152,16,0,43165
resnet152,16,0,39192
resnet152,16,0,39247
resnet152,16,0,41763
resnet152,16,0,50729
resnet152,16,0,42870
resnet152,16,0,40995
resnet152,16,0,39690
resnet152,16,0,39030
resnet152,16,0,40927
resnet152,16,0,39022
resnet152,16,0,39051
resnet152,16,0,41613
resnet152,16,0,38906
resnet152,16,0,39084
resnet152,16,0,39020
resnet152,16,0,41422
resnet152,16,0,39299
resnet152,16,0,39330
resnet152,16,0,42135
resnet152,16,0,39348
resnet152,16,0,39050
resnet152,16,0,43158
resnet152,16,0,40002
resnet152,16,0,48558
resnet152,16,0,38796
resnet152,16,0,38694
resnet152,16,0,41560
resnet152,16,0,39146
resnet152,16,0,39071
resnet152,16,0,42344
resnet152,16,0,39047
resnet152,16,0,38899
resnet152,16,0,40509
resnet152,16,0,38762
resnet152,16,0,43101
resnet152,16,0,38926
resnet152,16,0,39917
resnet152,16,0,42455
resnet152,16,0,38585
resnet152,16,0,38973
resnet152,16,0,40971
resnet152,16,0,38895
resnet152,16,0,38613
resnet152,16,0,41026
resnet152,16,0,39851
resnet152,16,0,40863
resnet152,16,0,38643
resnet152,16,0,38964
resnet152,16,0,40917
resnet152,16,0,40598
resnet152,16,0,39263
resnet152,16,0,41038
resnet152,16,0,38856
resnet152,16,0,41475
resnet152,16,0,38760
resnet152,16,0,39242
resnet152,16,0,43585
resnet152,16,0,39923
resnet152,16,0,39384
resnet152,16,0,40688
resnet152,16,0,38716
resnet152,16,0,38451
resnet152,16,0,39090
resnet152,16,0,39384
resnet152,16,0,38935
