model,bs,seq_len,latency
resnet152,16,0,79368
resnet152,16,0,64700
resnet152,16,0,85001
resnet152,16,0,59964
resnet152,16,0,77158
resnet152,16,0,69064
resnet152,16,0,74071
resnet152,16,0,78227
resnet152,16,0,60012
resnet152,16,0,55723
resnet152,16,0,54452
resnet152,16,0,56075
resnet152,16,0,85625
resnet152,16,0,58555
resnet152,16,0,81412
resnet152,16,0,68981
resnet152,16,0,60145
resnet152,16,0,63979
resnet152,16,0,67402
resnet152,16,0,66304
resnet152,16,0,65825
resnet152,16,0,84698
resnet152,16,0,74178
resnet152,16,0,42575
resnet152,16,0,68773
resnet152,16,0,40623
resnet152,16,0,56555
resnet152,16,0,44720
resnet152,16,0,52010
resnet152,16,0,47804
resnet152,16,0,54023
resnet152,16,0,80203
resnet152,16,0,62608
resnet152,16,0,66079
resnet152,16,0,87282
resnet152,16,0,73304
resnet152,16,0,55351
resnet152,16,0,46720
resnet152,16,0,66431
resnet152,16,0,73487
resnet152,16,0,76609
resnet152,16,0,58695
resnet152,16,0,68316
resnet152,16,0,91969
resnet152,16,0,56157
resnet152,16,0,71749
resnet152,16,0,57173
resnet152,16,0,68555
resnet152,16,0,69848
resnet152,16,0,85618
resnet152,16,0,53998
resnet152,16,0,67804
resnet152,16,0,59785
resnet152,16,0,53090
resnet152,16,0,44169
resnet152,16,0,70939
resnet152,16,0,70491
resnet152,16,0,67000
resnet152,16,0,62360
resnet152,16,0,56386
resnet152,16,0,66871
resnet152,16,0,75659
resnet152,16,0,80635
resnet152,16,0,63509
resnet152,16,0,55606
resnet152,16,0,61829
resnet152,16,0,67612
resnet152,16,0,78961
resnet152,16,0,55208
resnet152,16,0,41353
resnet152,16,0,79010
resnet152,16,0,60605
resnet152,16,0,55695
resnet152,16,0,54149
resnet152,16,0,80712
resnet152,16,0,70839
resnet152,16,0,56043
resnet152,16,0,69994
resnet152,16,0,77374
resnet152,16,0,59355
resnet152,16,0,78668
resnet152,16,0,75174
resnet152,16,0,49581
resnet152,16,0,50854
resnet152,16,0,69231
resnet152,16,0,54165
resnet152,16,0,80764
resnet152,16,0,75305
resnet152,16,0,53507
resnet152,16,0,52111
resnet152,16,0,69243
resnet152,16,0,69094
resnet152,16,0,95039
resnet152,16,0,46091
resnet152,16,0,72150
resnet152,16,0,55307
resnet152,16,0,53953
