model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,9,13,1,0,bert,1,11,1,64,16021.5,18617.72,4415.817192955343
inception_v3,9,13,1,0,bert,6,11,1,16,11125.0,11723.78,1543.5298285423578
inception_v3,8,12,1,0,bert,3,7,1,64,10620.5,10954.7,978.9310649887458
inception_v3,8,12,1,0,bert,1,8,1,64,11013.0,13227.82,3581.189954135357
inception_v3,4,10,1,0,bert,6,10,1,64,14868.5,15147.63,750.0456340116913
inception_v3,4,8,1,0,bert,7,11,1,8,9170.5,9557.51,1244.6127791003914
inception_v3,5,13,1,0,bert,5,11,1,32,19954.5,20123.56,804.0735080824388
inception_v3,7,13,1,0,bert,0,11,1,16,16114.0,18394.88,3987.569084743235
inception_v3,4,11,1,0,bert,2,11,1,8,16727.5,17412.97,1829.6958187359999
inception_v3,6,10,1,0,bert,5,10,1,32,11580.0,11860.71,975.0738156160281
inception_v3,9,13,1,0,bert,0,10,1,16,14450.0,14930.15,1513.1511647882376
inception_v3,3,12,1,0,bert,0,7,1,16,21497.5,21564.58,405.4738506981677
inception_v3,6,13,1,0,bert,7,11,1,8,18818.0,18881.1,416.492989136672
inception_v3,8,12,1,0,bert,5,9,1,64,10675.5,10795.47,653.2720789227104
inception_v3,2,6,1,0,bert,3,11,1,8,11714.0,11989.07,1055.374798401023
inception_v3,9,13,1,0,bert,3,11,1,16,11742.5,12392.16,1835.179417495739
inception_v3,6,11,1,0,bert,5,11,1,32,13486.5,13762.27,1079.3326721173596
inception_v3,2,8,1,0,bert,7,11,1,32,13368.0,13530.91,740.8940422894491
inception_v3,1,11,1,0,bert,4,11,1,8,21391.0,21491.98,546.6830339419727
inception_v3,3,7,1,0,bert,2,8,1,32,9335.0,9949.17,1858.005522354549
inception_v3,9,13,1,0,bert,6,10,1,16,10525.5,10666.0,594.613000194244
inception_v3,8,12,1,0,bert,2,7,1,64,10652.0,11008.19,1422.770562634749
inception_v3,6,10,1,0,bert,3,8,1,8,11647.5,11942.63,1031.2871535610245
inception_v3,7,12,1,0,bert,3,9,1,64,13480.5,13731.78,1082.8146709386606
inception_v3,2,8,1,0,bert,7,11,1,16,13348.5,13474.41,621.156004478746
inception_v3,8,12,1,0,bert,1,6,1,32,10699.0,10988.61,1071.7489528336382
inception_v3,5,10,1,0,bert,5,10,1,32,12877.5,13162.75,1029.6511678719157
inception_v3,2,8,1,0,bert,1,11,1,16,14495.5,15404.06,2193.8551129005764
inception_v3,9,13,1,0,bert,1,10,1,32,13738.5,14485.42,2129.107391279266
inception_v3,5,9,1,0,bert,4,10,1,64,10063.0,10599.94,1597.6764492224324
inception_v3,7,11,1,0,bert,0,5,1,16,10751.0,11066.05,1262.1780648941735
inception_v3,7,12,1,0,bert,4,11,1,8,13512.0,13810.97,1139.7411939120216
inception_v3,7,13,1,0,bert,7,11,1,8,16118.0,16149.25,219.02458195371588
inception_v3,6,12,1,0,bert,6,11,1,16,16148.5,16249.64,466.0661223474626
inception_v3,8,12,1,0,bert,6,11,1,8,10665.5,10928.2,1093.0372271793856
inception_v3,2,11,1,0,bert,4,9,1,64,20818.0,20883.91,384.7182370254886
inception_v3,6,12,1,0,bert,1,5,1,16,16134.0,16152.64,104.05138346028849
inception_v3,7,12,1,0,bert,3,9,1,16,13460.5,13707.67,916.9615374158285
inception_v3,2,7,1,0,bert,7,11,1,8,10484.0,10696.34,899.8971632358889
inception_v3,8,12,1,0,bert,0,11,1,8,15851.5,16482.1,1878.8501190888005
inception_v3,3,13,1,0,bert,7,11,1,16,24082.0,24150.85,446.2655571517928
inception_v3,8,13,1,0,bert,0,4,1,64,13317.0,13439.58,542.9997823203984
inception_v3,3,10,1,0,bert,1,7,1,64,16928.0,17085.91,589.1449073869688
inception_v3,9,13,1,0,bert,6,10,1,8,10514.0,10605.95,551.1189413366229
inception_v3,4,10,1,0,bert,7,11,1,16,14890.5,14919.29,292.41550215404106
inception_v3,4,13,1,0,bert,1,8,1,32,22065.0,22069.0,88.35236273015
inception_v3,7,12,1,0,bert,2,7,1,32,13431.0,13588.29,632.6156857840311
inception_v3,4,12,1,0,bert,5,9,1,32,19395.5,19493.93,261.5667889851462
inception_v3,4,12,1,0,bert,2,10,1,8,19401.0,19485.1,494.10785259900496
inception_v3,0,7,1,0,bert,0,5,1,64,11833.0,12010.83,794.3535869497914
inception_v3,0,5,1,0,bert,1,6,1,16,7952.0,8613.31,1965.9380035748839
inception_v3,0,4,1,0,bert,2,7,1,8,7514.5,7811.65,1017.376748063371
inception_v3,5,10,1,0,bert,7,11,1,16,12858.5,12999.6,757.1643943028488
inception_v3,2,8,1,0,bert,5,10,1,64,13281.5,13452.26,677.7615306285833
inception_v3,3,13,1,0,bert,4,8,1,16,24081.0,24151.93,499.43524615309235
inception_v3,5,10,1,0,bert,5,9,1,16,12850.0,12923.98,440.3893273002878
inception_v3,1,5,1,0,bert,2,8,1,8,8927.5,9300.58,1418.3843920461054
inception_v3,6,13,1,0,bert,2,9,1,32,18779.5,18806.81,219.36420377992397
inception_v3,9,13,1,0,bert,4,10,1,16,10540.0,10867.71,1099.101654033875
inception_v3,5,9,1,0,bert,7,11,1,16,9958.5,10153.03,861.3072326992267
inception_v3,7,11,1,0,bert,0,7,1,64,10817.0,11600.37,1957.8357676526396
inception_v3,4,8,1,0,bert,2,7,1,16,9712.0,9778.81,1042.6637204295544
inception_v3,8,12,1,0,bert,0,6,1,32,10690.5,11396.97,1849.180366838238
inception_v3,7,12,1,0,bert,3,7,1,8,13491.5,13547.76,344.7580055633226
inception_v3,6,13,1,0,bert,6,10,1,32,18825.5,19056.57,759.5006682683037
inception_v3,9,13,1,0,bert,5,11,1,16,10565.0,10861.97,962.3998904301684
inception_v3,8,12,1,0,bert,7,11,1,32,10664.0,10843.18,753.8039848660924
inception_v3,9,13,1,0,bert,6,10,1,64,10552.5,10938.45,1302.3627250117381
inception_v3,9,13,1,0,bert,4,10,1,32,10560.5,11262.17,1694.5609405093696
inception_v3,9,13,1,0,bert,0,4,1,8,10976.0,11459.44,1863.5326201598943
inception_v3,1,9,1,0,bert,2,10,1,16,16697.5,17260.12,1375.4235804289528
inception_v3,3,8,1,0,bert,0,10,1,32,15175.5,15446.25,1500.9407075231186
inception_v3,3,10,1,0,bert,5,9,1,32,17003.0,17192.74,693.7423242097889
inception_v3,0,4,1,0,bert,4,10,1,64,9296.5,9487.43,792.1505949628518
inception_v3,3,8,1,0,bert,2,8,1,8,11322.5,11866.93,1511.5651375643722
inception_v3,2,8,1,0,bert,6,11,1,16,13327.0,13606.68,942.6771863156549
inception_v3,1,12,1,0,bert,1,9,1,32,24110.0,24366.34,670.7435161073121
inception_v3,8,12,1,0,bert,1,11,1,64,15207.0,15408.3,1037.1179826808518
inception_v3,3,9,1,0,bert,0,7,1,64,14075.0,14580.46,1511.5672490498066
inception_v3,9,13,1,0,bert,1,8,1,64,10814.5,11577.8,1877.3297206404636
inception_v3,3,13,1,0,bert,3,11,1,8,24147.0,24287.46,681.9373199935608
inception_v3,0,6,1,0,bert,2,11,1,8,13066.0,13458.31,1364.5574791484603
inception_v3,4,10,1,0,bert,7,11,1,8,14834.0,15122.33,1596.3709597396214
