model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,5,11,1,0,inception_v3,2,11,16,0,18593.5,20210.64,2873.98214162858
inception_v3,4,8,1,0,inception_v3,0,6,16,0,9211.0,9575.92,1018.855894422759
inception_v3,0,5,1,0,inception_v3,1,8,16,0,12155.5,12408.72,910.8680154665659
inception_v3,7,11,1,0,inception_v3,5,9,16,0,13170.5,13396.38,2442.657068767534
inception_v3,1,8,1,0,inception_v3,5,9,16,0,14513.5,14812.41,1454.6637899872258
inception_v3,8,12,1,0,inception_v3,7,13,16,0,14130.5,14729.46,1612.9307450724598
inception_v3,8,12,1,0,inception_v3,7,13,16,0,14102.5,14936.96,1932.1246953548314
inception_v3,8,12,1,0,inception_v3,6,11,16,0,14428.0,14633.3,2519.7224509854254
inception_v3,7,11,1,0,inception_v3,0,11,16,0,19239.5,19619.6,1243.486702783749
inception_v3,7,13,1,0,inception_v3,5,12,16,0,16212.5,17560.29,2457.5073521558384
inception_v3,4,12,1,0,inception_v3,8,12,16,0,20564.5,22750.62,3828.3457805689395
inception_v3,9,13,1,0,inception_v3,5,13,16,0,17589.0,18397.45,2412.2500549279716
inception_v3,3,9,1,0,inception_v3,7,11,16,0,14128.5,15842.98,3011.805073307368
inception_v3,6,11,1,0,inception_v3,9,13,16,0,15171.0,16253.96,3315.677408675337
inception_v3,7,11,1,0,inception_v3,3,12,16,0,18715.5,19849.41,2770.281253212388
inception_v3,0,6,1,0,inception_v3,8,12,16,0,9243.5,9623.03,1282.2283529465412
inception_v3,8,12,1,0,inception_v3,6,11,16,0,13846.5,13962.43,2323.6325279828566
inception_v3,5,13,1,0,inception_v3,5,11,16,0,20036.0,20875.17,1841.6200099640532
inception_v3,4,10,1,0,inception_v3,0,12,16,0,21660.5,22035.92,1223.0803299865468
inception_v3,0,11,1,0,inception_v3,0,5,16,0,22155.0,24866.3,3661.4791041326457
inception_v3,9,13,1,0,inception_v3,6,12,16,0,14880.0,16555.51,2991.5222863786257
inception_v3,2,9,1,0,inception_v3,0,13,16,0,25422.5,25521.4,1102.3206067202045
inception_v3,4,12,1,0,inception_v3,3,7,16,0,20105.0,20639.81,2389.7442026083045
inception_v3,8,12,1,0,inception_v3,0,10,16,0,17682.0,19930.13,3813.7284372513996
inception_v3,7,12,1,0,inception_v3,2,10,16,0,17025.5,18497.42,2781.4793336640128
inception_v3,1,12,1,0,inception_v3,3,8,16,0,23863.0,24227.03,1292.949004833524
inception_v3,6,10,1,0,inception_v3,1,10,16,0,16989.0,18324.22,2343.2414070257464
inception_v3,4,12,1,0,inception_v3,1,10,16,0,19564.5,22297.03,3918.0446052973925
inception_v3,0,8,1,0,inception_v3,6,11,16,0,14828.0,15874.55,1905.2944569016097
inception_v3,9,13,1,0,inception_v3,2,12,16,0,20323.0,20661.04,1410.2486087211714
inception_v3,5,9,1,0,inception_v3,8,13,16,0,11415.5,11859.57,1456.9758080009426
inception_v3,2,12,1,0,inception_v3,6,13,16,0,26787.5,27682.29,4459.08808904915
inception_v3,9,13,1,0,inception_v3,5,9,16,0,10430.0,11015.41,1641.400561075815
inception_v3,0,5,1,0,inception_v3,7,12,16,0,11590.5,11928.11,1165.4935083045293
inception_v3,7,13,1,0,inception_v3,0,11,16,0,21846.5,22564.18,3830.8762427935467
inception_v3,5,11,1,0,inception_v3,2,12,16,0,20313.0,21297.59,2169.254222515194
inception_v3,7,13,1,0,inception_v3,7,13,16,0,15998.5,17357.33,2616.700552432395
inception_v3,8,12,1,0,inception_v3,1,11,16,0,18527.5,20908.98,3702.5744151333406
inception_v3,1,6,1,0,inception_v3,2,8,16,0,11647.0,12092.61,1369.1887590467577
inception_v3,9,13,1,0,inception_v3,5,11,16,0,12697.5,13884.68,2333.510175165302
inception_v3,0,6,1,0,inception_v3,3,9,16,0,12871.5,14904.02,3197.992826696145
inception_v3,0,7,1,0,inception_v3,4,10,16,0,14829.0,15484.89,2890.8668315749173
inception_v3,5,9,1,0,inception_v3,5,9,16,0,9858.5,10710.17,1987.1746830865172
inception_v3,5,10,1,0,inception_v3,4,13,16,0,19297.5,21945.49,4199.665354513381
inception_v3,8,13,1,0,inception_v3,6,10,16,0,13266.5,14632.61,3004.380887620609
inception_v3,5,10,1,0,inception_v3,1,9,16,0,14575.0,15653.56,2302.129189771938
inception_v3,9,13,1,0,inception_v3,9,13,16,0,10487.0,11676.17,2669.122972270105
inception_v3,8,12,1,0,inception_v3,8,13,16,0,13798.5,14466.9,3049.2970648987284
inception_v3,7,11,1,0,inception_v3,8,13,16,0,11669.5,12775.21,1948.7934077012883
inception_v3,4,9,1,0,inception_v3,1,9,16,0,14535.0,14827.01,1136.810331541722
inception_v3,9,13,1,0,inception_v3,1,8,16,0,12209.5,14113.46,2843.678562777446
inception_v3,5,13,1,0,inception_v3,2,7,16,0,20013.5,22869.39,3679.2523204993704
inception_v3,6,12,1,0,inception_v3,6,13,16,0,16536.0,18697.18,3407.068885068219
inception_v3,3,10,1,0,inception_v3,6,12,16,0,21125.5,21612.65,3773.4301142991903
inception_v3,4,9,1,0,inception_v3,1,5,16,0,11968.0,12397.17,1249.000144555636
inception_v3,8,13,1,0,inception_v3,2,6,16,0,13224.5,13337.54,396.43139179434314
inception_v3,9,13,1,0,inception_v3,7,11,16,0,10496.0,11390.42,1904.7050804783403
inception_v3,6,11,1,0,inception_v3,0,8,16,0,17666.0,17854.9,3206.129730687765
inception_v3,8,12,1,0,inception_v3,1,11,16,0,18418.0,19111.38,2012.0076778183527
inception_v3,3,13,1,0,inception_v3,1,7,16,0,24011.0,26900.26,4393.268374729684
inception_v3,0,7,1,0,inception_v3,0,6,16,0,11779.0,12860.8,2031.8441820179025
inception_v3,9,13,1,0,inception_v3,5,13,16,0,17549.5,18986.17,2955.175774992073
inception_v3,3,7,1,0,inception_v3,9,13,16,0,9165.5,9633.28,1515.623139701951
inception_v3,0,11,1,0,inception_v3,0,7,16,0,22338.5,25870.54,5048.500459383955
inception_v3,8,13,1,0,inception_v3,3,9,16,0,13205.0,15060.61,2884.6004884385634
inception_v3,5,11,1,0,inception_v3,6,13,16,0,16521.5,17917.0,2295.3529924610725
inception_v3,9,13,1,0,inception_v3,8,13,16,0,12417.0,13822.66,2602.0170415275916
inception_v3,1,6,1,0,inception_v3,7,13,16,0,14216.0,16799.3,3742.8512861186455
inception_v3,7,13,1,0,inception_v3,0,13,16,0,23990.0,24979.6,1902.200457365101
inception_v3,7,13,1,0,inception_v3,9,13,16,0,16850.5,18838.27,3627.835585731525
inception_v3,2,13,1,0,inception_v3,2,9,16,0,25948.0,26362.72,1509.344851781726
inception_v3,9,13,1,0,inception_v3,3,12,16,0,18689.5,20476.79,3240.119254888622
