model,start,end,bs,model,start,end,bs,median,mean,var
inception_v3,4,13,1,vgg16,7,12,1,22206.0,23614.47,3527.0152493432743
inception_v3,2,12,1,vgg16,10,18,1,29656.0,29989.43,4981.258449940135
inception_v3,0,4,1,vgg16,4,10,1,5796.5,6803.99,2239.423740585957
inception_v3,9,13,1,vgg16,12,17,1,10861.5,13156.62,3574.1130529965053
inception_v3,1,8,1,vgg16,1,14,1,18302.5,18477.22,3393.7222413745058
inception_v3,7,12,1,vgg16,6,10,1,17178.5,17336.47,3482.8669640254707
inception_v3,8,12,1,vgg16,10,14,1,12740.0,13762.06,3497.143408040339
inception_v3,4,11,1,vgg16,2,13,1,22169.5,22130.59,3775.268210591136
inception_v3,2,12,1,vgg16,5,11,1,28703.0,29001.11,4209.324071380107
inception_v3,9,13,1,vgg16,4,17,1,12422.0,12989.48,2892.9148776968877
inception_v3,6,12,1,vgg16,10,15,1,20602.5,20900.79,3771.7679761485865
inception_v3,9,13,1,vgg16,13,17,1,10646.0,12333.82,2795.900264244059
inception_v3,9,13,1,vgg16,9,14,1,12114.5,13118.25,3167.657975145044
inception_v3,9,13,1,vgg16,10,17,1,13077.0,13836.36,3216.1028575591295
inception_v3,4,10,1,vgg16,8,17,1,21133.0,21050.28,3722.9825115893304
inception_v3,9,13,1,vgg16,5,17,1,12460.0,13231.6,3020.151228001671
inception_v3,2,11,1,vgg16,5,13,1,27123.5,27413.57,3698.5270696724665
inception_v3,4,12,1,vgg16,3,11,1,25017.5,25219.62,3894.9287484625443
inception_v3,1,8,1,vgg16,5,12,1,18338.5,18700.89,3939.859164729115
inception_v3,0,10,1,vgg16,12,17,1,27081.5,27037.85,3745.1101168724
inception_v3,5,10,1,vgg16,10,16,1,16956.5,17450.04,3499.8904066270425
inception_v3,3,7,1,vgg16,12,17,1,9768.0,10859.4,3045.140683121225
inception_v3,0,13,1,vgg16,6,10,1,35132.0,35168.1,3684.105616021343
inception_v3,7,13,1,vgg16,11,15,1,20256.0,21123.29,4097.3056227111
inception_v3,4,13,1,vgg16,10,17,1,27953.5,27976.04,4175.26240353825
inception_v3,9,13,1,vgg16,2,12,1,13176.0,13588.1,3399.9605394768923
inception_v3,9,13,1,vgg16,8,13,1,10845.0,12661.61,3114.191567309243
inception_v3,9,13,1,vgg16,9,14,1,13240.0,13547.01,3119.40387732977
inception_v3,9,13,1,vgg16,2,9,1,10982.5,13097.81,3501.995738703861
inception_v3,0,5,1,vgg16,11,15,1,8674.5,9591.79,2485.9164237560362
inception_v3,1,6,1,vgg16,11,15,1,9023.5,10285.42,2657.1867987779856
inception_v3,3,7,1,vgg16,10,18,1,11020.0,11661.27,2619.43956164291
inception_v3,7,13,1,vgg16,9,14,1,20123.0,20355.34,3513.003368116803
inception_v3,6,11,1,vgg16,14,18,1,15722.5,16518.04,3552.5667000634903
inception_v3,6,12,1,vgg16,9,14,1,15979.5,16422.83,1197.8976004233418
inception_v3,8,12,1,vgg16,6,12,1,10560.0,10718.86,703.2329915468982
inception_v3,4,8,1,vgg16,11,16,1,9098.5,9284.75,833.9824263736017
inception_v3,9,13,1,vgg16,8,15,1,10376.5,10466.92,489.0952602510068
inception_v3,8,13,1,vgg16,10,17,1,13162.0,13280.67,584.733512892839
inception_v3,7,13,1,vgg16,9,18,1,15915.5,16040.96,762.149065734519
inception_v3,7,13,1,vgg16,5,12,1,15925.0,16003.73,370.47701291713093
inception_v3,4,10,1,vgg16,1,14,1,14827.0,14954.45,568.13513137281
inception_v3,5,10,1,vgg16,1,13,1,12720.0,12781.83,381.0713858321036
inception_v3,5,10,1,vgg16,8,13,1,12713.5,12796.71,490.10544365473027
inception_v3,9,13,1,vgg16,0,5,1,10421.0,10452.53,361.8204652863074
inception_v3,2,8,1,vgg16,6,17,1,13196.5,13315.64,484.79217237905146
inception_v3,8,13,1,vgg16,10,14,1,13013.5,13153.34,584.766487069839
inception_v3,5,11,1,vgg16,5,9,1,14490.0,14516.12,112.00261425520388
inception_v3,7,12,1,vgg16,9,15,1,13320.0,13351.7,286.46334844094804
inception_v3,4,9,1,vgg16,10,16,1,11849.5,11955.52,373.5424602371195
inception_v3,6,11,1,vgg16,4,12,1,13261.5,13364.23,520.1060056373124
inception_v3,3,13,1,vgg16,14,18,1,23938.5,24174.41,475.5697445170372
inception_v3,8,13,1,vgg16,11,18,1,13149.5,13170.99,280.6763080489695
inception_v3,2,6,1,vgg16,1,18,1,7643.5,7695.18,367.88341577189914
inception_v3,3,9,1,vgg16,3,8,1,13951.0,14109.94,934.0921241505038
inception_v3,7,13,1,vgg16,6,17,1,16007.5,16195.13,954.7195049332553
inception_v3,6,13,1,vgg16,8,13,1,18657.0,19251.79,2114.686455695028
inception_v3,4,12,1,vgg16,1,12,1,19354.5,19483.12,601.797661677079
inception_v3,5,11,1,vgg16,5,15,1,14622.5,14832.19,784.2033370880284
