predictor,combinations,mae,mape
mlp,resnet50_resnet101,0.7628629,0.059358448
mlp,resnet50_resnet152,0.8202431,0.06160363
mlp,resnet50_inception_v3,0.47092736,0.04295577
mlp,resnet50_vgg16,0.5187377,0.052630518
mlp,resnet50_vgg19,0.77081686,0.07530482
mlp,resnet50_bert,0.39432123,0.041878838
mlp,resnet101_resnet152,0.6690966,0.033908423
mlp,resnet101_inception_v3,0.5437804,0.035080098
mlp,resnet101_vgg16,0.6982046,0.05731419
mlp,resnet101_vgg19,0.70026916,0.049751006
mlp,resnet101_bert,0.28203934,0.022556838
mlp,resnet152_inception_v3,0.63865274,0.035213858
mlp,resnet152_vgg16,1.4667325,0.10251072
mlp,resnet152_vgg19,1.3232896,0.059872393
mlp,resnet152_bert,0.558465,0.056957863
mlp,inception_v3_vgg16,0.6295896,0.082706034
mlp,inception_v3_vgg19,0.5815431,0.051880684
mlp,inception_v3_bert,0.30584773,0.025055142
mlp,vgg16_vgg19,1.1844277,0.11969791
mlp,vgg16_bert,0.45735276,0.0476309
mlp,vgg19_bert,0.49979728,0.047568567
mlp,all,0.67701924,0.059520315
mlp,all,0.6636951,0.057191573
lr,resnet50_resnet101,1.8347382111709427,0.15006017644862385
lr,resnet50_resnet152,1.9707812539351897,0.1638374658089016
lr,resnet50_inception_v3,1.5990571984563202,0.160678873809074
lr,resnet50_vgg16,2.9882983385542308,0.36386391377251104
lr,resnet50_vgg19,3.3359174893458787,0.39512802476882203
lr,resnet50_bert,1.1921968522942201,0.1465622772356967
lr,resnet101_resnet152,2.5953879096337533,0.15542517835488967
lr,resnet101_inception_v3,2.522636186669167,0.1832189736043858
lr,resnet101_vgg16,3.349262999713354,0.24171206711551285
lr,resnet101_vgg19,3.5333526953368555,0.2978829536143349
lr,resnet101_bert,1.3193813492405604,0.11554352741371358
lr,resnet152_inception_v3,2.5421028534995807,0.16878432785199662
lr,resnet152_vgg16,3.1061442559698365,0.2102104458807786
lr,resnet152_vgg19,3.6013871097485883,0.22326742615760878
lr,resnet152_bert,1.507451334046363,0.11649651752669042
lr,inception_v3_vgg16,2.9896791152926085,0.28740743510143935
lr,inception_v3_vgg19,3.1139445343172154,0.30104783708176336
lr,inception_v3_bert,1.233180474657243,0.12078709605302862
lr,vgg16_vgg19,4.077392351194619,0.4697050200959248
lr,vgg16_bert,2.91404026183869,0.33540122833669084
lr,vgg19_bert,3.2164836156449734,0.32992383786281065
lr,all,3.390271020807047,0.30585985917627523
svm,resnet50_resnet101,1.8197633366818478,0.16021607945731597
svm,resnet50_resnet152,1.7704274193938807,0.12977320248486846
svm,resnet50_inception_v3,1.4899494331721788,0.18867214216995581
svm,resnet50_vgg16,2.7244107385916467,0.35934046763191757
svm,resnet50_vgg19,3.3566948596816992,0.3537896393861965
svm,resnet50_bert,1.0698076533965968,0.1648039801196057
svm,resnet101_resnet152,2.8249523608132416,0.16407976800295593
svm,resnet101_inception_v3,2.2840278170265176,0.2213664830564623
svm,resnet101_vgg16,3.107093302737894,0.26603959689248646
svm,resnet101_vgg19,3.268452936336819,0.2155268402718679
svm,resnet101_bert,1.2880650871785493,0.1269533129475038
svm,resnet152_inception_v3,2.2219940159058837,0.16401140610387782
svm,resnet152_vgg16,2.7873671716861614,0.15916092009531974
svm,resnet152_vgg19,3.4411077718728347,0.19593756647295923
svm,resnet152_bert,1.4066545571295175,0.12392496723340952
svm,inception_v3_vgg16,2.807662706211118,0.23576185148504078
svm,inception_v3_vgg19,2.9356083750324715,0.22064347991577535
svm,inception_v3_bert,1.1374911687934253,0.1203777223742458
svm,vgg16_vgg19,3.8374461012818,0.3721549617548138
svm,vgg16_bert,2.6692801665478942,0.24530198357896663
svm,vgg19_bert,3.0383078719722922,0.25789145584377243
svm,all,3.377150315481578,0.2924137035880222
