model,bs,seq_len,latency
resnet152,16,0,72912
resnet152,16,0,47036
resnet152,16,0,38361
resnet152,16,0,37936
resnet152,16,0,38213
resnet152,16,0,37822
resnet152,16,0,38350
resnet152,16,0,39135
resnet152,16,0,38103
resnet152,16,0,38071
resnet152,16,0,41425
resnet152,16,0,47954
resnet152,16,0,39514
resnet152,16,0,38400
resnet152,16,0,38058
resnet152,16,0,38383
resnet152,16,0,38006
resnet152,16,0,38076
resnet152,16,0,38312
resnet152,16,0,38162
resnet152,16,0,37904
resnet152,16,0,38249
resnet152,16,0,38207
resnet152,16,0,38099
resnet152,16,0,38241
resnet152,16,0,38166
resnet152,16,0,39240
resnet152,16,0,38734
resnet152,16,0,50129
resnet152,16,0,48021
resnet152,16,0,47984
resnet152,16,0,38298
resnet152,16,0,38073
resnet152,16,0,40892
resnet152,16,0,38802
resnet152,16,0,37954
resnet152,16,0,38103
resnet152,16,0,37857
resnet152,16,0,38115
resnet152,16,0,39502
resnet152,16,0,48244
resnet152,16,0,53077
resnet152,16,0,45134
resnet152,16,0,45222
resnet152,16,0,38724
resnet152,16,0,38667
resnet152,16,0,56358
resnet152,16,0,48418
resnet152,16,0,56365
resnet152,16,0,43859
resnet152,16,0,39155
resnet152,16,0,40626
resnet152,16,0,51666
resnet152,16,0,46969
resnet152,16,0,56109
resnet152,16,0,55656
resnet152,16,0,44564
resnet152,16,0,48796
resnet152,16,0,45714
resnet152,16,0,49831
resnet152,16,0,47738
resnet152,16,0,47207
resnet152,16,0,52728
resnet152,16,0,44848
resnet152,16,0,58055
resnet152,16,0,44673
resnet152,16,0,46043
resnet152,16,0,38589
resnet152,16,0,38926
resnet152,16,0,49148
resnet152,16,0,48750
resnet152,16,0,54699
resnet152,16,0,42807
resnet152,16,0,38597
resnet152,16,0,38839
resnet152,16,0,39331
resnet152,16,0,38744
resnet152,16,0,38614
resnet152,16,0,38644
resnet152,16,0,53773
resnet152,16,0,42605
resnet152,16,0,38868
resnet152,16,0,38944
resnet152,16,0,48729
resnet152,16,0,45264
resnet152,16,0,39657
resnet152,16,0,38662
resnet152,16,0,38737
resnet152,16,0,38732
resnet152,16,0,44023
resnet152,16,0,39770
