model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
bert,4,11,1,32,bert,8,12,1,16,9203.0,9355.581632653062,726.9959004385632
bert,0,9,1,16,bert,0,6,1,32,11147.5,12296.80612244898,2247.683191136513
bert,2,8,1,8,bert,3,9,1,8,9411.0,10145.520408163266,2573.715202476967
bert,6,10,1,8,bert,7,11,1,8,5417.5,6136.928571428572,1383.1457288163301
bert,8,12,1,8,bert,0,4,1,16,6336.0,6890.673469387755,2094.736775512351
bert,3,11,1,8,bert,4,10,1,16,10599.0,11752.948453608247,2574.172389757207
bert,1,9,1,32,bert,8,12,1,32,13167.5,13761.826530612245,2997.1608777393362
bert,3,12,1,16,bert,8,12,1,8,14214.5,14456.744897959185,3114.337510418628
bert,4,11,1,8,bert,4,12,1,8,10597.5,11898.795918367347,2554.4705428462184
bert,8,12,1,64,bert,0,7,1,32,9457.5,9886.816326530612,1165.7067344550483
bert,2,6,1,64,bert,4,10,1,16,7654.5,8189.1122448979595,1169.9711829928701
bert,3,7,1,8,bert,5,10,1,8,6770.5,7628.265306122449,1562.8022617095544
bert,4,10,1,8,bert,1,6,1,8,9255.0,9952.214285714286,2568.016232902156
bert,1,6,1,32,bert,6,11,1,32,8505.0,9011.857142857143,2114.155068357386
bert,6,12,1,32,bert,8,12,1,16,8352.5,9485.734693877552,2223.438307937618
bert,0,7,1,32,bert,6,12,1,8,9175.0,9516.670103092783,1097.908036274662
bert,0,9,1,32,bert,3,10,1,8,11714.5,12321.020408163266,1494.2548137995402
bert,8,12,1,8,bert,0,4,1,8,5319.0,5521.836734693878,669.8386295750421
bert,7,12,1,64,bert,3,11,1,32,10720.5,10945.183673469388,956.6816623092294
bert,4,9,1,8,bert,0,7,1,8,8856.5,9133.408163265307,829.5518071523245
bert,7,12,1,16,bert,3,12,1,64,12567.0,12795.295918367347,877.4826611367231
bert,8,12,1,32,bert,6,12,1,16,7739.5,7963.591836734694,672.4340015674202
bert,5,9,1,32,bert,8,12,1,64,5638.5,5894.5204081632655,930.8162890008002
bert,8,12,1,32,bert,0,12,1,16,14784.5,15008.295918367347,831.650905584098
bert,2,12,1,8,bert,1,5,1,16,12199.0,12240.214285714286,176.1556738472293
bert,8,12,1,8,bert,5,11,1,8,7659.0,7842.040816326531,808.8990113598393
bert,5,11,1,16,bert,4,11,1,64,9397.0,9667.448979591836,995.8480553968733
bert,3,11,1,8,bert,7,11,1,64,9861.0,9982.755102040815,513.6304567949983
bert,6,11,1,8,bert,6,12,1,8,7666.5,8119.051020408163,1327.3732951750449
bert,3,12,1,16,bert,6,11,1,64,11081.5,11228.877551020409,318.9288598720859
bert,6,11,1,16,bert,3,7,1,16,6392.5,6663.571428571428,969.0551257460505
bert,8,12,1,64,bert,0,12,1,32,15752.0,16030.30612244898,1000.1309241657913
bert,4,10,1,16,bert,0,7,1,8,8905.5,9337.724489795919,1195.3210804292783
bert,0,6,1,32,bert,4,12,1,32,10710.0,10926.051020408164,732.11996302113
bert,7,12,1,16,bert,1,11,1,64,13246.5,13581.418367346938,1086.1432603996675
bert,8,12,1,32,bert,2,9,1,64,9460.5,9508.938775510203,248.9812637949884
bert,2,7,1,16,bert,8,12,1,32,6394.5,6767.6122448979595,1140.487647515648
bert,2,9,1,8,bert,7,12,1,8,8655.0,9008.540816326531,1287.0705875411884
bert,1,12,1,16,bert,1,6,1,16,13354.0,14457.061224489797,2361.8710622341155
bert,7,11,1,16,bert,1,8,1,64,9966.5,11467.724489795919,2643.171366573443
bert,2,12,1,8,bert,7,11,1,8,14528.5,14896.255102040815,2735.557049980581
bert,8,12,1,64,bert,6,12,1,8,7771.0,9015.530612244898,2071.012570070356
bert,6,12,1,16,bert,4,12,1,8,10637.5,12338.826530612245,2922.667065546608
bert,7,11,1,16,bert,6,12,1,32,8238.0,9229.785714285714,1875.7652492804539
bert,7,11,1,64,bert,1,10,1,16,11262.0,12744.061224489797,2585.420617957892
bert,1,5,1,8,bert,2,8,1,32,8164.5,9122.775510204081,1861.3401499150991
bert,4,11,1,16,bert,4,12,1,32,11767.0,12661.65306122449,2288.9707699653864
bert,5,10,1,16,bert,2,10,1,8,10582.5,11867.632653061224,2379.6566781518195
bert,8,12,1,8,bert,4,8,1,32,6586.0,7093.591836734694,1672.7962404232555
bert,2,12,1,32,bert,7,11,1,16,14890.5,15197.775510204081,2278.0985784811423
bert,4,8,1,8,bert,2,12,1,16,12488.0,14334.224489795919,2870.9111137535624
bert,3,9,1,8,bert,4,9,1,8,7839.5,8913.459183673469,1985.2422109377812
bert,1,12,1,32,bert,3,8,1,64,14496.5,16354.326530612245,2561.6371549823216
bert,8,12,1,16,bert,4,8,1,32,5641.0,5934.193877551021,872.3963438591671
bert,2,11,1,32,bert,7,11,1,8,11694.0,11822.938775510203,369.1519740229371
bert,6,10,1,32,bert,3,11,1,32,10728.0,10835.65306122449,544.9841993972575
bert,8,12,1,8,bert,2,12,1,16,12430.0,12611.724489795919,746.9772936009181
bert,6,11,1,64,bert,2,6,1,16,6634.5,6820.744897959184,606.6662887810373
bert,7,12,1,32,bert,4,11,1,32,9427.5,9764.448979591836,1263.560285200391
bert,6,10,1,32,bert,6,11,1,32,6915.5,7138.632653061224,954.1619186998835
bert,7,11,1,8,bert,8,12,1,32,5618.0,5703.693877551021,438.9287378394027
bert,7,11,1,16,bert,7,12,1,8,6482.5,6622.459183673469,594.3960778080718
bert,3,7,1,64,bert,2,8,1,64,8152.0,8255.959183673469,551.0392763209472
bert,8,12,1,8,bert,2,12,1,32,13199.5,13281.622448979591,484.8052947129987
bert,0,11,1,16,bert,5,11,1,16,13468.5,13846.734693877552,1231.4758074385948
bert,8,12,1,64,bert,0,4,1,16,5475.0,5677.826530612245,667.2143740423911
bert,8,12,1,8,bert,1,11,1,8,12426.0,12520.357142857143,459.260791369997
bert,4,12,1,32,bert,5,9,1,64,10471.0,10537.663265306122,384.7987267119444
bert,5,10,1,64,bert,6,11,1,32,6933.5,7205.581632653061,815.8567041481347
bert,0,12,1,64,bert,5,12,1,32,15423.0,15766.397959183674,1001.1270357094988
bert,7,12,1,8,bert,3,7,1,16,6329.0,6500.581632653061,790.4638901957869
bert,0,8,1,8,bert,0,9,1,32,12015.0,12528.744897959185,1474.1459672916153
bert,3,8,1,64,bert,7,12,1,32,6945.5,7278.122448979592,1077.412852343057
bert,3,12,1,64,bert,3,12,1,16,11741.5,12567.030612244898,1775.9560716556718
bert,8,12,1,32,bert,5,12,1,64,9494.0,9717.755102040815,703.6282509501688
bert,8,12,1,8,bert,5,11,1,64,8169.5,8322.448979591836,743.2980851013174
bert,2,11,1,16,bert,8,12,1,32,11091.0,11198.989795918367,612.8645936093536
bert,6,11,1,64,bert,1,9,1,8,10092.5,10157.224489795919,459.68248870351596
bert,0,7,1,64,bert,1,12,1,8,13702.5,14050.826530612245,1107.9857070608937
bert,0,8,1,32,bert,5,12,1,16,10468.5,10900.642857142857,1430.6581563057198
bert,1,11,1,16,bert,6,12,1,8,12185.0,12526.377551020409,1105.4342162403057
bert,0,6,1,64,bert,1,11,1,8,12405.5,12655.602040816326,998.6362102407454
bert,3,11,1,8,bert,5,10,1,16,9972.5,10343.979591836734,987.2818589294861
bert,7,11,1,16,bert,4,11,1,64,9910.0,9983.316326530612,383.9871011050724
bert,2,10,1,8,bert,2,11,1,16,11340.0,11866.387755102041,1349.947335576338
bert,3,7,1,32,bert,4,12,1,64,10762.5,10886.989795918367,537.6558244919908
bert,0,11,1,64,bert,2,6,1,64,14181.0,14191.908163265307,70.35581387210297
bert,7,12,1,64,bert,8,12,1,8,6716.5,6833.938775510204,565.0045659256817
bert,2,10,1,32,bert,5,10,1,8,10472.0,10567.448979591836,529.7278878367836
bert,7,12,1,16,bert,5,11,1,8,7752.5,7968.826530612245,889.8630028189298
bert,0,11,1,32,bert,5,12,1,16,14217.0,14463.030612244898,930.9761878416637
bert,3,10,1,8,bert,5,10,1,32,9092.5,9193.020408163266,883.2834959838118
bert,4,10,1,64,bert,0,6,1,64,8742.0,8949.622448979591,1107.5307847134002
bert,8,12,1,16,bert,2,6,1,8,5309.5,5585.632653061224,946.5435443669547
bert,8,12,1,8,bert,3,12,1,8,11255.5,11334.061224489797,551.759556778548
bert,5,11,1,64,bert,5,11,1,8,7975.5,8464.836734693878,1437.3794444133364
bert,1,9,1,32,bert,6,11,1,8,10447.5,10635.836734693878,766.4358233431052
bert,0,6,1,8,bert,8,12,1,64,7531.0,7725.530612244898,650.1625260558934
bert,5,12,1,8,bert,1,5,1,32,8697.0,8816.642857142857,609.217886862713
bert,4,8,1,16,bert,8,12,1,8,5312.5,5540.673469387755,772.1652537456246
bert,3,9,1,16,bert,8,12,1,16,7528.0,7565.408163265306,260.3887923829811
