model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,11,14,1,0,bert,0,10,1,8,9379.5,9417.69387755102,196.3774171398423
inception_v3,0,14,1,0,bert,6,8,1,64,15481.0,16475.673469387755,1891.1425537711011
inception_v3,0,14,1,0,bert,0,4,1,32,15515.0,15546.173469387755,238.36120016711237
inception_v3,0,12,1,0,bert,0,12,1,8,13974.5,14000.326530612245,207.67880299754708
inception_v3,0,14,1,0,bert,0,12,1,32,15565.0,15634.173469387755,300.1017863213571
inception_v3,0,14,1,0,bert,0,11,1,8,15648.0,16038.163265306122,1226.3397895635976
inception_v3,3,14,1,0,bert,0,12,1,64,13723.0,14042.489795918367,994.4333761956077
inception_v3,0,13,1,0,bert,0,12,1,32,15530.5,15719.826530612245,870.940437354114
inception_v3,0,14,1,0,bert,0,9,1,8,15459.0,15658.326530612245,810.6210742577697
inception_v3,0,14,1,0,bert,0,4,1,8,15417.0,15446.581632653062,217.06657134928545
inception_v3,10,14,1,0,bert,0,12,1,8,11114.5,11212.877551020409,270.26522367610744
inception_v3,0,4,1,0,bert,0,12,1,64,11022.0,11089.030612244898,253.81358473806
inception_v3,3,14,1,0,bert,0,8,1,64,15326.0,15274.285714285714,1698.2564047653495
inception_v3,0,14,1,0,bert,11,12,1,64,15325.5,15336.010204081633,207.61097327070004
inception_v3,0,14,1,0,bert,0,12,1,16,15501.5,15773.265306122448,1004.1487058649294
inception_v3,0,7,1,0,bert,6,12,1,32,8434.5,8372.102040816326,1452.7006833143425
inception_v3,0,14,1,0,bert,0,12,1,8,15494.5,15895.826530612245,1141.9023871352165
inception_v3,0,6,1,0,bert,0,12,1,16,11192.5,11248.173469387755,260.11073095385956
inception_v3,9,12,1,0,bert,0,12,1,8,11155.0,11227.132653061224,257.3200436268907
inception_v3,0,9,1,0,bert,0,12,1,64,11162.0,11478.081632653062,610.1506116085716
inception_v3,0,14,1,0,bert,0,12,1,64,15644.0,15686.418367346938,325.42060455158986
inception_v3,0,14,1,0,bert,0,11,1,32,15671.5,15681.591836734693,184.353798980838
inception_v3,0,14,1,0,bert,0,10,1,32,15647.0,15833.530612244898,867.4597703320444
inception_v3,13,14,1,0,bert,0,12,1,8,11481.5,11360.918367346938,334.1921320007579
inception_v3,8,14,1,0,bert,0,11,1,32,10200.5,10277.80612244898,307.31834382657917
inception_v3,0,14,1,0,bert,11,12,1,32,15334.5,15396.316326530612,375.32474637791796
inception_v3,0,14,1,0,bert,0,2,1,16,15375.0,15387.122448979591,203.74179664498138
inception_v3,0,5,1,0,bert,0,12,1,32,11131.5,11247.704081632653,433.0858945107271
inception_v3,0,13,1,0,bert,0,12,1,16,15532.0,15547.030612244898,233.55073976008362
inception_v3,6,7,1,0,bert,0,12,1,64,11052.0,11221.224489795919,428.6540998980805
inception_v3,0,5,1,0,bert,0,12,1,16,11052.0,11089.724489795919,199.07745291065172
inception_v3,1,11,1,0,bert,0,12,1,32,12015.0,13147.326530612245,1347.601548750255
inception_v3,6,14,1,0,bert,0,12,1,8,11197.5,11253.081632653062,250.41380746429104
