model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,9,13,1,0,inception_v3,8,13,1,0,9639.0,10374.040816326531,1855.0472292704096
inception_v3,3,9,1,0,inception_v3,0,4,1,0,10464.5,12396.683673469388,3035.439401325811
inception_v3,4,9,1,0,inception_v3,5,9,1,0,8908.0,10558.469387755102,2646.2698051627217
inception_v3,7,11,1,0,inception_v3,2,7,1,0,7700.0,8953.438775510203,2197.9079759492565
inception_v3,9,13,1,0,inception_v3,0,5,1,0,7428.0,8330.326530612245,2097.586405875203
inception_v3,4,12,1,0,inception_v3,0,6,1,0,16216.0,16837.816326530614,3583.2325058184338
inception_v3,5,13,1,0,inception_v3,4,8,1,0,17722.0,17766.602040816328,3504.7425441552996
inception_v3,5,12,1,0,inception_v3,1,10,1,0,15931.5,16479.724489795917,2895.599968779556
inception_v3,2,11,1,0,inception_v3,7,13,1,0,17558.0,17947.673469387755,3665.000308420819
inception_v3,3,12,1,0,inception_v3,3,12,1,0,18579.5,18560.244897959183,3548.1660915879315
inception_v3,6,10,1,0,inception_v3,3,10,1,0,12138.5,12745.244897959185,1274.4762754793371
inception_v3,6,10,1,0,inception_v3,4,9,1,0,8818.5,10471.020408163266,2419.6326293071843
inception_v3,9,13,1,0,inception_v3,5,13,1,0,14435.0,14670.57142857143,727.6987630853293
inception_v3,1,11,1,0,inception_v3,6,13,1,0,15366.5,18120.622448979593,3955.0734081149085
inception_v3,7,12,1,0,inception_v3,7,13,1,0,11711.0,12218.775510204081,1281.3782083638062
inception_v3,9,13,1,0,inception_v3,5,13,1,0,14457.0,14579.489795918367,608.0935119565344
inception_v3,2,12,1,0,inception_v3,5,9,1,0,16536.5,16806.724489795917,867.6703006469332
inception_v3,0,6,1,0,inception_v3,0,10,1,0,14584.5,14656.959183673469,343.7921749524228
inception_v3,9,13,1,0,inception_v3,8,12,1,0,7737.0,8118.326530612245,1182.0047979417643
inception_v3,9,13,1,0,inception_v3,5,13,1,0,14451.0,14523.602040816326,313.3262868586857
inception_v3,9,13,1,0,inception_v3,3,8,1,0,8020.5,8445.377551020409,1133.761146382722
inception_v3,7,11,1,0,inception_v3,8,12,1,0,7718.5,8296.081632653062,1542.645578573125
inception_v3,6,11,1,0,inception_v3,5,13,1,0,14418.0,14651.061224489797,831.3915531318013
inception_v3,9,13,1,0,inception_v3,7,13,1,0,11688.0,11908.255102040815,771.2943310611265
inception_v3,4,8,1,0,inception_v3,9,13,1,0,7626.5,8040.081632653061,1440.4967303228436
inception_v3,4,12,1,0,inception_v3,4,12,1,0,13932.5,14949.683673469388,2237.588035422083
inception_v3,7,11,1,0,inception_v3,9,13,1,0,7631.0,8124.693877551021,1394.1448802421407
inception_v3,6,11,1,0,inception_v3,2,12,1,0,16513.0,16631.26530612245,590.7238477550563
inception_v3,3,7,1,0,inception_v3,4,8,1,0,6643.5,6917.4795918367345,914.5870957464663
inception_v3,1,11,1,0,inception_v3,4,12,1,0,15192.5,15708.489795918367,1470.4766563378869
inception_v3,2,12,1,0,inception_v3,5,11,1,0,16469.0,16663.428571428572,740.3773169327728
inception_v3,4,13,1,0,inception_v3,0,12,1,0,17703.0,18440.969387755104,1884.6678127375692
inception_v3,2,9,1,0,inception_v3,1,10,1,0,13892.5,14438.969387755102,1399.8606304833263
inception_v3,3,13,1,0,inception_v3,2,11,1,0,17220.5,18200.163265306124,2128.9254868234543
inception_v3,2,12,1,0,inception_v3,9,13,1,0,16522.0,16581.438775510203,485.41484606692245
inception_v3,1,11,1,0,inception_v3,4,10,1,0,15141.5,15365.387755102041,833.3236702757813
inception_v3,6,11,1,0,inception_v3,5,11,1,0,10777.5,11114.244897959185,1010.3344976629506
inception_v3,7,12,1,0,inception_v3,9,13,1,0,9472.5,9893.724489795919,1387.9031223955626
inception_v3,2,8,1,0,inception_v3,1,9,1,0,11765.5,12275.938775510203,1375.8026660256908
inception_v3,2,12,1,0,inception_v3,6,10,1,0,16406.5,16667.14285714286,855.293218607466
inception_v3,6,13,1,0,inception_v3,6,12,1,0,13416.5,14254.908163265307,1828.277164306659
inception_v3,0,8,1,0,inception_v3,7,13,1,0,11696.0,12219.387755102041,1353.9387939671594
inception_v3,4,8,1,0,inception_v3,3,10,1,0,12104.0,12145.463917525773,227.6187833939132
inception_v3,3,10,1,0,inception_v3,7,12,1,0,12175.0,13428.234693877552,2462.6772216390864
inception_v3,7,13,1,0,inception_v3,9,13,1,0,11523.0,13895.30612244898,3286.16810657282
inception_v3,1,9,1,0,inception_v3,1,12,1,0,16961.5,18727.69387755102,2838.7059045296496
inception_v3,0,5,1,0,inception_v3,0,9,1,0,13520.5,14957.020408163266,3107.7236500850254
inception_v3,6,12,1,0,inception_v3,7,13,1,0,15363.0,15373.367346938776,2491.6150789780754
inception_v3,2,6,1,0,inception_v3,8,12,1,0,8004.5,9192.489795918367,2053.059231751376
inception_v3,4,9,1,0,inception_v3,2,13,1,0,22947.0,22865.469387755104,3722.419597147285
inception_v3,6,13,1,0,inception_v3,6,13,1,0,17265.5,17369.38775510204,3464.067765257926
inception_v3,6,13,1,0,inception_v3,3,8,1,0,16618.5,16434.316326530614,2866.0627533360075
inception_v3,6,13,1,0,inception_v3,2,13,1,0,22321.0,22947.0,3616.2643426495206
inception_v3,5,13,1,0,inception_v3,6,11,1,0,15102.0,16687.551020408162,2643.239922559669
inception_v3,0,5,1,0,inception_v3,3,9,1,0,12404.0,12447.602040816326,2378.8068426607724
inception_v3,4,8,1,0,inception_v3,8,12,1,0,8814.5,9465.632653061224,2075.9400397722707
inception_v3,7,12,1,0,inception_v3,2,12,1,0,17315.0,19182.030612244896,3603.295329799761
inception_v3,3,12,1,0,inception_v3,8,12,1,0,15100.5,15640.92857142857,1610.329046423464
inception_v3,8,12,1,0,inception_v3,4,10,1,0,11940.5,13106.061224489797,2677.6324137547963
inception_v3,9,13,1,0,inception_v3,3,8,1,0,7947.0,8850.673469387755,1917.0773875105538
inception_v3,5,10,1,0,inception_v3,7,11,1,0,9310.0,9637.38144329897,1198.703728073324
inception_v3,0,5,1,0,inception_v3,2,12,1,0,16538.5,16766.602040816328,692.1404797216418
inception_v3,0,9,1,0,inception_v3,0,9,1,0,12763.0,13552.377551020409,2106.317337155578
