model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,0,14,1,0,vgg19,0,20,1,0,15708.0,15776.30612244898,354.98569698588767
inception_v3,0,14,1,0,vgg19,0,8,1,0,15650.0,15752.234693877552,395.79856763671296
inception_v3,0,14,1,0,vgg19,0,22,1,0,15710.0,15749.857142857143,247.52728153082603
inception_v3,0,11,1,0,vgg19,0,22,1,0,12608.5,12629.520408163266,170.06236728677024
inception_v3,0,14,1,0,vgg19,16,22,1,0,15640.0,15661.265306122448,235.20813843949279
inception_v3,0,14,1,0,vgg19,7,22,1,0,15670.5,15689.091836734693,207.10739039892056
inception_v3,0,2,1,0,vgg19,0,22,1,0,3241.0,3261.9489795918366,159.2940659212837
inception_v3,12,14,1,0,vgg19,0,10,1,0,2454.5,2864.081632653061,902.0751549471055
inception_v3,0,14,1,0,vgg19,12,16,1,0,15540.5,15633.326530612245,568.101183419159
inception_v3,0,14,1,0,vgg19,1,22,1,0,15629.5,15664.275510204081,260.67384346258456
inception_v3,0,14,1,0,vgg19,14,15,1,0,15508.0,15504.255102040815,203.16341624037278
inception_v3,0,10,1,0,vgg19,0,22,1,0,11511.5,11742.214285714286,831.8130094276364
inception_v3,0,8,1,0,vgg19,0,22,1,0,8439.5,8446.92857142857,81.08929947777277
inception_v3,0,14,1,0,vgg19,0,21,1,0,15378.0,15407.591836734693,224.83013255520194
inception_v3,6,14,1,0,vgg19,0,5,1,0,10469.0,10474.295918367347,166.8398480019071
inception_v3,0,14,1,0,vgg19,12,22,1,0,15436.0,16222.397959183674,1988.070543136141
inception_v3,0,14,1,0,vgg19,0,14,1,0,15676.0,16051.887755102041,1558.2904610086243
inception_v3,5,13,1,0,vgg19,0,22,1,0,11268.0,12225.204081632653,1900.2118676674336
inception_v3,0,9,1,0,vgg19,0,22,1,0,10122.0,10781.418367346938,1527.715073361825
inception_v3,8,8,1,0,vgg19,0,22,1,0,2885.5,2950.2755102040815,160.34565855231762
inception_v3,13,14,1,0,vgg19,0,22,1,0,2887.5,3030.0714285714284,357.5746318559788
inception_v3,11,14,1,0,vgg19,0,17,1,0,4426.0,4469.734693877551,471.0686624205671
inception_v3,0,14,1,0,vgg19,0,3,1,0,15403.5,15625.765306122448,883.269330513013
inception_v3,12,14,1,0,vgg19,0,22,1,0,3222.0,3240.9795918367345,364.8351592994539
inception_v3,0,14,1,0,vgg19,11,22,1,0,15413.5,15457.65306122449,242.38269209950698
inception_v3,9,14,1,0,vgg19,0,22,1,0,5901.5,5908.571428571428,118.57280549975037
inception_v3,0,14,1,0,vgg19,0,9,1,0,15390.5,15432.714285714286,271.66249318608857
inception_v3,0,14,1,0,vgg19,14,22,1,0,15391.5,15430.816326530612,228.28756243390885
inception_v3,0,14,1,0,vgg19,0,15,1,0,15431.0,15487.326530612245,239.83862667874627
inception_v3,2,14,1,0,vgg19,0,11,1,0,14859.0,15068.755102040815,864.2481817260748
inception_v3,4,14,1,0,vgg19,0,22,1,0,12574.0,12574.724489795919,146.92263552230926
inception_v3,0,14,1,0,vgg19,9,20,1,0,15641.0,15671.326530612245,207.88643757777868
inception_v3,3,14,1,0,vgg19,0,22,1,0,13739.5,13766.122448979591,196.0542024858683
inception_v3,0,7,1,0,vgg19,8,22,1,0,7075.5,7071.15306122449,107.166507108009
inception_v3,0,14,1,0,vgg19,15,22,1,0,15646.0,15659.65306122449,232.9453865241246
inception_v3,11,14,1,0,vgg19,0,14,1,0,4337.5,4320.591836734694,662.1234368663044
inception_v3,8,10,1,0,vgg19,0,22,1,0,4352.5,4512.7040816326535,743.8682296244173
inception_v3,0,14,1,0,vgg19,0,1,1,0,15390.0,15530.867346938776,738.3211877500987
inception_v3,0,14,1,0,vgg19,0,5,1,0,15377.5,15404.377551020409,241.58399541977545
inception_v3,0,3,1,0,vgg19,19,22,1,0,2931.0,3038.5408163265306,679.313656753929
inception_v3,0,14,1,0,vgg19,10,22,1,0,15590.5,16089.15306122449,1470.359440659163
inception_v3,0,14,1,0,vgg19,4,22,1,0,15605.5,15624.34693877551,257.4280601723485
inception_v3,0,9,1,0,vgg19,7,22,1,0,10034.5,10042.775510204081,135.90163989731877
inception_v3,0,13,1,0,vgg19,0,22,1,0,15479.0,15492.091836734693,230.87053915934888
inception_v3,0,7,1,0,vgg19,21,22,1,0,6939.5,6950.306122448979,113.50208198785096
inception_v3,0,1,1,0,vgg19,0,22,1,0,3269.0,3285.530612244898,84.35399220941456
inception_v3,0,14,1,0,vgg19,20,22,1,0,15555.0,16336.387755102041,1853.7465903069253
inception_v3,0,14,1,0,vgg19,21,21,1,0,15618.0,15626.551020408164,265.9292188491785
inception_v3,5,14,1,0,vgg19,0,7,1,0,11343.0,11343.591836734693,171.99002324735702
