model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,12,29,1,0,bert,4,11,1,32,11010.0,12793.520408163266,2940.1957356389084
resnet101,14,18,1,0,bert,4,10,1,64,9419.5,9589.57142857143,627.4832951675173
resnet101,2,30,1,0,bert,5,10,1,16,18521.0,20761.102040816328,3833.47145518927
resnet101,27,32,1,0,bert,4,11,1,8,10703.5,10765.142857142857,368.5141705247588
resnet101,11,21,1,0,bert,2,10,1,8,12322.5,12484.704081632653,578.7627057570115
resnet101,4,33,1,0,bert,4,8,1,32,18494.5,19479.45918367347,2487.170120341128
resnet101,8,22,1,0,bert,3,8,1,32,8918.0,9354.42857142857,1235.7028158014334
resnet101,27,33,1,0,bert,4,8,1,32,6491.0,6644.061224489796,608.7318838829156
resnet101,10,18,1,0,bert,5,11,1,64,9362.5,9585.275510204081,699.2205832883694
resnet101,8,15,1,0,bert,7,11,1,16,6095.5,6300.897959183673,640.3737188484185
resnet101,19,29,1,0,bert,0,9,1,8,13158.0,13442.204081632653,1031.1722273375676
resnet101,24,28,1,0,bert,3,11,1,16,11955.5,13026.275510204081,2389.604931827974
resnet101,2,19,1,0,bert,6,10,1,16,10834.5,11084.448979591836,989.7785788508559
resnet101,13,29,1,0,bert,3,10,1,32,10874.5,10923.612244897959,250.4270080895324
resnet101,5,33,1,0,bert,4,9,1,8,17693.0,17722.979591836734,246.24166740659538
resnet101,29,33,1,0,bert,0,10,1,8,14557.5,14658.204081632653,644.680144694198
resnet101,27,32,1,0,bert,7,11,1,8,6147.0,6208.255102040816,295.02297770161624
resnet101,6,10,1,0,bert,6,11,1,64,7931.5,7995.408163265306,312.3458260252599
resnet101,1,14,1,0,bert,6,11,1,64,8580.5,9114.857142857143,1408.5632932248404
resnet101,18,31,1,0,bert,1,11,1,8,14602.5,14934.622448979591,800.8756115716903
resnet101,19,30,1,0,bert,5,9,1,32,6991.5,7205.163265306122,678.2170607613061
resnet101,7,15,1,0,bert,6,10,1,64,6437.0,6557.224489795918,557.1946593245863
resnet101,29,34,1,0,bert,4,9,1,32,7896.0,7987.918367346939,359.17316253173584
resnet101,26,30,1,0,bert,1,8,1,16,10360.0,10486.224489795919,826.1364162024091
resnet101,22,28,1,0,bert,7,11,1,8,6120.5,6123.571428571428,97.1839198927183
resnet101,7,33,1,0,bert,4,11,1,8,16468.5,16584.530612244896,399.2164060491613
resnet101,4,14,1,0,bert,7,11,1,32,6714.0,7083.908163265306,1179.0476015276292
resnet101,21,26,1,0,bert,2,7,1,64,7935.5,8007.816326530612,383.00560412958566
resnet101,2,23,1,0,bert,1,5,1,16,13231.0,13259.540816326531,248.85391044183083
resnet101,22,31,1,0,bert,1,6,1,16,7551.5,7804.459183673469,991.6945523036422
resnet101,12,22,1,0,bert,7,11,1,8,6421.5,6697.9795918367345,971.3370332879151
resnet101,30,34,1,0,bert,4,11,1,16,10362.5,10367.908163265307,54.26636623904046
resnet101,16,24,1,0,bert,2,7,1,8,7531.5,7645.8877551020405,476.09191109411444
resnet101,10,32,1,0,bert,4,9,1,32,13816.5,13946.112244897959,479.89639363676474
resnet101,9,32,1,0,bert,6,11,1,16,14407.0,14437.040816326531,141.02922828969415
resnet101,9,20,1,0,bert,5,11,1,32,9403.0,9689.397959183674,1105.4768916422536
resnet101,27,31,1,0,bert,5,10,1,16,7576.0,7607.734693877551,216.15997246089307
resnet101,23,27,1,0,bert,0,6,1,8,8927.0,9012.816326530612,581.6434202368948
resnet101,16,32,1,0,bert,1,8,1,64,10856.0,11207.65306122449,1104.3044177129896
resnet101,9,16,1,0,bert,2,7,1,16,7523.0,7541.081632653061,120.45463821174425
resnet101,7,13,1,0,bert,7,11,1,64,6396.0,6416.826530612245,134.08503435873726
resnet101,19,31,1,0,bert,0,4,1,8,7660.5,7811.0,616.2549498911194
resnet101,29,33,1,0,bert,6,10,1,32,6473.5,6568.081632653061,600.6478079993943
resnet101,24,33,1,0,bert,4,9,1,64,7925.0,8057.602040816327,600.1807846653784
resnet101,8,18,1,0,bert,1,5,1,8,6510.5,6875.8877551020405,1087.10876502442
resnet101,0,23,1,0,bert,3,9,1,16,14166.5,14381.836734693878,672.8653577581257
resnet101,26,32,1,0,bert,1,9,1,8,11737.5,11810.673469387755,333.988597370745
resnet101,0,8,1,0,bert,5,11,1,16,8929.5,8974.69387755102,206.29582524504957
resnet101,15,34,1,0,bert,7,11,1,8,12342.0,12401.418367346938,264.67877810849876
resnet101,30,34,1,0,bert,6,11,1,32,7929.0,7967.938775510204,273.81964928250585
resnet101,1,29,1,0,bert,7,11,1,32,17521.0,17583.377551020407,649.290672860307
resnet101,8,22,1,0,bert,0,6,1,32,9417.0,10072.408163265307,1659.4929508168789
resnet101,20,34,1,0,bert,4,11,1,16,10351.5,10703.704081632653,1171.6173733669098
