model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,6,16,1,0,inception_v3,6,14,1,0,12295.5,14112.510204081633,3072.695882216422
resnet50,9,15,1,0,inception_v3,7,12,1,0,8722.5,9679.785714285714,2621.309974935028
resnet50,3,18,1,0,inception_v3,6,13,1,0,11977.5,11938.765306122448,989.2841959866679
resnet50,2,12,1,0,inception_v3,7,11,1,0,6806.0,6835.693877551021,176.02048861281804
resnet50,14,18,1,0,inception_v3,9,13,1,0,6392.5,6414.857142857143,144.11977728293098
resnet50,5,13,1,0,inception_v3,1,6,1,0,5003.5,5127.285714285715,670.7561374436818
resnet50,8,17,1,0,inception_v3,5,14,1,0,13508.0,15461.591836734693,3521.837298321961
resnet50,8,18,1,0,inception_v3,6,11,1,0,8478.5,9444.275510204081,2194.817475469142
resnet50,3,14,1,0,inception_v3,9,13,1,0,6389.5,6627.357142857143,860.0235788177258
resnet50,13,17,1,0,inception_v3,9,14,1,0,6823.0,6856.183673469388,360.0346170130452
resnet50,7,18,1,0,inception_v3,5,11,1,0,9260.0,9320.489795918367,222.33580251401298
resnet50,8,14,1,0,inception_v3,6,12,1,0,9979.0,9985.663265306122,55.40793869988694
resnet50,14,18,1,0,inception_v3,8,13,1,0,8233.5,9548.112244897959,2259.6887445165894
resnet50,3,12,1,0,inception_v3,9,13,1,0,6461.5,7003.673469387755,1500.0695614857755
resnet50,3,18,1,0,inception_v3,7,12,1,0,8703.0,9868.714285714286,2072.8312246090577
resnet50,3,8,1,0,inception_v3,7,11,1,0,6852.0,6865.948979591837,141.60626445045372
resnet50,10,15,1,0,inception_v3,6,11,1,0,8401.5,8391.683673469388,56.22342400560273
resnet50,4,17,1,0,inception_v3,2,13,1,0,15549.5,15886.438775510203,1352.638533146828
resnet50,0,10,1,0,inception_v3,1,11,1,0,12935.0,14725.765306122448,2718.515782033219
resnet50,12,17,1,0,inception_v3,2,14,1,0,15840.0,16964.214285714286,2654.50951021011
