model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,12,18,1,0,vgg16,1,17,1,0,3650.0,3904.683673469388,818.0607556517584
resnet50,5,17,1,0,vgg16,10,14,1,0,6956.0,7051.938775510204,385.0298376014495
resnet50,13,17,1,0,vgg16,4,15,1,0,2988.0,3071.2244897959185,344.0910395257083
resnet50,10,18,1,0,vgg16,1,17,1,0,4661.5,4726.316326530612,447.0661868758698
resnet50,9,13,1,0,vgg16,1,14,1,0,2411.5,2528.908163265306,429.88498905045765
resnet50,0,9,1,0,vgg16,0,13,1,0,4766.0,4798.081632653061,204.68401099381973
resnet50,10,17,1,0,vgg16,8,18,1,0,4511.0,4546.5204081632655,372.33253267694636
resnet50,3,11,1,0,vgg16,11,19,1,0,4531.5,4586.84693877551,337.4686184062101
resnet50,9,14,1,0,vgg16,8,12,1,0,2952.5,3000.214285714286,323.0619530526677
resnet50,6,16,1,0,vgg16,13,18,1,0,5864.0,5892.164948453608,168.04262348425644
resnet50,9,18,1,0,vgg16,2,14,1,0,5160.5,5221.908163265306,295.07571102936197
resnet50,8,13,1,0,vgg16,2,19,1,0,3379.0,3557.3571428571427,706.8223552185759
resnet50,14,18,1,0,vgg16,10,14,1,0,2588.0,2649.918367346939,343.54005420956963
resnet50,6,16,1,0,vgg16,2,18,1,0,5869.0,5941.102040816327,366.3933285696191
resnet50,2,8,1,0,vgg16,1,7,1,0,3315.0,3357.7244897959185,356.97624058055374
resnet50,4,13,1,0,vgg16,14,19,1,0,5054.0,5069.632653061224,83.70177719263889
resnet50,11,16,1,0,vgg16,11,17,1,0,3293.5,3307.2244897959185,85.33135062947203
resnet50,14,18,1,0,vgg16,7,15,1,0,2645.0,2676.3571428571427,194.52806575748124
resnet50,14,18,1,0,vgg16,0,4,1,0,2633.0,2673.612244897959,234.15325666145347
resnet50,3,8,1,0,vgg16,7,14,1,0,2905.0,2923.0,70.61291435332058
resnet50,10,14,1,0,vgg16,14,19,1,0,2484.0,2588.3298969072166,490.5120766643749
resnet50,10,14,1,0,vgg16,12,16,1,0,2485.0,2536.4897959183672,333.0977133373488
resnet50,10,17,1,0,vgg16,13,17,1,0,4446.5,4454.316326530612,66.03703304543897
resnet50,7,12,1,0,vgg16,13,17,1,0,3022.0,3054.316326530612,200.775110099547
resnet50,1,13,1,0,vgg16,0,10,1,0,6539.0,6556.061224489796,88.41989529633537
resnet50,10,18,1,0,vgg16,11,17,1,0,4656.5,4672.530612244898,160.80303607155318
resnet50,13,18,1,0,vgg16,0,16,1,0,3045.0,3151.3298969072166,564.1447266538345
resnet50,13,17,1,0,vgg16,0,12,1,0,2949.5,2992.6428571428573,236.35416394962567
resnet50,1,12,1,0,vgg16,10,14,1,0,6016.5,6050.806122448979,124.87746305415622
resnet50,0,16,1,0,vgg16,13,18,1,0,8584.5,8584.642857142857,53.18359613601908
resnet50,12,18,1,0,vgg16,0,17,1,0,3657.0,3900.816326530612,885.5906405278837
resnet50,6,15,1,0,vgg16,5,16,1,0,5240.0,5593.2040816326535,1321.3017464945178
resnet50,3,17,1,0,vgg16,1,15,1,0,8079.5,8659.112244897959,1733.7262623341683
resnet50,3,7,1,0,vgg16,9,15,1,0,2436.5,2562.5408163265306,515.9858835350991
resnet50,5,16,1,0,vgg16,15,19,1,0,6392.5,6795.326530612245,1232.1056290484437
resnet50,1,6,1,0,vgg16,13,18,1,0,3028.0,3058.9897959183672,230.56662656080957
resnet50,13,17,1,0,vgg16,9,16,1,0,3034.0,3198.3505154639174,568.4736126443603
resnet50,0,12,1,0,vgg16,3,10,1,0,6367.0,6875.918367346939,1485.2492931235029
resnet50,5,15,1,0,vgg16,7,15,1,0,5748.0,5981.051020408163,862.0499106300784
resnet50,6,13,1,0,vgg16,5,10,1,0,3971.0,3999.8979591836733,137.7712900541401
resnet50,0,4,1,0,vgg16,5,19,1,0,2928.5,2993.326530612245,353.71133669178585
resnet50,7,15,1,0,vgg16,2,16,1,0,4773.5,4782.5204081632655,145.4525821879403
resnet50,7,11,1,0,vgg16,3,13,1,0,2510.5,2530.581632653061,111.71199517832541
resnet50,0,8,1,0,vgg16,12,16,1,0,4137.0,4231.663265306122,551.8876502029019
resnet50,8,12,1,0,vgg16,8,15,1,0,2580.0,2691.377551020408,561.886518343378
resnet50,0,15,1,0,vgg16,6,12,1,0,7998.0,8373.57142857143,1359.619259429729
resnet50,0,15,1,0,vgg16,1,14,1,0,8007.5,8002.785714285715,54.011194984683215
resnet50,4,12,1,0,vgg16,10,18,1,0,4513.0,4513.938775510204,68.61469116303435
resnet50,4,16,1,0,vgg16,13,19,1,0,6918.0,6932.214285714285,99.7242371211119
resnet50,1,8,1,0,vgg16,11,15,1,0,3906.5,3922.2244897959185,46.433303190144194
resnet50,6,15,1,0,vgg16,7,11,1,0,5179.0,5808.683673469388,1564.4128884830284
resnet50,7,18,1,0,vgg16,8,14,1,0,6252.0,6660.938775510204,1235.385677333911
resnet50,3,7,1,0,vgg16,7,16,1,0,2436.0,2454.061224489796,146.0405183031604
resnet50,4,18,1,0,vgg16,11,17,1,0,7733.5,7750.744897959184,87.62900824620851
resnet50,5,18,1,0,vgg16,8,14,1,0,7090.0,7094.8877551020405,71.07769285430588
resnet50,5,17,1,0,vgg16,15,19,1,0,6962.0,6991.2959183673465,82.79236497181361
resnet50,1,9,1,0,vgg16,11,18,1,0,4478.0,4511.826530612245,140.09202700660907
resnet50,14,18,1,0,vgg16,2,15,1,0,2501.0,2658.8469387755104,529.4284240235863
