model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg19,0,22,1,0,bert,0,12,1,8,11240.0,11316.479591836734,251.4285807464218
vgg19,0,22,1,0,bert,0,0,1,8,2886.5,2902.2551020408164,166.27180300330295
vgg19,0,9,1,0,bert,0,12,1,16,11171.5,11223.663265306122,242.34508807026967
vgg19,0,22,1,0,bert,7,12,1,64,5032.5,5040.7040816326535,71.21256040089051
vgg19,0,2,1,0,bert,0,12,1,8,11097.5,11213.714285714286,298.26395651352516
vgg19,0,22,1,0,bert,0,12,1,32,11192.5,11242.469387755102,203.05816016557728
vgg19,0,0,1,0,bert,0,12,1,32,11065.0,11143.142857142857,275.46939531480086
vgg19,0,3,1,0,bert,0,12,1,8,11124.0,11202.938144329897,274.8394400797684
vgg19,0,22,1,0,bert,9,12,1,32,3489.5,3664.2448979591836,273.7333374380797
vgg19,0,1,1,0,bert,0,12,1,64,11259.5,11397.80612244898,434.5071723454729
vgg19,0,14,1,0,bert,0,12,1,32,11266.0,11331.357142857143,228.05039946002626
vgg19,0,19,1,0,bert,0,12,1,8,11315.5,11363.65306122449,172.52495247158532
vgg19,0,22,1,0,bert,4,12,1,16,7829.5,7885.377551020408,239.27336920419918
vgg19,0,15,1,0,bert,0,12,1,8,11258.5,11386.704081632653,550.4422564978477
vgg19,0,22,1,0,bert,0,12,1,64,11258.0,11352.836734693878,292.7654105070095
vgg19,0,14,1,0,bert,0,12,1,8,11259.0,11410.989795918367,495.5131641180122
vgg19,0,22,1,0,bert,3,12,1,16,8623.5,8713.122448979591,291.89679701615125
vgg19,4,4,1,0,bert,0,12,1,8,11134.0,11195.540816326531,177.53356499933872
vgg19,0,6,1,0,bert,0,12,1,8,11146.5,11211.642857142857,186.1080029861967
vgg19,0,22,1,0,bert,0,3,1,64,3545.5,3621.173469387755,304.27370953885384
vgg19,0,22,1,0,bert,0,6,1,64,5969.0,5996.418367346939,129.7436973790224
vgg19,0,22,1,0,bert,0,9,1,8,8633.0,8677.247422680412,139.06751537855132
vgg19,0,22,1,0,bert,0,7,1,32,6835.5,6865.285714285715,135.06506368625244
vgg19,0,8,1,0,bert,0,12,1,32,11216.5,11251.357142857143,220.77822698401238
vgg19,6,22,1,0,bert,0,12,1,64,11302.5,11424.020408163266,339.3992285173918
vgg19,0,21,1,0,bert,6,12,1,8,6098.5,6191.908163265306,263.88460243589213
vgg19,0,22,1,0,bert,6,8,1,64,3077.0,3235.8367346938776,691.684289989233
vgg19,0,22,1,0,bert,8,12,1,16,4163.0,4182.908163265306,127.9488168342305
vgg19,0,22,1,0,bert,9,12,1,8,3414.0,3361.2244897959185,166.5366007826805
vgg19,0,22,1,0,bert,4,6,1,32,3083.0,3276.2448979591836,653.8812546074635
vgg19,0,22,1,0,bert,0,12,1,16,11177.0,11215.826530612245,180.99284152662423
vgg19,18,22,1,0,bert,0,12,1,8,11182.5,11236.683673469388,225.65833831660586
vgg19,0,22,1,0,bert,0,8,1,8,7769.5,7780.071428571428,151.90062876896909
vgg19,4,22,1,0,bert,0,7,1,64,6828.5,6847.0204081632655,96.9722219421873
vgg19,0,12,1,0,bert,0,12,1,16,11255.0,11321.959183673469,244.4225564245852
vgg19,0,22,1,0,bert,6,12,1,8,6056.0,6212.326530612245,648.1661064426498
vgg19,0,22,1,0,bert,7,8,1,8,3271.0,3293.887755102041,118.4941127146056
vgg19,0,22,1,0,bert,10,12,1,8,3508.0,3494.3979591836733,112.46203348431375
vgg19,0,22,1,0,bert,0,4,1,64,4184.0,4201.2040816326535,124.14433331225536
vgg19,5,22,1,0,bert,0,12,1,32,11297.5,11376.326530612245,234.7439236791655
vgg19,16,22,1,0,bert,0,12,1,8,11294.5,11391.061224489797,274.912038486173
vgg19,0,6,1,0,bert,0,12,1,32,11263.0,11297.948979591836,175.23543186408227
vgg19,4,22,1,0,bert,0,12,1,64,11344.0,11427.336734693878,296.77838030744283
vgg19,6,22,1,0,bert,0,8,1,8,7858.0,7925.489795918367,347.8569447021424
vgg19,9,22,1,0,bert,0,6,1,32,6095.5,6211.918367346939,517.2108612246682
vgg19,7,22,1,0,bert,0,12,1,8,11327.0,11364.642857142857,189.13472414538538
vgg19,16,16,1,0,bert,0,12,1,64,11191.5,11239.5,165.85340527350147
vgg19,10,22,1,0,bert,0,12,1,16,11408.0,11453.408163265307,247.9533710580991
vgg19,0,22,1,0,bert,0,0,1,64,3412.0,3438.765306122449,290.5105218165613
vgg19,7,8,1,0,bert,0,12,1,16,11245.0,11429.530612244898,394.36560277834474
vgg19,15,22,1,0,bert,0,12,1,64,11270.0,11360.642857142857,299.7947682352454
vgg19,12,22,1,0,bert,0,12,1,8,11326.5,11548.244897959185,822.3846121062037
vgg19,0,22,1,0,bert,3,12,1,64,8773.5,8814.673469387755,256.6272121791072
vgg19,0,22,1,0,bert,7,10,1,8,3468.0,3484.2244897959185,122.83135365641063
vgg19,0,18,1,0,bert,0,12,1,32,11384.0,11437.959183673469,260.43385773050863
vgg19,7,22,1,0,bert,0,9,1,64,8671.0,8694.397959183674,183.48117513382164
vgg19,0,22,1,0,bert,5,12,1,16,6908.5,6939.367346938776,130.73898187899883
vgg19,0,4,1,0,bert,0,12,1,8,11299.0,11404.204081632653,362.8165038880458
vgg19,21,22,1,0,bert,0,12,1,32,11232.5,11383.214285714286,470.1557329920652
vgg19,0,6,1,0,bert,2,12,1,8,9444.0,9649.551020408164,784.5472647726357
vgg19,2,22,1,0,bert,0,12,1,32,11298.5,11403.479591836734,448.23939553095494
vgg19,0,7,1,0,bert,0,12,1,8,11296.0,11327.876288659794,174.14689010912474
vgg19,13,22,1,0,bert,0,1,1,8,1847.0,1911.1530612244899,260.6236770941149
vgg19,0,22,1,0,bert,11,12,1,64,3233.0,3320.112244897959,490.57053171257274
vgg19,0,22,1,0,bert,4,12,1,64,7733.5,7736.857142857143,100.59253025377751
vgg19,0,0,1,0,bert,8,12,1,32,4394.0,4756.34693877551,954.7528700657527
vgg19,0,22,1,0,bert,0,2,1,16,3104.0,3212.438775510204,239.52052727533754
vgg19,0,20,1,0,bert,0,12,1,64,11333.5,11491.734693877552,380.7164178718212
vgg19,14,22,1,0,bert,0,12,1,16,11198.0,11279.357142857143,265.09321618122584
vgg19,19,20,1,0,bert,0,12,1,8,11173.5,11329.132653061224,372.0648022818645
vgg19,0,6,1,0,bert,0,12,1,16,11338.5,11461.5,331.1948452349524
vgg19,0,22,1,0,bert,0,7,1,16,7162.0,7143.826530612245,244.62295124480545
vgg19,0,22,1,0,bert,9,10,1,16,3507.0,3528.918367346939,113.17447911903574
vgg19,0,22,1,0,bert,0,10,1,64,9975.5,9977.081632653062,476.5703510066052
vgg19,0,1,1,0,bert,3,12,1,32,8562.5,8719.734693877552,546.3115010168408
vgg19,21,21,1,0,bert,0,12,1,64,11120.0,11229.438775510203,310.3540133436341
vgg19,0,22,1,0,bert,5,6,1,64,3686.5,3708.581632653061,817.2036431370813
vgg19,18,22,1,0,bert,0,12,1,16,11251.5,11345.326530612245,306.35739351520914
vgg19,0,21,1,0,bert,0,12,1,64,11308.0,11339.448979591836,149.46626965394196
vgg19,0,18,1,0,bert,0,12,1,8,11318.5,11368.418367346938,234.24389537356873
vgg19,9,10,1,0,bert,0,12,1,32,11149.5,11211.92857142857,222.22071442232235
vgg19,16,22,1,0,bert,0,12,1,16,11275.5,11353.510204081633,281.11673241345045
vgg19,0,22,1,0,bert,9,11,1,8,3390.0,3437.5204081632655,470.6936095522253
vgg19,0,22,1,0,bert,9,10,1,32,3215.5,3166.3673469387754,409.2280784089325
vgg19,0,10,1,0,bert,0,12,1,16,11269.5,11331.19387755102,232.38451852976678
vgg19,0,22,1,0,bert,2,3,1,8,3225.5,3346.9285714285716,448.2961678194814
vgg19,0,22,1,0,bert,7,12,1,32,5026.5,5033.0,82.95326936269109
vgg19,3,22,1,0,bert,0,7,1,16,6848.0,6884.530612244898,134.3552406701857
vgg19,0,22,1,0,bert,10,12,1,16,3229.5,3407.530612244898,506.8476042765218
vgg19,0,22,1,0,bert,0,6,1,32,5983.5,6048.183673469388,183.80404089064558
vgg19,0,22,1,0,bert,7,12,1,16,5097.0,5117.785714285715,129.86187717285293
vgg19,13,17,1,0,bert,0,12,1,64,11310.0,11458.224489795919,430.88493493663935
vgg19,0,22,1,0,bert,7,12,1,8,5066.5,5085.806122448979,89.87515810360652
vgg19,0,21,1,0,bert,0,12,1,32,11285.5,11336.357142857143,166.16424441632736
vgg19,4,22,1,0,bert,0,12,1,32,11403.5,11622.65306122449,1001.472722707595
vgg19,0,22,1,0,bert,1,7,1,32,6077.0,6160.377551020408,625.4961217078436
vgg19,0,22,1,0,bert,3,12,1,8,8620.5,8649.255102040815,131.1791352890911
vgg19,2,22,1,0,bert,0,12,1,64,11335.5,11467.989795918367,733.1382849052667
vgg19,0,22,1,0,bert,7,8,1,16,3246.0,3286.7448979591836,158.89942340890815
vgg19,18,22,1,0,bert,0,8,1,32,7630.0,7653.959183673469,121.60507494506483
vgg19,6,22,1,0,bert,0,12,1,32,11277.0,11506.448979591836,480.5090014330038
vgg19,0,22,1,0,bert,1,5,1,16,4311.5,4305.418367346939,228.7212421298382
vgg19,0,22,1,0,bert,2,12,1,64,9503.0,9660.265306122448,506.07084990430485
vgg19,0,11,1,0,bert,0,12,1,32,11247.5,11271.683673469388,165.93904689513195
vgg19,9,9,1,0,bert,0,12,1,32,11177.0,11249.173469387755,281.2035004829807
vgg19,0,9,1,0,bert,0,12,1,32,11248.0,11374.479591836734,342.71881821548266
vgg19,0,12,1,0,bert,0,12,1,64,11353.5,11443.530612244898,290.40756736927403
vgg19,1,1,1,0,bert,0,12,1,16,11212.5,11279.102040816326,198.39465357530088
vgg19,4,22,1,0,bert,0,12,1,8,11380.5,11573.19387755102,643.7775103400696
vgg19,0,22,1,0,bert,9,10,1,8,3259.0,3284.265306122449,146.27828880571
vgg19,0,22,1,0,bert,0,4,1,8,4151.0,4168.765306122449,112.71481088239125
vgg19,0,22,1,0,bert,1,11,1,8,9588.5,9707.234693877552,345.17194180376214
vgg19,21,22,1,0,bert,0,3,1,16,3238.5,3251.7244897959185,72.40557265342429
vgg19,0,1,1,0,bert,0,12,1,16,11226.5,11335.57142857143,284.1625002188224
vgg19,11,20,1,0,bert,0,12,1,64,11324.5,11429.80612244898,328.6548545692021
vgg19,0,22,1,0,bert,8,12,1,8,4145.0,4190.714285714285,285.5340502944457
vgg19,20,22,1,0,bert,0,1,1,32,1355.5,1355.9183673469388,142.61226680139546
vgg19,0,22,1,0,bert,0,8,1,64,7739.0,7871.163265306122,374.7689817353758
vgg19,6,22,1,0,bert,0,12,1,8,11206.5,11315.173469387755,293.1897771385892
vgg19,0,9,1,0,bert,6,12,1,32,5897.0,5952.765306122449,176.09533601933762
vgg19,0,16,1,0,bert,0,12,1,64,11302.0,11381.336734693878,235.77929596481601
vgg19,0,8,1,0,bert,0,12,2,64,11278.0,11379.622448979591,305.33375901462733
vgg19,0,22,1,0,bert,9,12,2,8,3469.5,3518.265306122449,172.05329922999644
vgg19,0,22,1,0,bert,0,12,2,16,11265.5,11344.510204081633,265.0972576590065
vgg19,0,12,1,0,bert,0,12,2,8,11216.0,11253.84693877551,163.79014398351052
vgg19,8,22,1,0,bert,0,2,2,8,2687.5,2699.438775510204,73.01706067434536
vgg19,14,22,1,0,bert,0,11,2,8,10326.5,10398.816326530612,237.30925087271868
vgg19,0,22,1,0,bert,0,12,2,32,11316.0,11365.010204081633,173.223195346584
vgg19,8,22,1,0,bert,0,3,2,64,3229.0,3231.908163265306,71.60151730445295
vgg19,0,22,1,0,bert,0,12,2,64,11460.5,11562.357142857143,405.68129267257297
vgg19,0,22,1,0,bert,1,12,2,64,10527.0,10758.632653061224,855.5725185184372
vgg19,0,22,1,0,bert,0,12,2,8,11301.0,11425.051020408164,710.7799161721248
vgg19,0,22,1,0,bert,9,11,2,16,3373.0,3377.7551020408164,83.83220135588269
vgg19,0,22,1,0,bert,0,1,2,8,3420.5,3336.061224489796,207.88059839806445
vgg19,0,12,1,0,bert,3,12,2,8,8715.5,8820.836734693878,262.35813246585366
vgg19,0,22,1,0,bert,0,2,2,16,3212.0,3433.6938775510203,740.6902655998338
vgg19,0,22,1,0,bert,10,11,2,64,3191.5,3148.714285714286,585.2093991182358
vgg19,0,13,1,0,bert,0,12,2,16,11901.0,11751.551020408164,411.3099065590965
vgg19,0,1,1,0,bert,0,12,2,64,11262.5,11320.173469387755,178.09462203606103
vgg19,9,22,1,0,bert,0,1,2,8,2323.5,2619.1530612244896,686.9099449641335
vgg19,0,22,1,0,bert,5,12,2,64,6922.5,6936.061224489796,104.97267052754395
