model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,15,20,1,0,vgg19,18,22,1,0,bert,1,7,1,16,7664.0,7736.061224489796,366.28010961631725
resnet152,48,52,1,0,vgg19,9,17,1,0,bert,7,11,1,8,5420.5,5512.5204081632655,472.6386899272635
resnet152,24,36,1,0,vgg19,12,20,1,0,bert,2,7,1,64,6943.0,7356.908163265306,991.4960360612633
resnet152,44,50,1,0,vgg19,13,18,1,0,bert,8,12,1,32,5510.5,5601.091836734694,343.4216509504379
resnet152,18,46,1,0,vgg19,1,19,1,0,bert,0,6,1,16,15170.0,15250.142857142857,519.4478622851893
resnet152,23,45,1,0,vgg19,9,13,1,0,bert,5,10,1,8,11946.0,12119.622448979591,660.0692220240164
resnet152,20,42,1,0,vgg19,7,14,1,0,bert,6,10,1,64,12082.5,12140.65306122449,320.1407567356615
resnet152,45,50,1,0,vgg19,10,15,1,0,bert,3,8,1,8,6502.0,6563.806122448979,269.0538470558948
resnet152,10,50,1,0,vgg19,18,22,1,0,bert,8,12,1,64,21692.5,21868.98979591837,707.5894188087909
resnet152,27,48,1,0,vgg19,8,16,1,0,bert,2,11,1,16,11453.0,12171.69387755102,1783.4499209607095
resnet152,34,49,1,0,vgg19,17,22,1,0,bert,6,10,1,16,8602.0,9187.663265306122,1645.3560804603073
resnet152,34,46,1,0,vgg19,14,19,1,0,bert,7,12,1,8,6794.0,7308.34693877551,1358.3875878471354
resnet152,25,52,1,0,vgg19,13,17,1,0,bert,5,11,1,64,14763.5,16355.469387755102,2960.834225397866
resnet152,48,52,1,0,vgg19,8,22,1,0,bert,3,11,1,16,10095.0,10108.091836734693,107.91872288758626
resnet152,33,52,1,0,vgg19,11,17,1,0,bert,3,10,1,32,10710.0,11895.673469387755,2564.4845835161586
resnet152,40,46,1,0,vgg19,4,14,1,0,bert,8,12,1,64,5572.5,5692.316326530612,471.26732300621524
resnet152,40,44,1,0,vgg19,11,22,1,0,bert,3,12,1,8,11157.5,11147.887755102041,251.33171359425725
resnet152,18,24,1,0,vgg19,5,9,1,0,bert,1,12,1,8,13388.0,13411.612244897959,183.00215414440083
resnet152,26,43,1,0,vgg19,10,21,1,0,bert,7,12,1,8,9428.5,10093.479591836734,1867.756862807121
resnet152,30,46,1,0,vgg19,5,16,1,0,bert,3,7,1,64,8940.5,9807.836734693878,2197.7153243343023
resnet152,45,51,1,0,vgg19,3,21,1,0,bert,3,8,1,32,7036.0,7164.438775510204,513.1917147104776
resnet152,3,27,1,0,vgg19,7,15,1,0,bert,0,8,1,64,13303.0,14960.377551020409,2946.884936139004
resnet152,18,48,1,0,vgg19,15,21,1,0,bert,2,9,1,16,16162.5,17824.591836734693,3109.91918930621
resnet152,17,46,1,0,vgg19,1,13,1,0,bert,4,10,1,32,15746.0,16770.173469387755,2479.0232771565256
resnet152,48,52,1,0,vgg19,13,21,1,0,bert,2,12,1,32,13148.5,13075.867346938776,183.01609373612655
resnet152,20,50,1,0,vgg19,16,21,1,0,bert,1,8,1,32,16515.0,18197.102040816328,3127.868138465637
resnet152,24,37,1,0,vgg19,18,22,1,0,bert,7,11,1,32,7373.0,7901.326530612245,1504.6656742735056
resnet152,27,49,1,0,vgg19,13,19,1,0,bert,0,11,1,32,14387.5,15062.663265306122,1566.3978691791335
