model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,0,14,4,0,bert,0,12,4,8,15173.5,15280.836734693878,579.7413514395274
inception_v3,0,14,4,0,bert,0,12,4,16,15039.0,15121.734693877552,330.87017464528935
inception_v3,4,14,4,0,bert,0,12,4,32,12284.0,13249.5,1792.5699271932326
inception_v3,0,14,4,0,bert,0,12,4,64,15140.5,15238.887755102041,576.7112580452933
inception_v3,0,13,4,0,bert,9,12,4,16,14850.5,14870.816326530612,234.58740797055233
inception_v3,2,14,4,0,bert,0,6,4,8,14180.5,14194.387755102041,241.9937860837003
inception_v3,0,14,4,0,bert,8,12,4,16,15188.0,15799.214285714286,1438.950490915557
inception_v3,0,14,4,0,bert,6,11,4,32,15169.0,15494.040816326531,1087.610777077747
inception_v3,0,14,4,0,bert,0,5,4,16,15171.0,15167.612244897959,206.84913326309862
inception_v3,0,14,4,0,bert,8,12,4,64,15163.5,15176.030612244898,191.27378892100347
inception_v3,12,14,4,0,bert,0,12,4,16,11351.5,11372.183673469388,265.93920384480293
inception_v3,0,8,4,0,bert,0,12,4,64,11201.0,11333.051020408164,557.6564001804553
inception_v3,0,7,4,0,bert,0,12,4,16,11288.5,11354.867346938776,437.7747449329673
inception_v3,1,3,4,0,bert,0,12,4,64,10986.5,11059.020408163266,195.98635831284628
inception_v3,5,14,4,0,bert,0,4,4,16,11043.0,12029.877551020409,1360.429413489682
inception_v3,0,14,4,0,bert,3,5,4,32,14933.5,14991.673469387755,409.92960509441286
inception_v3,0,14,4,0,bert,5,12,4,64,15004.0,15090.438775510203,467.3083382374594
inception_v3,0,4,4,0,bert,0,12,4,8,11239.5,11342.224489795919,263.990125457422
inception_v3,11,14,4,0,bert,0,12,4,64,11073.0,11163.387755102041,281.68072940733845
inception_v3,0,14,4,0,bert,2,12,4,8,15497.5,16777.591836734693,2044.2594679194367
inception_v3,10,14,4,0,bert,0,12,4,32,11216.0,11238.551020408164,202.6627903207479
inception_v3,0,14,4,0,bert,0,3,4,32,15243.0,16610.88775510204,2081.5432995278397
inception_v3,0,14,4,0,bert,8,10,4,64,14961.5,14969.765306122448,222.3822688305262
inception_v3,0,13,4,0,bert,0,12,4,32,14966.0,14968.061224489797,152.39869946459723
inception_v3,0,14,4,0,bert,8,11,4,16,15030.5,15032.102040816326,215.41021567289522
inception_v3,0,14,4,0,bert,0,4,4,16,15008.0,15023.938775510203,233.9251937085056
inception_v3,0,8,4,0,bert,10,12,4,32,8171.5,8178.602040816327,114.46768903306192
inception_v3,0,14,4,0,bert,0,0,4,64,14910.5,14925.612244897959,225.49232452899818
inception_v3,0,14,4,0,bert,1,12,4,64,15157.0,15549.979591836734,1215.2486264437014
inception_v3,0,14,4,0,bert,11,12,4,16,14939.0,14974.387755102041,335.77168605495154
inception_v3,2,14,4,0,bert,0,12,4,32,14279.0,14509.326530612245,883.2927355316953
inception_v3,11,14,4,0,bert,0,12,4,8,11198.5,11246.938775510203,182.13802886186153
inception_v3,0,14,4,0,bert,0,1,4,16,15235.5,16244.040816326531,1970.3576797346034
inception_v3,10,14,4,0,bert,0,12,4,8,11335.0,11546.795918367347,786.947213944087
inception_v3,7,14,4,0,bert,0,10,4,32,9929.0,10505.948979591836,1018.5656318453465
inception_v3,0,13,4,0,bert,0,12,4,64,15153.0,15411.326530612245,940.3108775500706
inception_v3,0,14,4,0,bert,0,12,4,32,15138.0,15365.57142857143,842.7464697314953
inception_v3,5,12,4,0,bert,0,12,4,64,11422.0,11562.540816326531,691.0975472121131
inception_v3,7,14,4,0,bert,0,12,4,8,11385.5,11463.336734693878,397.16245953363614
inception_v3,0,7,4,0,bert,6,12,4,64,7887.5,7464.142857142857,1461.5342581530897
inception_v3,4,14,4,0,bert,0,6,4,32,11960.5,11991.142857142857,143.6496588572208
inception_v3,0,14,4,0,bert,0,11,4,64,15190.5,15491.469387755102,1076.4236155358626
inception_v3,0,14,4,0,bert,0,6,4,64,15215.0,15222.408163265307,184.05133693412458
inception_v3,0,14,4,0,bert,8,8,4,64,15059.0,15067.15306122449,228.96137950963572
inception_v3,0,14,4,0,bert,9,12,4,32,15189.0,15185.020408163266,215.91683865822029
inception_v3,8,14,4,0,bert,0,10,4,8,9746.5,9930.010204081633,678.4567345912363
inception_v3,0,14,4,0,bert,6,12,4,32,14970.0,14993.5,212.6561970958413
inception_v3,0,14,4,0,bert,0,8,4,8,15021.5,15027.42857142857,231.11393956493512
inception_v3,1,14,4,0,bert,0,5,4,16,14467.0,14477.775510204081,220.79917602867945
inception_v3,0,6,4,0,bert,0,12,4,32,11397.0,11612.938775510203,972.3166194694297
inception_v3,0,14,4,0,bert,0,8,4,64,15178.5,16633.448979591838,2116.2843165844724
inception_v3,8,14,4,0,bert,0,12,4,8,11361.5,11501.15306122449,689.2855862626204
inception_v3,0,14,4,0,bert,10,11,4,32,15068.0,15915.418367346938,1842.740555135256
inception_v3,12,14,4,0,bert,0,12,4,64,11157.5,11426.897959183674,744.7050161078836
inception_v3,0,14,4,0,bert,0,9,4,32,15233.0,16233.510204081633,1604.2873886576808
inception_v3,0,14,4,0,bert,1,8,4,64,15050.5,15066.57142857143,164.0001244399727
inception_v3,0,4,4,0,bert,1,12,4,16,10544.0,10657.714285714286,359.4105434951932
inception_v3,0,6,4,0,bert,3,12,4,64,8465.5,8574.255102040815,264.2105804870731
inception_v3,0,14,4,0,bert,0,0,4,8,14903.5,15159.255102040815,982.3500385240767
inception_v3,10,14,4,0,bert,0,9,4,8,8703.5,8906.19387755102,907.1514471827627
inception_v3,0,14,4,0,bert,11,12,4,32,15348.5,16882.418367346938,2172.669480594676
inception_v3,0,9,4,0,bert,0,12,4,32,11366.0,11405.989795918367,214.0515623032174
inception_v3,0,14,4,0,bert,0,8,4,32,15037.5,15057.836734693878,257.2440552407086
inception_v3,2,14,4,0,bert,0,12,4,64,14257.5,14502.908163265307,859.2957971945506
inception_v3,0,14,4,0,bert,0,10,4,8,15028.5,15063.622448979591,224.26467213877604
