model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,0,5,4,0,vgg16,0,19,4,0,4594.0,4719.561224489796,302.1820665651797
inception_v3,0,3,4,0,vgg16,9,19,4,0,2318.0,2399.765306122449,207.9345364517306
inception_v3,0,14,4,0,vgg16,13,19,4,0,15178.0,15279.836734693878,291.9946076479157
inception_v3,0,14,4,0,vgg16,0,19,4,0,15489.5,15712.959183673469,951.1730021224744
inception_v3,0,10,4,0,vgg16,0,19,4,0,11348.0,11341.744897959185,156.07921270058512
inception_v3,0,14,4,0,vgg16,0,13,4,0,15292.5,15284.959183673469,208.81203921657053
inception_v3,0,12,4,0,vgg16,0,19,4,0,13625.0,13687.448979591836,236.10193762004232
inception_v3,0,3,4,0,vgg16,0,19,4,0,3110.0,3110.2551020408164,77.32429868965339
inception_v3,0,14,4,0,vgg16,0,5,4,0,15320.0,15679.816326530612,1198.082280119995
inception_v3,0,4,4,0,vgg16,2,19,4,0,3510.0,3698.8979591836733,386.1544707781557
inception_v3,0,14,4,0,vgg16,6,19,4,0,15297.0,15516.19387755102,955.5110680609646
inception_v3,0,14,4,0,vgg16,0,17,4,0,15388.0,15465.57142857143,529.2436651891613
inception_v3,0,14,4,0,vgg16,11,15,4,0,15342.5,15361.908163265307,235.1322722289843
inception_v3,0,14,4,0,vgg16,14,19,4,0,15348.5,15368.724489795919,226.42711944609914
inception_v3,0,14,4,0,vgg16,0,16,4,0,15012.0,15582.69387755102,1273.0674301855538
inception_v3,0,14,4,0,vgg16,0,12,4,0,14910.0,14981.938775510203,218.4408487779407
inception_v3,0,14,4,0,vgg16,11,19,4,0,15610.0,16559.632653061224,2353.0980550952313
inception_v3,0,14,4,0,vgg16,0,18,4,0,15470.0,15465.408163265307,267.7372240796018
inception_v3,5,14,4,0,vgg16,0,19,4,0,11226.5,11227.010204081633,157.71451183329802
inception_v3,0,14,4,0,vgg16,7,19,4,0,15331.5,15514.07142857143,797.8890292899285
inception_v3,0,14,4,0,vgg16,3,19,4,0,15284.0,15282.938775510203,214.68000944578765
inception_v3,0,14,4,0,vgg16,8,19,4,0,15239.5,15255.438775510203,231.33468405641258
inception_v3,0,2,4,0,vgg16,0,19,4,0,3013.5,3115.7551020408164,443.7930217426121
inception_v3,0,11,4,0,vgg16,0,19,4,0,12243.0,12460.163265306122,751.4364162257203
inception_v3,0,14,4,0,vgg16,1,19,4,0,15302.5,15297.010204081633,195.8854045931228
inception_v3,12,14,4,0,vgg16,0,13,4,0,2125.5,2178.2755102040815,272.6184363707442
inception_v3,7,14,4,0,vgg16,0,19,4,0,8812.0,8803.897959183674,118.850574148495
inception_v3,0,14,4,0,vgg16,6,13,4,0,15154.5,15194.724489795919,210.67935694098324
inception_v3,0,6,4,0,vgg16,5,19,4,0,5253.0,5342.938775510204,410.2934692941619
inception_v3,11,14,4,0,vgg16,0,19,4,0,3534.5,3777.5,448.1856223048842
inception_v3,0,0,4,0,vgg16,0,19,4,0,2839.5,2838.6938775510203,39.321907526151506
inception_v3,0,14,4,0,vgg16,5,16,4,0,15265.0,15258.326530612245,207.53877314215555
inception_v3,0,14,4,0,vgg16,0,9,4,0,15190.5,15231.081632653062,233.07363614686713
inception_v3,0,11,4,0,vgg16,18,19,4,0,12219.5,12220.295918367347,201.4287846596477
inception_v3,11,14,4,0,vgg16,0,12,4,0,3447.5,3458.173469387755,76.22295780226987
inception_v3,0,8,4,0,vgg16,0,19,4,0,8325.5,8325.92857142857,82.62359326043202
inception_v3,0,14,4,0,vgg16,0,3,4,0,15402.0,15861.132653061224,1300.1403663447588
inception_v3,9,14,4,0,vgg16,0,19,4,0,6063.0,6499.734693877551,1090.5325655620913
inception_v3,6,14,4,0,vgg16,0,19,4,0,10514.5,10678.469387755102,635.9381661008457
inception_v3,4,14,4,0,vgg16,0,19,4,0,12130.0,12368.867346938776,846.5436044527772
inception_v3,8,12,4,0,vgg16,0,19,4,0,5777.5,5782.714285714285,71.57228399830966
inception_v3,0,14,4,0,vgg16,0,7,4,0,15109.5,15149.510204081633,231.67012283469802
inception_v3,0,11,4,0,vgg16,12,19,4,0,12197.5,12201.959183673469,225.46554641395164
inception_v3,0,9,4,0,vgg16,0,19,4,0,9848.0,9846.58762886598,142.08257745419462
inception_v3,5,6,4,0,vgg16,0,19,4,0,2814.0,2873.581632653061,236.14808236675924
inception_v3,0,2,4,0,vgg16,4,19,4,0,2396.0,2531.765306122449,462.449706057934
inception_v3,3,14,4,0,vgg16,0,7,4,0,13319.0,13309.775510204081,237.50774554984153
inception_v3,0,14,4,0,vgg16,0,15,4,0,15450.0,15490.795918367347,214.29528355698554
inception_v3,2,14,4,0,vgg16,0,19,4,0,14579.5,14594.530612244898,214.62935322777287
inception_v3,10,13,4,0,vgg16,0,19,4,0,4300.0,4306.428571428572,94.2169662783401
inception_v3,0,12,4,0,vgg16,9,19,4,0,13860.0,13857.173469387755,208.38102980319704
inception_v3,0,9,4,0,vgg16,5,19,4,0,9970.5,9968.561224489797,116.0984861936615
