model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,4,0,bert,0,12,4,16,16946.5,16996.316326530614,217.0230213001854
resnet101,0,35,4,0,bert,0,12,4,8,16897.0,16932.316326530614,155.6128501159191
resnet101,0,35,4,0,bert,1,7,4,32,16873.5,16940.561224489797,322.5322026740368
resnet101,31,35,4,0,bert,0,12,4,16,11349.0,11467.775510204081,563.335212683558
resnet101,20,35,4,0,bert,0,12,4,64,11410.5,11584.418367346938,705.0381944129041
resnet101,11,35,4,0,bert,0,12,4,32,14085.5,13679.469387755102,2317.543343073021
resnet101,26,35,4,0,bert,0,10,4,16,9670.0,9707.84693877551,191.76502160466353
resnet101,0,17,4,0,bert,2,12,4,32,10275.0,10189.775510204081,299.54971413270385
resnet101,0,35,4,0,bert,0,12,4,64,16914.5,16964.683673469386,312.4802556028263
resnet101,0,35,4,0,bert,6,12,4,32,16794.5,16866.255102040817,366.46439009631354
resnet101,0,35,4,0,bert,8,12,4,32,16822.5,16820.877551020407,201.55706465507444
resnet101,0,35,4,0,bert,4,12,4,64,16886.0,16911.65306122449,175.73612535826274
resnet101,0,35,4,0,bert,9,10,4,16,16747.0,16779.11224489796,242.87881763164137
resnet101,20,35,4,0,bert,0,8,4,8,7851.5,7880.510204081633,267.62398404226076
resnet101,0,32,4,0,bert,11,12,4,32,15562.0,15587.612244897959,243.5236079010914
resnet101,0,29,4,0,bert,0,12,4,8,14411.0,16747.01020408163,4160.719819726296
resnet101,14,35,4,0,bert,0,6,4,64,10141.5,10147.234693877552,159.2668663429472
resnet101,0,35,4,0,bert,9,12,4,64,16733.5,16817.85714285714,316.60639956402963
resnet101,0,23,4,0,bert,9,12,4,64,11336.0,11328.886597938144,155.22573361748294
resnet101,0,14,4,0,bert,8,12,4,8,7145.0,7147.2040816326535,82.50033508697237
resnet101,31,35,4,0,bert,0,12,4,8,11319.0,11373.42857142857,234.0935187274609
resnet101,0,35,4,0,bert,0,10,4,32,17188.0,18653.928571428572,2177.5925540910202
resnet101,0,34,4,0,bert,0,12,4,32,16931.5,16935.23469387755,126.4793119342261
resnet101,7,35,4,0,bert,0,11,4,16,13905.0,13981.602040816326,400.90684804847325
resnet101,15,24,4,0,bert,0,12,4,32,11283.5,11333.622448979591,236.00940465981444
resnet101,0,14,4,0,bert,4,12,4,8,7847.5,7965.5,302.67613357636026
resnet101,0,35,4,0,bert,8,9,4,16,16681.0,16717.69387755102,213.3161593505439
resnet101,0,35,4,0,bert,0,9,4,64,16798.0,16801.520408163266,154.9796714511252
resnet101,0,35,4,0,bert,0,3,4,16,16707.0,16709.469387755104,193.15005291337997
resnet101,0,35,4,0,bert,0,12,4,32,16893.5,16879.35714285714,145.36233756951444
resnet101,0,6,4,0,bert,0,12,4,8,11412.0,11484.816326530612,348.5931300896351
resnet101,0,35,4,0,bert,0,2,4,16,16939.5,18379.5,2329.1537319685144
resnet101,28,35,4,0,bert,0,12,4,8,11252.5,11292.744897959185,234.15943074021473
resnet101,0,35,4,0,bert,0,7,4,8,17098.5,18062.70408163265,1961.5885285373847
resnet101,10,35,4,0,bert,0,6,4,16,12258.5,12900.826530612245,1450.0371355238346
resnet101,0,17,4,0,bert,0,12,4,16,11484.0,11541.051020408164,304.446013191072
resnet101,0,14,4,0,bert,0,12,4,32,11356.0,11464.602040816326,526.0192969959958
resnet101,0,35,4,0,bert,0,6,4,16,16822.5,17049.438775510203,950.263197335741
resnet101,25,30,4,0,bert,0,12,4,16,11238.5,11275.795918367347,211.6858935648776
resnet101,31,35,4,0,bert,0,12,4,64,11118.5,11183.785714285714,276.6326396991844
resnet101,0,35,4,0,bert,8,12,4,8,17109.5,18427.081632653062,2270.638185366906
resnet101,0,28,4,0,bert,0,12,4,16,13976.0,14381.244897959185,1186.0472085213623
resnet101,0,35,4,0,bert,0,7,4,16,16974.0,16983.163265306124,182.57934779815324
