model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,14,4,0,resnet152,0,52,4,0,24675.5,24955.04081632653,1061.22094603019
resnet101,0,35,4,0,resnet152,0,4,4,0,16852.5,18905.469387755104,3525.0309977044426
resnet101,0,35,4,0,resnet152,0,52,4,0,24716.0,26958.34693877551,4463.462888976018
resnet101,24,35,4,0,resnet152,0,52,4,0,24425.5,24426.285714285714,204.87512373768226
resnet101,0,34,4,0,resnet152,33,52,4,0,20071.0,20536.76530612245,3891.731585121598
resnet101,26,35,4,0,resnet152,0,52,4,0,24968.0,27419.591836734693,3703.1135819401607
resnet101,0,35,4,0,resnet152,34,36,4,0,21364.5,21834.673469387755,4252.846057319181
resnet101,24,35,4,0,resnet152,0,5,4,0,6808.5,6749.051020408163,1210.522566973462
resnet101,0,35,4,0,resnet152,0,40,4,0,24067.5,23750.836734693876,3186.1121362521144
resnet101,0,35,4,0,resnet152,0,2,4,0,16967.0,19559.051020408162,3788.690483403147
resnet101,28,28,4,0,resnet152,0,52,4,0,24390.0,24707.29591836735,1852.350207164763
resnet101,24,32,4,0,resnet152,0,52,4,0,24666.5,25967.877551020407,3138.275326644011
resnet101,0,35,4,0,resnet152,0,22,4,0,16580.0,18599.80612244898,3333.7059560175676
resnet101,0,24,4,0,resnet152,0,52,4,0,24645.5,26664.979591836734,3482.862243578803
resnet101,0,35,4,0,resnet152,29,52,4,0,16740.0,17831.30612244898,1637.484091888225
resnet101,33,35,4,0,resnet152,0,25,4,0,12206.5,12550.683673469388,982.2977290561934
resnet101,0,35,4,0,resnet152,14,52,4,0,20199.0,21293.367346938776,2790.7385219166067
resnet101,0,27,4,0,resnet152,0,52,4,0,24483.5,24528.30612244898,232.7035605773422
resnet101,0,35,4,0,resnet152,40,47,4,0,16614.5,17379.418367346938,1735.1185451677613
resnet101,2,35,4,0,resnet152,0,52,4,0,24639.5,25692.48979591837,2147.0329087185337
resnet101,0,35,4,0,resnet152,39,52,4,0,16357.5,16658.23469387755,1078.1132688307791
resnet101,0,17,4,0,resnet152,0,52,4,0,24744.5,26795.683673469386,3332.0819090948407
resnet101,0,5,4,0,resnet152,42,52,4,0,5033.5,5356.969387755102,821.391209760035
resnet101,0,13,4,0,resnet152,0,52,4,0,24467.0,24749.091836734693,1284.0918023537633
resnet101,0,35,4,0,resnet152,0,31,4,0,16534.0,17696.73469387755,1749.226852833527
resnet101,0,35,4,0,resnet152,47,52,4,0,16293.5,16459.163265306124,831.2716309154595
resnet101,0,35,4,0,resnet152,28,52,4,0,16427.5,16440.48979591837,246.95584356598434
resnet101,0,35,4,0,resnet152,0,25,4,0,16429.5,16520.724489795917,487.2320567813165
resnet101,0,35,4,0,resnet152,0,5,4,0,16271.5,16274.316326530612,227.2429068486764
resnet101,8,35,4,0,resnet152,0,52,4,0,24550.5,25699.214285714286,2291.232576450447
resnet101,0,35,4,0,resnet152,0,44,4,0,21449.5,22801.132653061224,2745.238997951281
resnet101,0,35,4,0,resnet152,18,41,4,0,16698.5,16988.551020408162,1569.2738742153574
resnet101,0,9,4,0,resnet152,12,52,4,0,18752.0,19439.714285714286,2195.5760761409406
resnet101,0,35,4,0,resnet152,0,3,4,0,16398.5,17958.744897959183,2377.6602171867066
resnet101,0,35,4,0,resnet152,36,52,4,0,16320.0,16347.102040816326,163.5937907231873
resnet101,0,35,4,0,resnet152,0,7,4,0,16472.0,16472.826530612245,200.64096401030312
resnet101,24,26,4,0,resnet152,0,52,4,0,24337.5,25862.397959183672,3072.4198424966703
resnet101,1,35,4,0,resnet152,0,52,4,0,24693.0,26815.071428571428,3745.95249664793
resnet101,0,31,4,0,resnet152,0,52,4,0,24594.5,24646.88775510204,306.19111287750417
resnet101,24,35,4,0,resnet152,0,28,4,0,13563.0,13635.102040816326,332.9766643106194
resnet101,0,35,4,0,resnet152,0,0,4,0,16688.5,18185.73469387755,2382.8912919402137
resnet101,20,35,4,0,resnet152,0,52,4,0,24507.5,24907.602040816328,1554.9911656668528
resnet101,13,35,4,0,resnet152,0,52,4,0,24643.5,25230.979591836734,1739.4230276075057
resnet101,0,30,4,0,resnet152,0,52,4,0,24905.5,24919.132653061224,185.44137297628222
resnet101,0,35,4,0,resnet152,4,52,4,0,23445.0,23724.64285714286,1256.520294304871
resnet101,8,35,4,0,resnet152,0,44,4,0,21137.5,21490.285714285714,1233.1609044753773
resnet101,0,25,4,0,resnet152,12,52,4,0,19446.5,19654.45918367347,690.6213435528634
resnet101,0,32,4,0,resnet152,19,52,4,0,16131.0,17001.73469387755,1305.628713599669
resnet101,28,35,4,0,resnet152,0,52,4,0,24677.0,24661.173469387755,218.092660774914
resnet101,0,35,4,0,resnet152,0,49,4,0,23938.0,24150.418367346938,969.9525753551824
resnet101,8,8,4,0,resnet152,0,52,4,0,24651.5,24663.5,277.90801040074024
resnet101,0,35,4,0,resnet152,0,19,4,0,16597.0,17797.29591836735,2094.4374638511745
resnet101,0,35,4,0,resnet152,0,18,4,0,16469.5,17706.14285714286,2148.9997530887504
resnet101,0,35,4,0,resnet152,0,34,4,0,16810.5,18123.30612244898,1785.4787810885957
resnet101,25,35,4,0,resnet152,0,52,4,0,24454.0,24467.639175257733,243.10373610155872
resnet101,0,18,4,0,resnet152,26,52,4,0,12609.0,13355.510204081633,1601.3530136686518
resnet101,0,35,4,0,resnet152,16,52,4,0,18161.0,19373.34693877551,2539.020275867473
resnet101,0,35,4,0,resnet152,23,28,4,0,16531.0,16555.132653061224,184.2547946240229
resnet101,0,28,4,0,resnet152,3,52,4,0,23764.0,24907.14285714286,2371.193990118799
resnet101,0,35,4,0,resnet152,0,36,4,0,17464.0,18847.469387755104,1951.0031339428258
resnet101,27,35,4,0,resnet152,0,52,4,0,24409.0,24676.285714285714,1321.9869862584633
resnet101,0,35,4,0,resnet152,0,21,4,0,16779.5,18163.95918367347,2014.053248583549
resnet101,29,35,4,0,resnet152,0,46,4,0,21989.0,23023.04081632653,2453.665025947616
resnet101,22,29,4,0,resnet152,0,52,4,0,24547.5,24828.030612244896,1290.549467333321
resnet101,0,35,4,0,resnet152,0,33,4,0,16503.5,17475.908163265307,1642.599011315354
resnet101,0,35,4,0,resnet152,25,52,4,0,16519.0,17632.785714285714,2210.1156690110506
resnet101,16,35,4,0,resnet152,0,52,4,0,24489.0,25115.744897959183,2032.051649026349
resnet101,12,35,4,0,resnet152,0,52,4,0,24251.0,24293.683673469386,220.71486809626242
resnet101,0,35,4,0,resnet152,0,28,4,0,16707.0,18445.571428571428,2423.655705662798
resnet101,21,35,4,0,resnet152,0,52,4,0,24467.5,24511.438775510203,296.0277864207928
resnet101,0,4,4,0,resnet152,0,52,4,0,24657.5,25374.38775510204,2314.577973753478
resnet101,0,35,4,0,resnet152,0,35,4,0,17261.5,17293.581632653062,233.2351412013464
resnet101,0,23,4,0,resnet152,0,52,4,0,24753.5,24811.255102040817,242.46839942323848
resnet101,3,29,4,0,resnet152,0,52,4,0,24830.0,24882.908163265307,218.754269310394
resnet101,0,8,4,0,resnet152,0,52,4,0,24802.5,24827.030612244896,243.98278853990251
resnet101,0,22,4,0,resnet152,0,52,4,0,24929.5,24951.35714285714,209.50540638876708
resnet101,30,35,4,0,resnet152,0,52,4,0,24766.5,24771.183673469386,211.08197203247337
resnet101,0,35,4,0,resnet152,0,13,4,0,16504.0,16820.469387755104,1344.2718854919622
resnet101,3,35,4,0,resnet152,0,52,4,0,24891.0,26570.5,2854.339275380485
resnet101,0,6,4,0,resnet152,0,52,4,0,24361.0,24669.95918367347,1365.8684679731848
resnet101,0,35,4,0,resnet152,26,52,4,0,16766.0,18534.26530612245,2682.022837531633
resnet101,5,25,4,0,resnet152,0,52,4,0,24491.0,24544.816326530614,210.26238937695356
resnet101,0,35,4,0,resnet152,10,52,4,0,20508.5,21269.908163265307,2083.544042558328
resnet101,0,35,4,0,resnet152,44,52,4,0,16265.5,16261.19387755102,175.10490489308876
resnet101,23,35,4,0,resnet152,0,35,4,0,17096.0,17972.897959183672,1801.0965678526316
resnet101,0,26,4,0,resnet152,0,52,4,0,24679.0,25376.428571428572,2109.3134921493447
resnet101,0,35,4,0,resnet152,16,39,4,0,16708.0,17632.85714285714,1722.6397754372117
resnet101,0,35,4,0,resnet152,0,16,4,0,16642.0,16647.04081632653,131.65345034251368
resnet101,0,32,4,0,resnet152,0,52,4,0,24699.0,26062.26530612245,2425.904676824964
resnet101,0,34,4,0,resnet152,0,52,4,0,24667.0,24701.214285714286,184.83888461388779
resnet101,0,35,4,0,resnet152,33,35,4,0,16404.5,17493.76530612245,2102.9112124309395
resnet101,12,35,4,0,resnet152,0,22,4,0,11065.0,11722.755102040815,1559.1125619535353
resnet101,0,6,4,0,resnet152,24,52,4,0,13597.0,13598.69387755102,172.97878884732384
resnet101,0,35,4,0,resnet152,0,20,4,0,16804.5,18444.397959183672,2408.0260471326515
resnet101,0,2,4,0,resnet152,0,52,4,0,24179.0,24208.071428571428,270.7400006633369
resnet101,0,35,4,0,resnet152,34,52,4,0,16660.5,17246.448979591838,1406.793024841912
resnet101,0,35,4,0,resnet152,24,52,4,0,16511.5,17266.29591836735,1939.6262590193032
resnet101,1,35,4,0,resnet152,0,9,4,0,16219.0,16239.387755102041,183.85035133715996
resnet101,23,35,4,0,resnet152,0,52,4,0,24191.0,25750.76530612245,3021.8291048297774
resnet101,24,33,4,0,resnet152,0,52,4,0,24080.5,24149.877551020407,229.72766775636322
resnet101,0,35,4,0,resnet152,0,1,4,0,16553.0,17907.122448979593,2290.4048936471872
resnet101,0,19,4,0,resnet152,0,52,4,0,24562.5,25100.969387755104,1822.566599405073
resnet101,33,35,4,0,resnet152,0,52,4,0,24367.0,24330.132653061224,244.43786563924047
resnet101,34,34,4,0,resnet152,0,52,4,0,24448.5,24416.26530612245,263.525607748454
resnet101,32,35,4,0,resnet152,0,40,4,0,19226.0,19392.948979591838,860.3266628349216
resnet101,0,35,4,0,resnet152,0,14,4,0,16504.0,17133.438775510203,1421.117152291561
resnet101,0,35,4,0,resnet152,15,27,4,0,16386.5,16385.30612244898,151.40534917377914
resnet101,14,32,4,0,resnet152,0,52,4,0,24938.5,26592.48979591837,3001.3296483490685
resnet101,15,15,4,0,resnet152,0,52,4,0,24593.0,24646.26530612245,239.81308839961892
resnet101,0,35,4,0,resnet152,21,52,4,0,16467.5,16703.918367346938,904.7211395092332
resnet101,0,29,4,0,resnet152,0,52,4,0,24952.0,24979.30612244898,167.1671782160592
resnet101,15,28,4,0,resnet152,0,52,4,0,24798.0,24826.23469387755,188.44610559707039
resnet101,0,7,4,0,resnet152,35,52,4,0,8406.5,8403.469387755102,66.64928067061842
resnet101,6,35,4,0,resnet152,0,52,4,0,24966.5,25034.775510204083,228.83616501912033
resnet101,29,35,4,0,resnet152,0,4,4,0,3525.5,3528.0510204081634,50.42480205438662
resnet101,16,23,4,0,resnet152,0,52,4,0,24761.0,24806.571428571428,251.73601333175048
resnet101,0,20,4,0,resnet152,0,52,4,0,24883.5,24943.244897959183,210.69777471508223
resnet101,27,35,4,0,resnet152,0,25,4,0,12353.5,12348.897959183674,155.6848917077028
resnet101,5,35,4,0,resnet152,0,27,4,0,14235.0,14649.204081632653,1040.9040219157976
resnet101,0,12,4,0,resnet152,0,52,4,0,24805.0,24838.38775510204,242.19997778244647
resnet101,0,35,4,0,resnet152,0,39,4,0,19964.0,19917.45918367347,1126.79277714216
resnet101,0,35,4,0,resnet152,16,32,4,0,16420.0,16536.85714285714,667.8541023612989
resnet101,0,35,4,0,resnet152,30,35,8,0,16340.5,16321.0,213.34235206276665
resnet101,26,35,4,0,resnet152,0,52,8,0,24373.0,25787.683673469386,2964.0542270953842
resnet101,0,35,4,0,resnet152,39,52,8,0,16675.0,17346.091836734693,1485.035264383972
resnet101,0,33,4,0,resnet152,45,52,8,0,15963.0,15953.357142857143,161.81812983364114
resnet101,0,35,4,0,resnet152,0,52,8,0,24400.0,25328.214285714286,2262.9026251291343
resnet101,0,35,4,0,resnet152,41,45,8,0,16297.5,17169.448979591838,1882.424186740462
resnet101,0,24,4,0,resnet152,0,52,8,0,24108.0,25122.469387755104,2180.422666403221
resnet101,0,16,4,0,resnet152,46,52,8,0,9434.0,9023.673469387755,872.505198809261
resnet101,0,35,4,0,resnet152,42,52,8,0,16053.5,16086.091836734693,148.74996736303493
resnet101,4,35,4,0,resnet152,0,52,8,0,24380.5,25853.48979591837,2513.8140923131537
resnet101,0,23,4,0,resnet152,0,52,8,0,24391.5,24768.428571428572,1496.9676969508346
resnet101,32,35,4,0,resnet152,0,52,8,0,24018.0,24009.428571428572,216.59710552647968
resnet101,0,35,4,0,resnet152,5,16,8,0,16882.0,18236.102040816328,2023.4570513275698
resnet101,8,35,4,0,resnet152,0,37,8,0,17547.5,17554.755102040817,133.27507699280676
resnet101,0,15,4,0,resnet152,0,52,8,0,23958.0,23988.04081632653,203.67470655221166
resnet101,0,35,4,0,resnet152,35,52,8,0,16229.5,17446.714285714286,1818.8009450049833
resnet101,0,35,4,0,resnet152,11,52,8,0,19483.5,19747.69387755102,997.6259821028107
resnet101,0,35,4,0,resnet152,0,9,8,0,16286.0,16302.816326530612,177.456539487599
resnet101,1,35,4,0,resnet152,0,23,8,0,16481.5,17463.255102040817,2094.869341360441
resnet101,7,35,4,0,resnet152,0,52,8,0,24098.0,24676.581632653062,1690.8884569800443
resnet101,0,35,4,0,resnet152,47,52,8,0,16613.0,17931.122448979593,2250.3449407486814
resnet101,32,34,4,0,resnet152,0,52,8,0,23975.5,25239.85714285714,2894.482523981213
resnet101,18,35,4,0,resnet152,0,13,8,0,9769.5,9486.255102040815,1851.1417894691015
resnet101,0,11,4,0,resnet152,0,52,8,0,24294.0,24845.255102040817,1991.783952258369
resnet101,0,6,4,0,resnet152,11,52,8,0,19249.0,19372.54081632653,743.0573242419038
