model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,0,24,4,0,inception_v3,0,14,4,0,15656.0,15818.234693877552,545.0353630358311
resnet152,0,52,4,0,inception_v3,0,10,4,0,24319.0,24385.463917525773,301.45680861599664
resnet152,0,42,4,0,inception_v3,0,14,4,0,20468.5,20717.326530612245,1081.773541652122
resnet152,29,52,4,0,inception_v3,0,8,4,0,11103.5,11112.142857142857,140.52409191367602
resnet152,0,52,4,0,inception_v3,0,14,4,0,24908.0,24998.64285714286,352.7836028051237
resnet152,25,38,4,0,inception_v3,0,14,4,0,15754.5,16406.255102040817,1807.3760228530678
resnet152,4,26,4,0,inception_v3,0,14,4,0,15713.0,15704.673469387755,163.1737383526018
resnet152,0,52,4,0,inception_v3,3,14,4,0,24528.0,24806.438775510203,1289.1820066428022
resnet152,24,33,4,0,inception_v3,0,14,4,0,15395.5,15583.857142857143,840.1691642102774
resnet152,0,52,4,0,inception_v3,13,14,4,0,24505.0,26051.918367346938,3147.1760703567106
resnet152,0,52,4,0,inception_v3,1,5,4,0,24550.5,25726.581632653062,2727.9861224266588
resnet152,0,52,4,0,inception_v3,3,7,4,0,24885.5,24941.88775510204,279.812797575088
resnet152,8,52,4,0,inception_v3,0,14,4,0,21079.0,22154.908163265307,2620.220632892467
resnet152,0,52,4,0,inception_v3,6,14,4,0,24455.0,24806.591836734693,1480.1556925604398
resnet152,26,32,4,0,inception_v3,0,14,4,0,15553.5,16805.520408163266,1916.65551730938
resnet152,0,52,4,0,inception_v3,8,9,4,0,24584.5,26456.571428571428,3365.397083645888
resnet152,0,8,4,0,inception_v3,0,14,4,0,15660.5,16493.520408163266,1705.889038844207
resnet152,0,32,4,0,inception_v3,0,14,4,0,15876.0,16946.826530612245,1516.4686423984374
resnet152,0,32,4,0,inception_v3,11,14,4,0,15398.5,15420.285714285714,190.67008583585695
resnet152,0,52,4,0,inception_v3,10,10,4,0,24306.0,24358.132653061224,248.51619409949114
resnet152,7,52,4,0,inception_v3,0,14,4,0,21588.0,22079.11224489796,1529.5132804772193
resnet152,0,52,4,0,inception_v3,0,1,4,0,24765.5,24749.530612244896,275.7750193686666
