model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,0,13,4,0,vgg16,0,19,4,0,6467.0,6488.102040816327,198.74671039741577
resnet152,0,31,4,0,vgg16,0,19,4,0,14713.5,14805.897959183674,385.94034353944556
resnet152,0,52,4,0,vgg16,0,19,4,0,24237.0,24269.836734693876,418.8861979271071
resnet152,39,52,4,0,vgg16,0,3,4,0,6290.5,6302.959183673469,94.07518903074468
resnet152,0,44,4,0,vgg16,0,19,4,0,20697.5,20758.88775510204,217.26424626984843
resnet152,0,52,4,0,vgg16,0,17,4,0,24132.0,24169.275510204083,247.7383733803624
resnet152,0,44,4,0,vgg16,8,19,4,0,20692.0,20737.64285714286,263.1070725629645
resnet152,22,52,4,0,vgg16,0,19,4,0,14110.5,14154.959183673469,216.48956794244162
resnet152,0,49,4,0,vgg16,0,19,4,0,23154.5,23166.081632653062,240.4214697817737
resnet152,40,52,4,0,vgg16,0,19,4,0,5939.5,6345.336734693878,619.3768419339164
resnet152,0,52,4,0,vgg16,4,19,4,0,24202.0,25212.724489795917,2609.449487569315
resnet152,0,52,4,0,vgg16,10,19,4,0,24348.5,24384.673469387755,350.9564417274659
resnet152,0,52,4,0,vgg16,0,6,4,0,24274.0,24302.826530612245,260.3355380222821
resnet152,0,50,4,0,vgg16,0,19,4,0,23671.0,23724.683673469386,228.11533052199428
resnet152,0,40,4,0,vgg16,13,19,4,0,19047.5,19078.45918367347,460.3822096326837
resnet152,33,52,4,0,vgg16,0,19,4,0,9132.5,9157.367346938776,116.91767448613996
resnet152,0,5,4,0,vgg16,0,19,4,0,3024.0,3026.030612244898,95.02378371257234
resnet152,21,24,4,0,vgg16,0,19,4,0,2786.5,2828.265306122449,170.2358238888348
resnet152,0,52,4,0,vgg16,0,16,4,0,24252.5,24352.84693877551,349.85143645934875
resnet152,0,52,4,0,vgg16,0,9,4,0,24168.0,24382.397959183672,1238.7825717194423
resnet152,0,52,4,0,vgg16,17,19,4,0,23983.0,24041.551020408162,310.6413419287351
resnet152,35,52,4,0,vgg16,0,17,4,0,8135.0,8317.57142857143,584.1642381581204
resnet152,0,52,4,0,vgg16,0,14,4,0,24025.0,24057.244897959183,244.53846829071531
resnet152,0,34,4,0,vgg16,0,19,4,0,16084.5,16096.642857142857,214.14725288540905
resnet152,0,12,4,0,vgg16,0,19,4,0,5776.0,5788.1122448979595,67.95885349555141
resnet152,26,52,4,0,vgg16,0,19,4,0,12211.0,12226.418367346938,168.3439702386212
resnet152,0,52,4,0,vgg16,0,11,4,0,24088.0,24136.377551020407,225.8476782740031
resnet152,0,52,4,0,vgg16,12,19,4,0,23977.5,24006.367346938776,256.81659412002614
resnet152,0,52,4,0,vgg16,15,19,4,0,24012.0,24032.091836734693,236.6341396667228
resnet152,0,52,4,0,vgg16,15,18,4,0,24168.5,25211.479591836734,2766.8212079066984
resnet152,0,16,4,0,vgg16,0,19,4,0,7852.5,8089.15306122449,635.6898286152725
resnet152,34,52,4,0,vgg16,0,6,4,0,8575.5,8562.387755102041,91.74961854484029
resnet152,33,52,4,0,vgg16,0,17,4,0,9048.0,9044.102040816326,118.9838344187055
resnet152,43,52,4,0,vgg16,0,19,4,0,4407.0,4443.285714285715,334.30717269344626
resnet152,2,52,4,0,vgg16,0,19,4,0,23431.0,23734.336734693876,1381.387559916253
resnet152,36,40,4,0,vgg16,0,19,4,0,2809.5,2838.6938775510203,195.41219689980844
resnet152,0,6,4,0,vgg16,0,19,4,0,3754.0,3699.0408163265306,564.2499250561441
resnet152,29,52,4,0,vgg16,0,19,4,0,11089.0,11155.479591836734,285.0817365638886
resnet152,15,52,4,0,vgg16,0,19,4,0,17696.0,18031.80612244898,1360.005984816988
resnet152,0,52,4,0,vgg16,5,19,4,0,24549.5,24519.64285714286,325.4173223316015
resnet152,0,52,4,0,vgg16,0,13,4,0,24379.0,24487.45918367347,449.38018921229326
resnet152,0,52,4,0,vgg16,0,2,4,0,24535.5,24485.714285714286,224.40692811888653
resnet152,0,52,4,0,vgg16,0,15,4,0,24489.0,24473.30612244898,290.74750277634183
resnet152,0,39,4,0,vgg16,15,19,4,0,18676.5,18669.969387755104,245.601197151973
resnet152,0,27,4,0,vgg16,0,19,4,0,13076.5,13082.5,202.81605469197038
resnet152,18,24,4,0,vgg16,0,19,4,0,3779.0,3907.4285714285716,884.6490714355815
resnet152,0,52,4,0,vgg16,14,19,4,0,24411.5,24605.816326530614,1023.3810843547368
resnet152,31,52,4,0,vgg16,0,19,4,0,10122.0,10115.515463917525,128.6032910228124
resnet152,3,52,4,0,vgg16,0,16,4,0,23338.5,23376.724489795917,286.36760236794277
resnet152,3,52,4,0,vgg16,0,19,4,0,23290.0,23313.948979591838,242.34337978052662
resnet152,25,42,4,0,vgg16,0,19,4,0,8494.5,8489.285714285714,86.4217234595231
resnet152,9,52,4,0,vgg16,0,6,4,0,20373.0,20394.19387755102,264.50233046167756
resnet152,34,52,4,0,vgg16,0,19,4,0,8719.0,8716.704081632653,90.3116157674302
resnet152,0,52,4,0,vgg16,0,0,4,0,24444.0,24414.69387755102,254.741982636584
resnet152,0,52,4,0,vgg16,0,10,4,0,24439.0,24447.20408163265,272.7580956797625
resnet152,1,52,4,0,vgg16,0,19,4,0,24365.5,24357.224489795917,244.92679167008438
resnet152,5,52,4,0,vgg16,0,19,4,0,22236.5,22554.01020408163,1411.0657898061247
resnet152,0,52,4,0,vgg16,8,19,4,0,24197.0,24488.15306122449,1300.4636249574871
resnet152,12,52,4,0,vgg16,0,4,4,0,18753.0,18754.336734693876,263.04437989324043
resnet152,0,52,4,0,vgg16,16,19,4,0,24015.5,24009.428571428572,299.66375714613673
resnet152,0,8,4,0,vgg16,0,19,4,0,5004.0,5000.65306122449,1066.0991272021759
resnet152,0,18,4,0,vgg16,0,19,4,0,8889.5,8912.285714285714,186.03883728832494
resnet152,41,52,4,0,vgg16,0,19,4,0,5441.5,5710.8877551020405,538.6954173809215
resnet152,0,52,4,0,vgg16,6,19,4,0,24408.5,24398.29591836735,314.0181396418949
resnet152,0,23,4,0,vgg16,0,19,4,0,11111.5,11130.92857142857,163.366949546356
resnet152,0,52,4,0,vgg16,7,19,4,0,24341.5,24349.979591836734,256.5112075202697
resnet152,35,52,4,0,vgg16,0,19,4,0,8212.5,8214.357142857143,73.20996502930348
resnet152,0,52,4,0,vgg16,0,4,4,0,24327.5,24354.102040816328,251.9994934314603
resnet152,0,52,4,0,vgg16,13,19,4,0,23996.0,24242.755102040817,1212.652364180073
resnet152,38,52,4,0,vgg16,0,8,4,0,6741.0,6741.591836734694,75.87554750294262
resnet152,33,52,4,0,vgg16,0,11,4,0,9043.5,9055.040816326531,110.99530403445434
resnet152,0,12,4,0,vgg16,10,19,4,0,5827.5,5848.224489795918,132.7933434073829
resnet152,0,27,4,0,vgg16,10,19,4,0,12891.0,12881.377551020409,204.58691657781742
resnet152,0,52,4,0,vgg16,0,5,4,0,24053.0,24041.061224489797,291.10173606723436
resnet152,0,11,4,0,vgg16,0,19,4,0,5511.0,5950.857142857143,907.7872851621357
resnet152,0,10,4,0,vgg16,1,19,4,0,4939.5,5042.785714285715,421.9133108077236
resnet152,0,4,4,0,vgg16,0,19,4,0,2900.5,2900.2551020408164,35.30806441515436
resnet152,0,48,4,0,vgg16,8,19,4,0,22482.0,22518.867346938776,245.56019411496155
resnet152,44,52,4,0,vgg16,0,19,4,0,3994.5,4279.632653061224,550.381303590466
resnet152,0,21,4,0,vgg16,0,19,4,0,10155.5,10222.19387755102,433.5072595057069
resnet152,9,52,4,0,vgg16,0,19,4,0,20255.5,20210.602040816328,255.67995538890372
resnet152,5,52,4,0,vgg16,0,5,4,0,21890.5,21931.367346938776,236.03918680864794
resnet152,0,32,4,0,vgg16,0,19,4,0,15213.0,15213.040816326531,225.03786159300842
resnet152,0,52,4,0,vgg16,0,8,4,0,24152.0,24420.438775510203,1428.185877017689
resnet152,0,34,4,0,vgg16,7,19,4,0,16293.0,16310.551020408164,262.7318071702754
resnet152,0,52,4,0,vgg16,7,14,4,0,24286.5,24341.479591836734,255.54732097397587
resnet152,11,52,4,0,vgg16,0,1,4,0,19603.5,19544.438775510203,239.80689792493078
resnet152,0,41,4,0,vgg16,0,19,4,0,19601.0,19578.04081632653,254.65414394410516
resnet152,4,52,4,0,vgg16,0,19,4,0,22825.0,22907.48979591837,333.70924791017507
resnet152,0,52,4,0,vgg16,1,5,4,0,24399.0,24442.428571428572,286.7546772032833
resnet152,0,37,4,0,vgg16,0,19,4,0,17763.0,18177.30612244898,1417.457701259715
resnet152,25,52,4,0,vgg16,0,19,4,0,12821.5,12822.92857142857,186.2180667049976
resnet152,0,52,4,0,vgg16,2,11,4,0,24342.0,24385.183673469386,259.7570036744615
resnet152,0,47,4,0,vgg16,0,19,4,0,22289.0,22315.45918367347,234.72676987785778
resnet152,0,7,4,0,vgg16,0,19,4,0,3644.5,3961.887755102041,753.9722953099539
resnet152,50,52,4,0,vgg16,0,19,4,0,2979.0,2971.7551020408164,78.43391358653342
resnet152,0,2,4,0,vgg16,0,19,4,0,2806.0,2815.7755102040815,61.54947082984199
resnet152,0,51,4,0,vgg16,10,19,4,0,23946.5,25406.5,2911.680895591943
resnet152,0,52,4,0,vgg16,3,19,4,0,24087.0,24085.826530612245,242.71285737031178
resnet152,0,52,4,0,vgg16,2,17,4,0,23941.0,23975.85714285714,298.22317352025107
resnet152,18,52,4,0,vgg16,0,19,4,0,15849.5,15863.877551020409,203.82546882306264
resnet152,51,52,4,0,vgg16,0,19,4,0,2834.0,2860.918367346939,372.89251812124604
resnet152,0,17,4,0,vgg16,0,19,4,0,10153.0,9561.19387755102,1216.1779261792992
resnet152,0,10,4,0,vgg16,0,19,4,0,5992.0,5697.030612244898,549.6842591680938
resnet152,0,51,4,0,vgg16,0,19,4,0,23964.5,24469.836734693876,1858.9914628794631
resnet152,30,52,4,0,vgg16,0,19,4,0,10428.0,10419.489795918367,138.48769523900458
resnet152,21,23,4,0,vgg16,0,19,4,0,2805.0,2818.4897959183672,83.80288399133094
resnet152,47,52,4,0,vgg16,0,8,4,0,3076.0,3083.7755102040815,675.836934363038
resnet152,0,7,4,0,vgg16,0,19,8,0,4818.0,4795.469387755102,68.22026212886666
resnet152,0,52,4,0,vgg16,15,19,8,0,24126.5,24108.85714285714,271.95550356329863
resnet152,38,52,4,0,vgg16,0,19,8,0,6722.0,6729.938775510204,63.246330268073066
resnet152,0,52,4,0,vgg16,0,11,8,0,24373.5,24950.30612244898,1918.7467710970013
resnet152,0,52,4,0,vgg16,0,17,8,0,24360.5,24426.826530612245,312.43291608156244
resnet152,0,52,4,0,vgg16,12,19,8,0,24370.5,24421.581632653062,307.1951757257447
resnet152,0,52,4,0,vgg16,0,19,8,0,24515.5,24514.897959183672,302.6480238203542
resnet152,0,52,4,0,vgg16,18,19,8,0,24459.0,24449.61224489796,297.50965110920976
resnet152,0,52,4,0,vgg16,7,19,8,0,24490.5,24514.908163265307,269.5664352151165
resnet152,19,52,4,0,vgg16,0,19,8,0,15701.5,15724.316326530612,232.77968023296785
resnet152,0,52,4,0,vgg16,8,8,8,0,24327.5,24420.98979591837,521.6874992125576
resnet152,0,52,4,0,vgg16,0,2,8,0,24435.5,24658.98979591837,1245.5507633081477
resnet152,31,52,4,0,vgg16,0,19,8,0,9963.5,9997.479591836734,132.91805282647027
resnet152,0,52,4,0,vgg16,0,4,8,0,23909.5,24040.408163265307,347.839977186751
resnet152,0,52,4,0,vgg16,17,19,8,0,24236.0,24312.04081632653,374.6174897680965
resnet152,0,52,4,0,vgg16,0,0,8,0,24327.0,24338.581632653062,283.7034210072413
resnet152,0,52,4,0,vgg16,0,15,8,0,24284.0,24330.23469387755,323.5487157282441
resnet152,0,32,4,0,vgg16,0,19,8,0,15331.0,15342.80612244898,223.08141911497773
resnet152,12,52,4,0,vgg16,0,19,8,0,18983.0,18985.081632653062,271.3745312170116
resnet152,0,52,4,0,vgg16,6,18,8,0,24324.5,24758.336734693876,1629.2964360133071
resnet152,0,52,4,0,vgg16,9,17,8,0,24425.0,24480.836734693876,289.4393135038547
resnet152,0,4,4,0,vgg16,0,19,8,0,4585.0,4704.34693877551,296.20825210158796
resnet152,0,44,4,0,vgg16,0,19,8,0,20971.5,21010.918367346938,220.810597269973
resnet152,0,52,4,0,vgg16,3,19,8,0,24375.0,24409.98979591837,204.89581697595503
resnet152,27,52,4,0,vgg16,0,19,8,0,11990.0,11989.958762886597,161.25716910624553
resnet152,0,52,4,0,vgg16,2,17,8,0,24383.0,24427.70408163265,314.38706837090245
resnet152,10,52,4,0,vgg16,0,19,8,0,20038.0,20020.5,230.91783369494732
resnet152,0,52,4,0,vgg16,1,19,8,0,24447.5,24509.316326530614,302.64725196373337
resnet152,0,52,4,0,vgg16,0,18,8,0,24526.0,24521.897959183672,258.6240076689978
resnet152,0,31,4,0,vgg16,2,19,8,0,14998.0,15004.855670103092,197.2956329920833
resnet152,0,52,4,0,vgg16,4,19,8,0,24414.0,24480.102040816328,326.93987744724996
resnet152,0,52,4,0,vgg16,0,12,8,0,24149.0,24257.479591836734,304.9098973498142
resnet152,0,6,4,0,vgg16,10,19,8,0,3092.0,3107.8673469387754,72.0636959967803
resnet152,24,50,4,0,vgg16,0,19,8,0,12530.0,12563.443298969072,145.22282694330622
resnet152,0,52,4,0,vgg16,9,12,8,0,24358.5,24428.38775510204,272.85439911309584
resnet152,47,52,4,0,vgg16,0,19,8,0,4446.5,4698.744897959184,409.30227618509
resnet152,0,52,4,0,vgg16,10,19,8,0,24461.0,24485.326530612245,257.67467923048775
resnet152,44,52,4,0,vgg16,0,19,8,0,4715.5,4874.816326530612,477.2580345789676
resnet152,0,52,4,0,vgg16,9,19,8,0,24054.0,24374.683673469386,1448.746401076256
resnet152,0,49,4,0,vgg16,0,19,8,0,23046.0,23070.867346938776,229.8249838888102
resnet152,0,52,4,0,vgg16,14,19,8,0,24117.5,24329.275510204083,1290.489637977299
resnet152,50,52,4,0,vgg16,0,4,8,0,2161.0,2054.295918367347,165.17907469783862
resnet152,20,47,4,0,vgg16,0,19,8,0,13000.5,13009.336734693878,194.65877753384362
resnet152,0,52,4,0,vgg16,13,14,8,0,24340.5,24417.255102040817,394.48135185806325
resnet152,16,52,4,0,vgg16,0,19,8,0,17051.5,17071.0,192.896451020558
resnet152,0,52,4,0,vgg16,12,18,8,0,24339.0,24399.826530612245,356.57792535033207
resnet152,13,52,4,0,vgg16,0,19,8,0,18482.5,18508.397959183672,213.39303298478916
resnet152,43,52,4,0,vgg16,0,19,8,0,4706.5,5149.4795918367345,692.24975187519
resnet152,0,25,4,0,vgg16,0,19,8,0,12136.0,12158.163265306122,178.55563895207197
resnet152,34,52,4,0,vgg16,0,19,8,0,8713.5,8700.244897959185,94.8976958521692
resnet152,0,52,4,0,vgg16,0,9,8,0,24408.5,24429.23469387755,299.7555058479006
resnet152,0,52,4,0,vgg16,0,3,8,0,24478.0,24474.020408163266,266.05381454992914
resnet152,0,52,4,0,vgg16,4,11,8,0,24390.0,24422.979591836734,268.2024433220455
resnet152,0,52,4,0,vgg16,8,19,8,0,24512.0,24536.95918367347,297.2020860739045
resnet152,0,17,4,0,vgg16,0,19,8,0,8320.5,8943.479591836734,1258.5622849480715
resnet152,0,13,4,0,vgg16,18,19,8,0,6424.5,6415.65306122449,101.20993558963207
resnet152,0,52,4,0,vgg16,0,14,8,0,24095.0,24141.938775510203,287.2714287961514
resnet152,25,52,4,0,vgg16,0,19,8,0,12700.5,12692.010204081633,171.48281849425575
resnet152,0,6,4,0,vgg16,0,19,8,0,4752.5,4730.744897959184,85.27390576595764
resnet152,0,52,4,0,vgg16,0,5,8,0,24092.5,24113.80612244898,269.9556145740752
resnet152,43,52,4,0,vgg16,0,15,8,0,5490.5,5344.724489795918,807.4969612707372
resnet152,0,52,4,0,vgg16,11,13,8,0,24203.5,24160.867346938776,278.2202415557298
resnet152,40,52,4,0,vgg16,0,6,8,0,5798.5,5830.336734693878,187.44653354030464
resnet152,0,20,4,0,vgg16,8,19,8,0,9676.0,9885.142857142857,683.8539645991381
resnet152,29,41,4,0,vgg16,0,19,8,0,6124.0,6577.010204081633,869.2883025539347
resnet152,0,47,4,0,vgg16,4,19,8,0,22352.5,22367.969387755104,282.3536808750805
resnet152,0,52,4,0,vgg16,11,19,8,0,24517.0,24496.714285714286,266.6699404560948
resnet152,46,52,4,0,vgg16,0,19,8,0,4496.5,4679.897959183673,309.8314713002537
resnet152,0,20,4,0,vgg16,0,19,8,0,9775.5,10053.326530612245,820.7728783698662
resnet152,14,52,4,0,vgg16,0,19,8,0,17796.0,17794.530612244896,229.1409513672812
resnet152,5,52,4,0,vgg16,0,4,8,0,21839.0,21877.673469387755,299.5959788124941
resnet152,29,52,4,0,vgg16,0,10,8,0,10790.0,11089.663265306122,932.3790280330572
resnet152,0,4,4,0,vgg16,14,19,8,0,2485.0,2487.969387755102,343.99052116988224
resnet152,0,39,4,0,vgg16,0,19,8,0,18650.5,18664.867346938776,246.0192724222339
resnet152,0,52,4,0,vgg16,6,19,8,0,24362.5,24438.908163265307,262.85303128518433
resnet152,0,52,4,0,vgg16,0,1,8,0,24418.0,24415.663265306124,230.17991826614943
resnet152,0,0,4,0,vgg16,0,19,8,0,4297.0,4474.397959183673,338.5365786704236
resnet152,40,52,4,0,vgg16,0,19,8,0,5868.0,6318.877551020408,638.1536227514008
resnet152,10,52,4,0,vgg16,0,14,8,0,19602.5,19657.173469387755,225.8603969003051
resnet152,18,52,4,0,vgg16,0,19,8,0,15966.0,16249.265306122448,1117.0247430345653
resnet152,2,52,4,0,vgg16,0,19,8,0,23392.0,23445.316326530614,441.4894224572177
resnet152,0,52,4,0,vgg16,5,19,8,0,24020.0,24127.51020408163,615.1601292263294
resnet152,23,52,4,0,vgg16,0,19,8,0,13626.5,13971.581632653062,1116.8136519276743
resnet152,21,37,4,0,vgg16,0,19,8,0,7790.5,7802.7959183673465,114.54586098613323
resnet152,0,52,4,0,vgg16,0,8,8,0,23943.5,23975.397959183672,237.9267911669864
resnet152,24,52,4,0,vgg16,0,19,8,0,13449.5,14237.683673469388,1667.5657842602445
resnet152,15,52,4,0,vgg16,0,19,8,0,17599.5,17579.918367346938,196.41785287480027
resnet152,0,3,4,0,vgg16,0,19,8,0,4611.5,4590.826530612245,72.05539613695248
resnet152,4,52,4,0,vgg16,0,16,8,0,22799.0,22807.785714285714,267.9281524923411
resnet152,0,26,4,0,vgg16,0,19,8,0,12469.0,12593.081632653062,546.4754354034363
resnet152,0,30,4,0,vgg16,0,19,8,0,14098.0,14148.102040816326,231.91151064866375
resnet152,31,52,4,0,vgg16,0,16,8,0,9799.5,9816.255102040815,126.3722482471148
resnet152,21,52,4,0,vgg16,0,19,8,0,14467.0,14477.204081632653,188.00113759879835
resnet152,7,26,4,0,vgg16,0,19,8,0,9382.0,9853.234693877552,1143.333006296123
resnet152,0,48,4,0,vgg16,0,19,8,0,22484.5,22460.785714285714,253.01477128775684
resnet152,51,52,4,0,vgg16,0,19,8,0,4341.5,4331.928571428572,62.772060924053314
resnet152,0,41,4,0,vgg16,3,19,8,0,19671.0,20351.571428571428,1935.556277156729
resnet152,45,52,4,0,vgg16,0,19,8,0,4573.0,4566.428571428572,36.986484017813865
resnet152,0,52,4,0,vgg16,10,11,8,0,24482.0,24456.64285714286,277.4899612083806
resnet152,0,52,4,0,vgg16,0,16,8,0,24460.0,24427.551020408162,236.9706398092638
resnet152,26,52,4,0,vgg16,0,0,8,0,12357.0,12369.65306122449,183.79714317031065
resnet152,3,52,4,0,vgg16,0,19,8,0,23401.5,23399.173469387755,278.8232204744046
resnet152,0,52,4,0,vgg16,13,19,8,0,24436.0,24444.448979591838,227.00535471743248
resnet152,35,52,4,0,vgg16,0,19,8,0,8266.5,8274.469387755102,68.25854272343643
resnet152,0,52,4,0,vgg16,2,19,8,0,24561.0,24538.255102040817,228.44167349293974
resnet152,37,37,4,0,vgg16,0,19,8,0,4312.5,4328.173469387755,48.496165535398966
resnet152,0,13,4,0,vgg16,10,19,8,0,6550.5,6561.540816326531,86.12771347194258
resnet152,13,52,4,0,vgg16,0,8,8,0,18442.5,18461.35714285714,233.18076766355168
resnet152,0,38,4,0,vgg16,0,19,8,0,18232.5,19378.928571428572,2315.3021852846064
resnet152,0,52,4,0,vgg16,0,10,8,0,24222.0,24490.214285714286,1184.5741786371495
resnet152,35,52,4,0,vgg16,0,4,8,0,8127.0,8113.785714285715,82.22694453865634
resnet152,21,33,4,0,vgg16,0,19,8,0,6091.0,6482.724489795918,934.1440126335046
resnet152,0,52,4,0,vgg16,10,19,16,0,24001.5,24403.969387755104,1549.3215398221146
resnet152,0,44,4,0,vgg16,0,19,16,0,20581.0,20630.30612244898,359.8712470485959
resnet152,0,52,4,0,vgg16,0,19,16,0,24048.0,24143.948979591838,425.5457809479871
resnet152,0,7,4,0,vgg16,0,19,16,0,8413.5,8391.418367346938,200.66318228281202
resnet152,0,52,4,0,vgg16,8,19,16,0,24248.0,24512.336734693876,1167.1926632481707
resnet152,0,52,4,0,vgg16,0,15,16,0,24391.0,24374.316326530614,262.13478371914937
resnet152,0,52,4,0,vgg16,0,10,16,0,24366.5,24352.132653061224,230.86579004999905
resnet152,42,45,4,0,vgg16,0,19,16,0,7976.5,7999.9795918367345,173.9031503623665
resnet152,30,52,4,0,vgg16,0,11,16,0,10581.0,11429.07142857143,1461.3639369173063
resnet152,35,52,4,0,vgg16,0,19,16,0,9790.0,9985.255102040815,1003.1715452546803
resnet152,0,40,4,0,vgg16,0,19,16,0,19086.0,19091.469387755104,181.66380723415665
resnet152,0,52,4,0,vgg16,18,18,16,0,24298.0,24306.867346938776,302.61235517606707
resnet152,0,52,4,0,vgg16,12,19,16,0,24255.5,24317.418367346938,274.18617700868975
resnet152,0,52,4,0,vgg16,0,18,16,0,24385.5,24433.79591836735,271.4476293754365
resnet152,0,1,4,0,vgg16,0,19,16,0,8299.0,8228.30612244898,213.14053082622027
resnet152,15,52,4,0,vgg16,0,19,16,0,17478.5,18235.80612244898,1610.9304679642685
resnet152,25,39,4,0,vgg16,0,19,16,0,9404.0,9466.959183673469,581.2184583211472
resnet152,0,52,4,0,vgg16,5,19,16,0,24395.5,24387.61224489796,251.88978123552133
resnet152,13,52,4,0,vgg16,0,19,16,0,18566.0,18548.030612244896,184.7902536347647
resnet152,42,48,4,0,vgg16,0,19,16,0,8881.0,8784.530612244898,256.2071946958377
resnet152,42,43,4,0,vgg16,0,19,16,0,8749.5,8712.591836734693,150.6996497114609
resnet152,0,52,4,0,vgg16,1,18,16,0,24418.0,25623.275510204083,2713.4549848314
resnet152,0,25,4,0,vgg16,18,19,16,0,11876.5,11980.397959183674,210.4848503829504
resnet152,30,52,4,0,vgg16,0,9,16,0,10610.0,10593.459183673469,125.23318400026334
resnet152,0,52,4,0,vgg16,17,19,16,0,24526.0,25049.030612244896,2008.0197802408227
resnet152,0,31,4,0,vgg16,6,19,16,0,14952.5,14998.877551020409,219.51013482744182
resnet152,0,48,4,0,vgg16,13,19,16,0,22878.5,22870.683673469386,238.6345766271431
resnet152,3,24,4,0,vgg16,0,19,16,0,10624.0,10719.081632653062,275.7531309966893
resnet152,0,52,4,0,vgg16,9,19,16,0,24518.5,24514.602040816328,294.3157314717537
resnet152,0,16,4,0,vgg16,0,19,16,0,9766.0,9722.744897959185,235.69399528359793
resnet152,41,52,4,0,vgg16,0,19,16,0,9365.5,9333.275510204081,237.97820945574009
resnet152,0,52,4,0,vgg16,9,15,16,0,24202.0,24199.469387755104,247.5901486649897
resnet152,0,52,4,0,vgg16,14,19,16,0,24214.5,24203.26530612245,297.2174546135322
resnet152,0,44,4,0,vgg16,11,19,16,0,20577.0,20637.663265306124,241.46499910632886
resnet152,48,52,4,0,vgg16,0,5,16,0,4556.5,4607.591836734694,136.6746349976046
resnet152,0,52,4,0,vgg16,3,19,16,0,24481.0,24506.65306122449,255.93753630647637
resnet152,0,31,4,0,vgg16,0,19,16,0,15067.5,15059.602040816326,137.3643850550402
resnet152,14,52,4,0,vgg16,0,19,16,0,18085.0,18331.79591836735,1080.4285804875585
