model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg19,0,22,4,0,bert,2,12,4,64,9380.5,9421.867346938776,234.69661866189855
vgg19,0,22,4,0,bert,3,7,4,16,4148.0,4197.571428571428,329.2729777518207
vgg19,0,22,4,0,bert,4,10,4,16,5988.0,6051.306122448979,212.97568167028786
vgg19,0,22,4,0,bert,8,12,4,8,3998.0,4043.3469387755104,194.45764986924456
vgg19,0,5,4,0,bert,0,12,4,16,11046.5,11062.469387755102,157.69242887378883
vgg19,0,22,4,0,bert,0,10,4,64,9287.5,9360.377551020409,463.5508363312381
vgg19,0,22,4,0,bert,0,12,4,16,11187.5,11282.755102040815,304.16258612870155
vgg19,0,22,4,0,bert,1,12,4,8,10291.5,10335.183673469388,177.12899409687543
vgg19,16,22,4,0,bert,0,12,4,64,11035.5,11050.204081632653,176.51183455633313
vgg19,0,22,4,0,bert,0,12,4,64,11139.5,11210.163265306122,297.51627271144895
vgg19,0,22,4,0,bert,8,12,4,16,4110.0,4131.183673469388,102.0540420000425
vgg19,8,21,4,0,bert,0,12,4,16,11218.5,11258.5,212.18706850516674
vgg19,0,22,4,0,bert,0,0,4,8,3064.0,3180.4489795918366,356.73022226684213
vgg19,0,22,4,0,bert,0,2,4,32,3271.5,3339.7244897959185,390.2122075887302
vgg19,0,22,4,0,bert,0,7,4,32,7258.0,7227.2959183673465,271.0468447042994
vgg19,0,22,4,0,bert,0,12,4,8,11258.5,11280.908163265307,161.16071878810877
vgg19,0,22,4,0,bert,6,10,4,8,4163.5,4203.989795918367,149.3942527442725
vgg19,3,6,4,0,bert,0,12,4,8,11101.0,11132.755102040815,133.0477941763548
vgg19,0,9,4,0,bert,6,12,4,64,5846.5,5864.663265306122,128.65013018843408
vgg19,0,0,4,0,bert,0,12,4,32,11131.0,11213.091836734693,263.8653447071872
vgg19,0,22,4,0,bert,9,12,4,32,3500.5,3749.622448979592,727.0131868004579
vgg19,0,22,4,0,bert,0,12,4,32,11375.5,11416.255102040815,190.61807692209936
vgg19,0,22,4,0,bert,7,12,4,8,5156.5,5177.0204081632655,111.77592194369954
vgg19,0,21,4,0,bert,0,12,4,64,11158.5,11172.112244897959,152.85419774553077
vgg19,17,21,4,0,bert,0,12,4,64,11020.0,11053.295918367347,171.7795935460626
vgg19,0,9,4,0,bert,0,12,4,8,11240.5,11255.122448979591,149.7474925895577
vgg19,16,18,4,0,bert,0,12,4,64,11007.5,11047.336734693878,191.48671525709042
vgg19,0,22,4,0,bert,0,3,4,8,3450.0,3862.8673469387754,961.132480810253
vgg19,0,22,4,0,bert,0,5,4,32,5208.0,5225.2959183673465,137.1679448172243
vgg19,0,22,4,0,bert,0,9,4,8,8625.5,8666.040816326531,145.46757253958043
vgg19,0,22,4,0,bert,10,12,4,8,3252.0,3292.408163265306,389.5972498314359
vgg19,0,3,4,0,bert,2,12,4,32,9454.5,9481.408163265307,135.88844740242905
vgg19,0,22,4,0,bert,2,11,4,16,8584.5,8672.877551020409,258.6664492063532
vgg19,0,10,4,0,bert,0,12,4,8,11092.0,11165.510204081633,280.1552137180883
vgg19,20,20,4,0,bert,0,12,4,8,11117.5,11306.285714285714,490.54954606324645
vgg19,10,14,4,0,bert,0,12,4,32,11190.5,11202.581632653062,142.81898943863598
vgg19,6,22,4,0,bert,0,12,4,64,11083.5,11132.795918367347,235.13109496635056
vgg19,0,22,4,0,bert,0,5,4,8,5098.0,5129.744897959184,107.80834385418146
vgg19,2,22,4,0,bert,0,7,4,32,6911.0,6914.1122448979595,87.48782803421345
vgg19,21,21,4,0,bert,0,12,4,32,11090.0,11214.163265306122,412.0416239593423
vgg19,16,22,4,0,bert,0,12,4,16,11198.5,11262.5,216.81513097661835
vgg19,0,0,4,0,bert,3,12,4,32,8515.0,8568.581632653062,182.3082119720241
vgg19,0,8,4,0,bert,0,12,4,16,11194.0,11220.785714285714,174.42139039857304
vgg19,18,19,4,0,bert,0,12,4,32,11103.5,11165.387755102041,158.48991680108074
vgg19,0,22,4,0,bert,0,10,4,32,9514.0,9536.989795918367,121.87753094372212
vgg19,0,0,4,0,bert,6,12,4,32,5893.0,5928.4795918367345,118.91775837517397
vgg19,2,22,4,0,bert,0,6,4,8,6180.0,6229.010204081633,575.8287460641714
vgg19,0,22,4,0,bert,10,10,4,32,3284.5,3296.2244897959185,90.95957058980956
vgg19,0,20,4,0,bert,0,12,4,32,11317.0,11432.602040816326,331.03004795470804
vgg19,0,11,4,0,bert,5,12,4,16,6817.0,6822.489795918367,92.9674339402123
vgg19,21,22,4,0,bert,0,12,4,8,11158.5,11400.887755102041,671.3149582091618
vgg19,0,16,4,0,bert,0,12,4,32,11123.0,11162.387755102041,167.79267045442043
vgg19,0,20,4,0,bert,0,12,4,8,11191.0,11224.336734693878,138.3628727980509
vgg19,19,22,4,0,bert,0,5,4,16,4983.0,5002.806122448979,119.68774494093466
vgg19,14,17,4,0,bert,0,12,4,16,11083.0,11148.336734693878,255.39313208437767
