model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,5,14,1,0,bert,4,9,1,16,12698.5,13107.857142857143,1161.7459063927913
inception_v3,9,13,1,0,bert,3,7,1,16,7461.5,8064.948979591837,1779.0455556937413
inception_v3,2,9,1,0,bert,4,9,1,16,10039.0,10737.34693877551,1480.7825296246742
inception_v3,8,12,1,0,bert,0,4,1,8,6666.5,7648.561224489796,1542.0600458565393
inception_v3,0,7,1,0,bert,5,12,1,8,13761.0,13903.122448979591,2760.76774394853
inception_v3,6,12,1,0,bert,5,12,1,32,13821.0,14422.887755102041,2955.686849567661
inception_v3,4,14,1,0,bert,3,9,1,64,13864.5,14209.918367346938,996.533529274737
inception_v3,2,12,1,0,bert,4,8,1,64,14342.0,14479.091836734693,465.58418618243144
inception_v3,0,5,1,0,bert,7,12,1,64,9353.5,10115.581632653062,2229.9643262611476
inception_v3,7,13,1,0,bert,6,11,1,32,10059.5,10666.377551020409,1316.168585406265
inception_v3,6,10,1,0,bert,5,10,1,32,8388.5,8900.091836734693,1703.2715404613575
inception_v3,5,11,1,0,bert,8,12,1,32,9239.0,9516.387755102041,862.69778131793
inception_v3,7,11,1,0,bert,3,8,1,8,8039.5,8816.581632653062,1939.9678249144897
inception_v3,4,11,1,0,bert,0,6,1,16,10456.0,11149.040816326531,1437.5421833623777
inception_v3,5,11,1,0,bert,7,12,1,8,9251.0,9473.775510204081,768.1966761694565
inception_v3,5,13,1,0,bert,5,12,1,32,12446.5,12844.918367346938,1151.995594817518
inception_v3,6,12,1,0,bert,1,8,1,16,11022.0,11305.051020408164,860.9086131838042
inception_v3,4,11,1,0,bert,1,6,1,16,10412.5,10615.051020408164,831.2346039384266
inception_v3,9,13,1,0,bert,3,10,1,64,11503.5,11540.163265306122,181.9764334303529
inception_v3,10,14,1,0,bert,8,12,1,64,6778.0,6817.530612244898,216.8300474358979
inception_v3,2,7,1,0,bert,5,9,1,8,6444.0,6600.628865979382,573.5592316024963
inception_v3,9,14,1,0,bert,3,9,1,32,9933.0,10089.704081632653,593.3733760902388
inception_v3,3,7,1,0,bert,1,9,1,64,13124.0,12940.918367346938,1308.4034645281138
inception_v3,3,11,1,0,bert,4,10,1,32,11663.0,12169.69387755102,1514.3698319504713
inception_v3,3,12,1,0,bert,7,12,1,8,13208.5,13302.887755102041,423.4502327853662
inception_v3,9,14,1,0,bert,5,11,1,16,9422.0,9191.755102040815,1080.389669510114
inception_v3,2,7,1,0,bert,3,10,1,8,11018.5,11348.265306122448,941.013896869997
inception_v3,2,13,1,0,bert,5,11,1,32,16037.0,16084.92857142857,235.34600016978908
inception_v3,3,11,1,0,bert,0,10,1,32,16216.0,16245.887755102041,1322.0063592629558
inception_v3,6,12,1,0,bert,4,10,1,64,10117.5,10792.173469387755,1315.3163740279076
inception_v3,1,10,1,0,bert,4,10,1,8,12177.0,12770.714285714286,1368.114067627702
inception_v3,7,12,1,0,bert,4,10,1,16,9544.0,9932.887755102041,1264.2580374908703
inception_v3,9,14,1,0,bert,2,10,1,8,14233.0,14255.448979591836,219.26826931302716
inception_v3,0,14,1,0,bert,7,11,1,64,17163.5,17253.581632653062,510.37205163607064
inception_v3,2,7,1,0,bert,5,9,1,16,6526.5,6968.163265306122,1086.9896146348556
inception_v3,6,12,1,0,bert,5,12,1,16,11047.0,11592.448979591836,1252.2502775407957
inception_v3,5,10,1,0,bert,6,10,1,64,8242.0,8649.061855670103,1105.2267837853715
inception_v3,3,7,1,0,bert,5,12,1,32,11564.5,11642.051020408164,469.03072812719876
inception_v3,10,14,1,0,bert,8,12,1,64,6770.5,6830.2959183673465,290.89366909239214
inception_v3,8,13,1,0,bert,5,12,1,64,11512.0,11719.969387755102,746.2219461664481
inception_v3,3,11,1,0,bert,5,9,1,64,11629.5,11860.142857142857,807.7164081027246
inception_v3,3,13,1,0,bert,1,12,1,16,17047.0,17673.04081632653,1696.9390926159706
inception_v3,5,11,1,0,bert,6,12,1,16,9613.0,10311.285714285714,1681.6743539261877
inception_v3,0,10,1,0,bert,4,8,1,32,14649.5,14795.765306122448,546.7464771033339
inception_v3,6,11,1,0,bert,3,9,1,16,10803.5,10935.408163265307,664.718120966718
inception_v3,10,14,1,0,bert,7,12,1,16,9062.0,9249.142857142857,644.2052372925123
inception_v3,7,12,1,0,bert,8,12,1,8,8431.5,8745.459183673469,1003.6110939631269
inception_v3,5,9,1,0,bert,7,12,1,32,9460.0,9532.142857142857,425.15677780588857
inception_v3,7,14,1,0,bert,0,10,1,64,18426.5,18514.132653061224,427.4585225792256
inception_v3,8,12,1,0,bert,2,6,1,32,7661.0,8167.5,1240.7899002371885
inception_v3,3,11,1,0,bert,6,11,1,64,13440.5,13577.377551020409,511.8391312030931
inception_v3,5,14,1,0,bert,8,12,1,16,14621.0,14630.683673469388,64.89341291353728
inception_v3,1,8,1,0,bert,4,12,1,8,12515.5,12695.204081632653,696.341180732075
inception_v3,0,14,1,0,bert,1,10,1,8,19812.0,20158.20408163265,918.3192384224615
inception_v3,1,11,1,0,bert,1,6,1,32,15196.5,14542.836734693878,1045.3439400198752
inception_v3,6,10,1,0,bert,1,8,1,16,11026.5,11117.591836734693,418.4913828077963
inception_v3,7,14,1,0,bert,1,12,1,64,17872.0,17516.84693877551,1119.5093253892467
inception_v3,2,10,1,0,bert,6,10,1,16,11725.5,11817.295918367347,408.5412128982846
inception_v3,1,5,1,0,bert,3,12,1,16,14024.0,13962.255102040815,1358.0266619307536
inception_v3,6,12,1,0,bert,8,12,1,32,10074.0,10280.826530612245,731.8191064752607
inception_v3,4,10,1,0,bert,6,11,1,32,9410.0,9790.255102040815,1169.0075270023947
inception_v3,9,14,1,0,bert,7,11,1,8,6591.0,6767.775510204082,728.5961274610718
inception_v3,8,13,1,0,bert,6,12,1,32,9922.5,9833.969387755102,1159.146197520466
inception_v3,6,11,1,0,bert,5,10,1,8,8423.0,8675.57142857143,857.281845874101
inception_v3,3,10,1,0,bert,1,9,1,16,12498.0,12910.377551020409,1676.7994021367754
inception_v3,2,14,1,0,bert,8,12,1,8,16157.5,16304.204081632653,608.5195812787513
inception_v3,8,12,1,0,bert,6,12,1,8,9472.5,9400.061224489797,1402.7738905783415
inception_v3,7,14,1,0,bert,6,10,1,8,10214.0,10507.989795918367,973.2153996837449
inception_v3,10,14,1,0,bert,3,9,1,64,9945.0,9550.112244897959,884.3745499187208
inception_v3,3,7,1,0,bert,6,11,1,8,8011.0,8056.785714285715,324.6639785679832
inception_v3,3,13,1,0,bert,0,4,1,64,17181.0,17240.877551020407,216.07322385587688
inception_v3,8,13,1,0,bert,1,9,1,16,12520.5,12587.316326530612,1380.518924889602
inception_v3,10,14,1,0,bert,3,11,1,8,12448.5,12250.92857142857,1248.2919043923293
inception_v3,2,13,1,0,bert,4,11,1,8,16052.5,16336.92857142857,854.234437663219
inception_v3,1,6,1,0,bert,8,12,1,16,6411.5,6095.959183673469,938.5255144060658
inception_v3,10,14,1,0,bert,8,12,1,32,6720.5,6282.255102040816,787.8914422170526
inception_v3,9,14,1,0,bert,6,10,1,32,7556.5,7731.0,1437.4241346440315
inception_v3,9,14,1,0,bert,2,11,1,64,14471.5,14245.816326530612,1135.620133985408
inception_v3,6,10,1,0,bert,7,11,1,64,7334.5,7530.510204081633,665.6601640307983
inception_v3,3,7,1,0,bert,5,11,1,8,9478.5,9132.479591836734,1010.4355216742223
inception_v3,8,14,1,0,bert,0,9,1,64,14660.0,14436.448979591836,1132.001154921609
inception_v3,9,14,1,0,bert,3,11,1,16,12489.5,12231.795918367347,1113.263560110118
inception_v3,10,14,1,0,bert,5,12,1,16,10994.0,11010.316326530612,79.98808545700447
inception_v3,8,14,1,0,bert,1,11,1,32,16253.5,15887.265306122448,1057.2888562408236
inception_v3,4,14,1,0,bert,3,11,1,16,13876.0,14570.459183673469,1697.0975292670223
inception_v3,3,10,1,0,bert,7,11,1,64,10517.0,10703.448979591836,619.460135635713
inception_v3,0,8,1,0,bert,4,11,1,32,11545.5,11935.234693877552,1079.224672576742
inception_v3,10,14,1,0,bert,8,12,1,32,6824.5,6830.4795918367345,147.43703115206657
inception_v3,10,14,1,0,bert,6,11,1,64,8335.0,8352.397959183674,102.94894115837708
inception_v3,5,10,1,0,bert,5,11,1,8,9514.0,9732.275510204081,754.0514622806569
inception_v3,3,7,1,0,bert,6,10,1,8,6474.0,6570.071428571428,428.81579342869065
