model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
inception_v3,1,12,1,0,inception_v3,3,9,1,0,14254.0,16295.489795918367,3048.530004554882
inception_v3,0,8,1,0,inception_v3,4,9,1,0,8752.5,9772.102040816326,2122.043241830834
inception_v3,2,8,1,0,inception_v3,2,12,1,0,13654.5,13869.65306122449,710.704595799569
inception_v3,9,14,1,0,inception_v3,9,13,1,0,6922.5,8066.193877551021,2016.3686932972985
inception_v3,0,7,1,0,inception_v3,8,13,1,0,8200.5,8733.663265306122,1387.2035660091572
inception_v3,1,7,1,0,inception_v3,5,14,1,0,12481.0,12598.448979591836,529.9847345211836
inception_v3,0,10,1,0,inception_v3,1,14,1,0,16253.5,17026.561224489797,1631.2803789732134
inception_v3,7,14,1,0,inception_v3,3,7,1,0,9876.0,11559.92857142857,2696.0389169737023
inception_v3,9,14,1,0,inception_v3,10,14,1,0,6635.5,6808.6122448979595,634.2018546985839
inception_v3,1,10,1,0,inception_v3,10,14,1,0,12563.5,13878.816326530612,2681.796159243548
inception_v3,0,13,1,0,inception_v3,0,9,1,0,17198.5,17472.683673469386,869.2585345784797
inception_v3,8,13,1,0,inception_v3,9,13,1,0,8828.0,9668.377551020409,1736.0398196511537
inception_v3,0,6,1,0,inception_v3,10,14,1,0,5819.0,6358.836734693878,1348.2284119894002
inception_v3,7,13,1,0,inception_v3,1,5,1,0,10079.5,10413.836734693878,1151.2990328930005
inception_v3,10,14,1,0,inception_v3,3,7,1,0,5358.0,5415.091836734694,566.5524290225225
inception_v3,0,13,1,0,inception_v3,1,6,1,0,16425.0,16435.38775510204,55.51036539592407
inception_v3,0,13,1,0,inception_v3,10,14,1,0,16496.5,18124.479591836734,2774.1446345973277
inception_v3,0,6,1,0,inception_v3,7,11,1,0,6412.5,6671.255102040816,883.4916733980945
inception_v3,1,12,1,0,inception_v3,1,11,1,0,14105.5,14224.867346938776,637.3620320933667
inception_v3,9,14,1,0,inception_v3,10,14,1,0,6677.5,6705.6122448979595,168.43060901791014
inception_v3,1,6,1,0,inception_v3,2,7,1,0,6163.5,6251.632653061224,320.97690131639627
inception_v3,8,13,1,0,inception_v3,5,10,1,0,8089.0,8883.357142857143,1673.4685246700114
inception_v3,0,5,1,0,inception_v3,2,7,1,0,6163.5,6421.224489795918,939.1127003134638
inception_v3,10,14,1,0,inception_v3,0,8,1,0,8743.5,8963.34693877551,710.3924627007648
inception_v3,9,14,1,0,inception_v3,1,11,1,0,12596.0,12686.581632653062,318.5735081120271
inception_v3,7,14,1,0,inception_v3,5,14,1,0,12395.5,12764.122448979591,1101.5628069517002
inception_v3,1,7,1,0,inception_v3,2,10,1,0,11103.0,11134.040816326531,142.74587941208506
inception_v3,10,14,1,0,inception_v3,10,14,1,0,5105.5,5885.0,1492.377954535537
inception_v3,4,13,1,0,inception_v3,1,10,1,0,13167.5,13833.142857142857,1970.0464668714424
inception_v3,3,14,1,0,inception_v3,5,9,1,0,14500.0,14514.69387755102,77.98173624000312
inception_v3,1,13,1,0,inception_v3,10,14,1,0,15821.5,15901.622448979591,498.32915757756103
inception_v3,10,14,1,0,inception_v3,5,10,1,0,7811.5,8061.683673469388,698.9452052468248
inception_v3,8,12,1,0,inception_v3,4,13,1,0,13417.0,13493.826530612245,382.60700852127104
inception_v3,5,12,1,0,inception_v3,8,14,1,0,10242.5,10284.969387755102,195.78979013225722
