model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,3,4,0,resnet152,14,52,4,0,19584.5,21898.877551020407,4631.186354081505
resnet101,0,35,4,0,resnet152,0,52,4,0,29376.0,30145.816326530614,4366.134173307696
resnet101,0,29,4,0,resnet152,0,52,4,0,29620.0,29997.948979591838,4653.622873024381
resnet101,2,35,4,0,resnet152,0,5,4,0,20279.0,20849.938775510203,3830.090572319398
resnet101,26,35,4,0,resnet152,0,52,4,0,33216.5,33400.642857142855,5758.4630252581555
resnet101,22,35,4,0,resnet152,0,52,4,0,30333.5,30023.091836734693,5470.493404017845
resnet101,0,35,4,0,resnet152,2,43,4,0,25902.5,26973.520408163266,4859.785668049511
resnet101,5,35,4,0,resnet152,0,52,4,0,30102.0,30393.836734693876,5204.408109407141
resnet101,0,1,4,0,resnet152,0,52,4,0,26491.5,27891.04081632653,3728.717169889385
resnet101,0,35,4,0,resnet152,0,11,4,0,16761.0,17163.173469387755,1081.8264509191717
resnet101,0,14,4,0,resnet152,42,52,4,0,8373.5,8721.867346938776,1783.4805322553361
resnet101,0,35,4,0,resnet152,51,52,4,0,16606.0,17117.30612244898,1332.351683426663
resnet101,15,28,4,0,resnet152,0,52,4,0,32562.5,32810.816326530614,5541.898244278537
resnet101,0,35,4,0,resnet152,11,52,4,0,23668.5,23406.724489795917,2987.3402195530784
resnet101,0,35,4,0,resnet152,0,34,4,0,19815.0,20234.918367346938,3266.215339869271
resnet101,0,35,4,0,resnet152,0,27,4,0,18139.0,18744.45918367347,2371.9731051593594
resnet101,0,35,4,0,resnet152,12,48,4,0,22385.5,23372.79591836735,3167.0604279471927
resnet101,0,14,4,0,resnet152,0,52,4,0,30453.5,30546.826530612245,4839.7974764204255
resnet101,0,34,4,0,resnet152,0,52,4,0,29403.0,29143.224489795917,4145.412425090431
resnet101,31,35,4,0,resnet152,0,25,4,0,14453.0,14685.867346938776,2926.3652130166847
resnet101,14,35,4,0,resnet152,0,52,4,0,31842.5,32395.969387755104,4278.557740150012
resnet101,0,35,4,0,resnet152,0,15,4,0,16884.0,17893.969387755104,1706.650553366971
resnet101,19,35,4,0,resnet152,0,38,4,0,26218.5,26117.581632653062,4036.8197396816036
resnet101,0,35,4,0,resnet152,0,25,4,0,19654.5,19235.0,2414.3327932856923
resnet101,4,35,4,0,resnet152,0,52,4,0,25971.5,27356.408163265307,2870.396473492016
resnet101,0,35,4,0,resnet152,1,52,4,0,25811.0,26568.071428571428,2403.470026517358
resnet101,21,29,4,0,resnet152,0,52,4,0,24445.0,25090.908163265307,1849.4846832582396
resnet101,0,35,4,0,resnet152,0,24,4,0,16890.5,18173.969387755104,1818.1162007613962
resnet101,16,35,4,0,resnet152,0,43,4,0,20656.5,20906.275510204083,1206.9087243831186
resnet101,9,35,4,0,resnet152,0,52,4,0,24806.0,26102.408163265307,2865.994872450569
