model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg19,0,22,4,0,bert,0,12,4,8,10665.0,10709.316326530612,154.02760135229775
vgg19,0,22,4,0,bert,0,8,4,32,9425.5,9823.265306122448,1248.1324379543564
vgg19,0,22,4,0,bert,0,4,4,8,8821.0,8823.091836734693,31.06283517774041
vgg19,0,22,4,0,bert,0,1,4,16,8755.0,8760.721649484536,18.852516180907145
vgg19,0,22,4,0,bert,0,2,4,64,8952.0,8955.051020408164,19.43979321349013
vgg19,0,14,4,0,bert,0,12,4,64,10608.0,10722.265306122448,264.94633846445697
vgg19,0,22,4,0,bert,0,0,4,16,8732.5,8731.112244897959,29.88784568098258
vgg19,0,22,4,0,bert,5,12,4,32,9216.0,9503.551020408164,916.5313840830345
vgg19,5,22,4,0,bert,0,12,4,64,10462.5,10552.214285714286,291.62140853916634
vgg19,0,22,4,0,bert,0,12,4,32,10682.5,10794.377551020409,525.0801982536422
vgg19,0,22,4,0,bert,10,12,4,8,8779.0,8784.622448979591,31.981026041319563
vgg19,0,15,4,0,bert,9,12,4,64,7350.0,7359.775510204082,64.84023231590483
vgg19,14,22,4,0,bert,0,12,4,32,10414.0,10519.65306122449,575.9169459332464
vgg19,0,22,4,0,bert,0,12,4,64,11131.0,11175.214285714286,209.6639317710948
vgg19,0,22,4,0,bert,4,12,4,8,9012.5,9008.479591836734,35.17890995974508
vgg19,16,22,4,0,bert,0,11,4,32,9680.5,9815.887755102041,775.3425428993654
vgg19,0,22,4,0,bert,0,12,4,16,10572.5,10695.244897959185,613.293951247878
vgg19,9,22,4,0,bert,0,12,4,8,10455.5,10504.010204081633,221.42817948803832
vgg19,0,11,4,0,bert,7,12,4,32,6140.5,6563.785714285715,1048.3362645017046
vgg19,1,22,4,0,bert,0,6,4,64,8778.5,9038.15306122449,705.0986521227528
vgg19,15,22,4,0,bert,0,12,4,16,10424.0,10486.265306122448,234.2218358483504
vgg19,2,22,4,0,bert,0,12,4,32,10526.5,10694.163265306122,904.1588682630534
vgg19,0,1,4,0,bert,1,12,4,64,9520.5,9608.163265306122,194.57151740492787
vgg19,0,18,4,0,bert,7,12,4,32,7775.0,7803.408163265306,71.15186929933515
vgg19,0,3,4,0,bert,0,12,4,32,10495.0,10541.214285714286,236.75981327850695
vgg19,6,22,4,0,bert,0,12,4,8,10645.0,10779.989795918367,547.9722638388672
vgg19,7,22,4,0,bert,0,12,4,8,10579.0,10759.632653061224,667.2958128078734
vgg19,8,15,4,0,bert,0,12,4,16,10511.0,10591.295918367347,461.2014746154026
vgg19,0,22,4,0,bert,0,3,4,32,8921.0,8922.081632653062,26.450058242051444
vgg19,2,22,4,0,bert,0,12,4,8,10940.5,10873.061224489797,294.4273520570345
vgg19,0,18,4,0,bert,0,12,4,8,10608.5,10695.857142857143,273.33607929597946
vgg19,0,0,4,0,bert,0,12,4,16,10369.0,10423.760416666666,204.64948411815357
vgg19,12,22,4,0,bert,0,12,4,8,10421.5,10448.530612244898,176.24404485997462
vgg19,0,0,4,0,bert,5,12,4,32,6261.0,6315.877551020408,173.65055605581082
vgg19,21,22,4,0,bert,0,12,4,8,10371.0,10468.959183673469,399.3226642337775
vgg19,0,22,4,0,bert,10,12,4,32,8861.5,8866.408163265307,28.179757076158474
vgg19,0,16,4,0,bert,0,12,4,16,10597.0,10637.214285714286,176.79841224238575
vgg19,0,20,4,0,bert,0,12,4,32,10580.5,10614.744897959185,134.32456210303928
vgg19,0,22,4,0,bert,0,7,4,64,9745.0,10002.744897959185,799.135033814616
vgg19,0,19,4,0,bert,0,12,4,32,10587.0,10624.989795918367,178.41990685229842
vgg19,1,22,4,0,bert,0,10,4,32,9093.5,9409.051020408164,991.022512280068
vgg19,16,22,4,0,bert,0,12,4,16,10385.0,10429.377551020409,233.4578367432964
vgg19,11,22,4,0,bert,0,12,4,16,10467.0,10552.775510204081,307.96599105282365
vgg19,0,22,4,0,bert,0,6,4,64,9477.5,9594.214285714286,403.17893050108654
vgg19,7,22,4,0,bert,0,12,4,32,10570.0,10694.397959183674,601.7158245095628
vgg19,0,22,4,0,bert,7,12,4,8,8861.5,8864.0,30.455387245032657
vgg19,12,22,4,0,bert,0,12,4,64,10461.0,10563.734693877552,447.832912332003
vgg19,0,22,4,0,bert,0,11,4,64,10857.0,10933.247422680412,532.3909700282155
vgg19,8,9,4,0,bert,0,12,4,16,10296.0,10347.581632653062,211.12178144714503
vgg19,0,22,4,0,bert,3,12,4,32,9627.5,10115.224489795919,1442.81564672021
vgg19,4,20,4,0,bert,0,12,4,8,10521.5,10664.836734693878,918.687547580315
vgg19,0,1,4,0,bert,6,12,4,64,5464.0,5493.102040816327,244.95574318289428
vgg19,0,22,4,0,bert,3,12,4,8,9174.0,9943.989795918367,1928.3718388514878
vgg19,0,22,4,0,bert,2,12,4,64,10534.0,10560.122448979591,293.37105658701586
vgg19,0,22,4,0,bert,10,10,4,16,8683.0,8688.591836734693,23.06682251000424
vgg19,0,22,4,0,bert,8,12,4,32,8919.0,8921.418367346938,33.27127935603777
vgg19,0,22,4,0,bert,8,12,4,16,8810.5,8813.724489795919,27.407648497604878
vgg19,3,22,4,0,bert,0,12,4,16,10510.0,10537.69387755102,201.67170777681648
vgg19,0,9,4,0,bert,11,12,4,32,5041.0,5048.3877551020405,36.68943924487386
vgg19,13,22,4,0,bert,0,0,4,16,2882.5,2888.9285714285716,23.761248678794434
vgg19,0,22,4,0,bert,1,6,4,16,8887.5,8886.081632653062,38.99572804164207
vgg19,18,22,4,0,bert,0,12,4,16,10382.0,10428.540816326531,226.52761098397946
vgg19,0,18,4,0,bert,0,12,4,16,10511.0,10536.163265306122,219.5379049544446
vgg19,11,22,4,0,bert,0,12,4,8,10422.0,10482.204081632653,224.35362753345868
vgg19,15,22,4,0,bert,0,12,4,64,10309.5,10368.0,256.3726958622417
vgg19,0,17,4,0,bert,0,12,4,32,10553.5,10604.387755102041,185.88149794595992
vgg19,12,22,4,0,bert,0,12,4,32,10468.0,10548.683673469388,235.53458938055977
vgg19,0,22,4,0,bert,4,12,4,64,10068.0,10292.724489795919,841.0038557097209
vgg19,0,8,4,0,bert,0,12,4,16,10515.0,10569.255102040815,189.11007005555828
vgg19,2,22,4,0,bert,0,12,4,16,10405.5,10444.826530612245,176.75395244319117
vgg19,0,5,4,0,bert,0,12,4,64,10275.5,10350.795918367347,236.89526486182143
vgg19,16,22,4,0,bert,0,9,4,16,7989.0,8053.34693877551,260.7164814796309
vgg19,0,22,4,0,bert,1,6,4,32,9053.0,9059.785714285714,31.439040464144615
vgg19,9,22,4,0,bert,0,12,8,32,10358.0,10403.387755102041,215.22620433798468
vgg19,0,22,4,0,bert,3,7,8,16,9002.0,9008.489795918367,26.88154093082265
vgg19,4,22,4,0,bert,0,12,8,8,10529.0,10560.275510204081,202.99621895605338
vgg19,0,22,4,0,bert,0,12,8,64,12966.5,12969.540816326531,31.544968992239735
vgg19,14,19,4,0,bert,0,12,8,16,10363.5,10440.57142857143,249.3402314517418
vgg19,0,22,4,0,bert,0,10,8,16,9859.0,10252.897959183674,1374.7977772615077
vgg19,0,22,4,0,bert,9,9,8,64,8703.0,8710.887755102041,24.0118519430706
