model,bs,seq_len,latency
resnet101,16,0,35509
resnet101,16,0,36305
resnet101,16,0,28943
resnet101,16,0,21849
resnet101,16,0,25780
resnet101,16,0,24066
resnet101,16,0,21538
resnet101,16,0,22986
resnet101,16,0,22947
resnet101,16,0,25027
resnet101,16,0,30071
resnet101,16,0,31045
resnet101,16,0,28411
resnet101,16,0,21553
resnet101,16,0,27840
resnet101,16,0,30379
resnet101,16,0,25417
resnet101,16,0,27947
resnet101,16,0,29868
resnet101,16,0,31427
resnet101,16,0,30000
resnet101,16,0,24143
resnet101,16,0,29457
resnet101,16,0,21293
resnet101,16,0,22623
resnet101,16,0,29614
resnet101,16,0,23357
resnet101,16,0,28254
resnet101,16,0,30738
resnet101,16,0,23260
resnet101,16,0,33278
resnet101,16,0,27337
resnet101,16,0,24481
resnet101,16,0,29620
resnet101,16,0,30004
resnet101,16,0,23261
resnet101,16,0,26440
resnet101,16,0,30096
resnet101,16,0,31554
resnet101,16,0,24766
resnet101,16,0,31776
resnet101,16,0,33719
resnet101,16,0,32543
resnet101,16,0,30626
resnet101,16,0,29395
resnet101,16,0,33866
resnet101,16,0,33420
resnet101,16,0,31936
resnet101,16,0,35605
resnet101,16,0,33459
resnet101,16,0,32005
resnet101,16,0,32198
resnet101,16,0,26553
resnet101,16,0,27846
resnet101,16,0,24602
resnet101,16,0,33195
resnet101,16,0,28224
resnet101,16,0,34267
resnet101,16,0,27321
resnet101,16,0,24804
resnet101,16,0,26848
resnet101,16,0,30201
resnet101,16,0,25783
resnet101,16,0,28764
resnet101,16,0,31296
resnet101,16,0,23517
resnet101,16,0,31894
resnet101,16,0,32562
resnet101,16,0,28217
resnet101,16,0,33546
resnet101,16,0,29558
resnet101,16,0,32589
resnet101,16,0,25586
resnet101,16,0,23437
resnet101,16,0,22256
resnet101,16,0,29511
resnet101,16,0,27898
resnet101,16,0,30270
resnet101,16,0,28681
resnet101,16,0,30862
resnet101,16,0,24005
resnet101,16,0,29119
resnet101,16,0,30344
resnet101,16,0,30634
resnet101,16,0,23522
resnet101,16,0,30102
resnet101,16,0,22908
resnet101,16,0,22495
resnet101,16,0,30061
resnet101,16,0,29153
resnet101,16,0,23075
resnet101,16,0,21424
resnet101,16,0,22917
resnet101,16,0,28802
resnet101,16,0,27755
resnet101,16,0,23846
resnet101,16,0,29317
resnet101,16,0,21807
resnet101,16,0,30542
resnet101,16,0,33289
resnet101,16,0,26149
resnet101,16,0,33615
resnet101,16,0,32337
resnet101,16,0,29325
resnet101,16,0,27378
resnet101,16,0,29221
resnet101,16,0,32865
resnet101,16,0,24625
resnet101,16,0,31017
resnet101,16,0,30646
resnet101,16,0,25460
resnet101,16,0,31651
resnet101,16,0,31254
resnet101,16,0,32754
resnet101,16,0,27274
resnet101,16,0,32054
resnet101,16,0,30031
resnet101,16,0,27453
resnet101,16,0,30765
resnet101,16,0,29101
resnet101,16,0,35231
resnet101,16,0,27443
resnet101,16,0,35206
resnet101,16,0,26628
resnet101,16,0,23765
resnet101,16,0,33556
resnet101,16,0,27639
resnet101,16,0,23959
