model,bs,seq_len,latency
resnet101,16,0,30038
resnet101,16,0,26555
resnet101,16,0,28025
resnet101,16,0,28982
resnet101,16,0,28230
resnet101,16,0,27738
resnet101,16,0,22125
resnet101,16,0,26749
resnet101,16,0,22188
resnet101,16,0,23597
resnet101,16,0,24282
resnet101,16,0,25982
resnet101,16,0,23688
resnet101,16,0,23732
resnet101,16,0,27338
resnet101,16,0,28345
resnet101,16,0,24209
resnet101,16,0,24633
resnet101,16,0,25807
resnet101,16,0,26150
resnet101,16,0,28586
resnet101,16,0,25818
resnet101,16,0,30512
resnet101,16,0,29453
resnet101,16,0,28657
resnet101,16,0,27752
resnet101,16,0,26210
resnet101,16,0,24974
resnet101,16,0,26618
resnet101,16,0,25805
resnet101,16,0,26881
resnet101,16,0,27589
resnet101,16,0,27252
resnet101,16,0,27276
resnet101,16,0,26319
resnet101,16,0,28393
resnet101,16,0,23835
resnet101,16,0,26028
resnet101,16,0,23158
resnet101,16,0,25566
resnet101,16,0,28074
resnet101,16,0,23121
resnet101,16,0,26462
resnet101,16,0,25322
resnet101,16,0,22816
resnet101,16,0,23510
resnet101,16,0,23543
resnet101,16,0,23592
resnet101,16,0,25836
resnet101,16,0,27714
resnet101,16,0,27843
resnet101,16,0,26666
resnet101,16,0,25634
resnet101,16,0,31536
resnet101,16,0,33358
resnet101,16,0,27197
resnet101,16,0,27276
resnet101,16,0,29242
resnet101,16,0,32817
resnet101,16,0,28242
resnet101,16,0,27492
resnet101,16,0,27890
resnet101,16,0,27914
resnet101,16,0,27829
resnet101,16,0,26138
resnet101,16,0,27410
resnet101,16,0,22252
resnet101,16,0,26444
resnet101,16,0,22452
resnet101,16,0,23307
resnet101,16,0,26446
resnet101,16,0,27388
resnet101,16,0,27891
resnet101,16,0,25480
resnet101,16,0,26427
resnet101,16,0,28004
resnet101,16,0,21938
resnet101,16,0,26364
resnet101,16,0,28213
resnet101,16,0,28174
resnet101,16,0,30887
resnet101,16,0,28459
resnet101,16,0,28118
resnet101,16,0,27402
resnet101,16,0,26594
resnet101,16,0,27131
resnet101,16,0,27626
resnet101,16,0,27089
resnet101,16,0,28606
resnet101,16,0,26116
resnet101,16,0,27394
resnet101,16,0,27607
resnet101,16,0,25264
resnet101,16,0,27558
resnet101,16,0,25304
resnet101,16,0,26444
resnet101,16,0,27737
resnet101,16,0,27843
resnet101,16,0,23593
resnet101,16,0,26182
resnet101,16,0,23713
resnet101,16,0,25807
resnet101,16,0,27729
resnet101,16,0,27345
resnet101,16,0,26913
resnet101,16,0,25739
resnet101,16,0,23449
resnet101,16,0,27520
resnet101,16,0,23282
resnet101,16,0,22595
resnet101,16,0,26100
resnet101,16,0,22792
resnet101,16,0,27453
resnet101,16,0,28195
resnet101,16,0,28272
resnet101,16,0,28677
resnet101,16,0,29964
resnet101,16,0,27714
resnet101,16,0,27492
resnet101,16,0,27606
resnet101,16,0,26411
resnet101,16,0,22829
resnet101,16,0,25516
resnet101,16,0,22162
resnet101,16,0,26802
resnet101,16,0,28229
resnet101,16,0,28426
resnet101,16,0,28244
resnet101,16,0,23072
resnet101,16,0,23707
resnet101,16,0,21997
resnet101,16,0,26141
resnet101,16,0,27752
resnet101,16,0,21642
resnet101,16,0,23667
resnet101,16,0,21969
resnet101,16,0,24814
resnet101,16,0,23630
resnet101,16,0,23401
resnet101,16,0,24624
resnet101,16,0,26074
resnet101,16,0,25991
resnet101,16,0,28160
resnet101,16,0,21842
resnet101,16,0,25112
resnet101,16,0,23707
resnet101,16,0,25598
resnet101,16,0,22690
resnet101,16,0,25771
resnet101,16,0,23294
resnet101,16,0,26058
resnet101,16,0,27600
resnet101,16,0,28369
resnet101,16,0,23496
resnet101,16,0,26374
resnet101,16,0,27788
resnet101,16,0,28529
resnet101,16,0,27948
resnet101,16,0,24157
resnet101,16,0,26051
resnet101,16,0,27931
resnet101,16,0,27329
resnet101,16,0,28192
resnet101,16,0,26228
resnet101,16,0,25359
resnet101,16,0,27012
resnet101,16,0,26659
resnet101,16,0,23535
resnet101,16,0,22397
resnet101,16,0,26539
resnet101,16,0,23425
resnet101,16,0,22742
resnet101,16,0,26159
resnet101,16,0,27390
resnet101,16,0,22909
resnet101,16,0,24979
resnet101,16,0,27605
resnet101,16,0,27646
resnet101,16,0,23702
resnet101,16,0,25797
resnet101,16,0,27585
resnet101,16,0,23790
resnet101,16,0,23353
resnet101,16,0,23379
resnet101,16,0,23426
resnet101,16,0,23771
resnet101,16,0,23909
resnet101,16,0,27301
resnet101,16,0,28667
resnet101,16,0,23957
resnet101,16,0,26127
resnet101,16,0,23578
resnet101,16,0,25851
resnet101,16,0,23799
resnet101,16,0,24289
resnet101,16,0,23626
resnet101,16,0,24482
resnet101,16,0,27014
resnet101,16,0,22473
resnet101,16,0,26185
resnet101,16,0,23423
resnet101,16,0,27041
resnet101,16,0,25068
resnet101,16,0,23507
resnet101,16,0,23528
resnet101,16,0,23596
resnet101,16,0,26863
resnet101,16,0,23931
resnet101,16,0,23443
resnet101,16,0,23393
resnet101,16,0,23177
resnet101,16,0,23784
resnet101,16,0,25292
resnet101,16,0,26470
resnet101,16,0,24333
resnet101,16,0,23998
resnet101,16,0,23418
resnet101,16,0,26180
resnet101,16,0,23342
resnet101,16,0,26711
resnet101,16,0,27343
resnet101,16,0,26492
resnet101,16,0,32508
resnet101,16,0,25972
resnet101,16,0,26401
resnet101,16,0,23515
resnet101,16,0,26695
resnet101,16,0,28322
resnet101,16,0,25938
resnet101,16,0,21914
resnet101,16,0,23564
resnet101,16,0,27019
resnet101,16,0,25708
resnet101,16,0,27664
resnet101,16,0,22957
resnet101,16,0,22570
resnet101,16,0,24851
resnet101,16,0,27820
resnet101,16,0,27846
resnet101,16,0,28171
resnet101,16,0,28062
resnet101,16,0,25346
resnet101,16,0,23973
