model,bs,seq_len,latency
resnet101,16,0,77009
resnet101,16,0,46726
resnet101,16,0,68820
resnet101,16,0,36806
resnet101,16,0,45462
resnet101,16,0,48921
resnet101,16,0,81432
resnet101,16,0,66625
resnet101,16,0,58059
resnet101,16,0,50166
resnet101,16,0,68114
resnet101,16,0,59296
resnet101,16,0,37130
resnet101,16,0,36664
resnet101,16,0,26148
resnet101,16,0,90396
resnet101,16,0,60646
resnet101,16,0,59618
resnet101,16,0,59700
resnet101,16,0,60603
resnet101,16,0,55454
resnet101,16,0,50038
resnet101,16,0,54564
resnet101,16,0,84572
resnet101,16,0,78996
resnet101,16,0,53604
resnet101,16,0,52051
resnet101,16,0,60308
resnet101,16,0,63328
resnet101,16,0,53353
resnet101,16,0,45560
resnet101,16,0,49905
resnet101,16,0,48017
resnet101,16,0,37388
resnet101,16,0,67938
resnet101,16,0,61325
resnet101,16,0,66820
resnet101,16,0,61715
resnet101,16,0,26364
resnet101,16,0,56176
resnet101,16,0,61195
resnet101,16,0,68897
resnet101,16,0,55718
resnet101,16,0,50645
resnet101,16,0,78257
resnet101,16,0,53725
resnet101,16,0,41836
resnet101,16,0,69496
resnet101,16,0,70935
resnet101,16,0,37051
resnet101,16,0,47720
resnet101,16,0,80836
resnet101,16,0,48491
resnet101,16,0,59529
resnet101,16,0,59219
resnet101,16,0,36855
resnet101,16,0,67915
resnet101,16,0,71724
resnet101,16,0,57335
resnet101,16,0,49307
resnet101,16,0,55559
resnet101,16,0,62988
resnet101,16,0,77665
resnet101,16,0,58850
resnet101,16,0,70830
resnet101,16,0,37035
resnet101,16,0,58273
resnet101,16,0,37316
resnet101,16,0,56927
resnet101,16,0,70760
resnet101,16,0,56246
resnet101,16,0,51016
resnet101,16,0,68504
resnet101,16,0,57386
resnet101,16,0,53392
resnet101,16,0,64859
resnet101,16,0,36876
resnet101,16,0,58678
resnet101,16,0,58546
resnet101,16,0,48197
resnet101,16,0,25986
resnet101,16,0,47332
resnet101,16,0,47655
resnet101,16,0,75905
resnet101,16,0,52062
resnet101,16,0,56506
resnet101,16,0,47441
resnet101,16,0,64932
resnet101,16,0,42408
resnet101,16,0,58675
resnet101,16,0,36484
resnet101,16,0,36610
resnet101,16,0,68179
resnet101,16,0,57824
resnet101,16,0,50585
resnet101,16,0,69059
resnet101,16,0,58855
resnet101,16,0,48047
resnet101,16,0,36887
resnet101,16,0,26993
resnet101,16,0,59116
resnet101,16,0,48111
resnet101,16,0,36581
resnet101,16,0,58815
resnet101,16,0,46320
resnet101,16,0,63833
resnet101,16,0,74019
resnet101,16,0,38708
resnet101,16,0,37024
resnet101,16,0,47757
resnet101,16,0,47526
resnet101,16,0,46028
resnet101,16,0,60791
resnet101,16,0,48014
resnet101,16,0,78689
resnet101,16,0,72976
resnet101,16,0,68680
resnet101,16,0,57947
resnet101,16,0,38331
resnet101,16,0,69730
resnet101,16,0,59486
resnet101,16,0,78480
resnet101,16,0,60529
resnet101,16,0,68175
resnet101,16,0,71871
resnet101,16,0,48518
resnet101,16,0,58920
resnet101,16,0,56605
resnet101,16,0,49305
resnet101,16,0,44533
resnet101,16,0,28859
resnet101,16,0,52312
resnet101,16,0,63857
resnet101,16,0,68887
resnet101,16,0,53677
resnet101,16,0,31446
resnet101,16,0,69633
resnet101,16,0,47964
resnet101,16,0,57016
resnet101,16,0,53750
resnet101,16,0,30868
resnet101,16,0,53320
resnet101,16,0,64175
resnet101,16,0,68611
resnet101,16,0,65243
resnet101,16,0,48015
resnet101,16,0,61742
resnet101,16,0,53673
resnet101,16,0,52968
resnet101,16,0,68205
resnet101,16,0,46988
resnet101,16,0,39321
resnet101,16,0,56713
resnet101,16,0,60223
resnet101,16,0,59290
resnet101,16,0,58590
resnet101,16,0,47929
resnet101,16,0,36731
resnet101,16,0,45177
resnet101,16,0,60401
resnet101,16,0,48523
resnet101,16,0,46318
resnet101,16,0,60372
resnet101,16,0,68709
resnet101,16,0,68404
resnet101,16,0,60512
resnet101,16,0,57614
resnet101,16,0,37049
resnet101,16,0,70083
resnet101,16,0,68112
resnet101,16,0,72540
resnet101,16,0,66942
resnet101,16,0,47109
resnet101,16,0,54331
resnet101,16,0,53527
resnet101,16,0,67884
resnet101,16,0,65057
resnet101,16,0,42161
resnet101,16,0,58321
resnet101,16,0,59240
resnet101,16,0,67209
resnet101,16,0,49192
resnet101,16,0,77972
resnet101,16,0,71851
resnet101,16,0,64254
resnet101,16,0,53173
resnet101,16,0,71456
resnet101,16,0,68439
resnet101,16,0,50300
resnet101,16,0,47115
resnet101,16,0,36254
resnet101,16,0,70300
resnet101,16,0,38244
resnet101,16,0,59097
resnet101,16,0,70594
resnet101,16,0,68169
resnet101,16,0,60368
resnet101,16,0,60263
resnet101,16,0,47656
resnet101,16,0,46257
resnet101,16,0,53520
resnet101,16,0,63725
resnet101,16,0,70703
resnet101,16,0,48206
resnet101,16,0,36740
resnet101,16,0,59014
resnet101,16,0,70822
resnet101,16,0,67600
resnet101,16,0,49258
resnet101,16,0,57999
resnet101,16,0,68112
resnet101,16,0,65294
resnet101,16,0,53030
resnet101,16,0,67102
resnet101,16,0,53992
resnet101,16,0,63485
resnet101,16,0,82479
resnet101,16,0,86437
resnet101,16,0,63030
resnet101,16,0,47942
resnet101,16,0,78383
resnet101,16,0,71176
resnet101,16,0,34877
resnet101,16,0,48994
resnet101,16,0,48317
resnet101,16,0,58969
resnet101,16,0,68354
resnet101,16,0,60445
resnet101,16,0,59705
resnet101,16,0,48685
resnet101,16,0,58734
resnet101,16,0,68573
resnet101,16,0,49092
resnet101,16,0,48006
resnet101,16,0,67899
resnet101,16,0,43540
resnet101,16,0,51262
resnet101,16,0,49498
resnet101,16,0,58995
resnet101,16,0,63874
resnet101,16,0,42156
resnet101,16,0,69369
resnet101,16,0,59387
resnet101,16,0,47538
resnet101,16,0,47404
resnet101,16,0,35632
resnet101,16,0,68899
resnet101,16,0,49631
resnet101,16,0,68275
resnet101,16,0,71877
resnet101,16,0,48577
resnet101,16,0,52573
resnet101,16,0,62767
resnet101,16,0,71429
resnet101,16,0,56178
resnet101,16,0,48765
resnet101,16,0,54625
resnet101,16,0,62410
