model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,17,35,1,0,bert,0,6,1,32,9578.0,9674.020408163266,352.09840286174625
resnet101,0,35,1,0,bert,4,12,1,16,18612.0,18689.581632653062,467.453848501611
resnet101,0,35,1,0,bert,0,12,1,8,18464.0,18549.163265306124,347.0698833904848
resnet101,16,35,1,0,bert,0,10,1,64,10152.0,10902.295918367347,1568.8277126645094
resnet101,0,17,1,0,bert,0,12,1,32,10896.5,10967.387755102041,177.70588132705606
resnet101,0,8,1,0,bert,0,12,1,8,10973.5,11036.214285714286,169.71357924335882
resnet101,4,35,1,0,bert,0,12,1,64,15198.5,16380.989795918367,1808.131194980946
resnet101,0,35,1,0,bert,8,9,1,32,16291.5,16338.020408163266,293.4821546426817
resnet101,0,25,1,0,bert,0,12,1,32,13558.0,14266.887755102041,2191.285923289146
resnet101,0,7,1,0,bert,2,12,1,16,9237.0,9310.938775510203,230.92104032289208
resnet101,1,35,1,0,bert,0,12,1,16,18629.0,19972.326530612245,2162.8756546457757
resnet101,21,35,1,0,bert,0,12,1,32,10934.0,11056.721649484536,349.86895167438456
resnet101,4,35,1,0,bert,0,12,1,8,15064.5,15789.448979591836,1592.7190274678528
resnet101,0,35,1,0,bert,0,10,1,64,16319.5,16354.295918367347,269.37612007186704
resnet101,0,35,1,0,bert,0,12,1,8,16255.5,16277.19387755102,202.62213037478818
resnet101,0,35,1,0,bert,8,12,1,64,16316.0,16368.091836734693,261.3647106519498
resnet101,0,35,1,0,bert,0,0,1,64,16280.5,16316.724489795919,258.51963887868203
resnet101,0,35,1,0,bert,10,12,1,32,16291.5,16349.102040816326,291.0819889336153
resnet101,0,15,1,0,bert,1,12,1,8,10213.5,10333.132653061224,457.044579564497
resnet101,0,16,1,0,bert,0,12,1,16,10914.0,11059.469387755102,413.6620725754057
resnet101,20,35,1,0,bert,0,12,1,16,10943.5,11052.785714285714,272.3463150221101
resnet101,2,35,1,0,bert,0,12,1,16,15920.0,15990.030612244898,495.52716629088883
resnet101,0,26,1,0,bert,0,12,1,32,14061.5,14705.602040816326,2581.4625610055605
resnet101,5,35,1,0,bert,0,12,1,8,16310.5,16333.551020408164,238.75895634227558
resnet101,0,35,1,0,bert,0,12,1,32,16434.0,17255.336734693876,1468.966080545572
resnet101,0,35,1,0,bert,0,12,1,32,16260.0,16501.64285714286,933.959109033655
resnet101,5,35,1,0,bert,0,3,1,32,14279.0,14318.989795918367,201.06032676268467
resnet101,0,25,1,0,bert,0,12,1,16,14692.0,14460.479591836734,2253.9955056253825
resnet101,0,35,1,0,bert,0,12,1,32,18667.0,18725.285714285714,264.42872578524475
resnet101,0,35,1,0,bert,0,12,1,8,18641.0,18690.84693877551,233.26149607651365
