model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,11,18,1,0,inception_v3,2,6,1,0,5358.0,5727.214285714285,1086.2271744390284
resnet101,9,24,1,0,inception_v3,3,12,1,0,15115.5,15742.112244897959,1563.5584864220166
resnet101,16,22,1,0,inception_v3,6,11,1,0,9805.0,9968.520408163266,614.1267606568983
resnet101,19,30,1,0,inception_v3,3,10,1,0,11968.0,12417.867346938776,1098.4664136854626
resnet101,16,25,1,0,inception_v3,6,12,1,0,11620.0,12008.80612244898,911.7558935100287
resnet101,3,26,1,0,inception_v3,7,13,1,0,17783.0,18356.714285714286,3881.2298177200464
resnet101,28,34,1,0,inception_v3,3,9,1,0,9973.5,10100.80612244898,570.1005578711221
resnet101,1,33,1,0,inception_v3,4,9,1,0,24286.5,24597.061224489797,4360.439185931934
resnet101,4,18,1,0,inception_v3,5,13,1,0,14193.0,14965.183673469388,1649.410249254469
resnet101,5,20,1,0,inception_v3,7,11,1,0,10287.0,11986.816326530612,3045.394134697808
resnet101,3,14,1,0,inception_v3,9,13,1,0,7957.5,9213.877551020409,2646.4932410271076
resnet101,13,25,1,0,inception_v3,5,12,1,0,12409.0,12903.775510204081,1420.8441119351055
resnet101,7,13,1,0,inception_v3,4,11,1,0,11924.5,12171.295918367347,776.7203054127548
resnet101,6,21,1,0,inception_v3,1,10,1,0,13846.5,14276.34693877551,1229.7664877233253
resnet101,16,34,1,0,inception_v3,8,12,1,0,11973.5,13812.65306122449,3048.830579097771
resnet101,9,13,1,0,inception_v3,3,7,1,0,6036.0,6218.683673469388,709.1972840420556
resnet101,20,29,1,0,inception_v3,1,11,1,0,14993.5,15370.816326530612,937.3753124912872
resnet101,10,16,1,0,inception_v3,1,9,1,0,11605.0,11635.918367346938,168.74039192416913
resnet101,21,25,1,0,inception_v3,4,10,1,0,10482.0,10555.704081632653,248.2814486393261
resnet101,14,34,1,0,inception_v3,4,13,1,0,15407.0,17017.397959183672,2504.3417756735184
resnet101,18,30,1,0,inception_v3,0,11,1,0,15517.0,15866.505154639175,1056.017876329785
resnet101,0,4,1,0,inception_v3,3,7,1,0,5825.5,5869.755102040816,200.27359150312608
resnet101,14,31,1,0,inception_v3,4,10,1,0,10970.0,13360.969072164948,3296.41044215783
resnet101,13,24,1,0,inception_v3,8,12,1,0,7413.5,8083.84693877551,1552.1880366315343
resnet101,9,32,1,0,inception_v3,2,13,1,0,18777.0,19988.622448979593,2445.2839888296526
resnet101,11,18,1,0,inception_v3,7,12,1,0,9332.0,9409.826530612245,326.32302218251584
resnet101,2,30,1,0,inception_v3,8,13,1,0,17440.5,17877.663265306124,1267.803507468141
resnet101,29,34,1,0,inception_v3,3,11,1,0,13214.5,13701.816326530612,1649.1648557273156
resnet101,22,31,1,0,inception_v3,6,13,1,0,13387.5,13588.530612244898,725.8515225143224
resnet101,25,34,1,0,inception_v3,0,10,1,0,14544.5,14780.448979591836,674.3396788703441
resnet101,7,30,1,0,inception_v3,4,9,1,0,14724.5,16631.35714285714,2931.7366179346286
resnet101,0,20,1,0,inception_v3,8,12,1,0,12554.5,12917.418367346938,1083.1468885204906
resnet101,9,24,1,0,inception_v3,0,11,1,0,15745.0,16017.908163265307,831.1180702331377
resnet101,14,18,1,0,inception_v3,7,12,1,0,9486.0,9545.387755102041,341.7207844775322
resnet101,8,22,1,0,inception_v3,9,13,1,0,9150.0,10127.173469387755,2127.8291276413584
resnet101,28,33,1,0,inception_v3,5,9,1,0,7341.5,7502.132653061224,549.5985666320298
resnet101,17,28,1,0,inception_v3,4,13,1,0,15502.0,15912.30612244898,993.2561624516758
resnet101,7,34,1,0,inception_v3,9,13,1,0,17316.5,17931.224489795917,1470.1836865008777
resnet101,25,30,1,0,inception_v3,1,12,1,0,16793.0,17108.35714285714,1017.8065375891351
resnet101,7,18,1,0,inception_v3,9,13,1,0,7381.5,7811.102040816327,1533.6073419828133
resnet101,13,28,1,0,inception_v3,0,10,1,0,14549.0,14783.84693877551,858.3099358390399
resnet101,30,34,1,0,inception_v3,8,13,1,0,9356.5,9490.19387755102,479.652566823607
resnet101,29,33,1,0,inception_v3,6,12,1,0,11560.0,11618.255102040815,391.6992367439665
resnet101,7,28,1,0,inception_v3,7,11,1,0,13363.5,13653.989795918367,930.5445355000145
resnet101,10,18,1,0,inception_v3,9,13,1,0,7337.0,7511.15306122449,676.1658314898071
resnet101,29,33,1,0,inception_v3,0,6,1,0,6406.5,6425.071428571428,105.62025258018484
resnet101,4,23,1,0,inception_v3,1,8,1,0,12190.0,12710.42857142857,1388.8020311162616
resnet101,26,30,1,0,inception_v3,6,13,1,0,13256.5,13338.979591836734,319.740008527076
resnet101,7,14,1,0,inception_v3,5,12,1,0,12312.0,12411.0,522.8226959769166
resnet101,10,26,1,0,inception_v3,9,13,1,0,12297.5,12876.479591836734,2975.5837096020027
resnet101,29,34,1,0,inception_v3,1,10,1,0,13903.0,14841.142857142857,1961.9813496377917
resnet101,18,31,1,0,inception_v3,9,13,1,0,8384.5,8913.163265306122,1675.1206517245962
resnet101,2,21,1,0,inception_v3,0,13,1,0,19396.5,21138.663265306124,3173.665938414212
resnet101,0,30,1,0,inception_v3,8,13,1,0,18581.5,20762.683673469386,3281.416374120433
resnet101,21,33,1,0,inception_v3,9,13,1,0,8012.0,9235.704081632653,1980.866653297643
resnet101,29,33,1,0,inception_v3,9,13,1,0,8001.0,9125.897959183674,2384.850628488064
