model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,15,22,1,0,resnet152,29,40,1,0,7063.0,7129.0204081632655,351.4628026183186
resnet101,3,8,1,0,resnet152,26,45,1,0,11819.0,11828.19387755102,67.10662520339618
resnet101,16,26,1,0,resnet152,2,10,1,0,5576.0,5708.7959183673465,664.3675519356533
resnet101,18,24,1,0,resnet152,2,30,1,0,17397.0,17597.714285714286,704.2104567151349
resnet101,11,21,1,0,resnet152,42,46,1,0,5576.0,5732.193877551021,621.6674033361238
resnet101,10,35,1,0,resnet152,39,46,1,0,13505.5,14383.744897959185,1956.8672971349945
resnet101,22,29,1,0,resnet152,34,51,1,0,9466.5,10025.918367346938,1626.2247483394233
resnet101,26,33,1,0,resnet152,15,24,1,0,5113.0,5281.306122448979,723.3967693326277
resnet101,15,31,1,0,resnet152,37,51,1,0,8666.0,9513.459183673469,1923.6594970469503
resnet101,25,30,1,0,resnet152,17,26,1,0,5874.5,6026.061224489796,1055.3980564109693
resnet101,27,35,1,0,resnet152,7,21,1,0,8980.5,9434.877551020409,1729.3469940479192
resnet101,4,20,1,0,resnet152,19,41,1,0,12682.0,13518.632653061224,2335.05270397958
resnet101,29,33,1,0,resnet152,43,47,1,0,2912.5,3007.2551020408164,480.7953722998898
resnet101,9,13,1,0,resnet152,9,39,1,0,18545.5,19181.122448979593,2847.9616135673577
resnet101,6,16,1,0,resnet152,36,50,1,0,9133.0,9402.877551020409,931.0064914097344
resnet101,15,35,1,0,resnet152,20,50,1,0,18565.5,19475.979591836734,1998.9819091359718
resnet101,23,35,1,0,resnet152,35,44,1,0,6855.0,7455.030612244898,1596.7169407439783
resnet101,26,32,1,0,resnet152,38,51,1,0,8549.0,8582.316326530612,274.4912398490206
resnet101,7,28,1,0,resnet152,44,49,1,0,11377.0,12383.540816326531,2213.6735613204423
resnet101,8,28,1,0,resnet152,23,42,1,0,11838.5,12799.775510204081,2659.9198105551836
resnet101,10,25,1,0,resnet152,18,29,1,0,8075.5,8649.387755102041,1591.2734384034786
resnet101,21,25,1,0,resnet152,37,41,1,0,2520.5,2644.7755102040815,535.8880771550946
resnet101,25,31,1,0,resnet152,33,42,1,0,5862.5,5862.84693877551,98.47566280101034
resnet101,6,14,1,0,resnet152,11,30,1,0,11940.5,11944.336734693878,68.20945291445165
resnet101,18,24,1,0,resnet152,28,42,1,0,8830.5,9083.836734693878,1768.3751373522712
resnet101,13,20,1,0,resnet152,41,45,1,0,4021.0,4097.051020408163,501.31442275097413
resnet101,26,35,1,0,resnet152,18,22,1,0,5314.5,5359.234693877551,366.6215253881959
resnet101,13,29,1,0,resnet152,31,36,1,0,8625.5,8607.887755102041,71.22684122777707
resnet101,29,34,1,0,resnet152,1,15,1,0,7814.5,8070.438775510204,756.5569170264332
resnet101,30,34,1,0,resnet152,22,48,1,0,13713.0,13867.234693877552,897.080671195779
resnet101,0,11,1,0,resnet152,8,24,1,0,8774.5,9459.30612244898,1865.512794896272
resnet101,29,34,1,0,resnet152,29,45,1,0,8702.0,9412.795918367347,2036.494521952496
resnet101,0,24,1,0,resnet152,4,40,1,0,19879.0,19867.316326530614,882.1146970281338
resnet101,12,23,1,0,resnet152,45,51,1,0,6049.5,6532.489795918367,1397.3995472998536
resnet101,20,33,1,0,resnet152,45,50,1,0,7568.0,7888.142857142857,1304.0558943197964
resnet101,29,34,1,0,resnet152,36,51,1,0,9762.0,10088.397959183674,1905.1399688243805
resnet101,31,35,1,0,resnet152,8,43,1,0,21495.5,21593.285714285714,715.9412101049433
resnet101,20,26,1,0,resnet152,41,47,1,0,4282.5,4528.632653061224,605.1845963575671
resnet101,31,35,1,0,resnet152,9,42,1,0,20629.0,21321.98979591837,2713.9251546042747
resnet101,23,32,1,0,resnet152,25,37,1,0,7634.0,7882.071428571428,1375.8897399612413
resnet101,20,34,1,0,resnet152,28,45,1,0,10658.5,11143.265306122448,1951.6592498619848
resnet101,11,17,1,0,resnet152,25,32,1,0,4647.0,4672.010204081633,173.03358733164006
resnet101,16,26,1,0,resnet152,46,50,1,0,5523.5,5616.989795918367,404.4264897483379
resnet101,27,34,1,0,resnet152,28,41,1,0,8225.0,8423.683673469388,892.7655564105485
resnet101,10,34,1,0,resnet152,18,41,1,0,14244.5,15312.275510204081,2167.7352885527753
resnet101,12,35,1,0,resnet152,0,15,1,0,12428.5,13245.244897959185,1962.5439657689226
resnet101,31,35,1,0,resnet152,6,20,1,0,8845.5,8503.020408163266,1028.2589007299891
resnet101,23,33,1,0,resnet152,41,48,1,0,5994.5,6167.857142857143,751.4001216776204
resnet101,30,34,1,0,resnet152,47,51,1,0,3068.0,3179.680412371134,316.7208451302758
resnet101,1,28,1,0,resnet152,16,31,1,0,14410.0,14573.724489795919,502.61519708324124
resnet101,14,31,1,0,resnet152,13,49,1,0,19104.0,19519.285714285714,1512.3282766405348
resnet101,2,16,1,0,resnet152,11,51,1,0,21186.5,21544.11224489796,1389.6765214753605
resnet101,7,26,1,0,resnet152,24,52,1,0,14730.5,15692.602040816326,2111.746321247407
resnet101,1,27,1,0,resnet152,41,48,1,0,13860.0,13903.836734693878,399.793893172356
resnet101,5,22,1,0,resnet152,47,52,1,0,9237.5,10214.295918367347,2201.289558089705
resnet101,21,30,1,0,resnet152,17,32,1,0,9341.0,9513.469387755102,2092.9211409234017
resnet101,11,24,1,0,resnet152,12,28,1,0,9997.0,9833.69387755102,1490.4795174719216
resnet101,14,24,1,0,resnet152,30,40,1,0,5539.5,5727.377551020408,502.6140141810069
resnet101,24,29,1,0,resnet152,9,44,1,0,18398.0,18946.69387755102,1298.7797366175027
resnet101,15,30,1,0,resnet152,26,42,1,0,8678.0,9763.102040816326,2252.607271629903
resnet101,8,21,1,0,resnet152,3,29,1,0,13879.0,15067.79381443299,2408.740407192126
resnet101,17,30,1,0,resnet152,3,41,1,0,19933.0,19965.775510204083,277.1872398413429
resnet101,31,35,1,0,resnet152,39,48,1,0,5078.0,5053.061224489796,65.65708944523045
resnet101,22,30,1,0,resnet152,12,44,1,0,16974.5,18745.11224489796,2784.0334595201284
resnet101,28,33,1,0,resnet152,36,52,1,0,8546.0,8720.255102040815,748.6500818987669
resnet101,17,29,1,0,resnet152,9,43,1,0,17967.5,17966.29591836735,70.81078685031457
resnet101,26,32,1,0,resnet152,18,52,1,0,17816.0,19868.11224489796,3336.8670136810842
resnet101,14,19,1,0,resnet152,23,32,1,0,5834.0,5891.84693877551,263.01436881834917
resnet101,23,32,1,0,resnet152,12,25,1,0,8330.0,8599.775510204081,939.5186840971269
resnet101,11,18,1,0,resnet152,44,51,1,0,4912.5,5094.377551020408,744.2271914928046
resnet101,29,35,1,0,resnet152,38,42,1,0,3773.5,3794.3979591836733,164.05566127334671
resnet101,28,32,1,0,resnet152,20,34,1,0,8833.0,8838.479591836734,72.7787014134303
resnet101,15,29,1,0,resnet152,20,41,1,0,13054.5,13929.387755102041,1876.2890786839957
resnet101,22,30,1,0,resnet152,3,22,1,0,12042.0,12036.938775510203,57.22829618479752
resnet101,4,34,1,0,resnet152,21,42,1,0,16548.5,16826.326530612245,1004.6732616953208
resnet101,11,15,1,0,resnet152,43,48,1,0,3441.0,3444.377551020408,65.64802798009981
resnet101,31,35,1,0,resnet152,17,45,1,0,17259.0,18377.877551020407,2249.499410369148
