model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,12,4,8,25252.0,25385.530612244896,459.07089408672425
resnet101,0,35,4,0,resnet152,0,21,4,0,bert,0,12,4,32,17112.5,17901.29591836735,1470.6137078575196
resnet101,10,35,4,0,resnet152,0,52,4,0,bert,11,12,4,64,25033.0,26798.38775510204,3258.3334654536143
resnet101,0,35,4,0,resnet152,0,45,4,0,bert,0,12,4,32,21980.0,24156.65306122449,4023.3984748961607
resnet101,0,13,4,0,resnet152,36,52,4,0,bert,3,6,4,8,7880.5,8046.0204081632655,489.54685376630334
resnet101,0,24,4,0,resnet152,16,52,4,0,bert,2,12,4,32,17537.0,18487.88775510204,1864.033764489309
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,12,4,32,25000.0,25325.45918367347,1288.5226326551815
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,9,12,4,16,24934.0,25331.224489795917,1545.7049084123546
resnet101,0,5,4,0,resnet152,12,46,4,0,bert,2,12,4,8,16681.5,16755.0,246.0009125584534
resnet101,25,35,4,0,resnet152,0,52,4,0,bert,0,12,4,8,24747.0,24926.73469387755,1076.4623518352994
resnet101,24,35,4,0,resnet152,38,52,4,0,bert,0,12,4,32,11645.5,11728.112244897959,257.47850644011805
resnet101,24,28,4,0,resnet152,0,52,4,0,bert,2,12,4,32,24370.0,24397.29591836735,188.27385661684707
resnet101,0,30,4,0,resnet152,0,52,4,0,bert,0,9,4,64,24884.0,25122.622448979593,1111.9401642551627
resnet101,9,12,4,0,resnet152,13,52,4,0,bert,0,12,4,8,18920.5,18934.01020408163,181.62798348732673
resnet101,0,35,4,0,resnet152,8,52,4,0,bert,0,12,4,8,21618.5,21713.29591836735,468.0953201633728
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,9,4,16,25058.5,25079.336734693876,192.76113715555073
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,12,4,16,25112.0,25148.051020408162,146.58259303406876
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,0,9,4,64,24996.5,25038.224489795917,135.150825090707
resnet101,29,30,4,0,resnet152,48,52,4,0,bert,0,7,4,8,6916.0,6953.091836734694,186.72434592717826
resnet101,0,22,4,0,resnet152,1,52,4,0,bert,0,12,4,8,24957.5,26052.785714285714,2311.4995850383907
resnet101,20,35,4,0,resnet152,43,43,4,0,bert,0,1,4,8,9519.5,8938.744897959185,925.4741896667217
resnet101,13,35,4,0,resnet152,4,52,4,0,bert,0,0,4,64,22970.0,23199.826530612245,1058.3163469948552
resnet101,0,22,4,0,resnet152,0,10,4,0,bert,9,12,4,32,11046.0,11775.183673469388,1115.7900499878156
resnet101,0,35,4,0,resnet152,0,52,4,0,bert,5,12,4,16,24878.0,26108.632653061224,2267.761907506575
resnet101,6,35,4,0,resnet152,0,52,4,0,bert,3,12,4,64,24912.0,24926.091836734693,152.23358037760784
resnet101,0,35,4,0,resnet152,16,19,4,0,bert,0,12,4,16,16944.0,17920.551020408162,1895.8649693717102
resnet101,28,35,4,0,resnet152,43,52,4,0,bert,0,0,4,8,4705.0,5025.163265306122,596.036872128123
resnet101,20,25,4,0,resnet152,0,52,4,0,bert,0,8,4,8,24948.5,25429.275510204083,1715.4923418991225
resnet101,0,0,4,0,resnet152,31,52,4,0,bert,6,12,4,32,10224.5,10503.326530612245,831.9288109201314
resnet101,0,35,4,0,resnet152,0,8,4,0,bert,0,12,4,8,17119.5,17373.19387755102,892.3564271207666
resnet101,0,35,4,0,resnet152,23,52,4,0,bert,0,12,4,8,17144.0,17554.551020408162,1280.123105706738
resnet101,0,35,4,0,resnet152,0,17,4,0,bert,0,9,4,64,17072.0,17851.551020408162,1986.5371990766457
resnet101,0,35,4,0,resnet152,0,26,4,0,bert,1,12,4,8,17064.5,18108.14285714286,2969.3945717012716
resnet101,1,35,4,0,resnet152,0,52,4,0,bert,0,5,4,8,24942.0,25210.5,1000.742553388865
resnet101,0,35,4,0,resnet152,28,52,4,0,bert,0,12,4,32,17135.0,17871.071428571428,1451.3442484645122
resnet101,0,35,4,0,resnet152,0,40,4,0,bert,0,12,4,32,19813.5,20633.285714285714,1651.3891122324865
