model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,17,28,4,0,resnet152,0,40,4,0,vgg19,0,22,4,0,20028.0,21137.88775510204,2354.3780966732934
resnet101,3,35,4,0,resnet152,7,52,4,0,vgg19,0,22,4,0,22673.0,24624.70408163265,3615.3512269300995
resnet101,0,35,4,0,resnet152,0,0,4,0,vgg19,0,22,4,0,17307.0,18330.724489795917,2238.7865416774707
resnet101,0,35,4,0,resnet152,25,52,4,0,vgg19,0,22,4,0,18786.5,19725.244897959183,2459.4903780289173
resnet101,0,35,4,0,resnet152,47,52,4,0,vgg19,0,22,4,0,17562.0,18382.255102040817,2203.1142999391604
resnet101,19,35,4,0,resnet152,33,52,4,0,vgg19,0,20,4,0,11257.0,11377.5,593.1236793280065
resnet101,0,35,4,0,resnet152,0,36,4,0,vgg19,0,2,4,0,21232.5,21021.836734693876,2628.8237871635074
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,25027.5,26036.102040816328,2285.5345085094805
resnet101,0,35,4,0,resnet152,15,52,4,0,vgg19,0,22,4,0,20559.0,20718.581632653062,2549.3867246668437
resnet101,0,35,4,0,resnet152,31,52,4,0,vgg19,4,22,4,0,17278.0,17324.336734693876,274.18863400569546
resnet101,0,15,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,25075.5,26566.73469387755,3016.2148483231954
resnet101,0,22,4,0,resnet152,41,52,4,0,vgg19,0,4,4,0,11555.0,12557.204081632653,1485.6630757601865
resnet101,19,29,4,0,resnet152,0,6,4,0,vgg19,0,22,4,0,5345.5,5763.9795918367345,835.2465233004849
resnet101,0,35,4,0,resnet152,40,41,4,0,vgg19,0,22,4,0,17237.5,17520.15306122449,1143.5483387696709
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,17,22,4,0,25384.0,26118.224489795917,1862.0361607364252
resnet101,23,35,4,0,resnet152,0,6,4,0,vgg19,0,22,4,0,7019.5,6983.316326530612,1388.2357662856368
resnet101,0,25,4,0,resnet152,0,11,4,0,vgg19,0,22,4,0,12597.5,12955.408163265307,1080.532765765363
resnet101,0,11,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,25396.0,27845.530612244896,3635.641282466847
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,1,2,4,0,25035.5,25757.469387755104,2221.0632598296097
resnet101,0,10,4,0,resnet152,0,52,4,0,vgg19,0,9,4,0,24873.5,25319.061224489797,1676.1507945431044
resnet101,0,35,4,0,resnet152,1,52,4,0,vgg19,0,22,4,0,24889.5,25157.11224489796,1278.5281308123938
resnet101,23,30,4,0,resnet152,0,34,4,0,vgg19,20,22,4,0,16566.0,17167.673469387755,1556.0145635401964
resnet101,0,35,4,0,resnet152,14,52,4,0,vgg19,18,22,4,0,20368.5,20520.438775510203,2154.366183919258
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,3,22,4,0,25091.5,26601.23469387755,3394.449553528436
resnet101,0,10,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,25616.5,27697.428571428572,3435.6710600191427
resnet101,0,20,4,0,resnet152,12,52,4,0,vgg19,5,14,4,0,19488.5,20483.70408163265,2100.3386228890963
resnet101,0,16,4,0,resnet152,0,6,4,0,vgg19,0,22,4,0,9627.0,9436.959183673469,1329.119755652078
resnet101,0,35,4,0,resnet152,46,52,4,0,vgg19,21,22,4,0,16913.5,17460.01020408163,1553.792381626966
resnet101,19,20,4,0,resnet152,40,52,4,0,vgg19,0,0,4,0,6907.0,6659.326530612245,980.491013763837
resnet101,0,8,4,0,resnet152,0,52,4,0,vgg19,0,8,4,0,24885.0,26038.70408163265,2739.10305671208
resnet101,0,12,4,0,resnet152,0,52,4,0,vgg19,15,18,4,0,25172.0,27397.979591836734,3370.791634687832
resnet101,0,16,4,0,resnet152,32,34,4,0,vgg19,5,22,4,0,9888.5,9630.051020408164,1072.917140917447
resnet101,0,35,4,0,resnet152,43,52,4,0,vgg19,0,22,4,0,17014.5,17710.11224489796,1759.3764542613515
resnet101,0,35,4,0,resnet152,34,52,4,0,vgg19,0,22,4,0,17056.0,18005.785714285714,2022.1778482616212
resnet101,0,35,4,0,resnet152,0,5,4,0,vgg19,0,22,4,0,17544.0,18907.714285714286,2373.9701268687663
resnet101,30,35,4,0,resnet152,0,52,4,0,vgg19,2,22,4,0,24577.0,24721.367346938776,531.0015063538937
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,20,4,0,25016.5,25584.591836734693,1423.345941834747
resnet101,0,35,4,0,resnet152,12,48,4,0,vgg19,4,12,4,0,17860.0,18486.95918367347,1198.637099498097
resnet101,0,35,4,0,resnet152,0,8,4,0,vgg19,0,4,4,0,16808.5,17273.938775510203,1350.719398768947
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,0,19,4,0,25004.5,26602.15306122449,2920.0790433530055
resnet101,0,17,4,0,resnet152,0,52,4,0,vgg19,0,17,4,0,25139.0,27231.581632653062,3447.8719314355353
resnet101,10,23,4,0,resnet152,45,52,4,0,vgg19,0,22,4,0,6745.5,7264.908163265306,1132.7528062809834
resnet101,0,5,4,0,resnet152,0,52,4,0,vgg19,0,22,4,0,24727.0,24851.775510204083,480.45477033642345
resnet101,2,35,4,0,resnet152,0,52,4,0,vgg19,14,18,4,0,24851.0,25341.214285714286,1634.4627479663757
resnet101,34,35,4,0,resnet152,19,42,4,0,vgg19,0,22,4,0,11234.0,11279.42857142857,290.5157623318661
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,2,14,4,0,24719.5,24977.122448979593,784.6789056717706
resnet101,23,35,4,0,resnet152,0,14,4,0,vgg19,20,22,4,0,7258.5,7917.632653061224,1093.2943699397435
resnet101,0,35,4,0,resnet152,0,16,4,0,vgg19,0,10,4,0,17131.0,17307.48979591837,655.0900272278824
resnet101,0,35,4,0,resnet152,0,52,4,0,vgg19,13,22,4,0,24820.5,26247.061224489797,2688.9450128193116
resnet101,0,35,4,0,resnet152,0,3,4,0,vgg19,0,1,4,0,16775.0,17776.438775510203,1964.796432651934
resnet101,0,32,4,0,resnet152,19,52,4,0,vgg19,14,22,4,0,17063.0,17581.428571428572,1195.0815700962314
resnet101,9,21,4,0,resnet152,1,52,4,0,vgg19,0,17,4,0,26060.0,26592.397959183672,1569.7782161028153
