model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet101,19,35,8,0,resnet152,41,52,8,0,vgg19,15,17,8,0,bert,0,7,8,64,8023.5,8926.489795918367,1710.2634135633689
resnet101,0,35,8,0,resnet152,11,52,8,0,vgg19,12,22,8,0,bert,2,6,8,8,23601.0,23559.19387755102,3104.0298647382574
resnet101,0,35,8,0,resnet152,3,52,8,0,vgg19,9,22,8,0,bert,10,12,8,8,28167.0,28247.132653061224,4191.903297776962
resnet101,0,6,8,0,resnet152,0,52,8,0,vgg19,0,8,8,0,bert,0,12,8,8,24998.5,25383.469387755104,1266.9708065196667
resnet101,32,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,7,12,8,32,24790.0,25079.683673469386,1172.1493566193858
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,9,8,16,30268.0,30714.85714285714,1331.3689211040014
resnet101,17,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,8,64,27781.5,28673.081632653062,1684.7818103357333
resnet101,15,35,8,0,resnet152,4,5,8,0,vgg19,0,10,8,0,bert,0,12,8,8,12797.0,13778.183673469388,2061.7675810092637
resnet101,0,35,8,0,resnet152,32,52,8,0,vgg19,0,22,8,0,bert,3,12,8,16,22392.0,23780.918367346938,2256.0543563137467
resnet101,7,9,8,0,resnet152,0,6,8,0,vgg19,7,22,8,0,bert,9,9,8,16,8006.5,8004.969387755102,51.435605487541935
resnet101,28,35,8,0,resnet152,0,22,8,0,vgg19,11,22,8,0,bert,1,12,8,64,13262.5,13353.112244897959,430.900975476256
resnet101,13,35,8,0,resnet152,46,52,8,0,vgg19,0,22,8,0,bert,0,12,8,32,15889.5,16404.30612244898,1309.6083961196207
resnet101,0,5,8,0,resnet152,18,52,8,0,vgg19,0,22,8,0,bert,0,7,8,32,19790.5,19821.581632653062,238.83073689776688
resnet101,0,35,8,0,resnet152,0,37,8,0,vgg19,0,22,8,0,bert,0,12,8,64,28640.0,28721.948979591838,465.02585779430166
resnet101,0,13,8,0,resnet152,0,36,8,0,vgg19,15,22,8,0,bert,0,11,8,8,17670.5,18314.65306122449,1442.3859633914176
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,10,8,0,bert,0,12,8,64,29162.5,29224.23469387755,341.5148964695692
resnet101,0,5,8,0,resnet152,0,52,8,0,vgg19,0,15,8,0,bert,0,1,8,8,24766.5,26079.11224489796,2885.639708663819
resnet101,0,35,8,0,resnet152,21,51,8,0,vgg19,4,22,8,0,bert,6,11,8,32,20332.0,20795.816326530614,1666.4006999502458
resnet101,0,22,8,0,resnet152,0,52,8,0,vgg19,11,22,8,0,bert,5,8,8,8,24856.0,26061.632653061224,2476.5189088461557
resnet101,0,22,8,0,resnet152,0,31,8,0,vgg19,0,4,8,0,bert,0,12,8,32,18649.5,18829.38775510204,879.3693778539285
resnet101,0,26,8,0,resnet152,0,52,8,0,vgg19,0,12,8,0,bert,0,2,8,16,26119.0,26980.163265306124,1606.1045960162246
resnet101,0,35,8,0,resnet152,15,52,8,0,vgg19,0,22,8,0,bert,2,12,8,16,24661.5,24754.448979591838,535.5038086041694
resnet101,0,35,8,0,resnet152,47,52,8,0,vgg19,0,22,8,0,bert,0,11,8,8,19816.5,20007.73469387755,828.5925557776949
resnet101,0,15,8,0,resnet152,0,30,8,0,vgg19,0,22,8,0,bert,11,11,8,32,21964.0,21973.255102040817,202.42228598087786
resnet101,15,35,8,0,resnet152,0,52,8,0,vgg19,0,17,8,0,bert,0,8,8,8,25133.0,27529.632653061224,3301.9004496413786
resnet101,0,35,8,0,resnet152,0,52,8,0,vgg19,0,22,8,0,bert,0,12,8,32,30814.0,30801.19387755102,119.35230460940768
resnet101,9,35,8,0,resnet152,14,52,8,0,vgg19,5,22,8,0,bert,0,12,8,16,18531.0,20049.836734693876,2318.7147156405663
resnet101,24,35,8,0,resnet152,0,13,8,0,vgg19,6,20,8,0,bert,0,5,8,32,11728.5,11736.959183673469,137.3186312824767
resnet101,24,35,8,0,resnet152,0,7,8,0,vgg19,0,22,8,0,bert,0,12,8,8,15624.0,15700.142857142857,253.0415792242977
resnet101,15,26,8,0,resnet152,0,52,8,0,vgg19,7,7,8,0,bert,3,12,8,32,24736.0,25603.826530612245,2506.6883349718373
resnet101,0,23,8,0,resnet152,0,52,8,0,vgg19,19,22,8,0,bert,4,12,8,32,25560.5,26033.19387755102,1592.8116051028353
