model,start,end,bs,seq_len,model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet152,44,50,1,0,vgg19,6,16,1,0,bert,2,11,1,32,14824.0,16487.45918367347,3124.4537519915425
resnet152,8,25,1,0,vgg19,10,14,1,0,bert,5,9,1,64,11195.0,11338.040816326531,626.0126802909409
resnet152,16,21,1,0,vgg19,9,16,1,0,bert,7,11,1,16,6493.0,7221.336734693878,1599.8689802470342
resnet152,39,51,1,0,vgg19,6,20,1,0,bert,2,7,1,32,8529.0,9191.453608247422,1674.659959456417
resnet152,19,33,1,0,vgg19,5,10,1,0,bert,0,7,1,8,10776.0,11881.326530612245,2319.7384167076225
resnet152,28,43,1,0,vgg19,2,8,1,0,bert,3,9,1,64,10228.0,11670.132653061224,2428.775023557395
resnet152,17,51,1,0,vgg19,11,21,1,0,bert,3,7,1,8,21980.0,22310.95918367347,871.0733341321317
resnet152,22,43,1,0,vgg19,4,9,1,0,bert,2,8,1,16,13546.5,13973.663265306122,1005.996013136474
resnet152,9,43,1,0,vgg19,13,19,1,0,bert,2,10,1,16,21656.0,21838.45918367347,616.5040703370828
resnet152,44,51,1,0,vgg19,17,21,1,0,bert,3,11,1,16,12417.5,14091.418367346938,3090.006709996906
resnet152,22,35,1,0,vgg19,8,20,1,0,bert,6,10,1,8,8750.5,9085.591836734693,978.7277960234252
resnet152,34,50,1,0,vgg19,4,16,1,0,bert,4,10,1,32,10934.5,11757.255102040815,1737.3714799698835
resnet152,47,51,1,0,vgg19,10,19,1,0,bert,2,10,1,16,12473.0,13606.744897959185,2665.014336643386
resnet152,38,50,1,0,vgg19,3,7,1,0,bert,5,9,1,64,8289.5,8717.551020408164,1057.7914720857443
resnet152,11,47,1,0,vgg19,11,21,1,0,bert,4,8,1,32,23020.0,23064.673469387755,348.3899344685259
resnet152,39,48,1,0,vgg19,16,20,1,0,bert,2,8,1,32,9928.0,10956.836734693878,2444.250040208392
resnet152,25,35,1,0,vgg19,8,17,1,0,bert,7,11,1,16,6893.5,7546.571428571428,1359.8547041233967
resnet152,10,28,1,0,vgg19,10,15,1,0,bert,5,11,1,32,11907.5,12825.326530612245,1971.2649454638242
resnet152,13,49,1,0,vgg19,0,19,1,0,bert,7,11,1,8,23296.5,23321.948979591838,326.9637492372592
resnet152,4,13,1,0,vgg19,6,19,1,0,bert,3,10,1,16,10800.0,12170.938775510203,2774.654984311716
resnet152,1,32,1,0,vgg19,8,13,1,0,bert,2,6,1,8,19996.0,20045.132653061224,320.24756487962344
resnet152,17,46,1,0,vgg19,16,21,1,0,bert,7,11,1,8,18461.0,18548.602040816328,485.5861120756369
resnet152,30,38,1,0,vgg19,3,18,1,0,bert,7,11,1,8,6380.0,6874.244897959184,1227.0663044575847
resnet152,6,16,1,0,vgg19,8,17,1,0,bert,2,6,1,32,6989.0,7724.183673469388,1569.612576317304
resnet152,42,49,1,0,vgg19,7,19,1,0,bert,4,11,1,16,10868.0,12014.285714285714,2272.664915100009
resnet152,23,39,1,0,vgg19,3,20,1,0,bert,5,11,1,64,10754.5,12071.510204081633,2285.621115265813
resnet152,38,50,1,0,vgg19,17,21,1,0,bert,5,10,1,16,8279.5,9269.418367346938,1873.7219041118015
resnet152,41,49,1,0,vgg19,8,14,1,0,bert,6,11,1,8,7681.5,8502.69387755102,2162.2053245408306
resnet152,2,43,1,0,vgg19,10,15,1,0,bert,5,10,1,16,25992.0,26018.591836734693,353.31326322992373
resnet152,34,43,1,0,vgg19,0,17,1,0,bert,6,11,1,64,8543.0,9512.122448979591,2140.309558314967
resnet152,14,34,1,0,vgg19,4,11,1,0,bert,6,10,1,32,12941.5,12998.785714285714,307.92045255559236
resnet152,10,14,1,0,vgg19,1,9,1,0,bert,2,9,1,8,10780.0,12241.091836734693,2650.428768111175
resnet152,8,42,1,0,vgg19,8,14,1,0,bert,3,10,1,16,21700.5,21782.520408163266,472.0499634052033
