model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,4,15,1,0,vgg16,3,15,1,0,7786.0,8470.265306122448,2006.695840160831
resnet50,5,15,1,0,vgg16,9,17,1,0,7025.0,7562.591836734694,1908.164851030663
resnet50,4,15,1,0,vgg16,8,17,1,0,7743.0,7805.918367346939,433.7669992780002
resnet50,3,11,1,0,vgg16,2,12,1,0,5585.5,5589.102040816327,92.51370442285375
resnet50,7,11,1,0,vgg16,3,18,1,0,3001.5,3049.1530612244896,287.72603721357734
resnet50,11,16,1,0,vgg16,9,17,1,0,3924.5,3954.5204081632655,165.89775739906037
resnet50,3,7,1,0,vgg16,4,9,1,0,3015.5,3037.0510204081634,127.55377997014848
resnet50,9,13,1,0,vgg16,5,12,1,0,2951.0,2950.918367346939,55.023311102489856
resnet50,13,17,1,0,vgg16,8,12,1,0,3471.5,3500.0102040816328,147.4971113448002
resnet50,1,16,1,0,vgg16,4,12,1,0,10349.0,10640.408163265307,1103.1508383617622
resnet50,1,5,1,0,vgg16,5,11,1,0,3088.0,3194.530612244898,515.3820695700608
resnet50,0,7,1,0,vgg16,5,18,1,0,4589.5,5085.693877551021,1370.3889021090838
resnet50,7,15,1,0,vgg16,6,18,1,0,5768.5,6295.938775510204,1224.3366785218886
resnet50,2,15,1,0,vgg16,0,15,1,0,8917.0,9754.204081632653,2048.8689411337473
resnet50,12,17,1,0,vgg16,0,18,1,0,3997.5,4571.275510204082,1274.06777268725
resnet50,13,17,1,0,vgg16,10,17,1,0,3422.5,3640.295918367347,845.4323517655992
resnet50,12,17,1,0,vgg16,3,15,1,0,4102.5,4466.4795918367345,874.9035075610857
resnet50,5,15,1,0,vgg16,2,10,1,0,6952.0,7018.785714285715,410.90875520246686
resnet50,2,9,1,0,vgg16,4,15,1,0,4886.5,4886.367346938776,55.398443165906414
resnet50,13,17,1,0,vgg16,5,9,1,0,3437.0,3459.6938775510203,125.08229194587852
resnet50,13,17,1,0,vgg16,9,18,1,0,3479.5,3494.785714285714,106.08835843728738
resnet50,3,14,1,0,vgg16,2,7,1,0,7388.0,7407.132653061224,130.71542839118828
resnet50,11,17,1,0,vgg16,4,18,1,0,4703.0,4691.742268041237,73.81745083965062
resnet50,7,11,1,0,vgg16,12,18,1,0,3055.0,3059.234693877551,52.76841994293212
resnet50,4,17,1,0,vgg16,6,13,1,0,9270.5,10686.112244897959,2927.788159653845
resnet50,7,14,1,0,vgg16,6,17,1,0,4871.0,4907.040816326531,315.1382566160559
resnet50,12,17,1,0,vgg16,9,15,1,0,4083.0,4100.826530612245,140.1664481025243
resnet50,0,15,1,0,vgg16,1,11,1,0,9782.5,9833.102040816326,341.6619492229936
resnet50,1,14,1,0,vgg16,0,7,1,0,8702.0,8715.959183673469,50.069526837198666
resnet50,12,16,1,0,vgg16,0,17,1,0,3292.5,3360.438775510204,367.0014198472932
resnet50,6,13,1,0,vgg16,13,18,1,0,4864.0,4877.030612244898,50.83796871326059
resnet50,6,16,1,0,vgg16,0,13,1,0,7103.5,7456.2040816326535,1086.5508521321285
resnet50,11,16,1,0,vgg16,8,15,1,0,3936.5,4124.948979591837,764.1770199404594
resnet50,4,16,1,0,vgg16,6,16,1,0,8506.5,9329.510204081633,2028.2460264409315
resnet50,6,10,1,0,vgg16,6,10,1,0,3045.0,3162.1530612244896,528.1685984692731
resnet50,1,7,1,0,vgg16,8,12,1,0,4304.0,4453.948979591837,809.7011211306202
resnet50,11,16,1,0,vgg16,7,14,1,0,3984.5,4636.530612244898,1149.3810952526212
resnet50,5,15,1,0,vgg16,10,16,1,0,6952.0,7273.040816326531,916.1395482149078
