model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
vgg16,6,10,1,0,vgg19,13,17,1,0,1171.5,1180.8061224489795,99.80160505061471
vgg16,14,18,1,0,vgg19,11,21,1,0,2203.5,2280.9795918367345,372.26115420554646
vgg16,8,15,1,0,vgg19,4,11,1,0,1537.0,1582.938775510204,102.20365985764181
vgg16,7,13,1,0,vgg19,2,19,1,0,3320.0,3316.122448979592,68.12133012861901
vgg16,7,18,1,0,vgg19,5,18,1,0,2684.5,2692.1326530612246,89.64483637599899
vgg16,12,16,1,0,vgg19,13,20,1,0,1842.5,1917.0204081632653,422.9631860178425
vgg16,12,17,1,0,vgg19,5,15,1,0,2200.5,2257.030612244898,476.63896519747846
vgg16,7,11,1,0,vgg19,15,20,1,0,1363.5,1404.1734693877552,248.21851077638226
vgg16,2,8,1,0,vgg19,15,20,1,0,1455.0,1491.8350515463917,120.26985811660832
vgg16,11,16,1,0,vgg19,13,19,1,0,1596.0,1626.721649484536,278.76952540438566
vgg16,12,18,1,0,vgg19,16,21,1,0,1384.0,1459.1134020618556,273.71284058066266
vgg16,7,16,1,0,vgg19,8,18,1,0,2258.5,2326.7448979591836,319.7631876052004
vgg16,9,15,1,0,vgg19,17,21,1,0,1317.0,1350.204081632653,119.58601713220638
vgg16,5,17,1,0,vgg19,17,21,1,0,2545.0,2565.530612244898,105.52117536611107
vgg16,8,18,1,0,vgg19,11,17,1,0,2136.0,2161.8571428571427,137.1143571577226
vgg16,8,18,1,0,vgg19,16,20,1,0,2132.5,2141.673469387755,90.59517213678642
vgg16,9,17,1,0,vgg19,12,20,1,0,2088.5,2102.8061224489797,199.9425763564795
vgg16,10,16,1,0,vgg19,6,10,1,0,1541.0,1555.3469387755101,58.70926326117303
vgg16,14,18,1,0,vgg19,11,21,1,0,2212.0,2231.5,76.8973938678904
vgg16,14,18,1,0,vgg19,9,17,1,0,1866.5,1886.030612244898,197.81770901935442
vgg16,2,11,1,0,vgg19,9,14,1,0,1770.5,1828.6326530612246,201.51626195356238
vgg16,9,16,1,0,vgg19,9,16,1,0,1718.0,1871.7551020408164,482.7100169181833
vgg16,10,17,1,0,vgg19,9,19,1,0,2274.0,2337.5408163265306,367.42135541590415
vgg16,11,15,1,0,vgg19,2,16,1,0,2717.5,2840.122448979592,563.6999358340469
vgg16,14,18,1,0,vgg19,4,20,1,0,3325.0,3554.591836734694,807.0813862399466
vgg16,13,18,1,0,vgg19,16,21,1,0,1372.0,1397.2268041237114,190.76965681667332
vgg16,14,18,1,0,vgg19,7,16,1,0,2057.0,2346.091836734694,653.7393396599866
vgg16,1,6,1,0,vgg19,1,16,1,0,2886.0,3058.6428571428573,649.3423714082752
vgg16,14,18,1,0,vgg19,1,18,1,0,3321.5,3540.1632653061224,727.240011666664
vgg16,0,18,1,0,vgg19,7,15,1,0,3358.5,3474.438775510204,522.3183028737055
vgg16,3,14,1,0,vgg19,4,20,1,0,3254.0,3476.3571428571427,779.4768293868781
vgg16,11,16,1,0,vgg19,0,20,1,0,3852.0,4146.448979591837,961.3089303870092
vgg16,10,15,1,0,vgg19,7,17,1,0,2252.0,2301.091836734694,387.34077931598705
vgg16,7,16,1,0,vgg19,0,10,1,0,2074.0,2232.438775510204,560.1049658610198
vgg16,8,16,1,0,vgg19,17,21,1,0,1877.0,1912.857142857143,115.55368043132374
vgg16,1,9,1,0,vgg19,7,12,1,0,1713.0,1733.1734693877552,134.85646379294863
vgg16,5,13,1,0,vgg19,7,14,1,0,1783.5,1815.6224489795918,224.3919000368903
vgg16,11,18,1,0,vgg19,10,16,1,0,1656.0,1734.704081632653,327.3003429163131
vgg16,6,11,1,0,vgg19,3,14,1,0,2411.0,2476.908163265306,449.2397906744212
vgg16,1,11,1,0,vgg19,7,20,1,0,2805.5,2848.377551020408,289.59790968161644
vgg16,14,18,1,0,vgg19,7,12,1,0,1260.5,1290.3265306122448,187.40253387905372
vgg16,14,18,1,0,vgg19,12,16,1,0,1181.0,1182.438775510204,87.3161118833116
vgg16,10,17,1,0,vgg19,13,21,1,0,1843.5,1945.9183673469388,369.72164580522775
vgg16,3,9,1,0,vgg19,13,17,1,0,1481.5,1497.3367346938776,127.92208597085062
