model,start,end,bs,model,start,end,bs,median,mean,var
resnet152,31,41,1,bert,7,11,1,9432.0,9564.01,653.575971024027
resnet152,40,44,1,bert,5,10,1,7229.5,7559.45,1121.6539963375515
resnet152,1,13,1,bert,6,11,1,11075.0,12546.88,2558.1181414469506
resnet152,41,50,1,bert,5,10,1,8411.0,8615.79,948.5990754264943
resnet152,36,51,1,bert,7,11,1,13577.5,14757.21,2908.150127813212
resnet152,31,36,1,bert,4,11,1,10002.5,10366.67,1264.2857118151735
resnet152,24,43,1,bert,5,9,1,18180.5,20115.93,3967.9263810080956
resnet152,21,40,1,bert,4,8,1,19386.5,20500.41,3965.7477153621358
resnet152,30,51,1,bert,1,7,1,21962.5,22705.5,4253.80240843413
resnet152,22,50,1,bert,0,9,1,28632.5,29011.47,4352.846331895947
resnet152,23,43,1,bert,6,10,1,18069.0,20372.89,3752.5671103792397
resnet152,30,34,1,bert,7,11,1,5943.5,6138.48,802.4091036372905
resnet152,14,42,1,bert,4,9,1,28565.5,29563.79,4633.669434249707
resnet152,2,47,1,bert,3,7,1,45905.5,46277.04,5057.405722146485
resnet152,38,43,1,bert,2,6,1,5956.0,6339.62,1229.2844974211625
resnet152,40,45,1,bert,3,7,1,5948.5,6385.99,1162.2751782172757
resnet152,30,44,1,bert,5,10,1,12781.0,15142.55,3499.464522966335
resnet152,40,51,1,bert,7,11,1,10177.5,11622.74,2838.2573759967577
resnet152,20,27,1,bert,6,10,1,6440.5,7300.5,1824.4948369343226
resnet152,31,35,1,bert,4,8,1,5925.5,6240.83,1086.1827015286149
resnet152,4,36,1,bert,6,11,1,33615.0,34243.51,4526.867838793176
resnet152,31,35,1,bert,4,9,1,7296.5,7497.52,796.3760227430256
resnet152,15,50,1,bert,4,11,1,34941.0,36806.18,5290.226661268873
resnet152,26,34,1,bert,4,8,1,7555.5,8722.89,2082.532947614515
resnet152,29,43,1,bert,5,11,1,13368.0,14949.7,2943.160727857043
resnet152,12,40,1,bert,2,10,1,28684.5,29504.65,4767.323312667182
resnet152,26,46,1,bert,3,10,1,20105.5,21450.46,4239.379361227301
resnet152,13,31,1,bert,2,7,1,19878.5,19984.92,3633.3158317988264
resnet152,17,41,1,bert,4,9,1,24863.0,25447.96,4546.723180313488
resnet152,11,41,1,bert,1,6,1,30577.5,31580.32,4684.642528261895
resnet152,18,41,1,bert,3,7,1,24050.5,24527.36,4302.263117290712
resnet152,43,48,1,bert,2,11,1,12716.5,12807.46,582.7955631265564
resnet152,39,47,1,bert,4,9,1,7339.5,8142.9,1964.8450956754834
resnet152,28,42,1,bert,0,5,1,15501.0,15932.77,3451.329247855093
resnet152,29,36,1,bert,5,10,1,7307.0,7827.15,1369.1751851023305
resnet152,33,47,1,bert,4,9,1,12952.5,15036.75,3288.7613606797318
resnet152,13,42,1,bert,7,11,1,29506.5,30919.61,4900.43106857958
resnet152,29,47,1,bert,7,11,1,16731.0,18955.99,3770.9561161461424
resnet152,7,16,1,bert,7,11,1,8378.0,9450.21,2299.074889145632
resnet152,46,50,1,bert,4,9,1,7325.0,7456.63,522.6587731015333
resnet152,18,40,1,bert,4,9,1,23201.0,23577.4,4103.6729060684165
resnet152,21,39,1,bert,2,11,1,19240.0,19568.04,3832.113033092839
resnet152,33,49,1,bert,6,10,1,14643.5,16870.54,3446.848019335927
resnet152,18,35,1,bert,1,9,1,15868.5,18218.07,3812.695065842533
resnet152,46,50,1,bert,2,9,1,9972.0,10113.5,603.4279990189384
resnet152,19,28,1,bert,7,11,1,8295.5,9810.07,2768.7686947630714
resnet152,12,43,1,bert,6,11,1,31476.5,32377.93,4564.966964294485
resnet152,21,43,1,bert,0,8,1,23470.0,23693.82,3972.8172431663656
resnet152,39,45,1,bert,1,10,1,12711.5,12818.17,552.6100081431752
resnet152,32,44,1,bert,4,11,1,10803.5,12527.07,3106.3677478849795
resnet152,11,38,1,bert,4,10,1,27934.5,29384.56,4670.717371710688
resnet152,47,51,1,bert,2,7,1,7310.5,7493.75,893.0619057489799
resnet152,18,50,1,bert,1,10,1,32827.5,33927.32,4904.314718449459
resnet152,11,16,1,bert,2,6,1,5910.5,6259.56,1092.3040082321406
resnet152,8,14,1,bert,2,9,1,9992.0,10219.81,820.2550907492133
resnet152,35,50,1,bert,6,11,1,14392.5,16519.96,3622.8758270743974
resnet152,25,41,1,bert,3,11,1,14636.5,16977.99,3680.3433331552096
resnet152,16,47,1,bert,2,11,1,31156.0,32494.27,5274.756496474506
resnet152,18,50,1,bert,0,7,1,32174.5,32989.04,4760.278674447537
resnet152,7,46,1,bert,0,9,1,38419.0,39376.2,4741.8491266593455
resnet152,26,41,1,bert,2,9,1,16339.5,16890.23,3831.7590030037118
resnet152,35,51,1,bert,7,11,1,14686.5,16952.08,3438.4912437870194
resnet152,4,9,1,bert,3,7,1,5939.0,6326.05,1299.0601554585528
resnet152,42,48,1,bert,7,11,1,6462.5,7075.54,1607.1861026029312
resnet152,40,49,1,bert,7,11,1,8451.5,9549.27,2225.6960208213522
resnet152,43,50,1,bert,0,11,1,15323.5,15431.48,426.0510410737192
resnet152,20,36,1,bert,7,11,1,14445.0,16671.95,3171.3221639404596
resnet152,4,48,1,bert,7,11,1,44547.5,44966.49,4723.1124028441245
resnet152,42,47,1,bert,7,11,1,5956.0,6312.24,1066.2086392446836
resnet152,40,45,1,bert,2,7,1,7267.5,7454.47,759.2913993322984
resnet152,31,47,1,bert,3,9,1,17926.0,17920.47,3770.3937127440686
resnet152,11,26,1,bert,3,11,1,14868.5,16297.76,3130.341259735111
resnet152,3,46,1,bert,4,9,1,43671.5,44047.77,4606.440495339107
resnet152,19,49,1,bert,7,11,1,30348.0,31549.31,5284.69777129213
resnet152,37,48,1,bert,1,7,1,9932.5,11273.33,2839.333045118166
resnet152,29,41,1,bert,5,11,1,10826.0,12549.64,3007.109627266688
resnet152,28,36,1,bert,6,11,1,7303.0,8109.28,2071.934960755284
resnet152,37,48,1,bert,3,9,1,11017.5,12084.84,2797.0826291691847
resnet152,39,46,1,bert,4,8,1,6464.0,7243.87,2138.063912304775
resnet152,19,47,1,bert,5,11,1,28336.5,29056.98,4544.970369496374
resnet152,32,47,1,bert,1,9,1,13696.5,16101.05,3624.149658540607
resnet152,20,35,1,bert,6,10,1,13619.5,15925.89,3474.3351274596407
resnet152,24,30,1,bert,0,4,1,5924.5,6437.49,1343.8720213993593
resnet152,1,36,1,bert,7,11,1,36356.5,37021.42,4935.113058846778
resnet152,31,48,1,bert,1,6,1,16039.0,17963.21,3626.2778252500175
resnet152,40,46,1,bert,1,10,1,12716.0,12998.74,805.2489133181118
resnet152,30,38,1,bert,3,10,1,11681.5,11757.08,3174.77602258805
resnet152,40,46,1,bert,6,10,1,6834.5,7356.06,1439.3229715390496
resnet152,41,45,1,bert,4,10,1,10084.5,10160.79,394.88338265872875
