model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,10,14,1,0,bert,0,6,1,16,8925.5,10023.66,2646.005359858517
resnet50,6,10,1,0,bert,4,8,1,16,6052.0,6189.75,414.3455653195772
resnet50,11,16,1,0,bert,6,10,1,16,6102.5,6252.77,607.1407226500295
resnet50,3,16,1,0,bert,5,9,1,64,13508.0,13682.74,743.3488766386885
resnet50,3,12,1,0,bert,4,9,1,8,9435.5,9752.9,1167.7935476786981
resnet50,11,17,1,0,bert,1,5,1,64,6500.5,7418.38,1809.0398822579896
resnet50,8,15,1,0,bert,1,5,1,8,7778.5,8627.46,1673.1337269925557
resnet50,12,17,1,0,bert,1,5,1,32,6372.0,6943.55,1622.5062796488646
resnet50,8,12,1,0,bert,1,11,1,64,15781.5,17749.89,3436.384937386963
resnet50,6,12,1,0,bert,1,6,1,32,7866.5,8847.87,2372.6738067210167
resnet50,9,15,1,0,bert,3,10,1,8,10324.0,12162.98,2886.1477577560026
resnet50,2,9,1,0,bert,0,6,1,8,9134.0,10680.67,2711.8828959046145
resnet50,7,12,1,0,bert,5,11,1,16,9117.5,10628.1,2935.1302884199195
resnet50,2,10,1,0,bert,0,4,1,64,8341.5,8772.91,1375.356718055356
resnet50,10,17,1,0,bert,3,9,1,64,9468.5,11205.18,2988.0515302785525
resnet50,6,11,1,0,bert,4,10,1,16,8972.0,10145.92,2474.7145721476645
resnet50,6,10,1,0,bert,4,11,1,64,10827.0,12726.12,3220.2424855280697
resnet50,11,17,1,0,bert,0,11,1,64,16638.5,18504.54,3537.842979613425
resnet50,8,16,1,0,bert,6,10,1,8,8692.0,9069.78,1102.3111319405243
resnet50,9,14,1,0,bert,6,11,1,64,7851.5,8045.75,1063.0923325374895
resnet50,3,10,1,0,bert,7,11,1,16,7522.5,7927.12,1466.9062974846074
resnet50,3,8,1,0,bert,6,11,1,32,7889.0,8775.14,2319.082404831704
resnet50,0,11,1,0,bert,7,11,1,8,10625.0,10721.29,548.4979543261761
resnet50,11,16,1,0,bert,1,6,1,16,7459.0,7550.0,528.3898182213583
resnet50,6,11,1,0,bert,0,4,1,16,6108.5,6908.58,1891.5376770236433
resnet50,13,17,1,0,bert,3,7,1,8,6183.0,7260.4,2129.698124148115
resnet50,7,11,1,0,bert,7,11,1,32,6377.5,6442.54,390.84668144938877
resnet50,9,16,1,0,bert,2,10,1,32,12258.5,12481.33,1094.0470470231162
resnet50,2,10,1,0,bert,7,11,1,32,8333.0,8511.5,737.0009701486152
resnet50,12,16,1,0,bert,1,6,1,64,7859.0,8172.58,1373.3002015582756
resnet50,13,17,1,0,bert,2,6,1,32,6394.5,6829.16,1538.8674388653494
resnet50,9,16,1,0,bert,0,11,1,32,16933.0,17800.9,2774.1265310003437
resnet50,10,14,1,0,bert,2,7,1,16,7448.5,7487.6,287.8833444296491
resnet50,5,10,1,0,bert,1,7,1,64,9302.0,9490.15,1067.0866916516202
resnet50,1,8,1,0,bert,3,10,1,8,10263.5,11011.52,2105.320039708927
resnet50,10,17,1,0,bert,6,11,1,32,7879.5,9043.81,2379.0413224448207
resnet50,13,17,1,0,bert,3,10,1,64,10776.0,10858.14,571.2339629258751
resnet50,6,14,1,0,bert,2,10,1,64,12322.0,13261.22,1543.7470426206492
resnet50,4,14,1,0,bert,5,10,1,8,9300.0,9668.05,1490.6418240140722
