model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,6,10,1,0,resnet50,11,15,1,0,4809.0,4989.88,517.2413804018391
resnet50,11,15,1,0,resnet50,11,16,1,0,5416.0,5481.91,636.430186194841
resnet50,8,16,1,0,resnet50,1,9,1,0,9496.0,9743.39,1332.900640670564
resnet50,3,17,1,0,resnet50,1,15,1,0,15669.5,16706.02,2566.1158858477143
resnet50,9,13,1,0,resnet50,11,16,1,0,5511.0,6095.38,1370.7722770759553
resnet50,5,13,1,0,resnet50,6,10,1,0,8023.5,8323.19,1093.576935519399
resnet50,3,11,1,0,resnet50,11,16,1,0,8126.5,8436.93,1115.6422388472033
resnet50,7,14,1,0,resnet50,11,15,1,0,7244.5,7376.56,526.2614620129427
resnet50,7,12,1,0,resnet50,3,14,1,0,11663.5,13108.92,2733.502623668029
resnet50,5,16,1,0,resnet50,4,9,1,0,11089.0,11576.08,1220.7304754121608
resnet50,13,17,1,0,resnet50,8,16,1,0,8489.0,9168.59,1823.0741679646499
resnet50,0,10,1,0,resnet50,5,13,1,0,9984.5,11364.0,2701.560859947449
resnet50,13,17,1,0,resnet50,7,11,1,0,4934.5,5436.27,1320.1293561996113
resnet50,3,12,1,0,resnet50,2,16,1,0,13851.5,15006.67,3111.1417262959912
resnet50,6,17,1,0,resnet50,0,4,1,0,11630.5,11696.43,1602.2860746758054
resnet50,3,14,1,0,resnet50,9,13,1,0,10575.5,10706.14,675.2895381982457
resnet50,8,17,1,0,resnet50,6,17,1,0,11476.5,12330.17,2452.7654109392524
resnet50,8,12,1,0,resnet50,1,7,1,0,6089.5,6504.12,1253.5525460067481
resnet50,8,14,1,0,resnet50,4,15,1,0,11604.5,12815.79,2833.7565608040504
resnet50,8,17,1,0,resnet50,12,16,1,0,8819.0,9177.87,1072.1811475212571
resnet50,3,15,1,0,resnet50,2,10,1,0,11335.5,11437.7,712.508828015485
resnet50,1,10,1,0,resnet50,11,17,1,0,8458.5,8862.76,1302.3599818790499
resnet50,12,17,1,0,resnet50,7,14,1,0,6949.5,7736.31,2140.135255982668
resnet50,12,16,1,0,resnet50,1,9,1,0,8398.0,8971.09,1496.1019022446296
resnet50,8,17,1,0,resnet50,7,13,1,0,9138.0,9472.27,1458.6961771047459
resnet50,0,6,1,0,resnet50,7,11,1,0,5020.0,5178.89,573.8136787320427
resnet50,0,4,1,0,resnet50,9,15,1,0,6094.5,6096.07,75.53916269062029
resnet50,9,13,1,0,resnet50,7,14,1,0,6921.5,7013.73,480.28095642030195
resnet50,2,13,1,0,resnet50,3,11,1,0,10205.0,10357.37,491.25880460303193
resnet50,12,16,1,0,resnet50,13,17,1,0,4253.5,4518.84,866.4045327674595
resnet50,10,16,1,0,resnet50,3,14,1,0,10437.5,10752.23,1045.0142760268877
