model,start,end,bs,seq_len,model,start,end,bs,seq_len,median,mean,var
resnet50,10,17,1,0,vgg16,1,5,1,0,6754.0,7267.94,2066.8744994314484
resnet50,12,16,1,0,vgg16,14,18,1,0,4129.0,4459.12,1469.6937251005736
resnet50,11,17,1,0,vgg16,12,17,1,0,5812.0,6078.08,885.2905701519699
resnet50,5,9,1,0,vgg16,13,18,1,0,4013.5,4078.4,360.7480561278189
resnet50,1,8,1,0,vgg16,7,11,1,0,6339.0,6360.31,158.5251838037099
resnet50,10,17,1,0,vgg16,12,16,1,0,6701.5,7128.89,1594.780924735432
resnet50,7,13,1,0,vgg16,3,14,1,0,5895.0,6569.31,1750.2093857307473
resnet50,1,13,1,0,vgg16,3,16,1,0,10992.5,11808.94,1847.1374005200587
resnet50,10,16,1,0,vgg16,12,17,1,0,5846.0,5925.84,424.3261651135834
resnet50,0,10,1,0,vgg16,14,18,1,0,8574.5,8737.02,623.9481866309092
resnet50,6,14,1,0,vgg16,0,16,1,0,7485.5,7624.11,666.7770076269877
resnet50,6,11,1,0,vgg16,13,17,1,0,4888.5,4971.89,472.6477947690013
resnet50,12,16,1,0,vgg16,4,14,1,0,4102.5,4186.23,449.17984939220065
resnet50,10,15,1,0,vgg16,2,11,1,0,4964.5,4998.07,226.77112933528375
resnet50,8,15,1,0,vgg16,2,8,1,0,6954.0,7031.92,414.58264990228423
resnet50,7,12,1,0,vgg16,4,13,1,0,4980.0,5025.26,365.43247310549725
resnet50,3,17,1,0,vgg16,13,17,1,0,12940.0,13078.61,508.9828660181008
resnet50,10,15,1,0,vgg16,7,16,1,0,4997.5,5088.92,525.6666563517226
resnet50,9,14,1,0,vgg16,7,17,1,0,4724.0,4743.74,118.24234605250354
resnet50,5,16,1,0,vgg16,1,18,1,0,10358.5,10405.26,290.6122371821255
resnet50,0,7,1,0,vgg16,0,10,1,0,5780.0,5804.02,229.0430955082471
resnet50,6,13,1,0,vgg16,11,17,1,0,6677.0,6682.87,91.84047637071576
resnet50,7,16,1,0,vgg16,9,14,1,0,8635.0,8685.15,269.0503066342798
resnet50,10,17,1,0,vgg16,9,14,1,0,6659.5,6780.13,787.5824611429586
resnet50,6,12,1,0,vgg16,13,18,1,0,5782.5,5871.23,451.7762024498413
resnet50,11,15,1,0,vgg16,13,18,1,0,4090.5,4206.41,548.9072434391808
resnet50,11,15,1,0,vgg16,4,14,1,0,4089.5,4178.51,501.86768166519744
resnet50,5,15,1,0,vgg16,9,14,1,0,9471.0,9537.88,270.86695184167445
resnet50,13,17,1,0,vgg16,8,16,1,0,4116.0,4257.53,634.8473273945477
resnet50,7,13,1,0,vgg16,14,18,1,0,5830.0,5912.94,682.8069393320487
resnet50,2,8,1,0,vgg16,9,17,1,0,5431.5,5549.58,769.9832618959975
resnet50,3,9,1,0,vgg16,2,17,1,0,5868.0,5934.8,398.2331980134253
resnet50,3,10,1,0,vgg16,2,10,1,0,6663.0,6690.57,126.0939534632807
resnet50,5,13,1,0,vgg16,7,12,1,0,7468.0,7518.3,365.63959030717666
resnet50,8,12,1,0,vgg16,3,13,1,0,4083.0,4115.57,218.55856217499237
resnet50,2,14,1,0,vgg16,3,12,1,0,10892.5,10955.03,232.43271951255056
resnet50,2,15,1,0,vgg16,2,17,1,0,12014.0,12063.97,247.69777774538068
resnet50,1,13,1,0,vgg16,4,10,1,0,10865.5,10914.07,139.6512266326365
resnet50,3,13,1,0,vgg16,12,17,1,0,9253.5,9293.86,228.92003057836595
resnet50,5,13,1,0,vgg16,7,13,1,0,7445.5,7479.25,104.18295206030591
