model,start,end,bs,model,start,end,bs,median,mean,var
resnet50,5,9,1,vgg19,1,16,1,4090.5,4283.35,584.796825829279
resnet50,9,13,1,vgg19,8,12,1,3929.5,4126.35,745.3262423261374
resnet50,4,8,1,vgg19,14,18,1,3959.5,4067.09,560.1761347112174
resnet50,9,13,1,vgg19,2,15,1,3864.0,3957.71,391.01374131863963
resnet50,3,9,1,vgg19,16,21,1,5922.0,6010.16,741.275478078157
resnet50,10,17,1,vgg19,12,21,1,6736.0,6752.57,126.03453931363418
resnet50,0,11,1,vgg19,12,18,1,9654.0,9638.47,144.82620308493904
resnet50,7,17,1,vgg19,9,18,1,9589.0,9605.29,106.76519048828602
resnet50,3,10,1,vgg19,7,17,1,6780.5,6811.41,269.32746220911076
resnet50,12,17,1,vgg19,4,21,1,5008.0,5188.54,555.6926024341157
resnet50,13,17,1,vgg19,10,16,1,4115.0,4187.14,466.2845916390547
resnet50,10,17,1,vgg19,16,20,1,6662.0,6781.56,502.03066280855796
resnet50,8,15,1,vgg19,14,19,1,6974.0,7232.55,1202.5121735350542
resnet50,8,16,1,vgg19,10,19,1,7964.5,9062.38,2581.4338565223784
resnet50,3,13,1,vgg19,11,21,1,9630.0,11110.92,2484.42778393738
resnet50,13,17,1,vgg19,11,16,1,4124.5,4538.03,1100.132996096381
resnet50,1,9,1,vgg19,16,20,1,7562.0,7649.37,415.52592349936486
resnet50,4,8,1,vgg19,8,20,1,3941.0,4085.49,501.4388994683201
resnet50,2,7,1,vgg19,17,21,1,4601.0,4678.01,392.9449960236165
resnet50,3,7,1,vgg19,12,18,1,3905.5,3988.79,431.5105397322295
resnet50,12,17,1,vgg19,15,19,1,4922.0,4974.41,305.37698325184886
resnet50,6,15,1,vgg19,11,16,1,8664.0,8739.83,361.3177287374645
resnet50,9,17,1,vgg19,2,10,1,7560.5,7605.73,305.98924343839275
resnet50,6,13,1,vgg19,0,18,1,6696.5,6812.78,593.5563760924482
resnet50,7,12,1,vgg19,12,20,1,4974.0,5044.8,449.94157398488966
resnet50,5,14,1,vgg19,1,8,1,8436.0,8486.06,307.9526528542983
resnet50,1,14,1,vgg19,3,17,1,11941.0,11983.91,395.4912665280992
resnet50,12,16,1,vgg19,12,16,1,4124.5,4169.98,363.0675964610447
resnet50,8,14,1,vgg19,13,21,1,5871.5,5870.35,57.16491493914778
resnet50,7,13,1,vgg19,15,21,1,5863.5,5888.13,192.48670889180895
resnet50,4,13,1,vgg19,4,12,1,8563.0,8613.1,251.50866784268095
