query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,54.17346954345703
2,6,32,64,0,44.766902923583984
3,6,16,16,0,12.14909553527832
4,3,4,0,0,22.754192352294922
5,6,8,32,0,27.67801284790039
6,3,16,0,0,18.06044578552246
7,6,16,64,0,18.33629608154297
8,6,8,64,0,13.76199722290039
9,6,16,8,0,12.324333190917969
10,3,32,0,0,22.470474243164062
11,3,16,0,0,36.632537841796875
12,3,4,0,0,33.13922882080078
13,3,8,0,0,24.976491928100586
14,3,8,0,0,15.868186950683594
15,6,16,64,0,20.295143127441406
16,3,16,0,0,37.407636642456055
17,3,8,0,0,44.95668411254883
18,6,32,32,1,46.18382453918457
19,3,8,0,1,42.0835018157959
20,3,16,0,1,50.368547439575195
21,6,8,16,1,64.46504592895508
22,3,32,0,1,73.34518432617188
23,6,8,16,0,41.168928146362305
24,6,32,64,0,40.38667678833008
25,6,4,64,0,35.126686096191406
26,6,8,8,0,44.8915958404541
27,6,8,32,0,24.768590927124023
28,3,4,0,0,30.24744987487793
29,3,8,0,0,37.53304481506348
30,3,4,0,0,23.867130279541016
31,3,8,0,0,20.35689353942871
32,3,16,0,0,33.585309982299805
33,3,4,0,0,38.388967514038086
34,3,8,0,0,52.106618881225586
35,3,4,0,0,18.874406814575195
36,3,4,0,0,21.094560623168945
37,6,4,32,0,25.255918502807617
38,6,4,64,0,35.02798080444336
39,3,32,0,0,41.03255271911621
40,3,32,0,0,40.276288986206055
41,3,8,0,0,48.807621002197266
42,3,8,0,0,39.46518898010254
43,3,16,0,0,24.506807327270508
44,3,32,0,0,33.59699249267578
45,3,32,0,0,36.544084548950195
46,6,32,32,0,40.46273231506348
47,3,4,0,0,34.255266189575195
48,6,16,8,0,34.47246551513672
49,6,32,32,0,20.662307739257812
50,6,8,32,0,31.142234802246094
51,6,4,8,0,20.812034606933594
52,3,8,0,0,19.431352615356445
53,3,32,0,0,21.015167236328125
54,6,32,8,0,31.154394149780273
55,6,32,8,0,20.89858055114746
56,3,16,0,0,22.574663162231445
57,3,32,0,0,32.42969512939453
58,3,32,0,0,44.797420501708984
59,6,32,8,0,14.59956169128418
60,6,4,16,0,28.043270111083984
61,3,32,0,0,31.290531158447266
62,6,4,8,1,37.08457946777344
63,3,8,0,1,53.58076095581055
64,6,8,8,0,53.77054214477539
65,6,32,8,1,64.8050308227539
66,3,32,0,0,37.631988525390625
67,3,8,0,0,47.09029197692871
68,6,8,32,0,25.204181671142578
69,3,8,0,1,30.424833297729492
70,6,16,8,0,39.200782775878906
71,6,32,64,0,37.81485557556152
72,6,8,16,0,26.726245880126953
73,6,4,16,0,15.665054321289062
74,3,16,0,0,17.329692840576172
75,6,16,8,0,23.53668212890625
76,3,8,0,0,24.05381202697754
77,6,8,32,0,39.045095443725586
78,3,8,0,0,44.31509971618652
79,3,4,0,1,47.96767234802246
80,6,16,32,0,46.750545501708984
81,6,32,64,0,53.417205810546875
82,6,16,8,0,69.48161125183105
83,6,32,64,1,51.055192947387695
84,3,8,0,0,56.92720413208008
85,3,32,0,0,74.63955879211426
86,3,4,0,1,74.24354553222656
87,3,4,0,1,89.83516693115234
88,6,32,32,0,65.08755683898926
89,6,8,64,1,76.12776756286621
90,3,16,0,0,38.04421424865723
91,3,16,0,1,47.95050621032715
92,3,4,0,1,52.407026290893555
93,6,8,8,0,55.45783042907715
94,6,8,8,1,41.822195053100586
95,3,4,0,0,41.25785827636719
96,3,16,0,0,36.50188446044922
97,3,32,0,0,38.744449615478516
98,3,32,0,1,51.34272575378418
99,6,16,64,0,38.59663009643555
100,6,8,16,0,26.511669158935547
101,3,16,0,0,21.819591522216797
102,6,8,32,0,29.82044219970703
103,3,16,0,0,37.15372085571289
104,6,4,8,0,13.054847717285156
105,3,4,0,0,33.54334831237793
106,6,32,32,1,38.69199752807617
107,3,32,0,0,45.26996612548828
108,6,4,8,0,26.871919631958008
109,3,8,0,0,31.931638717651367
110,6,32,64,0,15.612125396728516
111,6,8,8,0,11.890411376953125
112,3,16,0,0,16.400575637817383
113,6,32,32,0,11.697053909301758
114,6,32,64,0,15.209674835205078
115,3,8,0,0,15.400886535644531
116,3,16,0,0,26.82185173034668
117,3,32,0,0,34.48796272277832
118,6,4,16,0,12.995481491088867
119,6,32,64,0,20.850419998168945
120,6,32,16,0,23.96106719970703
121,3,8,0,1,30.387163162231445
122,6,16,16,0,33.673763275146484
123,6,32,8,0,41.960954666137695
124,3,32,0,0,31.047821044921875
125,6,16,16,0,23.94580841064453
126,6,4,16,0,14.570474624633789
127,3,32,0,0,17.71092414855957
128,6,32,32,0,16.68262481689453
129,3,4,0,0,19.079208374023438
130,6,4,16,0,11.43193244934082
131,3,32,0,0,25.22897720336914
132,6,8,64,0,27.85205841064453
133,6,4,64,0,15.984058380126953
134,3,8,0,0,24.25551414489746
135,3,32,0,0,43.8385009765625
136,6,16,32,0,28.894424438476562
137,3,4,0,1,38.96927833557129
138,6,16,32,0,34.087181091308594
139,3,8,0,1,29.323816299438477
140,6,8,16,1,39.258480072021484
141,3,4,0,0,46.68736457824707
142,3,4,0,0,60.921430587768555
143,3,8,0,0,72.9067325592041
144,6,16,32,1,47.380685806274414
145,3,8,0,1,57.037353515625
146,6,16,32,1,67.34275817871094
147,6,4,8,1,71.25616073608398
148,6,8,16,1,78.44042778015137
149,3,8,0,1,82.88192749023438
150,3,16,0,1,97.5029468536377
151,6,4,16,1,79.38981056213379
152,3,4,0,1,79.15163040161133
153,3,32,0,1,87.97621726989746
154,3,16,0,1,96.80914878845215
155,6,32,32,1,88.46116065979004
156,3,4,0,1,95.90554237365723
157,6,16,64,1,93.00398826599121
158,3,32,0,0,43.04194450378418
159,3,4,0,0,52.81877517700195
160,6,8,64,0,12.865066528320312
161,6,32,64,0,25.995969772338867
162,3,32,0,1,31.31842613220215
163,6,8,32,0,29.701948165893555
164,6,4,64,0,12.050867080688477
165,3,32,0,0,20.9958553314209
166,6,16,8,0,26.36575698852539
167,6,8,64,0,37.19449043273926
168,6,32,16,0,32.3491096496582
169,6,4,8,0,41.46242141723633
170,6,4,8,0,45.99285125732422
171,6,32,64,0,15.26784896850586
172,3,16,0,0,22.193193435668945
173,6,8,8,0,12.726545333862305
174,3,16,0,0,16.79205894470215
175,6,4,16,0,27.504444122314453
176,3,16,0,0,32.62758255004883
177,6,8,8,0,42.397260665893555
178,6,32,32,0,39.09182548522949
179,6,8,16,0,12.350797653198242
180,3,32,0,0,17.390727996826172
181,6,8,32,0,12.537002563476562
182,6,32,16,0,13.224363327026367
183,6,16,64,0,13.267755508422852
184,3,8,0,0,16.97826385498047
185,6,8,8,0,17.58408546447754
186,6,4,8,0,27.697324752807617
187,3,32,0,0,30.87162971496582
188,3,4,0,0,26.414871215820312
189,3,16,0,0,33.91718864440918
190,3,16,0,0,23.64516258239746
191,3,32,0,0,40.89546203613281
192,6,16,64,1,46.83113098144531
193,6,8,32,1,48.657894134521484
194,3,8,0,1,52.73151397705078
195,6,32,64,0,51.67889595031738
196,6,8,16,0,53.62749099731445
197,6,4,64,0,54.49676513671875
198,3,4,0,0,20.72000503540039
199,3,8,0,0,32.73463249206543
200,3,4,0,0,38.56515884399414
201,6,16,64,0,30.53736686706543
202,6,32,64,0,12.76397705078125
203,6,32,16,0,22.491931915283203
204,6,4,8,0,27.685880661010742
205,3,16,0,0,38.999319076538086
206,3,32,0,0,46.65374755859375
207,3,32,0,0,59.93390083312988
208,3,16,0,0,20.954370498657227
209,3,4,0,0,24.339675903320312
210,6,32,32,0,22.759675979614258
211,6,4,16,0,28.92446517944336
212,6,16,16,1,39.2756462097168
213,3,16,0,1,45.032501220703125
214,6,32,32,0,43.05243492126465
215,6,8,8,0,39.063453674316406
216,6,4,8,0,41.065216064453125
217,6,32,8,0,15.496969223022461
218,6,32,64,0,13.393163681030273
219,3,8,0,0,23.213863372802734
220,3,8,0,0,37.36448287963867
221,6,8,64,0,14.368772506713867
222,3,32,0,0,17.14181900024414
223,3,8,0,0,16.194581985473633
224,6,16,32,0,16.648530960083008
225,6,4,32,0,23.676633834838867
226,3,32,0,0,16.515493392944336
227,6,16,32,0,16.156911849975586
228,3,4,0,0,17.065048217773438
229,3,8,0,0,31.79478645324707
230,3,4,0,0,22.627592086791992
231,6,4,64,0,27.799129486083984
232,6,16,16,0,12.746334075927734
233,6,8,8,0,22.307395935058594
234,6,8,32,0,28.274059295654297
235,6,8,16,0,18.137693405151367
