query_id,model_id,bs,seq_len,search_times,latency
1,4,32,0,0,43.73574256896973
2,1,32,0,0,49.524545669555664
3,4,16,0,0,43.073415756225586
4,4,8,0,0,8.561134338378906
5,1,4,0,0,23.302078247070312
6,4,8,0,0,26.830434799194336
7,4,4,0,0,5.103349685668945
8,4,4,0,0,7.459878921508789
9,4,8,0,0,5.645751953125
10,4,16,0,0,9.399652481079102
11,1,4,0,0,23.220062255859375
12,1,32,0,0,26.085615158081055
13,1,16,0,0,22.718429565429688
14,1,4,0,0,26.668787002563477
15,1,8,0,0,23.473739624023438
16,1,8,0,0,19.56462860107422
17,4,16,0,0,9.491920471191406
19,1,8,0,0,22.675037384033203
18,4,16,0,0,25.135040283203125
20,4,32,0,0,23.19931983947754
21,4,16,0,0,20.73955535888672
22,1,8,0,0,30.122041702270508
23,1,16,0,0,43.181419372558594
24,4,8,0,0,24.028539657592773
25,1,4,0,0,39.00766372680664
26,4,16,0,0,8.987665176391602
27,1,32,0,0,17.577409744262695
28,4,16,0,0,9.061813354492188
29,1,4,0,0,18.427371978759766
30,4,16,0,0,19.61374282836914
31,1,16,0,0,22.15576171875
32,1,16,0,0,34.29532051086426
33,1,4,0,0,28.11598777770996
34,1,8,0,0,36.03935241699219
35,1,4,0,0,24.08123016357422
36,1,8,0,0,23.105859756469727
37,1,16,0,0,38.82932662963867
38,1,4,0,0,45.13144493103027
39,1,8,0,0,60.34684181213379
40,1,4,0,0,21.93474769592285
41,1,4,0,0,27.37593650817871
44,1,4,0,0,20.804405212402344
42,4,4,0,0,31.188488006591797
43,4,8,0,0,34.6219539642334
45,1,32,0,0,33.30659866333008
46,1,32,0,0,27.06432342529297
47,1,8,0,0,37.090301513671875
48,1,8,0,0,31.682968139648438
49,1,16,0,0,18.860340118408203
50,1,32,0,0,31.95023536682129
51,1,32,0,0,43.0905818939209
52,4,32,0,0,42.737483978271484
53,4,4,0,0,25.62427520751953
54,4,16,0,0,29.920101165771484
55,1,8,0,0,23.550033569335938
56,1,32,0,0,25.112390518188477
57,4,16,0,0,8.79979133605957
58,1,32,0,0,17.479896545410156
59,4,4,0,0,4.750251770019531
60,1,16,0,0,17.943620681762695
61,1,32,0,0,21.710872650146484
62,4,32,0,0,30.019283294677734
63,1,32,0,0,27.788877487182617
64,1,4,0,0,35.2940559387207
65,4,32,0,0,31.522274017333984
66,4,4,0,0,11.069536209106445
67,1,16,0,0,18.082857131958008
69,1,4,0,0,20.511627197265625
68,4,32,0,0,21.660327911376953
70,1,32,0,0,24.3685245513916
71,4,8,0,0,5.03087043762207
72,1,4,0,0,18.50724220275879
73,1,8,0,0,19.715309143066406
75,1,32,0,0,26.69215202331543
74,4,8,0,0,33.4630012512207
76,1,32,0,0,30.975341796875
77,1,8,0,0,46.648502349853516
78,4,8,0,0,12.713909149169922
79,4,4,0,0,13.293027877807617
80,1,16,0,0,17.42720603942871
81,4,4,0,0,16.584396362304688
82,4,32,0,0,13.933658599853516
83,4,8,0,0,5.218505859375
84,1,16,0,0,24.86276626586914
85,1,16,0,0,33.312320709228516
86,4,16,0,0,30.169963836669922
87,1,4,0,0,38.82789611816406
88,1,8,0,1,46.77438735961914
89,4,8,0,1,40.334224700927734
91,1,4,0,1,45.17245292663574
90,4,8,0,1,47.832489013671875
92,4,16,0,0,45.354366302490234
95,1,32,0,1,35.8576774597168
93,4,4,0,1,59.82804298400879
94,4,16,0,0,56.30683898925781
97,1,32,0,1,49.92365837097168
96,4,16,0,1,50.82559585571289
98,1,4,0,0,18.42188835144043
99,1,4,0,0,35.39276123046875
100,4,32,0,0,22.20463752746582
101,4,32,0,0,35.32218933105469
102,1,16,0,0,39.60990905761719
103,1,16,0,0,54.45361137390137
104,1,16,0,0,19.25349235534668
105,1,4,0,0,25.483369827270508
106,4,8,0,0,24.065494537353516
107,1,16,0,0,19.859790802001953
108,1,8,0,0,23.100614547729492
109,1,32,0,0,20.940542221069336
110,4,8,0,0,18.563032150268555
111,1,32,0,0,28.06258201599121
112,1,32,0,0,28.351306915283203
113,4,16,0,0,19.657373428344727
114,4,8,0,0,5.291938781738281
115,1,16,0,0,28.64837646484375
116,4,8,0,0,32.9132080078125
117,4,8,0,0,36.234378814697266
118,4,32,0,0,30.784130096435547
119,1,4,0,0,41.03684425354004
120,1,4,0,0,34.65437889099121
121,4,32,0,0,29.395341873168945
122,4,8,0,0,33.178091049194336
123,4,32,0,0,14.096975326538086
124,1,4,0,0,31.565427780151367
125,4,8,0,0,19.35720443725586
126,4,32,0,0,14.037132263183594
127,4,32,0,0,14.424562454223633
128,1,4,0,0,29.04224395751953
129,1,16,0,0,28.522968292236328
130,4,32,0,0,15.584230422973633
131,4,16,0,0,16.03841781616211
132,4,32,0,0,17.077922821044922
133,1,8,0,0,35.98380088806152
134,1,16,0,0,56.99276924133301
135,1,32,0,0,76.48706436157227
137,1,16,0,0,35.63570976257324
136,4,4,0,0,38.8791561126709
138,4,32,0,0,16.70670509338379
139,4,4,0,0,19.06561851501465
140,4,4,0,0,9.781122207641602
141,1,8,0,0,30.237436294555664
143,1,32,0,0,36.702871322631836
142,4,16,0,0,39.1385555267334
144,1,32,0,0,52.72221565246582
145,4,16,0,0,18.280982971191406
146,1,32,0,0,24.126291275024414
147,4,4,0,0,6.6699981689453125
148,1,32,0,0,18.924236297607422
149,4,8,0,0,24.445772171020508
151,1,4,0,1,35.262346267700195
150,4,4,0,1,44.295310974121094
152,4,4,0,0,4.532575607299805
153,1,32,0,0,23.715734481811523
154,4,8,0,0,24.08766746520996
155,4,32,0,0,14.275789260864258
156,1,32,0,0,25.657176971435547
157,1,8,0,0,19.567489624023438
158,1,32,0,0,36.01861000061035
161,1,4,0,0,20.270586013793945
159,4,16,0,0,22.811412811279297
160,4,4,0,0,26.0009765625
163,1,4,0,1,25.829792022705078
162,4,4,0,1,34.595489501953125
164,1,8,0,0,20.991086959838867
165,1,16,0,0,33.399343490600586
166,4,8,0,0,10.767221450805664
167,1,4,0,0,17.489194869995117
169,1,8,0,0,21.714210510253906
168,4,16,0,0,30.396699905395508
170,4,16,0,0,28.528213500976562
171,4,16,0,0,27.385950088500977
172,1,4,0,0,17.992734909057617
173,1,16,0,0,18.015384674072266
174,1,8,0,0,20.14613151550293
175,1,16,0,0,29.17337417602539
176,1,8,0,0,21.834850311279297
178,1,32,0,0,24.67513084411621
177,4,4,0,0,34.204959869384766
179,1,8,0,0,24.551868438720703
180,4,32,0,0,14.655113220214844
181,1,16,0,0,29.72888946533203
182,4,32,0,0,26.102542877197266
183,4,4,0,0,27.09364891052246
184,4,32,0,0,20.0655460357666
185,4,16,0,0,17.861604690551758
186,4,4,0,0,10.17618179321289
187,1,16,0,0,18.478870391845703
