query_id,model_id,bs,seq_len,search_times,latency
1,6,32,8,0,43.890953063964844
2,6,32,64,0,27.7860164642334
3,6,16,16,0,11.875391006469727
4,2,4,0,0,37.270307540893555
5,6,8,32,0,47.10125923156738
6,2,16,0,0,26.35955810546875
7,6,16,64,0,12.108564376831055
8,6,8,64,0,13.742923736572266
9,6,16,8,0,16.127586364746094
10,2,32,0,0,37.24336624145508
11,2,16,0,0,61.614990234375
12,2,4,0,0,68.33195686340332
13,2,8,0,0,67.92950630187988
14,2,8,0,0,45.56131362915039
15,6,16,64,0,39.0777587890625
16,2,16,0,0,46.55313491821289
17,2,8,0,1,65.43564796447754
18,6,32,32,1,66.35260581970215
19,2,8,0,1,66.80989265441895
20,2,16,0,1,86.36879920959473
21,6,8,16,1,102.97393798828125
22,2,32,0,1,114.55035209655762
23,6,8,16,0,82.44132995605469
24,6,32,64,1,88.58466148376465
25,6,4,64,1,85.10398864746094
26,6,8,8,1,95.69883346557617
27,6,8,32,1,70.20354270935059
28,2,4,0,0,68.91298294067383
29,2,8,0,0,87.22233772277832
30,2,4,0,0,81.28237724304199
31,2,8,0,0,71.10404968261719
32,2,16,0,0,93.0936336517334
33,2,4,0,0,-1
34,2,8,0,0,-1
35,2,4,0,0,47.15108871459961
36,2,4,0,0,58.91776084899902
37,6,4,32,1,60.31942367553711
38,6,4,64,1,70.76883316040039
39,2,32,0,0,64.23497200012207
40,2,32,0,0,73.31681251525879
41,2,8,0,0,91.43257141113281
42,2,8,0,0,91.3703441619873
43,2,16,0,1,84.91110801696777
44,2,32,0,1,100.85844993591309
45,2,32,0,1,106.93979263305664
46,6,32,32,1,123.91281127929688
47,2,4,0,1,113.40880393981934
48,6,16,8,1,114.14551734924316
49,6,32,32,1,99.90954399108887
50,6,8,32,1,108.94441604614258
51,6,4,8,1,98.30117225646973
52,2,8,0,1,78.99856567382812
53,2,32,0,1,87.55230903625488
54,6,32,8,0,86.6231918334961
55,6,32,8,1,81.36701583862305
56,2,16,0,0,48.976898193359375
57,2,32,0,0,62.93988227844238
58,2,32,0,0,75.61349868774414
59,6,32,8,0,44.1584587097168
60,6,4,16,1,56.326866149902344
61,2,32,0,1,61.830997467041016
62,6,4,8,1,68.4347152709961
63,2,8,0,1,77.11625099182129
64,6,8,8,1,101.04250907897949
65,6,32,8,1,105.7593822479248
66,2,32,0,1,75.22368431091309
67,2,8,0,1,101.07421875
68,6,8,32,1,81.57110214233398
69,2,8,0,1,89.8587703704834
70,6,16,8,0,-1
71,6,32,64,0,85.46876907348633
72,6,8,16,0,72.10087776184082
73,6,4,16,1,51.19609832763672
74,2,16,0,1,43.69068145751953
75,6,16,8,1,57.62791633605957
76,2,8,0,1,42.562007904052734
77,6,8,32,1,56.2901496887207
78,2,8,0,1,58.760643005371094
79,2,4,0,1,76.4918327331543
80,6,16,32,0,71.59781455993652
81,6,32,64,1,81.53891563415527
82,6,16,8,1,87.10980415344238
83,6,32,64,1,61.76495552062988
84,2,8,0,0,61.3706111907959
85,2,32,0,1,82.28111267089844
86,2,4,0,1,87.15009689331055
87,2,4,0,1,110.50796508789062
88,6,32,32,1,99.90572929382324
89,6,8,64,1,114.31670188903809
90,2,16,0,1,71.84624671936035
91,2,16,0,1,90.32845497131348
92,2,4,0,1,103.49202156066895
93,6,8,8,1,118.67046356201172
94,6,8,8,1,106.53853416442871
95,2,4,0,1,104.58183288574219
96,2,16,0,1,113.13414573669434
97,2,32,0,1,125.69427490234375
98,2,32,0,1,147.81713485717773
99,6,16,64,0,-1
101,2,16,0,0,111.95778846740723
100,6,8,16,0,-1
103,2,16,0,0,-1
102,6,8,32,0,-1
105,2,4,0,0,91.08138084411621
104,6,4,8,1,109.40766334533691
106,6,32,32,1,114.44687843322754
107,2,32,0,0,-1
108,6,4,8,0,92.92364120483398
109,2,8,0,1,109.59362983703613
110,6,32,64,1,98.56128692626953
111,6,8,8,1,95.11208534240723
112,2,16,0,1,84.29360389709473
113,6,32,32,1,77.61502265930176
114,6,32,64,1,80.83510398864746
115,2,8,0,0,54.208993911743164
116,2,16,0,0,76.29203796386719
117,2,32,0,0,93.83893013000488
118,6,4,16,0,48.99859428405762
119,6,32,64,1,69.7176456451416
120,6,32,16,1,72.26753234863281
121,2,8,0,1,79.40077781677246
122,6,16,16,1,91.80092811584473
123,6,32,8,1,101.12380981445312
124,2,32,0,1,78.97186279296875
125,6,16,16,0,64.46576118469238
126,6,4,16,1,65.8409595489502
127,2,32,0,0,42.19460487365723
128,6,32,32,0,23.72598648071289
129,2,4,0,0,33.56766700744629
130,6,4,16,0,12.09259033203125
131,2,32,0,0,35.30001640319824
132,6,8,64,0,37.89043426513672
133,6,4,64,0,14.050722122192383
134,2,8,0,0,27.87613868713379
135,2,32,0,0,53.32159996032715
136,6,16,32,0,42.868852615356445
137,2,4,0,1,51.4681339263916
138,6,16,32,1,59.20577049255371
139,2,8,0,1,47.67346382141113
140,6,8,16,1,66.54906272888184
141,2,4,0,0,73.90904426574707
142,2,4,0,1,94.32077407836914
143,2,8,0,1,111.50693893432617
144,6,16,32,1,88.53435516357422
145,2,8,0,1,96.74906730651855
146,6,16,32,1,114.02010917663574
147,6,4,8,1,119.44174766540527
148,6,8,16,0,-1
149,2,8,0,0,-1
150,2,16,0,0,-1
151,6,4,16,0,88.32907676696777
152,2,4,0,1,102.26917266845703
153,2,32,0,1,117.96760559082031
154,2,16,0,1,131.4229965209961
155,6,32,32,1,130.00059127807617
156,2,4,0,0,-1
157,6,16,64,0,-1
158,2,32,0,0,-1
159,2,4,0,0,72.4020004272461
160,6,8,64,0,33.25247764587402
161,6,32,64,1,42.31548309326172
162,2,32,0,1,46.510934829711914
163,6,8,32,0,45.03202438354492
164,6,4,64,0,13.974189758300781
165,2,32,0,0,31.391143798828125
166,6,16,8,0,36.87000274658203
167,6,8,64,0,48.01583290100098
168,6,32,16,0,43.46585273742676
169,6,4,8,0,52.87599563598633
170,6,4,8,0,57.54709243774414
171,6,32,64,0,25.562047958374023
172,2,16,0,0,42.16194152832031
173,6,8,8,0,27.576923370361328
174,2,16,0,0,34.84320640563965
175,6,4,16,0,51.97954177856445
176,2,16,0,1,45.386552810668945
177,6,8,8,0,48.34413528442383
178,6,32,32,0,45.346975326538086
179,6,8,16,0,13.592958450317383
180,2,32,0,0,33.95867347717285
181,6,8,32,0,22.649049758911133
182,6,32,16,0,16.901731491088867
183,6,16,64,0,12.95018196105957
184,2,8,0,0,27.116775512695312
185,6,8,8,0,35.49695014953613
186,6,4,8,1,46.178340911865234
187,2,32,0,0,36.79656982421875
188,2,4,0,0,40.450096130371094
189,2,16,0,0,55.74965476989746
190,2,16,0,0,32.315969467163086
191,2,32,0,0,57.007551193237305
192,6,16,64,1,71.29216194152832
193,6,8,32,1,74.22304153442383
194,2,8,0,1,78.80139350891113
195,6,32,64,0,78.29880714416504
196,6,8,16,0,80.8253288269043
197,6,4,64,1,89.75458145141602
198,2,4,0,0,42.14119911193848
199,2,8,0,0,61.17057800292969
200,2,4,0,1,76.9186019897461
201,6,16,64,0,62.669992446899414
202,6,32,64,1,56.4579963684082
203,6,32,16,1,68.48907470703125
204,6,4,8,1,74.05734062194824
205,2,16,0,0,69.02194023132324
206,2,32,0,0,88.72008323669434
207,2,32,0,0,-1
208,2,16,0,0,40.88234901428223
209,2,4,0,0,53.193092346191406
210,6,32,32,0,46.274662017822266
211,6,4,16,1,60.53328514099121
212,6,16,16,1,76.07507705688477
213,2,16,0,1,82.59773254394531
214,6,32,32,0,80.95264434814453
215,6,8,8,0,77.56924629211426
216,6,4,8,0,80.32774925231934
217,6,32,8,0,37.13536262512207
218,6,32,64,0,34.784793853759766
219,2,8,0,0,30.103206634521484
220,2,8,0,0,53.70497703552246
221,6,8,64,0,30.553579330444336
222,2,32,0,0,25.380611419677734
223,2,8,0,0,29.309988021850586
224,6,16,32,0,12.137889862060547
225,6,4,32,0,19.372224807739258
226,2,32,0,0,34.17396545410156
227,6,16,32,0,27.977943420410156
228,2,4,0,0,46.36836051940918
229,2,8,0,0,72.7086067199707
230,2,4,0,1,73.43149185180664
231,6,4,64,0,72.70979881286621
232,6,16,16,0,48.394203186035156
233,6,8,8,0,59.29231643676758
234,6,8,32,1,72.8292465209961
235,6,8,16,1,65.35553932189941
236,2,16,0,1,70.36995887756348
237,6,4,16,1,76.87973976135254
238,6,8,8,1,73.00257682800293
239,2,32,0,0,73.36306571960449
240,2,8,0,0,71.89559936523438
241,2,16,0,0,91.55511856079102
242,2,4,0,1,87.70418167114258
243,2,16,0,1,91.79139137268066
244,6,4,16,1,93.53017807006836
245,2,32,0,1,89.9970531463623
246,6,4,32,1,84.77497100830078
247,2,8,0,1,77.40521430969238
248,6,32,8,1,75.07014274597168
249,2,8,0,1,54.49628829956055
250,6,8,32,0,58.03489685058594
251,6,16,8,0,29.805421829223633
252,6,4,16,0,19.945621490478516
253,6,4,8,0,28.98883819580078
254,2,8,0,1,37.333011627197266
255,6,4,32,0,40.78793525695801
256,6,8,64,1,58.11762809753418
257,6,16,16,1,67.36445426940918
258,6,32,64,1,75.50883293151855
259,2,16,0,1,57.631492614746094
260,6,4,64,1,72.14474678039551
261,6,8,16,1,55.962324142456055
262,2,8,0,0,56.526899337768555
263,2,8,0,0,79.87475395202637
264,2,32,0,0,54.53157424926758
265,2,32,0,0,63.4613037109375
266,2,4,0,0,78.56941223144531
267,6,32,8,1,80.90972900390625
