query_id,model_id,bs,seq_len,search_times,latency
2,2,32,0,0,62.10446357727051
1,3,32,0,0,91.19534492492676
3,3,16,0,0,79.21004295349121
4,3,8,0,0,48.082590103149414
5,2,4,0,1,65.80543518066406
6,3,8,0,1,59.07845497131348
7,3,4,0,0,24.38497543334961
8,3,4,0,0,43.25461387634277
9,3,8,0,0,45.89676856994629
11,2,4,0,1,53.34973335266113
10,3,16,0,1,65.27233123779297
12,2,32,0,0,52.39152908325195
13,2,16,0,0,55.753469467163086
14,2,4,0,0,60.68563461303711
15,2,8,0,0,57.65986442565918
16,2,8,0,0,34.26790237426758
17,3,16,0,0,26.51524543762207
18,3,16,0,0,44.59238052368164
19,2,8,0,1,65.98877906799316
20,3,32,0,1,49.967288970947266
21,3,16,0,0,55.24873733520508
22,2,8,0,0,61.57565116882324
23,2,16,0,1,82.49926567077637
24,3,8,0,1,63.42911720275879
25,2,4,0,0,86.54546737670898
26,3,16,0,0,51.358938217163086
27,2,32,0,0,41.6262149810791
28,3,16,0,0,29.338359832763672
29,2,4,0,0,42.29331016540527
30,3,16,0,0,34.29841995239258
31,2,16,0,0,41.7780876159668
32,2,16,0,0,59.40723419189453
33,2,4,0,0,58.72797966003418
34,2,8,0,0,73.82917404174805
35,2,4,0,0,66.95699691772461
36,2,8,0,0,56.25629425048828
37,2,16,0,0,76.80106163024902
38,2,4,0,0,90.42096138000488
39,2,8,0,0,113.1749153137207
40,2,4,0,0,72.00884819030762
41,2,4,0,1,82.66258239746094
42,3,4,0,1,66.83158874511719
44,2,4,0,1,84.07139778137207
43,3,8,0,1,92.9107666015625
45,2,32,0,0,97.24736213684082
46,2,32,0,0,96.5585708618164
47,2,8,0,0,113.66891860961914
48,2,8,0,1,113.29460144042969
52,3,32,0,1,54.740190505981445
49,2,16,0,1,105.54289817810059
53,3,4,0,1,57.15680122375488
50,2,32,0,1,122.16448783874512
54,3,16,0,1,78.84359359741211
51,2,32,0,0,127.2895336151123
55,2,8,0,1,98.61421585083008
57,3,16,0,1,53.81655693054199
56,2,32,0,0,106.26506805419922
58,2,32,0,1,81.80427551269531
59,3,4,0,1,56.48684501647949
60,2,16,0,0,46.49019241333008
61,2,32,0,0,52.47235298156738
62,3,32,0,0,66.11776351928711
63,2,32,0,1,72.44300842285156
65,3,32,0,1,58.22491645812988
64,2,4,0,1,86.07769012451172
66,3,4,0,1,57.95025825500488
67,2,16,0,0,34.74998474121094
69,2,4,0,0,45.06731033325195
68,3,32,0,0,46.21410369873047
70,2,32,0,0,52.544593811035156
71,3,8,0,0,15.692710876464844
72,2,4,0,0,35.5677604675293
73,2,8,0,0,34.993648529052734
74,3,8,0,0,30.667543411254883
75,2,32,0,0,50.225257873535156
76,2,32,0,0,60.660600662231445
77,2,8,0,0,83.40191841125488
78,3,8,0,0,59.02099609375
80,2,16,0,1,46.32830619812012
79,3,4,0,1,84.6548080444336
81,3,4,0,0,63.77530097961426
82,3,32,0,0,23.14448356628418
83,3,8,0,0,19.461870193481445
84,2,16,0,0,34.845590591430664
85,2,16,0,0,48.66647720336914
87,2,4,0,1,61.13028526306152
86,3,16,0,1,69.5805549621582
88,2,8,0,1,76.4625072479248
89,3,8,0,1,70.03307342529297
91,2,4,0,1,82.34691619873047
90,3,8,0,1,84.95521545410156
95,2,32,0,1,65.53483009338379
92,3,16,0,1,100.01373291015625
97,2,32,0,1,75.2861499786377
93,3,4,0,1,113.36493492126465
98,2,4,0,1,48.719167709350586
94,3,16,0,1,126.50203704833984
99,2,4,0,1,71.37513160705566
96,3,16,0,1,124.38440322875977
102,2,16,0,1,54.58521842956543
100,3,32,0,1,66.95342063903809
103,2,16,0,1,66.74909591674805
101,3,32,0,1,90.03329277038574
104,2,16,0,0,24.239778518676758
105,2,4,0,0,37.64986991882324
106,3,8,0,0,36.16786003112793
107,2,16,0,0,32.555341720581055
108,2,8,0,0,45.28069496154785
109,2,32,0,0,50.33421516418457
110,3,8,0,0,47.98388481140137
111,2,32,0,0,62.409400939941406
112,2,32,0,0,24.393796920776367
113,3,16,0,0,23.580074310302734
114,3,8,0,0,16.309022903442383
115,2,16,0,0,26.13353729248047
116,3,8,0,0,50.478458404541016
117,3,8,0,0,64.80979919433594
119,2,4,0,1,51.29098892211914
118,3,32,0,1,70.9066390991211
120,2,4,0,0,45.03679275512695
121,3,32,0,0,39.79229927062988
122,3,8,0,0,57.15608596801758
123,3,32,0,0,35.45355796813965
124,2,4,0,0,25.454998016357422
125,3,8,0,0,25.48503875732422
126,3,32,0,0,17.186403274536133
127,3,32,0,0,17.784833908081055
128,2,4,0,0,25.029659271240234
129,2,16,0,0,28.285741806030273
130,3,32,0,0,17.018795013427734
131,3,16,0,0,24.963855743408203
132,3,32,0,0,16.382455825805664
133,2,8,0,0,31.110286712646484
134,2,16,0,0,51.038503646850586
135,2,32,0,0,67.65294075012207
137,2,16,0,0,32.788753509521484
136,3,4,0,0,36.026954650878906
138,3,32,0,0,21.845579147338867
139,3,4,0,0,36.3767147064209
140,3,4,0,0,38.9103889465332
141,2,8,0,0,33.704519271850586
