query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,46.685218811035156
2.0,6.0,32.0,64.0,30.697107315063477
3.0,6.0,16.0,16.0,11.461019515991211
4.0,3.0,4.0,0.0,25.566577911376953
5.0,6.0,8.0,32.0,34.012794494628906
6.0,3.0,16.0,0.0,21.096229553222656
7.0,6.0,16.0,64.0,16.392230987548828
8.0,6.0,8.0,64.0,12.040376663208008
9.0,6.0,16.0,8.0,11.843204498291016
10.0,3.0,32.0,0.0,23.108482360839844
11.0,3.0,16.0,0.0,42.51217842102051
12.0,3.0,4.0,0.0,41.799068450927734
13.0,3.0,8.0,0.0,39.85929489135742
14.0,3.0,8.0,0.0,16.674280166625977
15.0,6.0,16.0,64.0,16.173124313354492
16.0,3.0,16.0,0.0,30.821800231933594
17.0,3.0,8.0,0.0,48.4309196472168
18.0,6.0,32.0,32.0,44.178009033203125
19.0,3.0,8.0,0.0,52.056312561035156
21.0,6.0,8.0,16.0,56.24699592590332
20.0,3.0,16.0,0.0,76.72476768493652
23.0,6.0,8.0,16.0,50.69398880004883
22.0,3.0,32.0,0.0,108.49308967590332
24.0,6.0,32.0,64.0,67.57497787475586
25.0,6.0,4.0,64.0,62.20054626464844
28.0,3.0,4.0,0.0,44.577836990356445
26.0,6.0,8.0,8.0,96.69351577758789
29.0,3.0,8.0,0.0,75.13785362243652
27.0,6.0,8.0,32.0,97.96929359436035
30.0,3.0,4.0,0.0,78.38606834411621
31.0,3.0,8.0,0.0,62.88456916809082
32.0,3.0,16.0,0.0,76.21359825134277
33.0,3.0,4.0,0.0,90.12293815612793
34.0,3.0,8.0,0.0,104.97426986694336
35.0,3.0,4.0,0.0,65.80185890197754
37.0,6.0,4.0,32.0,53.87115478515625
36.0,3.0,4.0,0.0,92.2400951385498
38.0,6.0,4.0,64.0,85.97946166992188
39.0,3.0,32.0,0.0,100.24237632751465
40.0,3.0,32.0,0.0,107.01704025268555
46.0,6.0,32.0,32.0,33.10251235961914
41,3,8,0,-1
42.0,3.0,8.0,0.0,122.1303939819336
43.0,3.0,16.0,0.0,112.16974258422852
48.0,6.0,16.0,8.0,61.52701377868652
49.0,6.0,32.0,32.0,46.29874229431152
44,3,32,0,-1
50.0,6.0,8.0,32.0,55.947303771972656
45,3,32,0,-1
51.0,6.0,4.0,8.0,45.56894302368164
47,3,4,0,-1
52.0,3.0,8.0,0.0,45.26519775390625
53.0,3.0,32.0,0.0,44.04926300048828
54.0,6.0,32.0,8.0,53.86972427368164
55.0,6.0,32.0,8.0,40.76886177062988
56.0,3.0,16.0,0.0,25.197505950927734
57.0,3.0,32.0,0.0,38.6509895324707
58.0,3.0,32.0,0.0,52.81662940979004
59.0,6.0,32.0,8.0,22.064924240112305
60.0,6.0,4.0,16.0,28.413772583007812
61.0,3.0,32.0,0.0,44.350624084472656
62.0,6.0,4.0,8.0,46.71335220336914
63.0,3.0,8.0,0.0,70.17111778259277
64.0,6.0,8.0,8.0,78.41134071350098
66.0,3.0,32.0,0.0,65.95945358276367
67.0,3.0,8.0,0.0,80.26671409606934
65,6,32,8,-1
68.0,6.0,8.0,32.0,53.8640022277832
69.0,3.0,8.0,0.0,75.39200782775879
70.0,6.0,16.0,8.0,87.22114562988281
71.0,6.0,32.0,64.0,82.80587196350098
72.0,6.0,8.0,16.0,70.13654708862305
73.0,6.0,4.0,16.0,41.397809982299805
74.0,3.0,16.0,0.0,49.80206489562988
75.0,6.0,16.0,8.0,56.17570877075195
76.0,3.0,8.0,0.0,65.92774391174316
77.0,6.0,8.0,32.0,72.13735580444336
78.0,3.0,8.0,0.0,84.83576774597168
79.0,3.0,4.0,0.0,92.27728843688965
80.0,6.0,16.0,32.0,96.54092788696289
81.0,6.0,32.0,64.0,98.80304336547852
84.0,3.0,8.0,0.0,80.69229125976562
85.0,3.0,32.0,0.0,103.7454605102539
82,6,16,8,-1
86.0,3.0,4.0,0.0,107.00106620788574
83,6,32,64,-1
88.0,6.0,32.0,32.0,93.4443473815918
87,3,4,0,-1
89.0,6.0,8.0,64.0,106.55808448791504
90.0,3.0,16.0,0.0,80.74212074279785
91.0,3.0,16.0,0.0,96.81820869445801
93.0,6.0,8.0,8.0,100.24642944335938
94.0,6.0,8.0,8.0,85.28470993041992
92,3,4,0,-1
95.0,3.0,4.0,0.0,101.52959823608398
99.0,6.0,16.0,64.0,68.15528869628906
100.0,6.0,8.0,16.0,60.13035774230957
96,3,16,0,-1
102.0,6.0,8.0,32.0,47.501325607299805
97,3,32,0,-1
104.0,6.0,4.0,8.0,24.861574172973633
98,3,32,0,-1
101.0,3.0,16.0,0.0,100.91376304626465
106.0,6.0,32.0,32.0,61.60330772399902
108.0,6.0,4.0,8.0,43.3506965637207
103,3,16,0,-1
105.0,3.0,4.0,0.0,108.62398147583008
110.0,6.0,32.0,64.0,42.68932342529297
111.0,6.0,8.0,8.0,41.808366775512695
107,3,32,0,-1
109.0,3.0,8.0,0.0,110.68582534790039
112.0,3.0,16.0,0.0,66.18833541870117
113.0,6.0,32.0,32.0,57.999372482299805
114.0,6.0,32.0,64.0,64.13388252258301
115.0,3.0,8.0,0.0,51.14912986755371
116.0,3.0,16.0,0.0,77.55613327026367
117.0,3.0,32.0,0.0,93.94097328186035
118.0,6.0,4.0,16.0,51.50318145751953
119.0,6.0,32.0,64.0,63.5068416595459
121.0,3.0,8.0,0.0,77.43430137634277
120.0,6.0,32.0,16.0,93.89781951904297
124.0,3.0,32.0,0.0,83.09793472290039
127.0,3.0,32.0,0.0,36.66090965270996
122,6,16,16,-1
123,6,32,8,-1
125.0,6.0,16.0,16.0,106.51922225952148
126.0,6.0,4.0,16.0,100.24642944335938
128.0,6.0,32.0,32.0,52.154541015625
129.0,3.0,4.0,0.0,50.49777030944824
130.0,6.0,4.0,16.0,21.01874351501465
131.0,3.0,32.0,0.0,41.109323501586914
132.0,6.0,8.0,64.0,52.941083908081055
133.0,6.0,4.0,64.0,14.833450317382812
134.0,3.0,8.0,0.0,20.823955535888672
