query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,43.451786041259766
2.0,6.0,32.0,64.0,26.372432708740234
3.0,6.0,16.0,16.0,11.677980422973633
4.0,1.0,4.0,0.0,25.969743728637695
5.0,6.0,8.0,32.0,29.832124710083008
6.0,1.0,16.0,0.0,17.24720001220703
7.0,6.0,16.0,64.0,11.111021041870117
8.0,6.0,8.0,64.0,11.518001556396484
9.0,6.0,16.0,8.0,12.993812561035156
10.0,1.0,32.0,0.0,24.704694747924805
11.0,1.0,16.0,0.0,38.02657127380371
12.0,1.0,4.0,0.0,34.7597599029541
13.0,1.0,8.0,0.0,23.816347122192383
14.0,1.0,8.0,0.0,15.975713729858398
15.0,6.0,16.0,64.0,17.306089401245117
16.0,1.0,16.0,0.0,31.905412673950195
17.0,1.0,8.0,0.0,40.662288665771484
18.0,6.0,32.0,32.0,35.637855529785156
19.0,1.0,8.0,0.0,42.32645034790039
21.0,6.0,8.0,16.0,47.52540588378906
20.0,1.0,16.0,0.0,69.25630569458008
23.0,6.0,8.0,16.0,40.750741958618164
22.0,1.0,32.0,0.0,98.75249862670898
24.0,6.0,32.0,64.0,59.33046340942383
25.0,6.0,4.0,64.0,52.45375633239746
26.0,6.0,8.0,8.0,61.95998191833496
28.0,1.0,4.0,0.0,38.11073303222656
27.0,6.0,8.0,32.0,51.778316497802734
29.0,1.0,8.0,0.0,61.479806900024414
30.0,1.0,4.0,0.0,47.11461067199707
31.0,1.0,8.0,0.0,28.81026268005371
32.0,1.0,16.0,0.0,41.98265075683594
33.0,1.0,4.0,0.0,47.85728454589844
34.0,1.0,8.0,0.0,63.019514083862305
35.0,1.0,4.0,0.0,18.420696258544922
36.0,1.0,4.0,0.0,21.761655807495117
37.0,6.0,4.0,32.0,21.132707595825195
38.0,6.0,4.0,64.0,30.462980270385742
39.0,1.0,32.0,0.0,35.67028045654297
40.0,1.0,32.0,0.0,34.27433967590332
41.0,1.0,8.0,0.0,43.77460479736328
42.0,1.0,8.0,0.0,35.7050895690918
43.0,1.0,16.0,0.0,20.404338836669922
44.0,1.0,32.0,0.0,28.917551040649414
45.0,1.0,32.0,0.0,27.657270431518555
46.0,6.0,32.0,32.0,38.294076919555664
47.0,1.0,4.0,0.0,37.509918212890625
48.0,6.0,16.0,8.0,31.970739364624023
49.0,6.0,32.0,32.0,15.797853469848633
50.0,6.0,8.0,32.0,24.030447006225586
