query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,76.5836238861084
2.0,1.0,32.0,0.0,73.02975654602051
3.0,2.0,16.0,0.0,98.42157363891602
5.0,1.0,4.0,0.0,64.1632080078125
4.0,2.0,8.0,0.0,98.11973571777344
6.0,2.0,8.0,0.0,107.25712776184082
7.0,2.0,4.0,0.0,51.90587043762207
8.0,2.0,4.0,0.0,75.8061408996582
11.0,1.0,4.0,0.0,62.81757354736328
9.0,2.0,8.0,0.0,117.48838424682617
12.0,1.0,32.0,0.0,79.80108261108398
13.0,1.0,16.0,0.0,72.83997535705566
10,2,16,0,-1
14.0,1.0,4.0,0.0,75.2267837524414
15.0,1.0,8.0,0.0,66.02597236633301
16.0,1.0,8.0,0.0,34.212350845336914
17.0,2.0,16.0,0.0,29.50310707092285
18.0,2.0,16.0,0.0,52.17266082763672
19.0,1.0,8.0,0.0,66.22147560119629
20.0,2.0,32.0,0.0,81.28166198730469
22.0,1.0,8.0,0.0,68.47381591796875
21.0,2.0,16.0,0.0,110.5496883392334
23.0,1.0,16.0,0.0,106.2004566192627
24.0,2.0,8.0,0.0,112.99538612365723
25.0,1.0,4.0,0.0,128.983736038208
26.0,2.0,16.0,0.0,112.68758773803711
27.0,1.0,32.0,0.0,97.44548797607422
28.0,2.0,16.0,0.0,84.58232879638672
29.0,1.0,4.0,0.0,94.84171867370605
30.0,2.0,16.0,0.0,114.48955535888672
31.0,1.0,16.0,0.0,112.87903785705566
32,1,16,0,-1
33.0,1.0,4.0,0.0,105.3915023803711
34.0,1.0,8.0,0.0,116.27316474914551
35.0,1.0,4.0,0.0,106.76002502441406
36.0,1.0,8.0,0.0,88.93489837646484
37.0,1.0,16.0,0.0,103.53946685791016
38.0,1.0,4.0,0.0,114.19534683227539
42.0,2.0,4.0,0.0,48.311710357666016
39,1,8,0,-1
40.0,1.0,4.0,0.0,94.18201446533203
43.0,2.0,8.0,0.0,88.03486824035645
41,1,4,0,-1
44.0,1.0,4.0,0.0,99.97844696044922
45.0,1.0,32.0,0.0,102.28967666625977
46.0,1.0,32.0,0.0,94.49505805969238
47.0,1.0,8.0,0.0,113.97910118103027
52.0,2.0,32.0,0.0,60.59741973876953
53.0,2.0,4.0,0.0,64.74113464355469
48,1,8,0,-1
54.0,2.0,16.0,0.0,85.80422401428223
49,1,16,0,-1
57.0,2.0,16.0,0.0,38.08116912841797
50,1,32,0,-1
51,1,32,0,-1
55.0,1.0,8.0,0.0,100.11863708496094
56.0,1.0,32.0,0.0,100.88682174682617
59.0,2.0,4.0,0.0,57.68918991088867
58.0,1.0,32.0,0.0,99.64346885681152
60.0,1.0,16.0,0.0,55.15336990356445
62.0,2.0,32.0,0.0,55.554866790771484
61.0,1.0,32.0,0.0,77.76689529418945
65.0,2.0,32.0,0.0,56.899309158325195
63.0,1.0,32.0,0.0,95.96490859985352
66.0,2.0,4.0,0.0,86.30609512329102
68.0,2.0,32.0,0.0,52.167415618896484
64,1,4,0,-1
67.0,1.0,16.0,0.0,83.92047882080078
69.0,1.0,4.0,0.0,93.92023086547852
70.0,1.0,32.0,0.0,101.47333145141602
71.0,2.0,8.0,0.0,39.72911834716797
72.0,1.0,4.0,0.0,48.59662055969238
73.0,1.0,8.0,0.0,41.02158546447754
74.0,2.0,8.0,0.0,63.13300132751465
75.0,1.0,32.0,0.0,77.94547080993652
78.0,2.0,8.0,0.0,48.45905303955078
76.0,1.0,32.0,0.0,105.47852516174316
79.0,2.0,4.0,0.0,91.23063087463379
81.0,2.0,4.0,0.0,78.06754112243652
77,1,8,0,-1
80.0,1.0,16.0,0.0,100.59070587158203
82.0,2.0,32.0,0.0,63.745975494384766
83.0,2.0,8.0,0.0,69.63610649108887
84.0,1.0,16.0,0.0,76.69830322265625
85.0,1.0,16.0,0.0,83.81080627441406
86.0,2.0,16.0,0.0,114.18986320495605
89.0,2.0,8.0,0.0,115.75865745544434
87,1,4,0,-1
88,1,8,0,-1
90,2,8,0,-1
92.0,2.0,16.0,0.0,121.05035781860352
91,1,4,0,-1
95.0,1.0,32.0,0.0,103.7299633026123
93,2,4,0,-1
97.0,1.0,32.0,0.0,109.65919494628906
94,2,16,0,-1
98.0,1.0,4.0,0.0,76.60365104675293
96,2,16,0,-1
99.0,1.0,4.0,0.0,99.85828399658203
100.0,2.0,32.0,0.0,95.58320045471191
101.0,2.0,32.0,0.0,121.60181999206543
102.0,1.0,16.0,0.0,126.44410133361816
106.0,2.0,8.0,0.0,37.76693344116211
103,1,16,0,-1
104.0,1.0,16.0,0.0,75.78420639038086
105.0,1.0,4.0,0.0,82.88693428039551
107.0,1.0,16.0,0.0,69.74911689758301
110.0,2.0,8.0,0.0,56.16188049316406
108.0,1.0,8.0,0.0,97.49674797058105
109.0,1.0,32.0,0.0,94.82550621032715
111.0,1.0,32.0,0.0,106.0481071472168
112.0,1.0,32.0,0.0,32.71770477294922
113.0,2.0,16.0,0.0,39.84427452087402
114.0,2.0,8.0,0.0,52.430152893066406
115.0,1.0,16.0,0.0,24.611711502075195
116.0,2.0,8.0,0.0,49.90816116333008
117.0,2.0,8.0,0.0,74.06091690063477
119.0,1.0,4.0,0.0,55.00960350036621
118.0,2.0,32.0,0.0,99.25198554992676
120.0,1.0,4.0,0.0,66.0550594329834
121.0,2.0,32.0,0.0,87.78858184814453
122.0,2.0,8.0,0.0,124.30858612060547
123.0,2.0,32.0,0.0,109.29656028747559
124.0,1.0,4.0,0.0,57.25669860839844
125.0,2.0,8.0,0.0,64.96071815490723
126.0,2.0,32.0,0.0,42.72103309631348
127.0,2.0,32.0,0.0,51.84745788574219
128.0,1.0,4.0,0.0,32.70554542541504
129.0,1.0,16.0,0.0,19.12832260131836
130.0,2.0,32.0,0.0,33.67424011230469
131.0,2.0,16.0,0.0,58.615922927856445
132.0,2.0,32.0,0.0,30.53736686706543
133.0,1.0,8.0,0.0,41.741132736206055
134.0,1.0,16.0,0.0,61.161041259765625
135.0,1.0,32.0,0.0,73.20570945739746
136.0,2.0,4.0,0.0,41.89920425415039
137.0,1.0,16.0,0.0,55.69815635681152
138.0,2.0,32.0,0.0,48.43568801879883
139.0,2.0,4.0,0.0,74.32293891906738
141.0,1.0,8.0,0.0,49.38817024230957
140.0,2.0,4.0,0.0,104.90584373474121
143.0,1.0,32.0,0.0,72.0055103302002
142.0,2.0,16.0,0.0,101.66764259338379
144.0,1.0,32.0,0.0,105.78250885009766
145.0,2.0,16.0,0.0,88.5465145111084
146.0,1.0,32.0,0.0,84.72061157226562
147.0,2.0,4.0,0.0,47.43075370788574
148.0,1.0,32.0,0.0,20.82347869873047
149.0,2.0,8.0,0.0,44.72208023071289
151.0,1.0,4.0,0.0,45.05729675292969
150.0,2.0,4.0,0.0,79.55193519592285
152.0,2.0,4.0,0.0,49.42035675048828
153.0,1.0,32.0,0.0,61.132192611694336
154.0,2.0,8.0,0.0,80.18875122070312
155.0,2.0,32.0,0.0,56.42366409301758
156.0,1.0,32.0,0.0,30.679702758789062
157.0,1.0,8.0,0.0,17.961502075195312
158.0,1.0,32.0,0.0,38.34652900695801
159.0,2.0,16.0,0.0,38.47312927246094
160.0,2.0,4.0,0.0,68.60661506652832
161.0,1.0,4.0,0.0,84.40279960632324
162.0,2.0,4.0,0.0,108.65306854248047
163.0,1.0,4.0,0.0,124.44710731506348
164.0,1.0,8.0,0.0,111.78421974182129
166.0,2.0,8.0,0.0,111.25683784484863
168.0,2.0,16.0,0.0,115.12136459350586
165,1,16,0,-1
167,1,4,0,-1
170,2,16,0,-1
171.0,2.0,16.0,0.0,129.48060035705566
169,1,8,0,-1
172.0,1.0,4.0,0.0,100.9669303894043
173.0,1.0,16.0,0.0,104.25496101379395
177.0,2.0,4.0,0.0,72.48377799987793
180.0,2.0,32.0,0.0,61.781883239746094
174,1,8,0,-1
182.0,2.0,32.0,0.0,69.33760643005371
175,1,16,0,-1
183.0,2.0,4.0,0.0,100.89731216430664
176,1,8,0,-1
184.0,2.0,32.0,0.0,114.35890197753906
178,1,32,0,-1
179,1,8,0,-1
185,2,16,0,-1
186.0,2.0,4.0,0.0,121.16384506225586
181,1,16,0,-1
187.0,1.0,16.0,0.0,86.37475967407227
189.0,2.0,8.0,0.0,64.3911361694336
188.0,1.0,8.0,0.0,103.12771797180176
190.0,2.0,8.0,0.0,59.66472625732422
191.0,2.0,8.0,0.0,80.3978443145752
192.0,2.0,4.0,0.0,98.83975982666016
194.0,1.0,32.0,0.0,81.08353614807129
196.0,1.0,16.0,0.0,69.19002532958984
193,2,16,0,-1
195.0,2.0,16.0,0.0,106.61721229553223
197.0,1.0,32.0,0.0,99.53737258911133
198.0,1.0,8.0,0.0,113.29531669616699
199.0,2.0,4.0,0.0,117.51437187194824
202.0,2.0,16.0,0.0,134.37581062316895
200,1,4,0,-1
201,1,32,0,-1
203,2,8,0,-1
204,1,16,0,-1
205,2,4,0,-1
208.0,2.0,8.0,0.0,85.22152900695801
206,1,8,0,-1
207.0,1.0,16.0,0.0,118.87836456298828
210.0,2.0,16.0,0.0,109.25626754760742
212.0,2.0,32.0,0.0,126.08218193054199
209,1,32,0,-1
214.0,2.0,32.0,0.0,135.55383682250977
211,1,4,0,-1
213,1,16,0,-1
216,2,4,0,-1
217.0,2.0,32.0,0.0,111.33408546447754
215,1,16,0,-1
218,1,8,0,-1
219.0,1.0,32.0,0.0,83.12749862670898
220.0,1.0,4.0,0.0,96.35305404663086
221.0,1.0,32.0,0.0,83.14323425292969
222.0,1.0,4.0,0.0,81.73537254333496
223.0,1.0,16.0,0.0,94.2542552947998
224.0,1.0,16.0,0.0,25.072574615478516
225.0,1.0,32.0,0.0,48.94566535949707
226.0,2.0,16.0,0.0,73.8992691040039
227.0,2.0,32.0,0.0,91.58754348754883
228.0,1.0,8.0,0.0,99.89285469055176
229.0,2.0,8.0,0.0,114.05014991760254
232.0,1.0,32.0,0.0,92.71049499511719
233.0,1.0,4.0,0.0,80.09934425354004
230,2,32,0,-1
235.0,1.0,8.0,0.0,79.78367805480957
231,2,32,0,-1
234.0,2.0,4.0,0.0,107.69343376159668
236.0,1.0,4.0,0.0,124.70674514770508
240.0,1.0,4.0,0.0,71.37274742126465
237,2,16,0,-1
238.0,2.0,32.0,0.0,123.10004234313965
241.0,1.0,16.0,0.0,109.37714576721191
242,1,4,0,-1
239,2,32,0,-1
243,1,32,0,-1
244,1,32,0,-1
245.0,1.0,16.0,0.0,55.226802825927734
246.0,1.0,4.0,0.0,64.48054313659668
247.0,2.0,32.0,0.0,71.99835777282715
248.0,2.0,4.0,0.0,89.2326831817627
249.0,1.0,8.0,0.0,102.11348533630371
250.0,2.0,8.0,0.0,117.24090576171875
254.0,1.0,4.0,0.0,90.29245376586914
255.0,1.0,32.0,0.0,108.07585716247559
251,2,16,0,-1
256.0,1.0,32.0,0.0,118.33977699279785
252,2,32,0,-1
258.0,1.0,4.0,0.0,81.98189735412598
253,2,8,0,-1
257.0,2.0,4.0,0.0,120.15175819396973
259.0,1.0,8.0,0.0,126.67369842529297
262.0,1.0,8.0,0.0,116.56522750854492
260,2,32,0,-1
265.0,1.0,32.0,0.0,72.75986671447754
261,2,8,0,-1
268.0,1.0,32.0,0.0,49.00860786437988
263,2,16,0,-1
264.0,2.0,16.0,0.0,123.23927879333496
269.0,1.0,4.0,0.0,92.48161315917969
273.0,1.0,8.0,0.0,43.17069053649902
266,2,16,0,-1
274.0,1.0,16.0,0.0,35.315752029418945
267,2,4,0,-1
275.0,1.0,32.0,0.0,46.790361404418945
