query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,50.74810981750488
2.0,6.0,32.0,64.0,38.57874870300293
3.0,6.0,16.0,16.0,11.411428451538086
4.0,5.0,4.0,0.0,6.415128707885742
5.0,6.0,8.0,32.0,11.696815490722656
6.0,5.0,16.0,0.0,14.09769058227539
7.0,6.0,16.0,64.0,16.34812355041504
8.0,6.0,8.0,64.0,11.206626892089844
9.0,6.0,16.0,8.0,17.95816421508789
10.0,5.0,32.0,0.0,25.272369384765625
11.0,5.0,16.0,0.0,36.864519119262695
12.0,5.0,4.0,0.0,23.198366165161133
13.0,5.0,8.0,0.0,7.873296737670898
14.0,5.0,8.0,0.0,7.769584655761719
15.0,6.0,16.0,64.0,13.568401336669922
16.0,5.0,16.0,0.0,25.007963180541992
17.0,5.0,8.0,0.0,25.27475357055664
18.0,6.0,32.0,32.0,20.162582397460938
19.0,5.0,8.0,0.0,15.919685363769531
21.0,6.0,8.0,16.0,18.758773803710938
20.0,5.0,16.0,0.0,30.76791763305664
22.0,5.0,32.0,0.0,49.01409149169922
23.0,6.0,8.0,16.0,22.722721099853516
24.0,6.0,32.0,64.0,18.39280128479004
25.0,6.0,4.0,64.0,11.734247207641602
26.0,6.0,8.0,8.0,20.5230712890625
27.0,6.0,8.0,32.0,10.967493057250977
28.0,5.0,4.0,0.0,12.358665466308594
29.0,5.0,8.0,0.0,10.468244552612305
30.0,5.0,4.0,0.0,4.075527191162109
31.0,5.0,8.0,0.0,6.495475769042969
32.0,5.0,16.0,0.0,15.002250671386719
33.0,5.0,4.0,0.0,9.246349334716797
34.0,5.0,8.0,0.0,15.056133270263672
35.0,5.0,4.0,0.0,5.391120910644531
36.0,5.0,4.0,0.0,5.617380142211914
37.0,6.0,4.0,32.0,17.911672592163086
38.0,6.0,4.0,64.0,29.6323299407959
39.0,5.0,32.0,0.0,36.470651626586914
40.0,5.0,32.0,0.0,36.74793243408203
41.0,5.0,8.0,0.0,36.4689826965332
42.0,5.0,8.0,0.0,18.306732177734375
43.0,5.0,16.0,0.0,10.199308395385742
44.0,5.0,32.0,0.0,20.34926414489746
45.0,5.0,32.0,0.0,20.175695419311523
46.0,6.0,32.0,32.0,30.816316604614258
47.0,5.0,4.0,0.0,13.914346694946289
48.0,6.0,16.0,8.0,11.10696792602539
49.0,6.0,32.0,32.0,11.365175247192383
50.0,6.0,8.0,32.0,19.561290740966797
51.0,6.0,4.0,8.0,11.394977569580078
52.0,5.0,8.0,0.0,5.519390106201172
53.0,5.0,32.0,0.0,17.143964767456055
54.0,6.0,32.0,8.0,22.84550666809082
55.0,6.0,32.0,8.0,10.797500610351562
56.0,5.0,16.0,0.0,9.467840194702148
57.0,5.0,32.0,0.0,17.26841926574707
58.0,5.0,32.0,0.0,22.46260643005371
59.0,6.0,32.0,8.0,15.976428985595703
60.0,6.0,4.0,16.0,21.023035049438477
61.0,5.0,32.0,0.0,33.90312194824219
62.0,6.0,4.0,8.0,34.778594970703125
63.0,5.0,8.0,0.0,39.963483810424805
64.0,6.0,8.0,8.0,46.76342010498047
65.0,6.0,32.0,8.0,50.98605155944824
66.0,5.0,32.0,0.0,29.63733673095703
67.0,5.0,8.0,0.0,32.05060958862305
68.0,6.0,8.0,32.0,15.194892883300781
69.0,5.0,8.0,0.0,17.652273178100586
70.0,6.0,16.0,8.0,33.00642967224121
71.0,6.0,32.0,64.0,32.25350379943848
72.0,6.0,8.0,16.0,21.809101104736328
73.0,6.0,4.0,16.0,16.79849624633789
74.0,5.0,16.0,0.0,8.760213851928711
75.0,6.0,16.0,8.0,18.590688705444336
76.0,5.0,8.0,0.0,6.348133087158203
77.0,6.0,8.0,32.0,14.361143112182617
78.0,5.0,8.0,0.0,10.610342025756836
79.0,5.0,4.0,0.0,4.860162734985352
80.0,6.0,16.0,32.0,14.30964469909668
81.0,6.0,32.0,64.0,15.123367309570312
82.0,6.0,16.0,8.0,24.338960647583008
83.0,6.0,32.0,64.0,14.669418334960938
84.0,5.0,8.0,0.0,17.099618911743164
85.0,5.0,32.0,0.0,24.98793601989746
86.0,5.0,4.0,0.0,8.214473724365234
87.0,5.0,4.0,0.0,10.001659393310547
88.0,6.0,32.0,32.0,18.987178802490234
89.0,6.0,8.0,64.0,33.25390815734863
90.0,5.0,16.0,0.0,8.496284484863281
91.0,5.0,16.0,0.0,8.28099250793457
92.0,5.0,4.0,0.0,3.3893585205078125
93.0,6.0,8.0,8.0,13.844966888427734
94.0,6.0,8.0,8.0,11.768102645874023
95.0,5.0,4.0,0.0,4.669189453125
96.0,5.0,16.0,0.0,8.481979370117188
97.0,5.0,32.0,0.0,15.903711318969727
98.0,5.0,32.0,0.0,30.29155731201172
99.0,6.0,16.0,64.0,25.86841583251953
100.0,6.0,8.0,16.0,15.730857849121094
101.0,5.0,16.0,0.0,9.075164794921875
102.0,6.0,8.0,32.0,12.673139572143555
103.0,5.0,16.0,0.0,20.810365676879883
104.0,6.0,4.0,8.0,15.421628952026367
105.0,5.0,4.0,0.0,18.351316452026367
106.0,6.0,32.0,32.0,31.54897689819336
107.0,5.0,32.0,0.0,46.79417610168457
108.0,6.0,4.0,8.0,27.0535945892334
109.0,5.0,8.0,0.0,18.201351165771484
110.0,6.0,32.0,64.0,13.972997665405273
111.0,6.0,8.0,8.0,13.599872589111328
112.0,5.0,16.0,0.0,8.957862854003906
113.0,6.0,32.0,32.0,17.294883728027344
114.0,6.0,32.0,64.0,20.627498626708984
115.0,5.0,8.0,0.0,7.629871368408203
116.0,5.0,16.0,0.0,12.764692306518555
117.0,5.0,32.0,0.0,21.162748336791992
118.0,6.0,4.0,16.0,17.327308654785156
119.0,6.0,32.0,64.0,28.575420379638672
