query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,57.51681327819824
2.0,6.0,32.0,64.0,44.19445991516113
3.0,6.0,16.0,16.0,11.366844177246094
4.0,3.0,4.0,0.0,24.41573143005371
5.0,6.0,8.0,32.0,34.882307052612305
6.0,3.0,16.0,0.0,17.44866371154785
7.0,6.0,16.0,64.0,14.075517654418945
8.0,6.0,8.0,64.0,11.058568954467773
9.0,6.0,16.0,8.0,13.54360580444336
10.0,3.0,32.0,0.0,21.160364151000977
11.0,3.0,16.0,0.0,34.12318229675293
12.0,3.0,4.0,0.0,30.42435646057129
13.0,3.0,8.0,0.0,25.841474533081055
14.0,3.0,8.0,0.0,17.472028732299805
15.0,6.0,16.0,64.0,11.286735534667969
16.0,3.0,16.0,0.0,30.6246280670166
17.0,3.0,8.0,0.0,45.23825645446777
18.0,6.0,32.0,32.0,44.50392723083496
19.0,3.0,8.0,0.0,52.75464057922363
21.0,6.0,8.0,16.0,56.104421615600586
20.0,3.0,16.0,0.0,76.74860954284668
23.0,6.0,8.0,16.0,48.19965362548828
22.0,3.0,32.0,0.0,104.70938682556152
24.0,6.0,32.0,64.0,63.66252899169922
25.0,6.0,4.0,64.0,57.06310272216797
28.0,3.0,4.0,0.0,31.117916107177734
26.0,6.0,8.0,8.0,83.51016044616699
29.0,3.0,8.0,0.0,54.94546890258789
27.0,6.0,8.0,32.0,77.11076736450195
30.0,3.0,4.0,0.0,56.027889251708984
31.0,3.0,8.0,0.0,37.07575798034668
32.0,3.0,16.0,0.0,49.64923858642578
33.0,3.0,4.0,0.0,54.662466049194336
34.0,3.0,8.0,0.0,68.98093223571777
35.0,3.0,4.0,0.0,27.205944061279297
36.0,3.0,4.0,0.0,29.813528060913086
37.0,6.0,4.0,32.0,25.14481544494629
39.0,3.0,32.0,0.0,32.216787338256836
38.0,6.0,4.0,64.0,54.83651161193848
40.0,3.0,32.0,0.0,43.89238357543945
41.0,3.0,8.0,0.0,52.847862243652344
42.0,3.0,8.0,0.0,44.019222259521484
43.0,3.0,16.0,0.0,35.62355041503906
44.0,3.0,32.0,0.0,46.65231704711914
46.0,6.0,32.0,32.0,39.023637771606445
45.0,3.0,32.0,0.0,59.48305130004883
48.0,6.0,16.0,8.0,41.49675369262695
47.0,3.0,4.0,0.0,81.99596405029297
49.0,6.0,32.0,32.0,54.46434020996094
50.0,6.0,8.0,32.0,65.70315361022949
52.0,3.0,8.0,0.0,31.454086303710938
51.0,6.0,4.0,8.0,71.05040550231934
53.0,3.0,32.0,0.0,46.353816986083984
54.0,6.0,32.0,8.0,52.53767967224121
55.0,6.0,32.0,8.0,45.090675354003906
56.0,3.0,16.0,0.0,27.662277221679688
57.0,3.0,32.0,0.0,31.967878341674805
58.0,3.0,32.0,0.0,35.507917404174805
59.0,6.0,32.0,8.0,11.490821838378906
60.0,6.0,4.0,16.0,15.450716018676758
61.0,3.0,32.0,0.0,31.849145889282227
62.0,6.0,4.0,8.0,32.32145309448242
63.0,3.0,8.0,0.0,48.24519157409668
64.0,6.0,8.0,8.0,56.81180953979492
65.0,6.0,32.0,8.0,64.09454345703125
66.0,3.0,32.0,0.0,47.899723052978516
67.0,3.0,8.0,0.0,64.95475769042969
68.0,6.0,8.0,32.0,37.33110427856445
