query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,55.185794830322266
2.0,6.0,32.0,64.0,44.548749923706055
3.0,6.0,16.0,16.0,11.626482009887695
4.0,0.0,4.0,0.0,11.345624923706055
5.0,6.0,8.0,32.0,19.04582977294922
6.0,0.0,16.0,0.0,15.796661376953125
7.0,6.0,16.0,64.0,15.196084976196289
8.0,6.0,8.0,64.0,12.104988098144531
9.0,6.0,16.0,8.0,12.825250625610352
10.0,0.0,32.0,0.0,17.046213150024414
11.0,0.0,16.0,0.0,24.2617130279541
12.0,0.0,4.0,0.0,13.60630989074707
13.0,0.0,8.0,0.0,12.790441513061523
14.0,0.0,8.0,0.0,8.63337516784668
15.0,6.0,16.0,64.0,14.525413513183594
16.0,0.0,16.0,0.0,21.90423011779785
17.0,0.0,8.0,0.0,22.846698760986328
18.0,6.0,32.0,32.0,17.410755157470703
19.0,0.0,8.0,0.0,13.869524002075195
20.0,0.0,16.0,0.0,16.185283660888672
21.0,6.0,8.0,16.0,25.982379913330078
22.0,0.0,32.0,0.0,39.357900619506836
23.0,6.0,8.0,16.0,12.897491455078125
24.0,6.0,32.0,64.0,10.706424713134766
25.0,6.0,4.0,64.0,11.765241622924805
26.0,6.0,8.0,8.0,20.625829696655273
27.0,6.0,8.0,32.0,10.741710662841797
28.0,0.0,4.0,0.0,16.905546188354492
29.0,0.0,8.0,0.0,16.954421997070312
30.0,0.0,4.0,0.0,12.608766555786133
31.0,0.0,8.0,0.0,8.657217025756836
32.0,0.0,16.0,0.0,14.590978622436523
33.0,0.0,4.0,0.0,12.957334518432617
34.0,0.0,8.0,0.0,20.574569702148438
35.0,0.0,4.0,0.0,11.406660079956055
36.0,0.0,4.0,0.0,8.821964263916016
37.0,6.0,4.0,32.0,14.242172241210938
38.0,6.0,4.0,64.0,23.12779426574707
39.0,0.0,32.0,0.0,26.25441551208496
40.0,0.0,32.0,0.0,22.646665573120117
41.0,0.0,8.0,0.0,24.874448776245117
42.0,0.0,8.0,0.0,9.100675582885742
43.0,0.0,16.0,0.0,12.603282928466797
44.0,0.0,32.0,0.0,18.865108489990234
45.0,0.0,32.0,0.0,15.298843383789062
46.0,6.0,32.0,32.0,26.050567626953125
47.0,0.0,4.0,0.0,13.77725601196289
48.0,6.0,16.0,8.0,10.890007019042969
49.0,6.0,32.0,32.0,10.925054550170898
50.0,6.0,8.0,32.0,18.382549285888672
51.0,6.0,4.0,8.0,12.364387512207031
52.0,0.0,8.0,0.0,13.719558715820312
53.0,0.0,32.0,0.0,13.997793197631836
54.0,6.0,32.0,8.0,19.472360610961914
55.0,6.0,32.0,8.0,13.759851455688477
56.0,0.0,16.0,0.0,8.608341217041016
57.0,0.0,32.0,0.0,13.955116271972656
58.0,0.0,32.0,0.0,15.684127807617188
59.0,6.0,32.0,8.0,10.815858840942383
60.0,6.0,4.0,16.0,13.861656188964844
61.0,0.0,32.0,0.0,23.540019989013672
62.0,6.0,4.0,8.0,25.476932525634766
63.0,0.0,8.0,0.0,34.02376174926758
64.0,6.0,8.0,8.0,40.776729583740234
65.0,6.0,32.0,8.0,44.80171203613281
66.0,0.0,32.0,0.0,20.11704444885254
67.0,0.0,8.0,0.0,22.03845977783203
68.0,6.0,8.0,32.0,10.756492614746094
69.0,0.0,8.0,0.0,16.8304443359375
70.0,6.0,16.0,8.0,26.87525749206543
71.0,6.0,32.0,64.0,21.281957626342773
72.0,6.0,8.0,16.0,11.131048202514648
73.0,6.0,4.0,16.0,10.855913162231445
74.0,0.0,16.0,0.0,11.559247970581055
75.0,6.0,16.0,8.0,16.242504119873047
76.0,0.0,8.0,0.0,10.921478271484375
77.0,6.0,8.0,32.0,15.187501907348633
78.0,0.0,8.0,0.0,14.610528945922852
79.0,0.0,4.0,0.0,12.139558792114258
80.0,6.0,16.0,32.0,15.132904052734375
81.0,6.0,32.0,64.0,15.098333358764648
82.0,6.0,16.0,8.0,23.45132827758789
83.0,6.0,32.0,64.0,13.913631439208984
84.0,0.0,8.0,0.0,19.787073135375977
85.0,0.0,32.0,0.0,24.575471878051758
86.0,0.0,4.0,0.0,13.123512268066406
87.0,0.0,4.0,0.0,20.005464553833008
88.0,6.0,32.0,32.0,13.384819030761719
89.0,6.0,8.0,64.0,23.80537986755371
90.0,0.0,16.0,0.0,9.04536247253418
91.0,0.0,16.0,0.0,8.860349655151367
92.0,0.0,4.0,0.0,9.617805480957031
93.0,6.0,8.0,8.0,18.77593994140625
94.0,6.0,8.0,8.0,14.36758041381836
95.0,0.0,4.0,0.0,12.870311737060547
96.0,0.0,16.0,0.0,10.64610481262207
97.0,0.0,32.0,0.0,12.493610382080078
98.0,0.0,32.0,0.0,22.345304489135742
99.0,6.0,16.0,64.0,16.353607177734375
100.0,6.0,8.0,16.0,11.995315551757812
101.0,0.0,16.0,0.0,10.513782501220703
102.0,6.0,8.0,32.0,12.798309326171875
103.0,0.0,16.0,0.0,20.34759521484375
104.0,6.0,4.0,8.0,10.876893997192383
105.0,0.0,4.0,0.0,17.821311950683594
106.0,6.0,32.0,32.0,23.078441619873047
