query_id,model_id,bs,seq_len,latency
1.0,2.0,32.0,0.0,72.09038734436035
2.0,0.0,32.0,0.0,59.41963195800781
3.0,2.0,16.0,0.0,87.26024627685547
4.0,2.0,8.0,0.0,61.82575225830078
5.0,0.0,4.0,0.0,62.5147819519043
6.0,2.0,8.0,0.0,84.28192138671875
7.0,2.0,4.0,0.0,26.428937911987305
8.0,2.0,4.0,0.0,53.406476974487305
9.0,2.0,8.0,0.0,66.40863418579102
11.0,0.0,4.0,0.0,55.01151084899902
10.0,2.0,16.0,0.0,98.04391860961914
12.0,0.0,32.0,0.0,64.47267532348633
13.0,0.0,16.0,0.0,47.495365142822266
14.0,0.0,4.0,0.0,38.16986083984375
15.0,0.0,8.0,0.0,21.79694175720215
16.0,0.0,8.0,0.0,12.094497680664062
17.0,2.0,16.0,0.0,24.636507034301758
18.0,2.0,16.0,0.0,52.994489669799805
19.0,0.0,8.0,0.0,63.41910362243652
20.0,2.0,32.0,0.0,78.08232307434082
22.0,0.0,8.0,0.0,57.572364807128906
21.0,2.0,16.0,0.0,103.65700721740723
23.0,0.0,16.0,0.0,90.9128189086914
24.0,2.0,8.0,0.0,99.06172752380371
25.0,0.0,4.0,0.0,106.45508766174316
26.0,2.0,16.0,0.0,80.09696006774902
27.0,0.0,32.0,0.0,54.71301078796387
28.0,2.0,16.0,0.0,40.90142250061035
29.0,0.0,4.0,0.0,37.27984428405762
30.0,2.0,16.0,0.0,53.243398666381836
31.0,0.0,16.0,0.0,43.82610321044922
32.0,0.0,16.0,0.0,46.4777946472168
33.0,0.0,4.0,0.0,30.48110008239746
34.0,0.0,8.0,0.0,36.09800338745117
35.0,0.0,4.0,0.0,15.83242416381836
36.0,0.0,8.0,0.0,17.850160598754883
37.0,0.0,16.0,0.0,27.257680892944336
38.0,0.0,4.0,0.0,31.829118728637695
39.0,0.0,8.0,0.0,39.83283042907715
40.0,0.0,4.0,0.0,9.209871292114258
41.0,0.0,4.0,0.0,10.554075241088867
42.0,2.0,4.0,0.0,31.096696853637695
43.0,2.0,8.0,0.0,61.84864044189453
44.0,0.0,4.0,0.0,61.86485290527344
45.0,0.0,32.0,0.0,62.39008903503418
46.0,0.0,32.0,0.0,51.38230323791504
47.0,0.0,8.0,0.0,54.16226387023926
48.0,0.0,8.0,0.0,39.16788101196289
49.0,0.0,16.0,0.0,17.01068878173828
50.0,0.0,32.0,0.0,18.29242706298828
51.0,0.0,32.0,0.0,9.86170768737793
52.0,2.0,32.0,0.0,41.715383529663086
53.0,2.0,4.0,0.0,49.00979995727539
54.0,2.0,16.0,0.0,81.78400993347168
55.0,0.0,8.0,0.0,65.76681137084961
56.0,0.0,32.0,0.0,61.14387512207031
57.0,2.0,16.0,0.0,65.73104858398438
58.0,0.0,32.0,0.0,58.423757553100586
59.0,2.0,4.0,0.0,66.6356086730957
60.0,0.0,16.0,0.0,42.729854583740234
62.0,2.0,32.0,0.0,53.12180519104004
61.0,0.0,32.0,0.0,75.02198219299316
65.0,2.0,32.0,0.0,66.56885147094727
63.0,0.0,32.0,0.0,90.99388122558594
66.0,2.0,4.0,0.0,77.6832103729248
68.0,2.0,32.0,0.0,39.83664512634277
64,0,4,0,-1
67.0,0.0,16.0,0.0,62.41559982299805
69.0,0.0,4.0,0.0,56.208133697509766
70.0,0.0,32.0,0.0,49.93629455566406
71.0,2.0,8.0,0.0,26.19481086730957
72.0,0.0,4.0,0.0,26.824235916137695
73.0,0.0,8.0,0.0,9.680032730102539
74.0,2.0,8.0,0.0,28.731822967529297
75.0,0.0,32.0,0.0,31.813621520996094
76.0,0.0,32.0,0.0,28.537750244140625
77.0,0.0,8.0,0.0,36.42988204956055
78.0,2.0,8.0,0.0,25.89702606201172
79.0,2.0,4.0,0.0,47.392845153808594
80.0,0.0,16.0,0.0,17.580509185791016
81.0,2.0,4.0,0.0,36.71693801879883
82.0,2.0,32.0,0.0,23.502588272094727
83.0,2.0,8.0,0.0,26.154756546020508
84.0,0.0,16.0,0.0,25.9096622467041
86.0,2.0,16.0,0.0,36.53597831726074
85.0,0.0,16.0,0.0,48.39611053466797
89.0,2.0,8.0,0.0,45.00222206115723
87.0,0.0,4.0,0.0,68.42350959777832
90.0,2.0,8.0,0.0,67.69180297851562
88.0,0.0,8.0,0.0,92.17572212219238
92.0,2.0,16.0,0.0,89.65182304382324
91.0,0.0,4.0,0.0,105.85951805114746
93.0,2.0,4.0,0.0,112.62750625610352
95.0,0.0,32.0,0.0,98.5107421875
94,2,16,0,-1
96.0,2.0,16.0,0.0,109.09843444824219
97.0,0.0,32.0,0.0,117.83957481384277
98.0,0.0,4.0,0.0,76.04503631591797
100.0,2.0,32.0,0.0,69.95797157287598
99.0,0.0,4.0,0.0,106.49275779724121
101.0,2.0,32.0,0.0,101.72772407531738
102.0,0.0,16.0,0.0,98.11544418334961
103.0,0.0,16.0,0.0,95.3526496887207
104.0,0.0,16.0,0.0,14.483451843261719
105.0,0.0,4.0,0.0,11.698722839355469
106.0,2.0,8.0,0.0,34.92379188537598
107.0,0.0,16.0,0.0,17.412424087524414
108.0,0.0,8.0,0.0,11.933088302612305
109.0,0.0,32.0,0.0,13.525009155273438
