query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,41.51582717895508
2.0,6.0,32.0,64.0,25.236129760742188
3.0,6.0,16.0,16.0,11.63935661315918
4.0,3.0,4.0,0.0,17.879247665405273
5.0,6.0,8.0,32.0,21.99697494506836
6.0,3.0,16.0,0.0,16.451120376586914
7.0,6.0,16.0,64.0,11.591672897338867
8.0,6.0,8.0,64.0,12.086153030395508
9.0,6.0,16.0,8.0,12.236595153808594
10.0,3.0,32.0,0.0,24.9636173248291
11.0,3.0,16.0,0.0,40.257930755615234
12.0,3.0,4.0,0.0,38.376569747924805
13.0,3.0,8.0,0.0,28.758525848388672
14.0,3.0,8.0,0.0,15.146493911743164
15.0,6.0,16.0,64.0,16.034364700317383
16.0,3.0,16.0,0.0,29.60062026977539
17.0,3.0,8.0,0.0,40.62843322753906
18.0,6.0,32.0,32.0,35.49027442932129
21.0,6.0,8.0,16.0,28.347492218017578
19.0,3.0,8.0,0.0,50.96149444580078
23.0,6.0,8.0,16.0,16.95847511291504
20.0,3.0,16.0,0.0,77.56161689758301
22.0,3.0,32.0,0.0,97.06521034240723
24.0,6.0,32.0,64.0,58.42852592468262
25.0,6.0,4.0,64.0,52.73795127868652
26.0,6.0,8.0,8.0,63.83800506591797
28.0,3.0,4.0,0.0,38.69009017944336
27.0,6.0,8.0,32.0,53.727149963378906
29.0,3.0,8.0,0.0,60.51015853881836
30.0,3.0,4.0,0.0,45.67408561706543
31.0,3.0,8.0,0.0,27.27031707763672
32.0,3.0,16.0,0.0,42.66762733459473
33.0,3.0,4.0,0.0,49.178361892700195
34.0,3.0,8.0,0.0,64.45932388305664
35.0,3.0,4.0,0.0,16.94512367248535
36.0,3.0,4.0,0.0,20.129919052124023
37.0,6.0,4.0,32.0,16.103267669677734
38.0,6.0,4.0,64.0,26.818513870239258
39.0,3.0,32.0,0.0,32.78708457946777
40.0,3.0,32.0,0.0,33.118247985839844
41.0,3.0,8.0,0.0,44.113874435424805
42.0,3.0,8.0,0.0,36.05008125305176
43.0,3.0,16.0,0.0,21.87037467956543
44.0,3.0,32.0,0.0,30.252695083618164
45.0,3.0,32.0,0.0,29.571056365966797
46.0,6.0,32.0,32.0,46.02837562561035
48.0,6.0,16.0,8.0,21.24953269958496
47.0,3.0,4.0,0.0,52.670955657958984
49.0,6.0,32.0,32.0,20.506858825683594
50.0,6.0,8.0,32.0,29.050350189208984
51.0,6.0,4.0,8.0,17.80390739440918
52.0,3.0,8.0,0.0,15.129327774047852
53.0,3.0,32.0,0.0,21.604061126708984
54.0,6.0,32.0,8.0,27.789831161499023
55.0,6.0,32.0,8.0,14.079093933105469
56.0,3.0,16.0,0.0,15.624761581420898
57.0,3.0,32.0,0.0,18.791675567626953
58.0,3.0,32.0,0.0,23.936986923217773
59.0,6.0,32.0,8.0,11.225223541259766
60.0,6.0,4.0,16.0,14.553546905517578
61.0,3.0,32.0,0.0,26.01313591003418
62.0,6.0,4.0,8.0,28.20730209350586
63.0,3.0,8.0,0.0,46.738386154174805
64.0,6.0,8.0,8.0,56.1220645904541
65.0,6.0,32.0,8.0,61.73348426818848
66.0,3.0,32.0,0.0,37.89067268371582
67.0,3.0,8.0,0.0,48.06876182556152
68.0,6.0,8.0,32.0,21.34990692138672
69.0,3.0,8.0,0.0,37.11867332458496
70.0,6.0,16.0,8.0,48.790693283081055
71.0,6.0,32.0,64.0,44.229984283447266
72.0,6.0,8.0,16.0,31.264305114746094
73.0,6.0,4.0,16.0,12.590885162353516
74.0,3.0,16.0,0.0,16.077041625976562
75.0,6.0,16.0,8.0,22.447824478149414
76.0,3.0,8.0,0.0,15.922784805297852
77.0,6.0,8.0,32.0,22.022724151611328
78.0,3.0,8.0,0.0,30.57718276977539
79.0,3.0,4.0,0.0,35.34293174743652
80.0,6.0,16.0,32.0,40.97795486450195
81.0,6.0,32.0,64.0,42.27590560913086
82.0,6.0,16.0,8.0,52.54769325256348
84.0,3.0,8.0,0.0,27.658700942993164
85.0,3.0,32.0,0.0,37.63985633850098
83.0,6.0,32.0,64.0,58.17723274230957
86.0,3.0,4.0,0.0,48.635244369506836
87.0,3.0,4.0,0.0,65.86551666259766
88.0,6.0,32.0,32.0,54.969072341918945
89.0,6.0,8.0,64.0,67.15035438537598
90.0,3.0,16.0,0.0,31.136751174926758
93.0,6.0,8.0,8.0,21.581172943115234
91.0,3.0,16.0,0.0,52.7803897857666
94.0,6.0,8.0,8.0,24.31464195251465
92.0,3.0,4.0,0.0,72.13234901428223
95.0,3.0,4.0,0.0,48.67839813232422
96.0,3.0,16.0,0.0,46.02622985839844
99.0,6.0,16.0,64.0,29.955387115478516
97.0,3.0,32.0,0.0,69.8847770690918
100.0,6.0,8.0,16.0,40.22550582885742
98.0,3.0,32.0,0.0,97.98717498779297
102.0,6.0,8.0,32.0,45.079946517944336
101.0,3.0,16.0,0.0,72.7989673614502
104.0,6.0,4.0,8.0,39.40582275390625
103.0,3.0,16.0,0.0,95.18742561340332
105.0,3.0,4.0,0.0,74.15413856506348
106.0,6.0,32.0,32.0,79.73980903625488
108.0,6.0,4.0,8.0,59.60965156555176
107.0,3.0,32.0,0.0,109.8637580871582
109.0,3.0,8.0,0.0,82.83138275146484
110.0,6.0,32.0,64.0,66.00141525268555
111.0,6.0,8.0,8.0,63.37738037109375
112.0,3.0,16.0,0.0,59.198856353759766
113.0,6.0,32.0,32.0,43.68162155151367
115.0,3.0,8.0,0.0,25.642871856689453
114.0,6.0,32.0,64.0,66.06507301330566
116.0,3.0,16.0,0.0,52.03747749328613
117.0,3.0,32.0,0.0,61.29646301269531
118.0,6.0,4.0,16.0,18.477439880371094
121.0,3.0,8.0,0.0,20.140886306762695
119.0,6.0,32.0,64.0,46.77629470825195
120.0,6.0,32.0,16.0,48.436880111694336
124.0,3.0,32.0,0.0,28.45478057861328
122.0,6.0,16.0,16.0,73.07004928588867
123.0,6.0,32.0,8.0,82.35645294189453
125.0,6.0,16.0,16.0,44.663429260253906
126.0,6.0,4.0,16.0,35.39633750915527
127.0,3.0,32.0,0.0,19.137144088745117
128.0,6.0,32.0,32.0,11.888980865478516
129.0,3.0,4.0,0.0,15.462875366210938
130.0,6.0,4.0,16.0,16.714096069335938
132.0,6.0,8.0,64.0,20.685195922851562
131.0,3.0,32.0,0.0,38.27095031738281
133.0,6.0,4.0,64.0,16.457080841064453
134.0,3.0,8.0,0.0,15.790462493896484
135.0,3.0,32.0,0.0,29.19769287109375
136.0,6.0,16.0,32.0,11.736869812011719
137.0,3.0,4.0,0.0,30.933856964111328
138.0,6.0,16.0,32.0,32.62066841125488
140.0,6.0,8.0,16.0,21.41284942626953
139.0,3.0,8.0,0.0,37.77337074279785
141.0,3.0,4.0,0.0,51.82528495788574
142.0,3.0,4.0,0.0,64.8353099822998
144.0,6.0,16.0,32.0,28.951644897460938
146.0,6.0,16.0,32.0,39.74461555480957
143.0,3.0,8.0,0.0,96.96102142333984
147.0,6.0,4.0,8.0,58.94660949707031
145.0,3.0,8.0,0.0,90.31558036804199
148.0,6.0,8.0,16.0,91.45092964172363
149.0,3.0,8.0,0.0,106.63652420043945
151.0,6.0,4.0,16.0,83.23097229003906
150.0,3.0,16.0,0.0,128.94105911254883
152.0,3.0,4.0,0.0,107.98954963684082
155.0,6.0,32.0,32.0,81.71415328979492
157.0,6.0,16.0,64.0,82.1237564086914
153,3,32,0,-1
154,3,16,0,-1
156.0,3.0,4.0,0.0,107.53464698791504
158.0,3.0,32.0,0.0,48.963069915771484
159.0,3.0,4.0,0.0,56.11848831176758
160.0,6.0,8.0,64.0,11.488914489746094
162.0,3.0,32.0,0.0,21.244049072265625
161.0,6.0,32.0,64.0,36.37194633483887
163.0,6.0,8.0,32.0,37.31703758239746
164.0,6.0,4.0,64.0,11.283397674560547
165.0,3.0,32.0,0.0,15.721559524536133
