query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,58.87722969055176
2.0,6.0,32.0,64.0,43.98632049560547
3.0,6.0,16.0,16.0,17.398357391357422
4.0,1.0,4.0,0.0,24.965763092041016
5.0,6.0,8.0,32.0,36.51094436645508
6.0,1.0,16.0,0.0,20.581722259521484
7.0,6.0,16.0,64.0,13.415336608886719
8.0,6.0,8.0,64.0,16.927242279052734
9.0,6.0,16.0,8.0,18.60332489013672
10.0,1.0,32.0,0.0,25.42400360107422
11.0,1.0,16.0,0.0,41.79024696350098
12.0,1.0,4.0,0.0,43.15543174743652
13.0,1.0,8.0,0.0,42.630672454833984
14.0,1.0,8.0,0.0,21.400928497314453
15.0,6.0,16.0,64.0,14.969348907470703
16.0,1.0,16.0,0.0,30.267953872680664
18.0,6.0,32.0,32.0,21.739959716796875
17.0,1.0,8.0,0.0,54.04829978942871
21.0,6.0,8.0,16.0,31.41641616821289
19.0,1.0,8.0,0.0,60.217857360839844
23.0,6.0,8.0,16.0,30.86996078491211
20.0,1.0,16.0,0.0,86.8382453918457
24.0,6.0,32.0,64.0,52.643537521362305
22.0,1.0,32.0,0.0,128.27610969543457
25.0,6.0,4.0,64.0,72.43156433105469
28.0,1.0,4.0,0.0,47.627925872802734
26.0,6.0,8.0,8.0,105.0269603729248
29.0,1.0,8.0,0.0,76.36451721191406
27.0,6.0,8.0,32.0,103.42693328857422
30.0,1.0,4.0,0.0,78.67550849914551
31.0,1.0,8.0,0.0,62.859296798706055
32.0,1.0,16.0,0.0,83.54377746582031
33.0,1.0,4.0,0.0,94.76208686828613
34.0,1.0,8.0,0.0,112.01214790344238
37.0,6.0,4.0,32.0,31.544923782348633
35.0,1.0,4.0,0.0,77.52084732055664
38.0,6.0,4.0,64.0,60.42957305908203
36.0,1.0,4.0,0.0,94.40422058105469
39.0,1.0,32.0,0.0,85.39986610412598
40.0,1.0,32.0,0.0,87.68844604492188
41.0,1.0,8.0,0.0,105.16166687011719
46.0,6.0,32.0,32.0,37.0936393737793
42.0,1.0,8.0,0.0,116.01781845092773
48.0,6.0,16.0,8.0,33.90049934387207
43.0,1.0,16.0,0.0,114.9299144744873
49.0,6.0,32.0,32.0,36.522865295410156
44,1,32,0,-1
50.0,6.0,8.0,32.0,47.15108871459961
45,1,32,0,-1
51.0,6.0,4.0,8.0,41.93520545959473
47.0,1.0,4.0,0.0,130.1138401031494
54.0,6.0,32.0,8.0,16.96324348449707
52.0,1.0,8.0,0.0,64.15891647338867
55.0,6.0,32.0,8.0,23.29277992248535
53.0,1.0,32.0,0.0,70.68395614624023
56.0,1.0,16.0,0.0,19.747257232666016
57.0,1.0,32.0,0.0,26.17645263671875
58.0,1.0,32.0,0.0,32.55057334899902
59.0,6.0,32.0,8.0,15.64931869506836
60.0,6.0,4.0,16.0,26.667118072509766
61.0,1.0,32.0,0.0,42.39058494567871
62.0,6.0,4.0,8.0,49.01766777038574
63.0,1.0,8.0,0.0,73.60696792602539
64.0,6.0,8.0,8.0,83.41288566589355
66.0,1.0,32.0,0.0,59.40604209899902
65.0,6.0,32.0,8.0,117.45119094848633
67.0,1.0,8.0,0.0,99.56479072570801
68.0,6.0,8.0,32.0,80.77383041381836
69.0,1.0,8.0,0.0,100.49891471862793
70.0,6.0,16.0,8.0,113.27576637268066
71.0,6.0,32.0,64.0,115.4794692993164
74.0,1.0,16.0,0.0,60.3482723236084
76.0,1.0,8.0,0.0,51.534414291381836
72,6,8,16,-1
78.0,1.0,8.0,0.0,59.17501449584961
73,6,4,16,-1
79.0,1.0,4.0,0.0,69.72026824951172
75,6,16,8,-1
77.0,6.0,8.0,32.0,106.30416870117188
84.0,1.0,8.0,0.0,45.456647872924805
80.0,6.0,16.0,32.0,112.10370063781738
85.0,1.0,32.0,0.0,78.12237739562988
86.0,1.0,4.0,0.0,82.43250846862793
81,6,32,64,-1
87.0,1.0,4.0,0.0,104.32815551757812
82,6,16,8,-1
90.0,1.0,16.0,0.0,48.526763916015625
83,6,32,64,-1
91.0,1.0,16.0,0.0,61.676740646362305
88,6,32,32,-1
92.0,1.0,4.0,0.0,74.21064376831055
89,6,8,64,-1
93.0,6.0,8.0,8.0,86.93742752075195
95.0,1.0,4.0,0.0,65.80877304077148
94.0,6.0,8.0,8.0,93.87421607971191
96.0,1.0,16.0,0.0,83.30202102661133
99.0,6.0,16.0,64.0,69.5030689239502
97.0,1.0,32.0,0.0,105.06343841552734
100.0,6.0,8.0,16.0,75.51741600036621
98,1,32,0,-1
102.0,6.0,8.0,32.0,62.865495681762695
101.0,1.0,16.0,0.0,87.50295639038086
104.0,6.0,4.0,8.0,58.199405670166016
103.0,1.0,16.0,0.0,112.21766471862793
106.0,6.0,32.0,32.0,81.99310302734375
105.0,1.0,4.0,0.0,114.09831047058105
108.0,6.0,4.0,8.0,89.33353424072266
107,1,32,0,-1
110.0,6.0,32.0,64.0,64.80860710144043
109.0,1.0,8.0,0.0,113.96479606628418
111.0,6.0,8.0,8.0,85.62731742858887
112.0,1.0,16.0,0.0,88.45710754394531
113.0,6.0,32.0,32.0,87.44335174560547
115.0,1.0,8.0,0.0,71.44355773925781
116.0,1.0,16.0,0.0,91.07232093811035
114,6,32,64,-1
118.0,6.0,4.0,16.0,40.8632755279541
117.0,1.0,32.0,0.0,128.43918800354004
119.0,6.0,32.0,64.0,82.08703994750977
121.0,1.0,8.0,0.0,92.5145149230957
120.0,6.0,32.0,16.0,109.4045639038086
124.0,1.0,32.0,0.0,97.43714332580566
127.0,1.0,32.0,0.0,49.414873123168945
122,6,16,16,-1
123,6,32,8,-1
125,6,16,16,-1
126.0,6.0,4.0,16.0,99.29680824279785
128.0,6.0,32.0,32.0,54.4741153717041
129.0,1.0,4.0,0.0,50.86231231689453
130.0,6.0,4.0,16.0,16.47663116455078
132.0,6.0,8.0,64.0,24.340152740478516
131.0,1.0,32.0,0.0,53.49302291870117
133.0,6.0,4.0,64.0,17.368793487548828
134.0,1.0,8.0,0.0,26.528120040893555
135.0,1.0,32.0,0.0,56.960105895996094
136.0,6.0,16.0,32.0,39.48402404785156
137.0,1.0,4.0,0.0,62.01934814453125
138.0,6.0,16.0,32.0,67.31224060058594
139.0,1.0,8.0,0.0,66.1916732788086
140.0,6.0,8.0,16.0,80.3227424621582
141.0,1.0,4.0,0.0,104.43806648254395
144.0,6.0,16.0,32.0,67.41714477539062
142.0,1.0,4.0,0.0,136.08074188232422
146.0,6.0,16.0,32.0,102.73599624633789
143,1,8,0,-1
147.0,6.0,4.0,8.0,108.80255699157715
145,1,8,0,-1
149,1,8,0,-1
148,6,8,16,-1
151.0,6.0,4.0,16.0,85.27636528015137
150.0,1.0,16.0,0.0,142.46678352355957
155.0,6.0,32.0,32.0,77.19659805297852
152,1,4,0,-1
157.0,6.0,16.0,64.0,79.88238334655762
153,1,32,0,-1
154,1,16,0,-1
156.0,1.0,4.0,0.0,114.06135559082031
158.0,1.0,32.0,0.0,67.71636009216309
159.0,1.0,4.0,0.0,81.80379867553711
160.0,6.0,8.0,64.0,35.7513427734375
162.0,1.0,32.0,0.0,51.8343448638916
161.0,6.0,32.0,64.0,72.42727279663086
163.0,6.0,8.0,32.0,75.36983489990234
164.0,6.0,4.0,64.0,32.75012969970703
166.0,6.0,16.0,8.0,19.624710083007812
165.0,1.0,32.0,0.0,55.87148666381836
167.0,6.0,8.0,64.0,66.88475608825684
168.0,6.0,32.0,16.0,64.76855278015137
169.0,6.0,4.0,8.0,76.53188705444336
172.0,1.0,16.0,0.0,38.7728214263916
170.0,6.0,4.0,8.0,105.1933765411377
171.0,6.0,32.0,64.0,74.51987266540527
173.0,6.0,8.0,8.0,49.58987236022949
175.0,6.0,4.0,16.0,20.461082458496094
174.0,1.0,16.0,0.0,44.06261444091797
177.0,6.0,8.0,8.0,38.7723445892334
176.0,1.0,16.0,0.0,62.19768524169922
178.0,6.0,32.0,32.0,58.56966972351074
179.0,6.0,8.0,16.0,20.89238166809082
180.0,1.0,32.0,0.0,40.60769081115723
181.0,6.0,8.0,32.0,31.101703643798828
182.0,6.0,32.0,16.0,26.942968368530273
183.0,6.0,16.0,64.0,23.41008186340332
184.0,1.0,8.0,0.0,39.426326751708984
185.0,6.0,8.0,8.0,42.94562339782715
187.0,1.0,32.0,0.0,51.5599250793457
186.0,6.0,4.0,8.0,79.12325859069824
188.0,1.0,4.0,0.0,67.31224060058594
189.0,1.0,16.0,0.0,82.56816864013672
190.0,1.0,16.0,0.0,29.816150665283203
192.0,6.0,16.0,64.0,44.49725151062012
191.0,1.0,32.0,0.0,70.46222686767578
193.0,6.0,8.0,32.0,73.99964332580566
194.0,1.0,8.0,0.0,95.25132179260254
195.0,6.0,32.0,64.0,103.92618179321289
198.0,1.0,4.0,0.0,52.588701248168945
199.0,1.0,8.0,0.0,72.01552391052246
196,6,8,16,-1
200.0,1.0,4.0,0.0,88.00172805786133
197,6,4,64,-1
201.0,6.0,16.0,64.0,83.28366279602051
205.0,1.0,16.0,0.0,62.23464012145996
202.0,6.0,32.0,64.0,97.43237495422363
206.0,1.0,32.0,0.0,96.9080924987793
207.0,1.0,32.0,0.0,123.0003833770752
203,6,32,16,-1
208.0,1.0,16.0,0.0,76.33614540100098
204,6,4,8,-1
210.0,6.0,32.0,32.0,59.914588928222656
209.0,1.0,4.0,0.0,104.48908805847168
211.0,6.0,4.0,16.0,92.24486351013184
213.0,1.0,16.0,0.0,115.31305313110352
212,6,16,16,-1
214,6,32,32,-1
215.0,6.0,8.0,8.0,109.9863052368164
216,6,4,8,-1
217.0,6.0,32.0,8.0,62.189340591430664
218.0,6.0,32.0,64.0,64.8193359375
219.0,1.0,8.0,0.0,23.421287536621094
220.0,1.0,8.0,0.0,43.83373260498047
221.0,6.0,8.0,64.0,21.93474769592285
222.0,1.0,32.0,0.0,22.88651466369629
223.0,1.0,8.0,0.0,24.97100830078125
224.0,6.0,16.0,32.0,18.19777488708496
225.0,6.0,4.0,32.0,26.14450454711914
226.0,1.0,32.0,0.0,29.973745346069336
227.0,6.0,16.0,32.0,17.866849899291992
228.0,1.0,4.0,0.0,36.422014236450195
231.0,6.0,4.0,64.0,17.29559898376465
229.0,1.0,8.0,0.0,74.28741455078125
232.0,6.0,16.0,16.0,16.977787017822266
230.0,1.0,4.0,0.0,85.99019050598145
233.0,6.0,8.0,8.0,58.818817138671875
236.0,1.0,16.0,0.0,48.241615295410156
234.0,6.0,8.0,32.0,93.70064735412598
239.0,1.0,32.0,0.0,52.82330513000488
235.0,6.0,8.0,16.0,111.45973205566406
240.0,1.0,8.0,0.0,59.468746185302734
241.0,1.0,16.0,0.0,84.26833152770996
237,6,4,16,-1
242.0,1.0,4.0,0.0,82.5355052947998
238,6,8,8,-1
244.0,6.0,4.0,16.0,61.791419982910156
243.0,1.0,16.0,0.0,101.61519050598145
246.0,6.0,4.0,32.0,66.87164306640625
245.0,1.0,32.0,0.0,115.4317855834961
248.0,6.0,32.0,8.0,72.9222297668457
247.0,1.0,8.0,0.0,115.39173126220703
250.0,6.0,8.0,32.0,79.4825553894043
249.0,1.0,8.0,0.0,106.54449462890625
251.0,6.0,16.0,8.0,82.83257484436035
254.0,1.0,8.0,0.0,66.29014015197754
252.0,6.0,4.0,16.0,102.11920738220215
259.0,1.0,16.0,0.0,71.30050659179688
262.0,1.0,8.0,0.0,51.16128921508789
253,6,4,8,-1
263.0,1.0,8.0,0.0,66.1172866821289
255,6,4,32,-1
264.0,1.0,32.0,0.0,30.933141708374023
256,6,8,64,-1
265.0,1.0,32.0,0.0,29.830217361450195
257,6,16,16,-1
266.0,1.0,4.0,0.0,34.72590446472168
258,6,32,64,-1
268.0,1.0,16.0,0.0,30.488014221191406
260,6,4,64,-1
261,6,8,16,-1
