query_id,model_id,bs,seq_len,latency
1.0,3.0,32.0,0.0,66.37096405029297
2.0,1.0,32.0,0.0,68.56465339660645
3.0,3.0,16.0,0.0,87.08405494689941
5.0,1.0,4.0,0.0,50.02307891845703
4.0,3.0,8.0,0.0,75.51884651184082
6.0,3.0,8.0,0.0,77.99029350280762
7.0,3.0,4.0,0.0,19.71268653869629
8.0,3.0,4.0,0.0,33.75244140625
9.0,3.0,8.0,0.0,39.041996002197266
10.0,3.0,16.0,0.0,45.95613479614258
11.0,1.0,4.0,0.0,55.130958557128906
12.0,1.0,32.0,0.0,44.05832290649414
13.0,1.0,16.0,0.0,38.286447525024414
14.0,1.0,4.0,0.0,37.78338432312012
15.0,1.0,8.0,0.0,29.611587524414062
16.0,1.0,8.0,0.0,16.90840721130371
17.0,3.0,16.0,0.0,16.05844497680664
18.0,3.0,16.0,0.0,30.501365661621094
19.0,1.0,8.0,0.0,44.27194595336914
20.0,3.0,32.0,0.0,48.226118087768555
21.0,3.0,16.0,0.0,54.630279541015625
22.0,1.0,8.0,0.0,53.724050521850586
24.0,3.0,8.0,0.0,48.64144325256348
23.0,1.0,16.0,0.0,84.68961715698242
26.0,3.0,16.0,0.0,29.8922061920166
25.0,1.0,4.0,0.0,98.13165664672852
27.0,1.0,32.0,0.0,28.20587158203125
28.0,3.0,16.0,0.0,15.916585922241211
29.0,1.0,4.0,0.0,21.312713623046875
30.0,3.0,16.0,0.0,29.79874610900879
31.0,1.0,16.0,0.0,28.975963592529297
32.0,1.0,16.0,0.0,41.63789749145508
33.0,1.0,4.0,0.0,35.11929512023926
34.0,1.0,8.0,0.0,44.75712776184082
35.0,1.0,4.0,0.0,32.12785720825195
36.0,1.0,8.0,0.0,16.672611236572266
37.0,1.0,16.0,0.0,32.18865394592285
38.0,1.0,4.0,0.0,40.97247123718262
39.0,1.0,8.0,0.0,57.60645866394043
40.0,1.0,4.0,0.0,21.76666259765625
41.0,1.0,4.0,0.0,27.402162551879883
42.0,3.0,4.0,0.0,28.233766555786133
44.0,1.0,4.0,0.0,41.57829284667969
43.0,3.0,8.0,0.0,69.16332244873047
45.0,1.0,32.0,0.0,62.3326301574707
46.0,1.0,32.0,0.0,56.848764419555664
47.0,1.0,8.0,0.0,68.57419013977051
48.0,1.0,8.0,0.0,62.941789627075195
52.0,3.0,32.0,0.0,30.576229095458984
49.0,1.0,16.0,0.0,73.95482063293457
53.0,3.0,4.0,0.0,45.1202392578125
50.0,1.0,32.0,0.0,101.27401351928711
54.0,3.0,16.0,0.0,81.90250396728516
51.0,1.0,32.0,0.0,123.30174446105957
57.0,3.0,16.0,0.0,44.04568672180176
55.0,1.0,8.0,0.0,104.98929023742676
59.0,3.0,4.0,0.0,39.43157196044922
56.0,1.0,32.0,0.0,136.60502433776855
62.0,3.0,32.0,0.0,28.178691864013672
58.0,1.0,32.0,0.0,136.87419891357422
65.0,3.0,32.0,0.0,39.85881805419922
60.0,1.0,16.0,0.0,122.55311012268066
66.0,3.0,4.0,0.0,57.68632888793945
61,1,32,0,-1
63.0,1.0,32.0,0.0,117.54107475280762
68.0,3.0,32.0,0.0,35.2480411529541
64,1,4,0,-1
67.0,1.0,16.0,0.0,74.65791702270508
69.0,1.0,4.0,0.0,77.83341407775879
70.0,1.0,32.0,0.0,79.8189640045166
71.0,3.0,8.0,0.0,16.61205291748047
72.0,1.0,4.0,0.0,30.259132385253906
74.0,3.0,8.0,0.0,17.221927642822266
73.0,1.0,8.0,0.0,37.719011306762695
75.0,1.0,32.0,0.0,44.141530990600586
76.0,1.0,32.0,0.0,50.52685737609863
78.0,3.0,8.0,0.0,34.056663513183594
77.0,1.0,8.0,0.0,98.6635684967041
79.0,3.0,4.0,0.0,73.7006664276123
80.0,1.0,16.0,0.0,51.479339599609375
81.0,3.0,4.0,0.0,63.948631286621094
82.0,3.0,32.0,0.0,33.557891845703125
83.0,3.0,8.0,0.0,27.9233455657959
86.0,3.0,16.0,0.0,24.549245834350586
84.0,1.0,16.0,0.0,53.56478691101074
89.0,3.0,8.0,0.0,45.10378837585449
85.0,1.0,16.0,0.0,89.0054702758789
90.0,3.0,8.0,0.0,76.07412338256836
87.0,1.0,4.0,0.0,116.50562286376953
92.0,3.0,16.0,0.0,99.35474395751953
88,1,8,0,-1
93.0,3.0,4.0,0.0,106.99701309204102
91,1,4,0,-1
94.0,3.0,16.0,0.0,118.14713478088379
95.0,1.0,32.0,0.0,121.33431434631348
97,1,32,0,-1
96,3,16,0,-1
100.0,3.0,32.0,0.0,49.01766777038574
98.0,1.0,4.0,0.0,99.58887100219727
101.0,3.0,32.0,0.0,91.59994125366211
99.0,1.0,4.0,0.0,136.19017601013184
102.0,1.0,16.0,0.0,113.96098136901855
106.0,3.0,8.0,0.0,26.347875595092773
103,1,16,0,-1
104.0,1.0,16.0,0.0,58.10713768005371
105.0,1.0,4.0,0.0,65.72413444519043
107.0,1.0,16.0,0.0,53.675174713134766
110.0,3.0,8.0,0.0,35.645484924316406
108.0,1.0,8.0,0.0,74.49746131896973
109.0,1.0,32.0,0.0,71.9606876373291
111.0,1.0,32.0,0.0,78.3843994140625
112.0,1.0,32.0,0.0,21.492481231689453
113.0,3.0,16.0,0.0,26.20840072631836
114.0,3.0,8.0,0.0,19.31595802307129
115.0,1.0,16.0,0.0,17.024993896484375
116.0,3.0,8.0,0.0,43.260812759399414
117.0,3.0,8.0,0.0,60.82010269165039
119.0,1.0,4.0,0.0,40.894508361816406
118.0,3.0,32.0,0.0,78.6139965057373
120.0,1.0,4.0,0.0,44.85797882080078
121.0,3.0,32.0,0.0,55.80472946166992
122.0,3.0,8.0,0.0,71.78473472595215
123.0,3.0,32.0,0.0,48.86436462402344
124.0,1.0,4.0,0.0,17.200231552124023
125.0,3.0,8.0,0.0,24.751663208007812
126.0,3.0,32.0,0.0,20.349740982055664
127.0,3.0,32.0,0.0,31.5704345703125
128.0,1.0,4.0,0.0,21.407365798950195
129.0,1.0,16.0,0.0,17.105817794799805
