query_id,model_id,bs,seq_len,latency
2.0,0.0,32.0,0.0,24.523258209228516
1.0,2.0,32.0,0.0,90.60502052307129
3.0,2.0,16.0,0.0,82.7333927154541
5.0,0.0,4.0,0.0,37.043094635009766
4.0,2.0,8.0,0.0,76.96962356567383
6.0,2.0,8.0,0.0,87.67580986022949
7.0,2.0,4.0,0.0,27.063369750976562
8.0,2.0,4.0,0.0,50.90165138244629
11.0,0.0,4.0,0.0,27.54521369934082
9.0,2.0,8.0,0.0,74.79000091552734
12.0,0.0,32.0,0.0,33.21075439453125
10.0,2.0,16.0,0.0,101.28355026245117
13.0,0.0,16.0,0.0,49.14069175720215
14.0,0.0,4.0,0.0,40.3752326965332
15.0,0.0,8.0,0.0,24.52826499938965
16.0,0.0,8.0,0.0,9.921789169311523
17.0,2.0,16.0,0.0,24.5358943939209
19.0,0.0,8.0,0.0,30.06577491760254
18.0,2.0,16.0,0.0,55.92918395996094
22.0,0.0,8.0,0.0,17.459630966186523
20.0,2.0,32.0,0.0,71.00129127502441
23.0,0.0,16.0,0.0,49.968719482421875
21.0,2.0,16.0,0.0,96.17972373962402
25.0,0.0,4.0,0.0,64.18538093566895
24.0,2.0,8.0,0.0,90.28935432434082
27.0,0.0,32.0,0.0,15.49530029296875
26.0,2.0,16.0,0.0,80.5819034576416
28.0,2.0,16.0,0.0,31.6770076751709
29.0,0.0,4.0,0.0,31.06546401977539
30.0,2.0,16.0,0.0,47.97720909118652
31.0,0.0,16.0,0.0,41.198015213012695
32.0,0.0,16.0,0.0,53.903818130493164
33.0,0.0,4.0,0.0,40.01879692077637
34.0,0.0,8.0,0.0,44.27814483642578
35.0,0.0,4.0,0.0,31.12506866455078
36.0,0.0,8.0,0.0,11.313438415527344
37.0,0.0,16.0,0.0,24.523496627807617
38.0,0.0,4.0,0.0,31.466245651245117
39.0,0.0,8.0,0.0,41.094064712524414
40.0,0.0,4.0,0.0,15.132665634155273
41.0,0.0,4.0,0.0,15.466928482055664
42.0,2.0,4.0,0.0,28.568506240844727
44.0,0.0,4.0,0.0,29.927730560302734
43.0,2.0,8.0,0.0,64.02420997619629
45.0,0.0,32.0,0.0,56.42342567443848
46.0,0.0,32.0,0.0,45.43900489807129
47.0,0.0,8.0,0.0,48.97117614746094
48.0,0.0,8.0,0.0,35.199880599975586
49.0,0.0,16.0,0.0,14.204263687133789
50.0,0.0,32.0,0.0,17.20428466796875
51.0,0.0,32.0,0.0,11.707067489624023
52.0,2.0,32.0,0.0,37.80961036682129
53.0,2.0,4.0,0.0,42.93656349182129
55.0,0.0,8.0,0.0,32.90367126464844
54.0,2.0,16.0,0.0,87.08333969116211
56.0,0.0,32.0,0.0,62.15214729309082
57.0,2.0,16.0,0.0,62.11972236633301
58.0,0.0,32.0,0.0,56.496620178222656
59.0,2.0,4.0,0.0,55.47142028808594
60.0,0.0,16.0,0.0,37.081003189086914
61.0,0.0,32.0,0.0,30.527591705322266
62.0,2.0,32.0,0.0,48.84529113769531
63.0,0.0,32.0,0.0,35.88557243347168
65.0,2.0,32.0,0.0,45.096635818481445
64.0,0.0,4.0,0.0,60.96053123474121
66.0,2.0,4.0,0.0,61.81025505065918
67.0,0.0,16.0,0.0,26.47566795349121
68.0,2.0,32.0,0.0,37.270545959472656
69.0,0.0,4.0,0.0,46.45586013793945
70.0,0.0,32.0,0.0,49.590110778808594
71.0,2.0,8.0,0.0,25.345563888549805
72.0,0.0,4.0,0.0,31.79788589477539
73.0,0.0,8.0,0.0,20.520925521850586
74.0,2.0,8.0,0.0,44.62146759033203
75.0,0.0,32.0,0.0,55.519819259643555
76.0,0.0,32.0,0.0,54.184913635253906
78.0,2.0,8.0,0.0,37.209272384643555
77.0,0.0,8.0,0.0,88.85931968688965
79.0,2.0,4.0,0.0,70.33872604370117
80.0,0.0,16.0,0.0,45.31431198120117
81.0,2.0,4.0,0.0,64.46313858032227
82.0,2.0,32.0,0.0,34.88016128540039
84.0,0.0,16.0,0.0,11.887550354003906
83.0,2.0,8.0,0.0,46.689748764038086
85.0,0.0,16.0,0.0,40.47417640686035
86.0,2.0,16.0,0.0,60.74023246765137
87.0,0.0,4.0,0.0,67.35968589782715
