query_id,model_id,bs,seq_len,latency
1.0,6.0,32.0,8.0,58.153390884399414
2.0,6.0,32.0,64.0,43.13087463378906
3.0,6.0,16.0,16.0,18.65243911743164
4.0,5.0,4.0,0.0,10.52093505859375
5.0,6.0,8.0,32.0,15.938758850097656
6.0,5.0,16.0,0.0,15.871047973632812
7.0,6.0,16.0,64.0,19.032955169677734
8.0,6.0,8.0,64.0,14.971017837524414
9.0,6.0,16.0,8.0,14.481544494628906
10.0,5.0,32.0,0.0,26.070356369018555
11.0,5.0,16.0,0.0,38.68865966796875
12.0,5.0,4.0,0.0,26.334047317504883
13.0,5.0,8.0,0.0,9.51528549194336
14.0,5.0,8.0,0.0,8.677959442138672
15.0,6.0,16.0,64.0,16.25347137451172
16.0,5.0,16.0,0.0,28.171777725219727
17.0,5.0,8.0,0.0,31.17537498474121
18.0,6.0,32.0,32.0,26.47995948791504
21.0,6.0,8.0,16.0,19.933700561523438
19.0,5.0,8.0,0.0,35.457611083984375
20.0,5.0,16.0,0.0,43.25604438781738
23.0,6.0,8.0,16.0,17.388343811035156
22.0,5.0,32.0,0.0,79.54072952270508
24.0,6.0,32.0,64.0,39.85857963562012
25.0,6.0,4.0,64.0,34.50894355773926
26.0,6.0,8.0,8.0,48.612356185913086
27.0,6.0,8.0,32.0,25.47764778137207
28.0,5.0,4.0,0.0,27.151107788085938
29.0,5.0,8.0,0.0,26.98659896850586
30.0,5.0,4.0,0.0,6.799459457397461
31.0,5.0,8.0,0.0,6.747007369995117
32.0,5.0,16.0,0.0,15.134811401367188
33.0,5.0,4.0,0.0,11.698246002197266
34.0,5.0,8.0,0.0,18.658876419067383
35.0,5.0,4.0,0.0,4.590749740600586
36.0,5.0,4.0,0.0,4.762887954711914
37.0,6.0,4.0,32.0,14.889240264892578
38.0,6.0,4.0,64.0,25.178194046020508
39.0,5.0,32.0,0.0,33.02574157714844
40.0,5.0,32.0,0.0,36.040306091308594
41.0,5.0,8.0,0.0,37.119388580322266
42.0,5.0,8.0,0.0,20.473241806030273
43.0,5.0,16.0,0.0,12.372732162475586
44.0,5.0,32.0,0.0,25.006532669067383
46.0,6.0,32.0,32.0,19.840717315673828
45.0,5.0,32.0,0.0,39.78228569030762
48.0,6.0,16.0,8.0,14.943838119506836
47.0,5.0,4.0,0.0,35.67218780517578
49.0,6.0,32.0,32.0,15.573501586914062
50.0,6.0,8.0,32.0,24.22332763671875
51.0,6.0,4.0,8.0,15.912055969238281
52.0,5.0,8.0,0.0,5.923032760620117
53.0,5.0,32.0,0.0,16.347408294677734
54.0,6.0,32.0,8.0,27.87041664123535
55.0,6.0,32.0,8.0,17.945528030395508
56.0,5.0,16.0,0.0,9.308815002441406
57.0,5.0,32.0,0.0,17.237424850463867
58.0,5.0,32.0,0.0,22.12238311767578
59.0,6.0,32.0,8.0,12.249231338500977
60.0,6.0,4.0,16.0,17.9595947265625
61.0,5.0,32.0,0.0,29.440879821777344
62.0,6.0,4.0,8.0,39.66879844665527
63.0,5.0,8.0,0.0,44.23069953918457
64.0,6.0,8.0,8.0,52.93726921081543
65.0,6.0,32.0,8.0,59.99612808227539
66.0,5.0,32.0,0.0,36.51738166809082
67.0,5.0,8.0,0.0,36.12065315246582
68.0,6.0,8.0,32.0,16.764402389526367
70.0,6.0,16.0,8.0,28.162002563476562
69.0,5.0,8.0,0.0,34.14654731750488
71.0,6.0,32.0,64.0,30.730247497558594
72.0,6.0,8.0,16.0,18.60976219177246
73.0,6.0,4.0,16.0,13.982295989990234
74.0,5.0,16.0,0.0,9.5367431640625
75.0,6.0,16.0,8.0,15.552043914794922
76.0,5.0,8.0,0.0,6.110191345214844
77.0,6.0,8.0,32.0,12.474298477172852
78.0,5.0,8.0,0.0,9.372949600219727
79.0,5.0,4.0,0.0,9.042024612426758
80.0,6.0,16.0,32.0,16.440868377685547
81.0,6.0,32.0,64.0,19.709110260009766
82.0,6.0,16.0,8.0,32.21535682678223
83.0,6.0,32.0,64.0,13.847827911376953
84.0,5.0,8.0,0.0,17.13705062866211
85.0,5.0,32.0,0.0,26.105642318725586
86.0,5.0,4.0,0.0,10.277032852172852
87.0,5.0,4.0,0.0,12.608528137207031
88.0,6.0,32.0,32.0,15.772104263305664
89.0,6.0,8.0,64.0,30.99656105041504
90.0,5.0,16.0,0.0,9.263992309570312
91.0,5.0,16.0,0.0,9.304285049438477
92.0,5.0,4.0,0.0,4.9114227294921875
93.0,6.0,8.0,8.0,18.993377685546875
94.0,6.0,8.0,8.0,13.69333267211914
95.0,5.0,4.0,0.0,7.215261459350586
96.0,5.0,16.0,0.0,9.265422821044922
97.0,5.0,32.0,0.0,16.196727752685547
98.0,5.0,32.0,0.0,30.00783920288086
99.0,6.0,16.0,64.0,25.83026885986328
100.0,6.0,8.0,16.0,21.1946964263916
101.0,5.0,16.0,0.0,10.665178298950195
102.0,6.0,8.0,32.0,19.43063735961914
103.0,5.0,16.0,0.0,26.953697204589844
104.0,6.0,4.0,8.0,13.049602508544922
105.0,5.0,4.0,0.0,19.42729949951172
106.0,6.0,32.0,32.0,29.183387756347656
107.0,5.0,32.0,0.0,45.28498649597168
108.0,6.0,4.0,8.0,26.2453556060791
109.0,5.0,8.0,0.0,18.63694190979004
110.0,6.0,32.0,64.0,13.334035873413086
111.0,6.0,8.0,8.0,13.524770736694336
112.0,5.0,16.0,0.0,9.74273681640625
113.0,6.0,32.0,32.0,14.287471771240234
114.0,6.0,32.0,64.0,17.972230911254883
115.0,5.0,8.0,0.0,6.563901901245117
116.0,5.0,16.0,0.0,12.137651443481445
117.0,5.0,32.0,0.0,21.016359329223633
118.0,6.0,4.0,16.0,18.119335174560547
121.0,5.0,8.0,0.0,9.346961975097656
119.0,6.0,32.0,64.0,37.937164306640625
120.0,6.0,32.0,16.0,41.153669357299805
122.0,6.0,16.0,16.0,53.47895622253418
124.0,5.0,32.0,0.0,35.82119941711426
123.0,6.0,32.0,8.0,79.90860939025879
125.0,6.0,16.0,16.0,43.90454292297363
126.0,6.0,4.0,16.0,36.321401596069336
127.0,5.0,32.0,0.0,21.009206771850586
128.0,6.0,32.0,32.0,13.546228408813477
129.0,5.0,4.0,0.0,5.383968353271484
130.0,6.0,4.0,16.0,19.902944564819336
132.0,6.0,8.0,64.0,27.802467346191406
131.0,5.0,32.0,0.0,45.342206954956055
133.0,6.0,4.0,64.0,17.560243606567383
134.0,5.0,8.0,0.0,8.578300476074219
135.0,5.0,32.0,0.0,22.440433502197266
137.0,5.0,4.0,0.0,13.547182083129883
136.0,6.0,16.0,32.0,29.962539672851562
138.0,6.0,16.0,32.0,34.95144844055176
140.0,6.0,8.0,16.0,26.59916877746582
139.0,5.0,8.0,0.0,32.132625579833984
141.0,5.0,4.0,0.0,38.022518157958984
142.0,5.0,4.0,0.0,38.81406784057617
143.0,5.0,8.0,0.0,37.48130798339844
144.0,6.0,16.0,32.0,13.19575309753418
145.0,5.0,8.0,0.0,17.353296279907227
146.0,6.0,16.0,32.0,35.134077072143555
147.0,6.0,4.0,8.0,40.875911712646484
149.0,5.0,8.0,0.0,37.78481483459473
148.0,6.0,8.0,16.0,62.17384338378906
150.0,5.0,16.0,0.0,59.35859680175781
151.0,6.0,4.0,16.0,47.67131805419922
152.0,5.0,4.0,0.0,44.09503936767578
155.0,6.0,32.0,32.0,21.092891693115234
153.0,5.0,32.0,0.0,65.54174423217773
154.0,5.0,16.0,0.0,65.69838523864746
157.0,6.0,16.0,64.0,47.99699783325195
156.0,5.0,4.0,0.0,63.631534576416016
158.0,5.0,32.0,0.0,16.862869262695312
159.0,5.0,4.0,0.0,11.864423751831055
160.0,6.0,8.0,64.0,17.58551597595215
161.0,6.0,32.0,64.0,32.83882141113281
162.0,5.0,32.0,0.0,44.9221134185791
163.0,6.0,8.0,32.0,55.28688430786133
164.0,6.0,4.0,64.0,13.883829116821289
165.0,5.0,32.0,0.0,17.640352249145508
166.0,6.0,16.0,8.0,31.714200973510742
167.0,6.0,8.0,64.0,45.82858085632324
168.0,6.0,32.0,16.0,46.83423042297363
169.0,6.0,4.0,8.0,58.698177337646484
170.0,6.0,4.0,8.0,68.07732582092285
172.0,5.0,16.0,0.0,26.341915130615234
171.0,6.0,32.0,64.0,50.30465126037598
173.0,6.0,8.0,8.0,26.928424835205078
174.0,5.0,16.0,0.0,10.127544403076172
175.0,6.0,4.0,16.0,21.819114685058594
177.0,6.0,8.0,8.0,23.97918701171875
176.0,5.0,16.0,0.0,34.82389450073242
178.0,6.0,32.0,32.0,33.869266510009766
179.0,6.0,8.0,16.0,13.010025024414062
180.0,5.0,32.0,0.0,18.799304962158203
181.0,6.0,8.0,32.0,18.123865127563477
182.0,6.0,32.0,16.0,13.798713684082031
183.0,6.0,16.0,64.0,18.73040199279785
184.0,5.0,8.0,0.0,11.951684951782227
185.0,6.0,8.0,8.0,13.916015625
186.0,6.0,4.0,8.0,31.445026397705078
187.0,5.0,32.0,0.0,36.95058822631836
188.0,5.0,4.0,0.0,18.616914749145508
189.0,5.0,16.0,0.0,20.0347900390625
190.0,5.0,16.0,0.0,10.68568229675293
192.0,6.0,16.0,64.0,18.343448638916016
191.0,5.0,32.0,0.0,38.35582733154297
193.0,6.0,8.0,32.0,41.26477241516113
194.0,5.0,8.0,0.0,44.17586326599121
195.0,6.0,32.0,64.0,55.65214157104492
196.0,6.0,8.0,16.0,63.6751651763916
197.0,6.0,4.0,64.0,69.0450668334961
198.0,5.0,4.0,0.0,18.86725425720215
199.0,5.0,8.0,0.0,20.353317260742188
200.0,5.0,4.0,0.0,16.38650894165039
201.0,6.0,16.0,64.0,17.352581024169922
202.0,6.0,32.0,64.0,15.267133712768555
205.0,5.0,16.0,0.0,13.431310653686523
203.0,6.0,32.0,16.0,40.307044982910156
204.0,6.0,4.0,8.0,48.57444763183594
206.0,5.0,32.0,0.0,51.32913589477539
207.0,5.0,32.0,0.0,67.20304489135742
208.0,5.0,16.0,0.0,11.313199996948242
209.0,5.0,4.0,0.0,5.619049072265625
210.0,6.0,32.0,32.0,13.318538665771484
211.0,6.0,4.0,16.0,18.92566680908203
213.0,5.0,16.0,0.0,26.48305892944336
212.0,6.0,16.0,16.0,43.32470893859863
214.0,6.0,32.0,32.0,50.98366737365723
215.0,6.0,8.0,8.0,52.611589431762695
216.0,6.0,4.0,8.0,62.48831748962402
217.0,6.0,32.0,8.0,22.924423217773438
218.0,6.0,32.0,64.0,22.265911102294922
219.0,5.0,8.0,0.0,6.328582763671875
220.0,5.0,8.0,0.0,10.336875915527344
221.0,6.0,8.0,64.0,14.147281646728516
222.0,5.0,32.0,0.0,17.737865447998047
223.0,5.0,8.0,0.0,6.612300872802734
224.0,6.0,16.0,32.0,16.475915908813477
225.0,6.0,4.0,32.0,24.740934371948242
226.0,5.0,32.0,0.0,17.322540283203125
227.0,6.0,16.0,32.0,15.538215637207031
228.0,5.0,4.0,0.0,6.13093376159668
229.0,5.0,8.0,0.0,13.10873031616211
230.0,5.0,4.0,0.0,6.1321258544921875
231.0,6.0,4.0,64.0,13.759851455688477
232.0,6.0,16.0,16.0,12.816905975341797
233.0,6.0,8.0,8.0,27.37879753112793
234.0,6.0,8.0,32.0,36.76247596740723
235.0,6.0,8.0,16.0,29.19793128967285
236.0,5.0,16.0,0.0,31.74734115600586
237.0,6.0,4.0,16.0,30.126094818115234
238.0,6.0,8.0,8.0,30.849218368530273
239.0,5.0,32.0,0.0,43.95008087158203
240.0,5.0,8.0,0.0,21.44026756286621
241.0,5.0,16.0,0.0,26.3521671295166
242.0,5.0,4.0,0.0,5.295515060424805
243.0,5.0,16.0,0.0,9.865999221801758
244.0,6.0,4.0,16.0,14.310836791992188
245.0,5.0,32.0,0.0,19.43683624267578
246.0,6.0,4.0,32.0,18.029451370239258
247.0,5.0,8.0,0.0,8.837223052978516
248.0,6.0,32.0,8.0,15.198469161987305
249.0,5.0,8.0,0.0,6.567239761352539
250.0,6.0,8.0,32.0,21.674633026123047
251.0,6.0,16.0,8.0,18.045663833618164
252.0,6.0,4.0,16.0,17.08507537841797
253.0,6.0,4.0,8.0,15.691280364990234
255.0,6.0,4.0,32.0,31.21352195739746
254.0,5.0,8.0,0.0,37.44101524353027
256.0,6.0,8.0,64.0,50.849199295043945
259.0,5.0,16.0,0.0,27.23073959350586
257.0,6.0,16.0,16.0,74.94425773620605
262.0,5.0,8.0,0.0,10.102272033691406
258.0,6.0,32.0,64.0,93.79863739013672
260.0,6.0,4.0,64.0,72.3412036895752
263.0,5.0,8.0,0.0,36.8955135345459
261.0,6.0,8.0,16.0,62.82520294189453
264.0,5.0,32.0,0.0,17.879009246826172
265.0,5.0,32.0,0.0,17.602205276489258
266.0,5.0,4.0,0.0,4.860877990722656
267.0,6.0,32.0,8.0,18.159866333007812
268.0,5.0,16.0,0.0,19.594192504882812
269.0,6.0,32.0,16.0,17.877578735351562
270.0,6.0,32.0,32.0,19.570350646972656
271.0,6.0,32.0,8.0,30.127286911010742
272.0,6.0,16.0,64.0,16.15619659423828
273.0,5.0,16.0,0.0,11.362314224243164
274.0,5.0,4.0,0.0,5.297183990478516
275.0,6.0,4.0,8.0,16.682147979736328
276.0,6.0,4.0,32.0,21.920204162597656
277.0,6.0,8.0,32.0,16.9525146484375
278.0,6.0,16.0,16.0,19.918441772460938
279.0,5.0,16.0,0.0,10.175228118896484
280.0,5.0,16.0,0.0,10.009527206420898
281.0,5.0,8.0,0.0,6.423234939575195
282.0,6.0,4.0,8.0,17.52161979675293
283.0,5.0,16.0,0.0,9.950399398803711
284.0,6.0,16.0,64.0,15.495777130126953
285.0,6.0,8.0,8.0,17.658710479736328
