model_id,bs,seq_len,search_times,latency
2,8,0,0,49.616098403930664
1,16,0,0,-1
2,4,0,0,-1
2,2,0,0,-1
1,1,0,0,-1
2,16,0,0,-1
1,1,0,0,35.58206558227539
2,1,0,0,-1
2,16,0,0,-1
1,8,0,0,35.36033630371094
2,4,0,0,41.38636589050293
1,16,0,0,26.116132736206055
1,8,0,0,24.159908294677734
1,4,0,0,-1
1,1,0,0,30.971050262451172
1,2,0,0,31.589746475219727
1,2,0,0,29.883384704589844
2,4,0,0,51.497459411621094
2,16,0,0,-1
2,16,0,0,-1
2,16,0,0,59.60392951965332
1,16,0,0,-1
2,16,0,0,44.60453987121582
2,2,0,0,-1
2,2,0,0,-1
1,4,0,0,-1
2,2,0,0,-1
1,1,0,0,-1
2,16,0,0,43.795108795166016
2,2,0,0,-1
1,16,0,0,30.028343200683594
2,8,0,0,54.78811264038086
2,4,0,0,-1
1,1,0,0,-1
2,4,0,0,-1
1,4,0,0,-1
1,4,0,0,32.601356506347656
1,1,0,0,38.46001625061035
1,2,0,0,56.54025077819824
1,16,0,0,-1
1,2,0,0,29.705286026000977
1,4,0,0,54.11124229431152
1,1,0,0,-1
1,2,0,0,-1
1,1,0,0,30.716657638549805
1,16,0,0,40.89832305908203
1,1,0,0,51.82242393493652
1,4,0,0,62.00981140136719
2,1,0,0,66.4825439453125
2,1,0,0,-1
2,4,0,0,-1
2,16,0,0,-1
1,2,0,6,54.94379997253418
1,2,0,0,-1
1,4,0,0,25.923967361450195
1,8,0,0,-1
1,8,0,0,26.731014251708984
2,8,0,0,62.49403953552246
2,1,0,0,-1
2,4,0,0,-1
1,2,0,0,41.99528694152832
1,8,0,0,49.83782768249512
2,4,0,0,-1
1,8,0,0,32.01460838317871
2,1,0,0,57.306766510009766
1,4,0,0,-1
1,8,0,0,32.53793716430664
2,16,0,0,61.97404861450195
2,16,0,0,-1
2,1,0,0,-1
1,4,0,0,40.528297424316406
1,8,0,0,52.28829383850098
1,8,0,0,-1
2,8,0,0,35.958290100097656
1,8,0,0,-1
1,1,0,0,27.744770050048828
1,8,0,0,36.28110885620117
2,2,0,0,53.435325622558594
1,1,0,0,-1
1,16,0,0,47.27745056152344
1,4,0,0,-1
1,8,0,0,27.68850326538086
1,8,0,0,-1
1,2,0,0,52.995920181274414
2,2,0,0,-1
2,1,0,0,59.905052185058594
1,4,0,0,-1
2,16,0,0,-1
1,16,0,0,26.691913604736328
2,8,0,0,39.794921875
2,16,0,0,-1
1,16,0,0,-1
2,2,0,0,-1
2,4,0,0,-1
1,16,0,0,-1
1,2,0,0,30.306577682495117
1,4,0,0,-1
2,16,0,0,41.78190231323242
1,8,0,0,-1
1,4,0,0,54.19921875
1,1,0,0,27.187347412109375
2,4,0,0,41.58282279968262
2,1,0,0,-1
2,4,0,0,-1
1,8,0,0,-1
2,4,0,0,-1
1,16,0,0,-1
2,1,0,0,48.21062088012695
1,2,0,0,-1
1,1,0,0,34.528255462646484
