model_id,bs,seq_len,search_times,latency
2,8,0,0,47.18017578125
1,16,0,0,-1
2,4,0,0,-1
2,2,0,0,-1
1,1,0,0,-1
2,16,0,0,-1
1,1,0,0,37.73355484008789
2,1,0,0,-1
2,16,0,0,-1
1,8,0,0,42.31524467468262
2,4,0,0,49.03459548950195
1,16,0,0,-1
1,8,0,0,32.63211250305176
1,4,0,0,-1
1,1,0,0,39.68310356140137
1,2,0,0,40.160179138183594
1,2,0,0,30.295133590698242
2,4,0,0,42.40894317626953
2,16,0,0,-1
2,16,0,0,-1
2,16,0,0,59.179067611694336
1,16,0,0,-1
2,16,0,0,40.92907905578613
2,2,0,0,-1
2,2,0,0,-1
1,4,0,0,-1
2,2,0,0,-1
1,1,0,0,-1
2,16,0,0,40.3902530670166
2,2,0,0,-1
1,16,0,0,35.62736511230469
2,8,0,0,48.54583740234375
2,4,0,0,-1
1,1,0,0,-1
2,4,0,0,-1
1,4,0,0,33.52165222167969
1,4,0,0,-1
1,1,0,0,32.11545944213867
1,2,0,0,-1
1,16,0,0,23.91982078552246
1,2,0,0,30.271530151367188
1,4,0,0,54.76522445678711
1,1,0,0,-1
1,2,0,0,-1
1,1,0,0,30.971050262451172
1,16,0,0,41.837215423583984
1,1,0,0,52.94466018676758
1,4,0,0,56.07318878173828
2,1,0,0,65.01293182373047
2,1,0,0,-1
2,4,0,0,-1
2,16,0,0,-1
1,2,0,6,51.77712440490723
1,2,0,0,-1
1,4,0,0,25.71272850036621
1,8,0,0,-1
1,8,0,0,24.532079696655273
2,8,0,0,69.28730010986328
2,1,0,0,-1
2,4,0,0,-1
1,2,0,0,54.557085037231445
1,8,0,0,62.72435188293457
2,4,0,0,-1
1,8,0,0,40.51399230957031
2,1,0,0,-1
1,4,0,0,28.739452362060547
1,8,0,0,50.17495155334473
2,16,0,0,65.25850296020508
2,16,0,0,-1
2,1,0,0,-1
1,4,0,0,47.72233963012695
1,8,0,0,62.35527992248535
1,8,0,0,-1
2,8,0,0,50.82869529724121
1,8,0,0,72.52216339111328
1,1,0,0,66.27631187438965
1,8,0,0,-1
2,2,0,0,45.61018943786621
1,1,0,0,-1
1,16,0,0,44.35014724731445
1,4,0,0,65.93012809753418
1,8,0,0,-1
1,8,0,0,48.07710647583008
1,2,0,0,-1
2,2,0,0,52.698373794555664
2,1,0,0,-1
1,4,0,0,-1
2,16,0,0,46.24629020690918
1,16,0,0,29.928207397460938
2,8,0,0,56.1976432800293
2,16,0,0,-1
1,16,0,0,-1
2,2,0,0,-1
2,4,0,0,-1
1,16,0,0,-1
1,2,0,0,51.35393142700195
1,4,0,0,-1
2,16,0,0,40.71664810180664
1,8,0,0,-1
1,4,0,0,53.52663993835449
1,1,0,0,29.83880043029785
2,4,0,0,59.93938446044922
2,1,0,0,-1
2,4,0,0,-1
1,8,0,0,-1
2,4,0,0,-1
1,16,0,0,-1
2,1,0,0,46.48160934448242
1,2,0,0,-1
1,1,0,0,30.786752700805664
1,16,0,0,-1
2,8,0,0,-1
1,4,0,0,44.03805732727051
1,4,0,0,57.86323547363281
1,4,0,0,31.519412994384766
1,1,0,0,-1
2,2,0,0,-1
1,4,0,0,28.761625289916992
1,2,0,0,42.018890380859375
1,8,0,0,-1
2,2,0,0,-1
1,8,0,0,-1
1,8,0,0,29.7853946685791
2,4,0,0,-1
2,2,0,0,50.18782615661621
1,4,0,0,33.635854721069336
2,2,0,0,79.69808578491211
2,2,0,0,-1
2,8,0,0,-1
1,16,0,0,-1
1,2,0,0,-1
1,8,0,0,-1
2,2,0,0,55.33766746520996
2,16,0,0,-1
2,16,0,0,45.09282112121582
1,16,0,0,30.39693832397461
1,2,0,0,42.90580749511719
2,16,0,0,-1
2,8,0,0,42.9532527923584
2,2,0,0,-1
1,1,0,0,34.08098220825195
1,16,0,0,50.03786087036133
2,8,0,0,51.544904708862305
2,4,0,0,-1
2,8,0,0,38.754940032958984
1,2,0,0,-1
1,4,0,0,59.301137924194336
1,8,0,0,-1
2,16,0,0,37.97554969787598
1,2,0,0,-1
2,16,0,0,-1
2,1,0,0,62.341928482055664
1,2,0,0,-1
1,16,0,0,-1
1,1,0,0,-1
2,8,0,0,-1
1,16,0,0,-1
2,4,0,0,45.98641395568848
1,16,0,0,-1
2,2,0,0,49.66306686401367
2,1,0,0,-1
1,8,0,0,32.63711929321289
2,2,0,0,-1
2,1,0,0,-1
1,1,0,0,-1
2,1,0,0,50.77505111694336
1,16,0,0,-1
2,1,0,0,-1
1,16,0,0,-1
2,1,0,0,-1
2,8,0,0,42.449235916137695
1,1,0,0,-1
2,8,0,0,-1
1,4,0,0,-1
2,1,0,0,-1
1,1,0,0,37.65368461608887
2,1,0,0,-1
1,1,0,0,49.95107650756836
1,2,0,0,45.27997970581055
1,4,0,0,65.6425952911377
2,16,0,0,-1
1,2,0,0,41.225433349609375
2,4,0,0,49.6058464050293
2,2,0,0,-1
2,4,0,0,-1
2,16,0,0,-1
2,1,0,0,42.80662536621094
1,4,0,0,-1
1,2,0,0,68.7706470489502
1,4,0,0,-1
1,2,0,0,-1
2,1,0,0,-1
1,8,0,0,39.662837982177734
1,2,0,0,-1
2,8,0,0,38.86723518371582
1,4,0,0,-1
